,opencv/opencv,davisking/dlib,scikit-image/scikit-image
2018-07-11,10,0,4
2018-07-12,7,5,4
2018-07-13,14,4,0
2018-07-14,2,0,7
2018-07-15,3,0,5
2018-07-16,14,0,0
2018-07-17,16,0,0
2018-07-18,5,1,0
2018-07-19,11,0,2
2018-07-20,4,0,4
2018-07-21,2,0,4
2018-07-22,1,0,2
2018-07-23,3,1,3
2018-07-24,14,2,4
2018-07-25,4,0,3
2018-07-26,9,1,4
2018-07-27,7,0,2
2018-07-28,4,0,3
2018-07-29,2,0,4
2018-07-30,13,0,0
2018-07-31,14,0,3
2018-08-01,9,3,8
2018-08-02,9,0,3
2018-08-03,4,0,2
2018-08-04,3,0,0
2018-08-05,1,0,7
2018-08-06,10,0,2
2018-08-07,13,0,0
2018-08-08,6,1,0
2018-08-09,1,0,13
2018-08-10,4,0,4
2018-08-11,0,0,2
2018-08-12,0,0,1
2018-08-13,5,0,3
2018-08-14,8,0,0
2018-08-15,3,0,0
2018-08-16,14,0,5
2018-08-17,7,0,0
2018-08-18,2,0,0
2018-08-19,0,0,1
2018-08-20,10,0,2
2018-08-21,11,1,4
2018-08-22,7,1,9
2018-08-23,5,2,2
2018-08-24,14,0,0
2018-08-25,4,0,0
2018-08-26,2,1,0
2018-08-27,9,0,0
2018-08-28,9,0,5
2018-08-29,2,0,4
2018-08-30,24,4,0
2018-08-31,22,0,6
2018-09-01,8,0,16
2018-09-02,10,0,1
2018-09-03,20,1,3
2018-09-04,16,0,0
2018-09-05,13,0,1
2018-09-06,13,0,3
2018-09-07,12,1,2
2018-09-08,6,0,2
2018-09-09,8,0,1
2018-09-10,11,2,2
2018-09-11,11,0,0
2018-09-12,16,0,7
2018-09-13,14,1,9
2018-09-14,10,0,4
2018-09-15,3,0,1
2018-09-16,0,0,3
2018-09-17,15,0,4
2018-09-18,16,0,2
2018-09-19,14,0,4
2018-09-20,3,0,0
2018-09-21,7,0,0
2018-09-22,2,0,0
2018-09-23,3,3,2
2018-09-24,10,0,7
2018-09-25,8,0,2
2018-09-26,11,0,6
2018-09-27,8,0,0
2018-09-28,16,0,4
2018-09-29,11,6,3
2018-09-30,6,0,22
2018-10-01,11,0,1
2018-10-02,9,0,4
2018-10-03,5,0,4
2018-10-04,9,0,6
2018-10-05,8,0,3
2018-10-06,0,0,3
2018-10-07,2,0,0
2018-10-08,9,0,2
2018-10-09,5,0,10
2018-10-10,17,0,15
2018-10-11,18,0,5
2018-10-12,6,0,2
2018-10-13,6,0,0
2018-10-14,8,0,1
2018-10-15,27,0,6
2018-10-16,4,0,1
2018-10-17,12,0,9
2018-10-18,3,0,0
2018-10-19,3,0,1
2018-10-20,2,0,0
2018-10-21,3,0,3
2018-10-22,1,1,5
2018-10-23,4,0,2
2018-10-24,24,0,5
2018-10-25,23,0,6
2018-10-26,10,1,1
2018-10-27,3,0,6
2018-10-28,1,0,9
2018-10-29,13,0,3
2018-10-30,10,0,1
2018-10-31,12,0,0
2018-11-01,11,0,9
2018-11-02,10,0,5
2018-11-03,3,0,14
2018-11-04,4,1,2
2018-11-05,1,0,3
2018-11-06,21,0,8
2018-11-07,25,0,3
2018-11-08,19,0,0
2018-11-09,19,1,1
2018-11-10,10,0,1
2018-11-11,4,2,1
2018-11-12,25,2,0
2018-11-13,9,1,1
2018-11-14,13,1,0
2018-11-15,12,0,0
2018-11-16,27,0,1
2018-11-17,10,0,0
2018-11-18,5,0,0
2018-11-19,9,0,17
2018-11-20,9,2,1
2018-11-21,11,0,0
2018-11-22,6,0,1
2018-11-23,6,0,0
2018-11-24,3,0,1
2018-11-25,5,2,5
2018-11-26,14,0,3
2018-11-27,11,0,0
2018-11-28,9,0,1
2018-11-29,8,0,1
2018-11-30,4,0,0
2018-12-01,0,0,3
2018-12-02,0,0,1
2018-12-03,15,0,4
2018-12-04,6,0,2
2018-12-05,13,1,0
2018-12-06,5,2,0
2018-12-07,5,0,7
2018-12-08,3,0,0
2018-12-09,3,0,4
2018-12-10,2,0,0
2018-12-11,3,1,0
2018-12-12,11,0,2
2018-12-13,8,0,0
2018-12-14,11,0,0
2018-12-15,2,0,2
2018-12-16,3,0,0
2018-12-17,5,0,1
2018-12-18,11,0,18
2018-12-19,10,0,22
2018-12-20,5,0,16
2018-12-21,18,0,2
2018-12-22,6,0,0
2018-12-23,1,0,0
2018-12-24,4,0,1
2018-12-25,8,0,1
2018-12-26,8,0,8
2018-12-27,3,0,1
2018-12-28,2,0,3
2018-12-29,0,0,1
2018-12-30,0,0,2
2018-12-31,1,0,1
2019-01-01,0,0,1
2019-01-02,3,0,2
2019-01-03,3,0,1
2019-01-04,2,0,2
2019-01-05,1,1,3
2019-01-06,1,4,2
2019-01-07,1,0,0
2019-01-08,2,2,9
2019-01-09,15,2,2
2019-01-10,3,0,6
2019-01-11,3,0,2
2019-01-12,1,0,0
2019-01-13,4,0,0
2019-01-14,3,0,1
2019-01-15,5,0,5
2019-01-16,5,0,0
2019-01-17,7,0,14
2019-01-18,9,0,2
2019-01-19,1,0,1
2019-01-20,1,2,0
2019-01-21,8,0,0
2019-01-22,3,0,1
2019-01-23,0,0,2
2019-01-24,6,0,4
2019-01-25,7,0,1
2019-01-26,0,0,1
2019-01-27,0,0,2
2019-01-28,5,0,3
2019-01-29,4,0,3
2019-01-30,4,0,0
2019-01-31,3,0,2
2019-02-01,8,0,7
2019-02-02,1,0,3
2019-02-03,0,0,2
2019-02-04,1,0,7
2019-02-05,5,0,2
2019-02-06,4,0,1
2019-02-07,8,1,1
2019-02-08,19,0,1
2019-02-09,3,0,5
2019-02-10,0,0,6
2019-02-11,8,0,5
2019-02-12,10,0,1
2019-02-13,6,0,1
2019-02-14,14,0,4
2019-02-15,4,0,7
2019-02-16,0,0,5
2019-02-17,0,0,0
2019-02-18,10,1,3
2019-02-19,13,0,0
2019-02-20,4,6,6
2019-02-21,8,0,1
2019-02-22,7,0,2
2019-02-23,5,0,2
2019-02-24,0,0,2
2019-02-25,8,0,5
2019-02-26,11,1,7
2019-02-27,4,0,1
2019-02-28,4,0,3
2019-03-01,10,0,2
2019-03-02,4,1,2
2019-03-03,3,3,0
2019-03-04,12,3,2
2019-03-05,17,0,1
2019-03-06,4,0,1
2019-03-07,13,0,3
2019-03-08,1,3,5
2019-03-09,2,0,3
2019-03-10,1,8,0
2019-03-11,18,0,0
2019-03-12,9,0,7
2019-03-13,16,0,3
2019-03-14,9,1,1
2019-03-15,9,4,0
2019-03-16,2,0,0
2019-03-17,0,1,0
2019-03-18,12,7,0
2019-03-19,10,6,4
2019-03-20,9,0,0
2019-03-21,9,0,0
2019-03-22,5,0,0
2019-03-23,1,0,0
2019-03-24,1,0,0
2019-03-25,5,0,3
2019-03-26,7,0,4
2019-03-27,5,0,0
2019-03-28,9,1,4
2019-03-29,4,0,0
2019-03-30,3,0,1
2019-03-31,15,0,0
2019-04-01,9,0,0
2019-04-02,19,0,3
2019-04-03,9,0,10
2019-04-04,6,1,1
2019-04-05,8,0,0
2019-04-06,3,0,0
2019-04-07,4,1,0
2019-04-08,4,0,0
2019-04-09,1,0,0
2019-04-10,2,0,0
2019-04-11,4,0,0
2019-04-12,10,0,8
2019-04-13,5,0,0
2019-04-14,3,3,2
2019-04-15,6,0,2
2019-04-16,13,0,2
2019-04-17,6,0,1
2019-04-18,1,0,0
2019-04-19,4,1,0
2019-04-20,4,0,0
2019-04-21,3,0,1
2019-04-22,14,0,0
2019-04-23,3,0,7
2019-04-24,7,0,0
2019-04-25,2,0,4
2019-04-26,10,2,1
2019-04-27,3,1,1
2019-04-28,0,0,1
2019-04-29,9,0,2
2019-04-30,15,0,2
2019-05-01,4,0,3
2019-05-02,1,0,0
2019-05-03,3,0,0
2019-05-04,1,1,0
2019-05-05,4,2,0
2019-05-06,2,0,0
2019-05-07,11,0,0
2019-05-08,1,0,0
2019-05-09,0,0,0
2019-05-10,0,0,3
2019-05-11,0,0,3
2019-05-12,0,0,2
2019-05-13,1,0,1
2019-05-14,13,1,5
2019-05-15,12,0,4
2019-05-16,7,1,2
2019-05-17,4,2,4
2019-05-18,3,0,0
2019-05-19,2,0,5
2019-05-20,6,4,1
2019-05-21,2,0,0
2019-05-22,12,0,0
2019-05-23,9,0,1
2019-05-24,5,0,0
2019-05-25,2,1,3
2019-05-26,3,0,1
2019-05-27,23,0,2
2019-05-28,5,0,6
2019-05-29,11,0,1
2019-05-30,6,0,0
2019-05-31,2,0,1
2019-06-01,0,1,2
2019-06-02,3,3,3
2019-06-03,11,0,3
2019-06-04,15,0,2
2019-06-05,7,0,1
2019-06-06,9,0,0
2019-06-07,13,0,0
2019-06-08,5,1,0
2019-06-09,2,1,11
2019-06-10,6,0,0
2019-06-11,16,0,0
2019-06-12,1,0,0
2019-06-13,5,0,17
2019-06-14,17,0,1
2019-06-15,4,0,0
2019-06-16,2,0,0
2019-06-17,3,0,0
2019-06-18,0,0,3
2019-06-19,1,0,48
2019-06-20,13,0,22
2019-06-21,12,0,1
2019-06-22,6,0,0
2019-06-23,3,0,0
2019-06-24,7,0,9
2019-06-25,8,0,2
2019-06-26,14,1,2
2019-06-27,7,0,0
2019-06-28,12,0,9
2019-06-29,7,0,0
2019-06-30,3,0,7
2019-07-01,7,0,3
2019-07-02,13,0,0
2019-07-03,7,0,0
2019-07-04,10,1,2
2019-07-05,2,1,2
2019-07-06,3,0,8
2019-07-07,2,0,2
2019-07-08,1,0,0
2019-07-09,7,0,5
2019-07-10,0,0,4
2019-07-11,2,0,2
2019-07-12,7,1,3
2019-07-13,0,0,12
2019-07-14,0,0,7
2019-07-15,3,0,1
2019-07-16,17,0,2
2019-07-17,1,0,1
2019-07-18,11,0,0
2019-07-19,8,2,1
2019-07-20,3,0,8
2019-07-21,3,0,1
2019-07-22,2,0,3
2019-07-23,1,0,3
2019-07-24,5,0,2
2019-07-25,14,0,4
2019-07-26,4,0,1
2019-07-27,3,2,13
2019-07-28,3,0,0
2019-07-29,1,1,10
2019-07-30,9,0,1
2019-07-31,3,0,3
2019-08-01,5,0,5
2019-08-02,4,0,0
2019-08-03,1,0,1
2019-08-04,4,0,2
2019-08-05,21,0,3
2019-08-06,7,0,0
2019-08-07,6,0,0
2019-08-08,10,0,0
2019-08-09,5,0,3
2019-08-10,0,0,4
2019-08-11,0,0,0
2019-08-12,4,0,0
2019-08-13,6,0,3
2019-08-14,11,1,1
2019-08-15,5,0,5
2019-08-16,5,0,4
2019-08-17,0,2,6
2019-08-18,0,0,13
2019-08-19,2,0,4
2019-08-20,8,0,3
2019-08-21,9,0,10
2019-08-22,10,0,14
2019-08-23,12,1,4
2019-08-24,1,1,4
2019-08-25,0,0,9
2019-08-26,3,0,1
2019-08-27,6,0,1
2019-08-28,4,1,0
