,apple/swift,JetBrains/kotlin,rust-lang/rust
2018-09-17,34,43,51
2018-09-18,56,67,61
2018-09-19,71,32,45
2018-09-20,77,42,86
2018-09-21,80,43,50
2018-09-22,68,3,57
2018-09-23,10,1,43
2018-09-24,85,18,41
2018-09-25,75,40,51
2018-09-26,95,65,87
2018-09-27,76,35,35
2018-09-28,68,24,37
2018-09-29,20,4,66
2018-09-30,8,2,59
2018-10-01,60,39,51
2018-10-02,40,18,64
2018-10-03,72,25,42
2018-10-04,67,7,62
2018-10-05,93,4,82
2018-10-06,18,0,48
2018-10-07,13,0,30
2018-10-08,54,14,76
2018-10-09,68,30,76
2018-10-10,56,26,76
2018-10-11,65,32,58
2018-10-12,73,33,69
2018-10-13,30,0,76
2018-10-14,13,6,54
2018-10-15,55,34,123
2018-10-16,62,43,69
2018-10-17,31,51,63
2018-10-18,16,26,73
2018-10-19,40,35,67
2018-10-20,25,0,54
2018-10-21,15,2,36
2018-10-22,16,34,52
2018-10-23,42,24,57
2018-10-24,49,38,58
2018-10-25,47,50,122
2018-10-26,79,27,77
2018-10-27,45,10,49
2018-10-28,9,0,61
2018-10-29,57,13,61
2018-10-30,68,10,70
2018-10-31,67,46,62
2018-11-01,54,30,96
2018-11-02,56,57,62
2018-11-03,20,0,71
2018-11-04,62,2,37
2018-11-05,45,0,99
2018-11-06,105,30,53
2018-11-07,89,35,81
2018-11-08,71,50,56
2018-11-09,101,16,49
2018-11-10,58,0,85
2018-11-11,5,0,60
2018-11-12,44,22,38
2018-11-13,73,40,63
2018-11-14,101,21,36
2018-11-15,83,14,67
2018-11-16,115,25,123
2018-11-17,45,5,34
2018-11-18,16,1,47
2018-11-19,9,14,52
2018-11-20,14,16,72
2018-11-21,10,91,108
2018-11-22,22,47,61
2018-11-23,8,47,42
2018-11-24,3,2,61
2018-11-25,1,0,63
2018-11-26,82,44,56
2018-11-27,75,52,127
2018-11-28,88,44,47
2018-11-29,74,43,84
2018-11-30,98,29,103
2018-12-01,25,1,18
2018-12-02,13,0,57
2018-12-03,49,7,79
2018-12-04,86,20,82
2018-12-05,60,33,59
2018-12-06,66,36,74
2018-12-07,79,29,57
2018-12-08,41,0,57
2018-12-09,14,1,57
2018-12-10,62,29,73
2018-12-11,49,63,78
2018-12-12,78,57,86
2018-12-13,84,37,53
2018-12-14,38,17,80
2018-12-15,55,3,57
2018-12-16,25,2,40
2018-12-17,48,13,56
2018-12-18,65,45,50
2018-12-19,47,12,117
2018-12-20,52,35,86
2018-12-21,77,34,79
2018-12-22,5,0,75
2018-12-23,8,0,54
2018-12-24,3,21,38
2018-12-25,6,26,60
2018-12-26,5,49,52
2018-12-27,0,13,76
2018-12-28,2,17,61
2018-12-29,0,6,73
2018-12-30,5,0,72
2018-12-31,1,0,50
2019-01-01,2,1,60
2019-01-02,71,6,83
2019-01-03,44,3,89
2019-01-04,81,0,68
2019-01-05,25,5,70
2019-01-06,10,0,63
2019-01-07,31,2,82
2019-01-08,88,5,91
2019-01-09,60,19,51
2019-01-10,66,41,45
2019-01-11,58,49,44
2019-01-12,24,0,80
2019-01-13,7,0,107
2019-01-14,53,35,69
2019-01-15,74,29,67
2019-01-16,65,29,46
2019-01-17,64,41,45
2019-01-18,80,31,82
2019-01-19,27,2,99
2019-01-20,25,1,55
2019-01-21,36,20,72
2019-01-22,82,10,102
2019-01-23,42,12,61
2019-01-24,46,34,76
2019-01-25,50,31,92
2019-01-26,60,3,111
2019-01-27,20,1,82
2019-01-28,46,48,65
2019-01-29,76,20,59
2019-01-30,59,25,72
2019-01-31,41,42,66
2019-02-01,62,19,107
2019-02-02,19,0,37
2019-02-03,25,5,69
2019-02-04,70,13,47
2019-02-05,76,26,79
2019-02-06,67,24,66
2019-02-07,62,30,131
2019-02-08,76,1,93
2019-02-09,9,0,68
2019-02-10,10,17,75
2019-02-11,66,6,83
2019-02-12,79,31,78
2019-02-13,55,25,106
