,nodejs/node,python/cpython,ruby/ruby
2009-03-16,0,2,5
2009-03-17,0,9,14
2009-03-18,0,18,5
2009-03-19,0,10,5
2009-03-20,0,11,12
2009-03-21,0,11,3
2009-03-22,0,13,2
2009-03-23,0,26,7
2009-03-24,0,20,6
2009-03-25,0,11,0
2009-03-26,0,26,7
2009-03-27,0,7,4
2009-03-28,0,17,3
2009-03-29,0,30,2
2009-03-30,0,69,4
2009-03-31,0,122,3
2009-04-01,0,64,9
2009-04-02,0,55,1
2009-04-03,1,29,3
2009-04-04,2,65,1
2009-04-05,0,65,2
2009-04-06,0,13,11
2009-04-07,0,33,3
2009-04-08,0,17,8
2009-04-09,0,17,5
2009-04-10,0,26,2
2009-04-11,0,29,1
2009-04-12,0,29,1
2009-04-13,0,28,3
2009-04-14,0,7,1
2009-04-15,2,9,2
2009-04-16,10,19,7
2009-04-17,1,16,0
2009-04-18,5,33,7
2009-04-19,0,15,2
2009-04-20,5,19,6
2009-04-21,9,8,14
2009-04-22,14,18,9
2009-04-23,7,8,2
2009-04-24,0,28,0
2009-04-25,0,66,13
2009-04-26,0,38,16
2009-04-27,0,56,2
2009-04-28,3,26,1
2009-04-29,5,34,2
2009-04-30,0,9,7
2009-05-01,0,22,3
2009-05-02,4,32,4
2009-05-03,3,25,0
2009-05-04,6,30,0
2009-05-05,4,56,6
2009-05-06,3,37,3
2009-05-07,3,28,10
2009-05-08,0,29,4
2009-05-09,0,27,9
2009-05-10,0,27,8
2009-05-11,5,10,4
2009-05-12,3,19,6
2009-05-13,6,15,3
2009-05-14,11,32,4
2009-05-15,3,14,5
2009-05-16,4,21,22
2009-05-17,1,46,12
2009-05-18,7,16,4
2009-05-19,10,11,6
2009-05-20,8,17,10
2009-05-21,2,1,8
2009-05-22,0,20,7
2009-05-23,0,36,6
2009-05-24,0,24,8
2009-05-25,3,20,7
2009-05-26,13,19,6
2009-05-27,5,17,10
2009-05-28,3,23,0
2009-05-29,3,28,4
2009-05-30,2,21,0
2009-05-31,2,14,4
2009-06-01,2,28,3
2009-06-02,0,14,4
2009-06-03,1,24,4
2009-06-04,4,30,3
2009-06-05,8,10,0
2009-06-06,1,7,0
2009-06-07,0,14,4
2009-06-08,5,24,2
2009-06-09,7,16,6
2009-06-10,5,9,1
2009-06-11,6,36,5
2009-06-12,5,16,5
2009-06-13,3,17,11
2009-06-14,0,11,4
2009-06-15,3,3,7
2009-06-16,9,16,16
2009-06-17,5,10,11
2009-06-18,7,6,9
2009-06-19,1,7,15
2009-06-20,2,2,5
2009-06-21,16,8,4
2009-06-22,7,6,14
2009-06-23,2,20,8
2009-06-24,3,8,9
2009-06-25,0,11,5
2009-06-26,4,9,9
2009-06-27,2,19,6
2009-06-28,13,63,11
2009-06-29,7,33,17
2009-06-30,7,19,13
2009-07-01,1,27,11
2009-07-02,0,29,6
2009-07-03,0,24,9
2009-07-04,0,21,4
2009-07-05,0,15,7
2009-07-06,0,4,6
2009-07-07,0,26,14
2009-07-08,0,5,7
2009-07-09,0,22,7
2009-07-10,2,11,17
2009-07-11,1,28,3
2009-07-12,0,17,9
2009-07-13,9,14,19
2009-07-14,2,1,7
2009-07-15,5,12,9
2009-07-16,4,10,18
2009-07-17,0,41,19
2009-07-18,0,13,10
2009-07-19,0,18,7
2009-07-20,7,19,7
2009-07-21,0,25,14
2009-07-22,0,32,16
2009-07-23,4,8,5
2009-07-24,6,4,4
2009-07-25,1,6,8
2009-07-26,0,15,4
2009-07-27,2,12,5
2009-07-28,1,17,8
2009-07-29,0,17,0
2009-07-30,1,8,19
2009-07-31,7,1,8
2009-08-01,2,2,5
2009-08-02,0,16,7
2009-08-03,3,2,15
2009-08-04,2,18,9
2009-08-05,1,2,13
2009-08-06,8,16,19
2009-08-07,3,0,1
2009-08-08,2,0,6
2009-08-09,5,0,5
2009-08-10,3,0,4
2009-08-11,0,0,10
2009-08-12,0,4,11
2009-08-13,7,60,13
2009-08-14,2,9,5
2009-08-15,0,13,6
2009-08-16,0,14,20
2009-08-17,0,12,6
2009-08-18,0,19,8
2009-08-19,5,1,7
2009-08-20,0,9,11
2009-08-21,5,7,11
2009-08-22,2,0,8
2009-08-23,1,1,2
2009-08-24,7,8,9
2009-08-25,6,0,10
2009-08-26,10,2,19
2009-08-27,5,10,6
2009-08-28,0,13,11
2009-08-29,0,6,7
2009-08-30,0,19,9
2009-08-31,6,8,3
2009-09-01,4,13,8
2009-09-02,3,5,5
2009-09-03,9,11,6
2009-09-04,5,23,6
2009-09-05,3,6,11
2009-09-06,0,26,11
2009-09-07,6,11,6
2009-09-08,1,14,10
2009-09-09,6,10,25
2009-09-10,5,0,13
2009-09-11,10,9,18
2009-09-12,4,9,22
2009-09-13,5,30,29
2009-09-14,3,7,13
2009-09-15,4,19,11
2009-09-16,0,43,19
2009-09-17,5,36,14
2009-09-18,1,49,15
2009-09-19,1,15,2
2009-09-20,7,29,4
2009-09-21,1,24,16
2009-09-22,4,23,13
2009-09-23,11,5,17
2009-09-24,2,9,8
2009-09-25,4,13,12
2009-09-26,1,12,17
2009-09-27,5,16,12
2009-09-28,16,21,15
2009-09-29,4,30,24
2009-09-30,2,6,3
2009-10-01,0,23,3
2009-10-02,3,6,22
2009-10-03,7,25,17
2009-10-04,4,24,11
2009-10-05,10,15,4
2009-10-06,5,6,7
2009-10-07,12,5,6
2009-10-08,2,11,7
2009-10-09,13,13,3
2009-10-10,1,25,19
2009-10-11,0,37,13
2009-10-12,6,2,8
2009-10-13,4,7,9
2009-10-14,4,25,8
2009-10-15,3,13,9
2009-10-16,4,8,16
2009-10-17,0,16,8
2009-10-18,0,33,8
2009-10-19,0,35,4
2009-10-20,0,14,18
2009-10-21,0,5,5
2009-10-22,0,27,7
2009-10-23,0,11,9
2009-10-24,0,36,9
2009-10-25,1,10,9
2009-10-26,2,33,15
2009-10-27,7,153,12
2009-10-28,9,27,14
2009-10-29,4,25,10
2009-10-30,1,13,12
2009-10-31,8,28,6
2009-11-01,2,43,13
2009-11-02,5,21,7
2009-11-03,5,22,9
2009-11-04,4,7,11
2009-11-05,0,13,7
2009-11-06,3,4,8
2009-11-07,9,7,6
2009-11-08,0,6,5
2009-11-09,0,26,4
2009-11-10,1,13,6
2009-11-11,3,14,8
2009-11-12,2,9,11
2009-11-13,2,24,7
2009-11-14,1,15,4
2009-11-15,1,40,10
2009-11-16,1,18,7
2009-11-17,8,6,12
2009-11-18,2,29,17
2009-11-19,2,35,8
2009-11-20,0,10,1
2009-11-21,6,9,5
2009-11-22,6,4,2
2009-11-23,0,25,4
2009-11-24,0,23,12
2009-11-25,0,20,8
2009-11-26,0,4,10
2009-11-27,2,12,0
2009-11-28,7,21,4
2009-11-29,0,10,4
2009-11-30,2,14,7
2009-12-01,0,5,2
2009-12-02,0,10,2
2009-12-03,0,20,5
2009-12-04,1,12,11
2009-12-05,6,11,8
2009-12-06,10,13,6
2009-12-07,4,2,7
2009-12-08,4,21,5
2009-12-09,6,5,5
2009-12-10,0,24,9
2009-12-11,0,11,2
2009-12-12,0,7,2
2009-12-13,0,58,7
2009-12-14,0,15,5
2009-12-15,0,4,6
2009-12-16,0,13,5
2009-12-17,0,5,3
2009-12-18,20,4,0
2009-12-19,2,30,6
2009-12-20,0,46,6
2009-12-21,0,42,4
2009-12-22,6,4,2
2009-12-23,1,4,5
2009-12-24,0,37,5
2009-12-25,0,4,2
2009-12-26,0,1,0
2009-12-27,0,17,5
2009-12-28,0,14,6
2009-12-29,23,24,3
2009-12-30,12,30,14
2009-12-31,4,30,6
2010-01-01,0,22,3
2010-01-02,0,32,4
2010-01-03,1,35,3
2010-01-04,2,21,5
2010-01-05,12,5,5
2010-01-06,6,11,2
2010-01-07,2,13,0
2010-01-08,1,19,6
2010-01-09,8,20,7
2010-01-10,0,19,2
2010-01-11,3,14,11
2010-01-12,3,19,18
2010-01-13,2,29,10
2010-01-14,0,21,3
2010-01-15,3,8,0
2010-01-16,0,36,3
2010-01-17,0,30,8
2010-01-18,5,9,9
2010-01-19,6,4,6
2010-01-20,12,3,3
2010-01-21,1,14,7
2010-01-22,2,12,8
2010-01-23,0,14,9
2010-01-24,7,18,4
2010-01-25,1,18,18
2010-01-26,2,7,13
2010-01-27,8,42,11
2010-01-28,6,10,5
2010-01-29,3,15,8
2010-01-30,2,32,1
2010-01-31,3,27,19
2010-02-01,1,5,2
2010-02-02,2,24,6
2010-02-03,11,24,17
2010-02-04,1,19,6
2010-02-05,1,30,7
2010-02-06,7,45,18
2010-02-07,0,46,4
2010-02-08,9,20,8
2010-02-09,6,5,6
2010-02-10,2,9,3
2010-02-11,3,25,12
2010-02-12,8,6,3
2010-02-13,0,3,6
2010-02-14,0,18,3
2010-02-15,0,12,12
2010-02-16,9,7,11
2010-02-17,19,0,11
2010-02-18,7,16,5
2010-02-19,5,17,3
2010-02-20,7,10,6
2010-02-21,11,18,4
2010-02-22,17,52,7
2010-02-23,4,46,10
2010-02-24,4,38,14
2010-02-25,4,16,5
2010-02-26,8,10,8
2010-02-27,0,41,4
2010-02-28,1,12,8
2010-03-01,6,51,6
2010-03-02,12,30,7
