,ocornut/imgui,Immediate-Mode-UI/Nuklear,lvgl/lvgl
2016-08-08,0,4,1.0
2016-08-09,0,3,0.8999999999999999
2016-08-10,0,0,-0.14500000000000013
2016-08-11,7,0,0.9265
2016-08-12,0,4,-0.14916250000000003
2016-08-13,1,0,-0.0817792499999999
2016-08-14,0,1,-0.05777876249999993
2016-08-15,4,5,-0.04491820874999985
2016-08-16,0,2,-0.03677875926562489
2016-08-17,0,1,-0.031129178051562414
2016-08-18,1,0,-0.019492548785937445
2016-08-19,1,0,-0.009568313015624975
2016-08-20,10,0,-0.008398852535937478
2016-08-21,14,0,0.0
2016-08-22,0,0,0.0
2016-08-23,4,3,0.0
2016-08-24,0,4,0.0
2016-08-25,3,3,0.0
2016-08-26,1,5,0.0
2016-08-27,1,0,0.0
2016-08-28,0,0,0.0
2016-08-29,1,2,0.0
2016-08-30,0,1,0.0
2016-08-31,0,4,0.0
2016-09-01,1,0,0.0
2016-09-02,2,1,0.0
2016-09-03,2,2,0.0
2016-09-04,0,6,0.0
2016-09-05,3,0,0.0
2016-09-06,0,0,0.0
2016-09-07,1,1,0.0
2016-09-08,2,1,0.0
2016-09-09,0,0,0.0
2016-09-10,3,1,0.0
2016-09-11,2,0,0.0
2016-09-12,0,0,0.0
2016-09-13,1,1,0.0
2016-09-14,0,1,0.0
2016-09-15,1,4,0.0
2016-09-16,0,2,0.0
2016-09-17,0,0,0.0
2016-09-18,0,5,0.0
2016-09-19,1,5,0.0
2016-09-20,1,2,0.0
2016-09-21,2,0,0.0
2016-09-22,0,0,0.0
2016-09-23,2,1,0.0
2016-09-24,0,2,0.0
2016-09-25,14,0,0.0
2016-09-26,2,0,0.0
2016-09-27,0,0,3.0
2016-09-28,0,2,3.6999999999999997
2016-09-29,0,2,-0.5350000000000005
2016-09-30,0,0,4.7345
2016-10-01,8,0,-0.6759875000000003
2016-10-02,1,0,-0.3560002499999997
2016-10-03,0,0,-0.24645303749999978
2016-10-04,0,0,3.8107583612500004
2016-10-05,0,3,-0.5536634740468749
2016-10-06,2,0,-0.3092798721703123
2016-10-07,4,0,1.79693610860625
2016-10-08,1,1,-0.3304915650781247
2016-10-09,5,0,-0.19646126267968725
2016-10-10,2,0,-0.10964804999999989
2016-10-11,0,0,-0.08569978499999972
2016-10-12,0,0,-0.07050675206249979
2016-10-13,0,0,-0.05991943514374984
2016-10-14,0,0,-0.022187392499999934
2016-10-15,2,0,-0.01913662603124995
2016-10-16,6,0,2.983202294928125
2016-10-17,0,1,1.6999999999999997
2016-10-18,2,1,-0.3350000000000003
2016-10-19,0,0,-0.17550000000000013
2016-10-20,0,0,0.8810125000000002
2016-10-21,0,1,-0.1896752499999998
2016-10-22,0,3,-0.1167195374999998
2016-10-23,0,0,-0.08810511374999985
2016-10-24,0,0,-0.07155483154687478
2016-10-25,0,0,-0.06044993363906233
2016-10-26,0,0,-0.02995971757187492
2016-10-27,0,0,0.98890630375
2016-10-28,0,0,-0.10956831301562506
2016-10-29,1,2,-0.05339885253593751
2016-10-30,0,3,-0.028500000000000022
2016-10-31,0,1,-0.020662499999999924
2016-11-01,0,4,-0.016116749999999947
2016-11-02,0,0,-0.01316201249999996
2016-11-03,0,4,-0.011093696249999967
2016-11-04,0,0,-0.009568313015624975
2016-11-05,0,1,-0.008398852535937478
2016-11-06,9,3,0.0
2016-11-07,1,0,0.0
2016-11-08,0,0,0.0
2016-11-09,3,1,0.0
2016-11-10,0,1,0.0
2016-11-11,3,3,0.0
2016-11-12,11,0,0.0
2016-11-13,6,1,0.0
2016-11-14,1,6,0.0
2016-11-15,0,2,0.0
2016-11-16,0,1,0.0
2016-11-17,0,0,0.0
2016-11-18,0,1,0.0
2016-11-19,0,3,0.0
2016-11-20,0,2,0.0
2016-11-21,0,0,0.0
2016-11-22,0,1,0.0
2016-11-23,0,0,0.0
2016-11-24,0,0,0.0
2016-11-25,0,0,0.0
2016-11-26,0,0,0.0
2016-11-27,10,0,0.0
2016-11-28,4,0,0.0
2016-11-29,3,0,0.0
2016-11-30,0,0,0.0
2016-12-01,0,0,0.0
2016-12-02,0,0,0.0
2016-12-03,0,2,0.0
2016-12-04,1,0,0.0
2016-12-05,0,0,0.0
2016-12-06,0,0,0.0
2016-12-07,0,0,0.0
2016-12-08,0,0,0.0
2016-12-09,0,0,1.0
2016-12-10,0,0,-0.10000000000000009
2016-12-11,0,0,-0.04500000000000003
2016-12-12,1,0,-0.028500000000000022
2016-12-13,0,0,-0.020662499999999924
2016-12-14,0,0,-0.016116749999999947
2016-12-15,0,0,3.9868379875
2016-12-16,0,0,0.5889063037499997
2016-12-17,0,0,4.710431686984375
2016-12-18,0,0,0.332601147464062
2016-12-19,1,0,2.56385
2016-12-20,0,2,2.4273705
2016-12-21,4,0,2.3644227000000004
2016-12-22,0,0,3.3207169525
2016-12-23,4,0,-0.8137812608124999
2016-12-24,0,0,-0.4876319669093745
2016-12-25,0,1,-0.3311579013640619
2016-12-26,0,1,0.7446700480546883
2016-12-27,0,0,-0.2743379178328121
2016-12-28,0,0,-0.18483063540468714
2016-12-29,0,2,1.8732237183453129
2016-12-30,0,0,5.715867690329688
2016-12-31,0,10,-0.7397121601437504
2017-01-01,1,2,2.6598379874999996
2017-01-02,0,0,3.4765813037499997
2017-01-03,0,11,6.299223186984375
2017-01-04,0,0,0.9030766224640621
2017-01-05,0,2,-0.7921469674999999
2017-01-06,0,4,14.49380094646875
2017-01-07,1,4,-1.8797981206656253
2017-01-08,0,0,5.034535496034375
2017-01-09,0,0,6.775052688453124
2017-01-10,1,1,6.452612791579688
2017-01-11,3,2,0.3044877562468751
2017-01-12,0,2,0.812666218717188
2017-01-13,0,0,4.036796351178126
2017-01-14,1,2,-0.16373077023437377
2017-01-15,0,1,0.14989993446093863
2017-01-16,0,0,7.387485951906251
2017-01-17,0,0,-1.2510592143406247
2017-01-18,0,0,-0.6819949919124995
2017-01-19,0,2,-0.4391041513187496
2017-01-20,0,1,-0.28598157485312403
2017-01-21,1,4,-0.21782897889999933
2017-01-22,0,3,-0.16795237194531204
2017-01-23,0,3,-0.10671673555156219
2017-01-24,0,3,-0.08494535666093728
2017-01-25,0,0,-0.06719082028749983
2017-01-26,0,0,0.0
2017-01-27,0,0,0.0
2017-01-28,2,0,0.0
2017-01-29,1,0,0.0
2017-01-30,0,1,0.0
2017-01-31,0,0,0.0
2017-02-01,0,0,2.0
2017-02-02,0,0,-0.20000000000000018
2017-02-03,0,0,3.91
2017-02-04,0,5,-0.4570000000000004
2017-02-05,0,1,-0.221325
2017-02-06,0,1,7.8537665
2017-02-07,0,0,-0.9089740250000004
2017-02-08,0,0,-0.4466543925
2017-02-09,0,1,-0.29978467603125
2017-02-10,0,2,-0.2264724900718742
2017-02-11,2,1,0.8327927479375006
2017-02-12,0,0,-0.23889151014374968
2017-02-13,0,2,-0.13374956999999976
2017-02-14,0,0,-0.10504650412499983
2017-02-15,0,0,-0.08785332028749976
2017-02-16,0,0,-0.016116749999999947
2017-02-17,0,1,1.9868379875
2017-02-18,0,1,-0.21109369625000016
2017-02-19,0,0,-0.09956831301562505
2017-02-20,0,1,-0.06539885253593752
2017-02-21,0,3,-0.04132499999999985
2017-02-22,0,0,0.9677665000000001
2017-02-23,0,1,-0.126324025
2017-02-24,0,2,-0.06718739249999997
2017-02-25,0,3,-0.047636626031249976
2017-02-26,2,0,-0.03746020507187488
2017-02-27,0,0,-0.016116749999999947
2017-02-28,0,0,-0.01316201249999996
