,swiftlang/swift,golang/go,rust-lang/rust
2018-09-17,34,12,51
2018-09-18,56,12,61
2018-09-19,71,9,45
2018-09-20,77,8,86
2018-09-21,80,0,50
2018-09-22,68,0,57
2018-09-23,10,2,43
2018-09-24,85,17,41
2018-09-25,75,13,51
2018-09-26,95,11,87
2018-09-27,76,14,35
2018-09-28,68,10,37
2018-09-29,20,4,66
2018-09-30,8,1,59
2018-10-01,60,6,51
2018-10-02,40,27,64
2018-10-03,72,29,42
2018-10-04,67,19,62
2018-10-05,93,15,82
2018-10-06,18,11,48
2018-10-07,13,1,30
2018-10-08,54,5,76
2018-10-09,68,16,76
2018-10-10,56,16,76
2018-10-11,65,17,58
2018-10-12,73,17,69
2018-10-13,30,4,76
2018-10-14,13,3,54
2018-10-15,55,20,123
2018-10-16,62,11,69
2018-10-17,31,18,63
2018-10-18,16,11,73
2018-10-19,40,13,67
2018-10-20,25,2,54
2018-10-21,15,1,36
2018-10-22,16,14,52
2018-10-23,42,24,57
2018-10-24,49,19,58
2018-10-25,47,15,122
2018-10-26,79,11,77
2018-10-27,45,7,49
2018-10-28,9,9,61
2018-10-29,57,12,61
2018-10-30,68,23,70
2018-10-31,67,15,62
2018-11-01,54,10,96
2018-11-02,56,41,62
2018-11-03,20,6,71
2018-11-04,62,2,37
2018-11-05,45,21,99
2018-11-06,105,15,53
2018-11-07,89,6,81
2018-11-08,71,17,56
2018-11-09,101,16,49
2018-11-10,58,7,85
2018-11-11,5,4,60
2018-11-12,44,32,38
2018-11-13,73,19,63
2018-11-14,101,23,36
2018-11-15,83,9,67
2018-11-16,115,20,123
2018-11-17,45,3,34
2018-11-18,16,2,47
2018-11-19,9,8,52
2018-11-20,14,12,72
2018-11-21,10,8,108
2018-11-22,22,2,61
2018-11-23,8,4,42
2018-11-24,3,1,61
2018-11-25,1,0,63
2018-11-26,82,13,56
2018-11-27,75,13,127
2018-11-28,88,16,47
2018-11-29,74,26,84
2018-11-30,98,10,103
2018-12-01,25,6,18
2018-12-02,13,2,57
2018-12-03,49,10,79
2018-12-04,86,14,82
2018-12-05,60,20,59
2018-12-06,66,10,74
2018-12-07,79,10,57
2018-12-08,41,1,57
2018-12-09,14,1,57
2018-12-10,62,10,73
2018-12-11,49,15,78
2018-12-12,78,21,86
2018-12-13,84,25,53
2018-12-14,38,16,80
2018-12-15,55,5,57
2018-12-16,25,1,40
2018-12-17,48,19,56
2018-12-18,65,18,50
2018-12-19,47,8,117
2018-12-20,52,13,86
2018-12-21,77,4,79
2018-12-22,5,5,75
2018-12-23,8,0,54
2018-12-24,3,3,38
2018-12-25,6,1,60
2018-12-26,5,1,52
2018-12-27,0,3,76
2018-12-28,2,3,61
2018-12-29,0,4,73
2018-12-30,5,3,72
2018-12-31,1,1,50
2019-01-01,2,2,60
2019-01-02,71,13,83
2019-01-03,44,9,89
2019-01-04,81,10,68
2019-01-05,25,2,70
2019-01-06,10,1,63
2019-01-07,31,10,82
2019-01-08,88,8,91
2019-01-09,60,10,51
2019-01-10,66,5,45
2019-01-11,58,2,44
2019-01-12,24,1,80
2019-01-13,7,0,107
2019-01-14,53,5,69
2019-01-15,74,5,67
2019-01-16,65,2,46
2019-01-17,64,6,45
2019-01-18,80,8,82
2019-01-19,27,0,99
2019-01-20,25,2,55
2019-01-21,36,3,72
2019-01-22,82,3,102
2019-01-23,42,6,61
2019-01-24,46,1,76
2019-01-25,50,2,92
2019-01-26,60,0,111
2019-01-27,20,4,82
2019-01-28,46,2,65
2019-01-29,76,4,59
2019-01-30,59,7,72
2019-01-31,41,2,66
2019-02-01,62,4,107
2019-02-02,19,0,37
2019-02-03,25,0,69
2019-02-04,70,3,47
2019-02-05,76,3,79
2019-02-06,67,1,66
2019-02-07,62,3,131
2019-02-08,76,2,93
2019-02-09,9,2,68
2019-02-10,10,1,75
2019-02-11,66,13,83
2019-02-12,79,8,78
2019-02-13,55,5,106
2019-02-14,77,0,72
2019-02-15,48,6,41
2019-02-16,31,1,53
2019-02-17,24,2,60
2019-02-18,57,0,112
2019-02-19,98,12,42
2019-02-20,83,6,87
2019-02-21,67,1,70
2019-02-22,82,9,54
2019-02-23,38,1,83
2019-02-24,22,6,90
2019-02-25,87,4,58
2019-02-26,57,65,48
2019-02-27,48,52,81
2019-02-28,57,11,37
2019-03-01,69,29,50
2019-03-02,42,22,56
2019-03-03,18,8,59
2019-03-04,47,12,57
2019-03-05,77,25,71
2019-03-06,76,30,45
2019-03-07,61,20,56
2019-03-08,37,23,56
2019-03-09,11,13,39
2019-03-10,12,3,44
2019-03-11,42,14,50
2019-03-12,60,26,68
2019-03-13,62,22,56
2019-03-14,56,23,49
2019-03-15,64,16,109
2019-03-16,9,1,93
2019-03-17,19,3,51
2019-03-18,78,13,80
2019-03-19,47,23,64
2019-03-20,37,13,66
2019-03-21,54,14,58
2019-03-22,64,14,46
2019-03-23,26,3,60
2019-03-24,10,3,46
2019-03-25,52,21,72
2019-03-26,69,9,78
2019-03-27,101,18,60
2019-03-28,61,21,87
2019-03-29,79,13,91
2019-03-30,12,3,74
2019-03-31,26,4,49
2019-04-01,60,5,46
2019-04-02,80,12,87
2019-04-03,88,17,68
2019-04-04,44,8,67
2019-04-05,44,18,50
2019-04-06,44,0,36
2019-04-07,22,6,52
2019-04-08,41,17,47
2019-04-09,73,8,59
2019-04-10,48,10,51
2019-04-11,67,11,63
2019-04-12,53,11,74
2019-04-13,22,5,60
2019-04-14,28,2,92
2019-04-15,31,16,45
2019-04-16,56,34,64
2019-04-17,102,11,109
2019-04-18,44,10,73
2019-04-19,51,23,87
2019-04-20,36,3,51
2019-04-21,11,0,67
2019-04-22,35,12,75
2019-04-23,79,20,75
2019-04-24,85,16,74
2019-04-25,51,14,84
2019-04-26,55,19,51
2019-04-27,18,9,30
2019-04-28,5,4,43
2019-04-29,27,20,46
2019-04-30,26,34,74
2019-05-01,46,16,102
2019-05-02,62,13,98
2019-05-03,59,14,44
2019-05-04,37,1,104
2019-05-05,13,3,33
2019-05-06,58,22,41
2019-05-07,70,6,40
2019-05-08,59,16,39
2019-05-09,58,29,73
2019-05-10,64,9,57
2019-05-11,22,2,53
2019-05-12,13,2,44
2019-05-13,55,20,61
2019-05-14,86,15,62
2019-05-15,55,8,55
2019-05-16,51,20,57
2019-05-17,36,12,61
2019-05-18,29,0,45
2019-05-19,19,0,54
2019-05-20,57,11,100
2019-05-21,60,10,93
2019-05-22,44,12,75
2019-05-23,75,13,105
2019-05-24,36,10,59
2019-05-25,16,2,88
2019-05-26,15,0,51
2019-05-27,10,1,99
2019-05-28,36,8,115
2019-05-29,84,6,69
2019-05-30,56,13,63
2019-05-31,65,9,55
2019-06-01,36,0,64
2019-06-02,39,2,54
2019-06-03,41,6,84
2019-06-04,40,4,96
2019-06-05,61,11,64
2019-06-06,41,18,68
2019-06-07,17,12,44
2019-06-08,19,0,84
2019-06-09,12,2,71
2019-06-10,56,10,61
2019-06-11,65,6,93
2019-06-12,112,7,100
2019-06-13,66,11,44
2019-06-14,100,4,61
2019-06-15,22,3,85
2019-06-16,3,1,70
2019-06-17,48,4,30
2019-06-18,71,7,54
2019-06-19,49,11,65
2019-06-20,61,7,64
2019-06-21,37,9,75
2019-06-22,25,0,72
2019-06-23,15,2,44
2019-06-24,71,7,64
2019-06-25,50,15,52
2019-06-26,91,17,85
2019-06-27,69,8,29
