,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2016-10-25,1,7,69
2016-10-26,4,10,62
2016-10-27,1,8,67
2016-10-28,1,4,61
2016-10-29,1,5,16
2016-10-30,3,1,6
2016-10-31,4,6,70
2016-11-01,1,13,58
2016-11-02,0,12,58
2016-11-03,2,10,70
2016-11-04,2,0,67
2016-11-05,2,4,5
2016-11-06,2,1,5
2016-11-07,3,13,18
2016-11-08,4,79,9
2016-11-09,6,5,107
2016-11-10,4,9,42
2016-11-11,4,29,47
2016-11-12,3,0,31
2016-11-13,1,4,3
2016-11-14,3,3,46
2016-11-15,6,25,64
2016-11-16,7,13,151
2016-11-17,7,6,68
2016-11-18,11,8,54
2016-11-19,5,4,22
2016-11-20,3,0,17
2016-11-21,7,10,44
2016-11-22,6,9,70
2016-11-23,8,7,69
2016-11-24,8,9,30
2016-11-25,4,1,13
2016-11-26,0,9,8
2016-11-27,2,0,4
2016-11-28,2,8,47
2016-11-29,7,39,59
2016-11-30,3,3,57
2016-12-01,1,26,73
2016-12-02,4,5,70
2016-12-03,7,1,26
2016-12-04,2,0,3
2016-12-05,1,20,56
2016-12-06,4,8,44
2016-12-07,10,2,110
2016-12-08,3,3,84
2016-12-09,4,4,59
2016-12-10,3,0,31
2016-12-11,2,4,7
2016-12-12,0,5,36
2016-12-13,1,17,50
2016-12-14,0,24,46
2016-12-15,5,39,59
2016-12-16,3,17,69
2016-12-17,3,7,28
2016-12-18,4,2,5
2016-12-19,3,17,35
2016-12-20,4,30,37
2016-12-21,3,19,64
2016-12-22,3,26,57
2016-12-23,4,7,17
2016-12-24,1,4,6
2016-12-25,0,4,4
2016-12-26,2,4,3
2016-12-27,2,24,26
2016-12-28,2,17,25
2016-12-29,110,36,28
2016-12-30,14,23,14
2016-12-31,6,34,5
2017-01-01,8,10,5
2017-01-02,1,8,0
2017-01-03,6,27,28
2017-01-04,8,72,52
2017-01-05,2,35,33
2017-01-06,6,6,49
2017-01-07,8,1,12
2017-01-08,5,0,10
2017-01-09,6,9,27
2017-01-10,6,9,53
2017-01-11,7,8,47
2017-01-12,4,8,51
2017-01-13,3,22,57
2017-01-14,2,4,10
2017-01-15,4,2,9
2017-01-16,4,16,9
2017-01-17,1,22,51
2017-01-18,3,29,43
2017-01-19,8,16,68
2017-01-20,6,17,63
2017-01-21,8,4,10
2017-01-22,7,9,7
2017-01-23,2,11,20
2017-01-24,4,25,54
2017-01-25,8,20,50
2017-01-26,8,13,37
2017-01-27,12,20,51
2017-01-28,6,17,15
2017-01-29,5,11,8
2017-01-30,3,8,32
2017-01-31,2,54,46
2017-02-01,2,23,71
2017-02-02,4,16,54
2017-02-03,1,7,71
2017-02-04,6,4,19
2017-02-05,2,0,7
2017-02-06,5,9,66
2017-02-07,8,19,133
2017-02-08,3,12,71
2017-02-09,1,20,55
2017-02-10,3,15,75
2017-02-11,0,5,40
2017-02-12,2,2,9
2017-02-13,2,9,27
2017-02-14,2,32,94
2017-02-15,4,14,61
2017-02-16,3,35,50
2017-02-17,0,25,38
2017-02-18,5,5,11
2017-02-19,7,0,9
2017-02-20,0,9,9
2017-02-21,5,26,29
2017-02-22,7,18,69
2017-02-23,3,63,43
2017-02-24,7,8,38
2017-02-25,3,8,16
2017-02-26,0,14,1
2017-02-27,2,15,46
2017-02-28,11,34,38
2017-03-01,4,19,63
2017-03-02,4,27,48
2017-03-03,7,25,52
2017-03-04,1,9,20
2017-03-05,6,10,18
2017-03-06,4,14,22
2017-03-07,1,21,48
2017-03-08,1,16,46
2017-03-09,5,16,39
2017-03-10,8,16,43
2017-03-11,6,7,18
2017-03-12,4,5,5
2017-03-13,7,21,40
2017-03-14,5,18,56
2017-03-15,10,25,56
