,django/django,rails/rails,sinatra/sinatra
2015-11-08,0.0,6,0
2015-11-09,5.0,34,0
2015-11-10,4.0,13,0
2015-11-11,11.0,28,0
2015-11-12,6.0,13,0
2015-11-13,9.0,10,0
2015-11-14,17.0,3,0
2015-11-15,1.0,9,0
2015-11-16,7.0,9,0
2015-11-17,7.0,8,0
2015-11-18,10.0,12,0
2015-11-19,14.0,15,0
2015-11-20,4.0,10,0
2015-11-21,4.0,6,0
2015-11-22,1.0,9,0
2015-11-23,6.0,21,0
2015-11-24,8.0,16,0
2015-11-25,8.0,5,0
2015-11-26,3.0,10,0
2015-11-27,6.0,3,0
2015-11-28,1.0,8,0
2015-11-29,0.0,5,0
2015-11-30,4.0,19,0
2015-12-01,5.0,4,0
2015-12-02,4.0,10,2
2015-12-03,7.0,10,1
2015-12-04,8.0,11,1
2015-12-05,4.0,14,0
2015-12-06,0.0,21,0
2015-12-07,5.0,9,0
2015-12-08,9.0,3,0
2015-12-09,4.0,29,0
2015-12-10,8.0,7,0
2015-12-11,4.0,15,0
2015-12-12,7.0,5,0
2015-12-13,2.0,22,0
2015-12-14,6.0,30,0
2015-12-15,5.0,44,0
2015-12-16,0.0,74,1
2015-12-17,4.0,81,0
2015-12-18,7.0,68,0
2015-12-19,3.0,23,0
2015-12-20,0.0,13,0
2015-12-21,6.0,38,0
2015-12-22,5.0,41,0
2015-12-23,10.0,33,0
2015-12-24,7.0,10,0
2015-12-25,1.0,7,1
2015-12-26,3.0,0,0
2015-12-27,0.0,10,0
2015-12-28,4.0,5,1
2015-12-29,4.0,14,0
2015-12-30,8.0,24,3
2015-12-31,8.0,21,4
2016-01-01,0.0,15,2
2016-01-02,7.0,11,0
2016-01-03,2.0,7,0
2016-01-04,3.0,14,0
2016-01-05,6.0,16,0
2016-01-06,6.0,31,0
2016-01-07,15.0,16,2
2016-01-08,11.0,21,0
2016-01-09,5.0,23,0
2016-01-10,1.0,11,0
2016-01-11,9.0,14,0
2016-01-12,3.0,16,0
2016-01-13,4.0,8,0
2016-01-14,5.0,18,0
2016-01-15,3.0,13,0
2016-01-16,0.0,12,0
2016-01-17,0.0,12,2
2016-01-18,1.0,32,2
2016-01-19,3.0,30,4
2016-01-20,2.0,18,1
2016-01-21,5.0,18,16
2016-01-22,10.0,30,3
2016-01-23,12.0,10,0
2016-01-24,1.0,31,17
2016-01-25,9.0,12,0
2016-01-26,5.0,6,1
2016-01-27,2.0,30,0
2016-01-28,11.0,35,0
2016-01-29,9.0,32,0
2016-01-30,3.0,41,0
2016-01-31,0.0,30,6
2016-02-01,11.0,53,3
2016-02-02,6.0,23,6
