,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2021-10-07,7.0,0,1
2021-10-08,-0.7999999999999994,0,1
2021-10-09,-0.6399999999999997,0,0
2021-10-10,-0.08799999999999986,0,2
2021-10-11,-0.9392000000000003,0,8
2021-10-12,1.5231359999999998,1,5
2021-10-13,0.8737536000000001,0,2
2021-10-14,5.71392768,0,0
2021-10-15,2.6362536960000007,2,0
2021-10-16,-1.6124322815999994,0,0
2021-10-17,-2.1702265856,1,0
2021-10-18,-1.0489842688000004,0,0
2021-10-19,3.3172703232,0,0
2021-10-20,8.909293056,0,0
2021-10-21,5.7378151424000015,0,0
2021-10-22,-6.263836057599998,2,0
2021-10-23,-2.4076624896,0,0
2021-10-24,-1.3885083648000005,0,1
2021-10-25,0.09547888639999935,0,0
2021-10-26,-0.05554944000000006,0,2
2021-10-27,5.964705792,0,0
2021-10-28,1.5960183808000008,0,1
2021-10-29,10.746907443200001,0,0
2021-10-30,-1.8603317247999982,0,0
2021-10-31,-2.344115199999999,0,0
2021-11-01,0.24500223999999982,0,1
2021-11-02,2.313571327999999,0,0
2021-11-03,-0.3866917887999999,0,0
2021-11-04,4.2428142592,0,1
2021-11-05,-1.202073497599999,0,1
2021-11-06,-1.943805952,0,0
2021-11-07,2.1568565248,0,3
2021-11-08,3.442714112,0,0
2021-11-09,-0.5102698495999998,0,0
2021-11-10,2.3625168896,0,0
2021-11-11,-1.24729344,0,0
2021-11-12,3.8160326656,0,0
2021-11-13,-3.5097895936,0,1
2021-11-14,1.5893323776,0,0
2021-11-15,3.9305060352,0,0
2021-11-16,-0.3815585791999996,0,1
2021-11-17,-1.5517472767999996,0,0
2021-11-18,3.4425066496,0,0
2021-11-19,0.1440184320000002,1,0
2021-11-20,1.6460678144000003,0,2
2021-11-21,-0.6811358207999998,0,0
2021-11-22,-0.9345320960000001,0,0
2021-11-23,0.6220363776,0,0
2021-11-24,2.4403013631999997,1,0
2021-11-25,-0.3213005823999997,0,0
2021-11-26,0.2549548032000002,0,0
2021-11-27,2.36198144,0,0
2021-11-28,-2.3530256384,0,1
2021-11-29,1.0431909888,0,0
2021-11-30,-0.3684499455999999,0,0
2021-12-01,-0.028822220799999965,0,0
2021-12-02,1.0633053184,0,0
2021-12-03,2.7227020288,0,0
2021-12-04,-1.1348939775999995,0,0
2021-12-05,0.7883024384000001,0,0
2021-12-06,-0.40004894719999995,1,0
2021-12-07,2.998050816,0,0
2021-12-08,7.8855430144000005,1,0
2021-12-09,-2.8136997887999993,5,0
2021-12-10,3.5029409792,4,2
2021-12-11,0.3731318784000006,0,1
2021-12-12,-3.1098606592,0,0
2021-12-13,-0.4000529408000002,0,1
2021-12-14,-1.3093702656000001,0,0
2021-12-15,0.23083499519999973,0,0
2021-12-16,1.0389219328000001,0,0
2021-12-17,6.678030848000001,0,0
2021-12-18,1.276035174400001,0,0
2021-12-19,-1.2899749887999996,0,0
2021-12-20,3.9052848128,0,0
2021-12-21,7.609177088,1,0
2021-12-22,0.22728888320000085,0,0
2021-12-23,-1.5725624319999998,0,0
2021-12-24,0.7616059392000003,0,0
2021-12-25,1.7340667904,0,0
2021-12-26,-0.6037561344000002,0,0
2021-12-27,-0.8176327680000002,0,0
2021-12-28,4.8073580544,0,0
2021-12-29,0.017577267200000524,0,0
2021-12-30,1.7787615232,0,5
2021-12-31,-1.4116103167999996,0,0
2022-01-01,-2.2668637184000002,0,0
2022-01-02,0.8359267327999997,0,0
2022-01-03,-1.5627494400000002,0,0
2022-01-04,-0.7621126144000001,3,0
2022-01-05,4.4921114624000005,0,0
2022-01-06,7.6288108544,3,2
2022-01-07,5.176383692800001,0,0
2022-01-08,-3.660228607999999,0,1
2022-01-09,0.08966256639999992,0,0
2022-01-10,1.3239285759999997,0,0
2022-01-11,-1.9439323136000004,0,0
2022-01-12,2.2237951999999996,0,0
2022-01-13,3.35017984,1,0
2022-01-14,4.354564096000001,1,0
2022-01-15,0.27742259200000063,0,0
2022-01-16,2.1543905280000004,0,0
2022-01-17,-0.04891688959999918,1,0
2022-01-18,-0.36175267840000025,0,0
2022-01-19,6.210774220799999,0,0
2022-01-20,8.0172900352,0,0
2022-01-21,-5.2220193792,0,0
2022-01-22,3.3917253632,0,0
2022-01-23,3.2835040256,1,1
2022-01-24,-1.2756648960000003,1,0
2022-01-25,1.1202317312,0,1
2022-01-26,4.0963795968,1,0
2022-01-27,7.941996441600001,0,1
2022-01-28,-1.3957071871999993,0,0
2022-01-29,2.6912050175999997,0,0
2022-01-30,-2.6050635775999993,0,0
2022-01-31,-0.7235470336000005,1,0
2022-02-01,-1.1495425024,0,0
2022-02-02,8.5630307328,1,0
2022-02-03,-0.7582489599999986,1,0
2022-02-04,2.7440055296000008,1,0
2022-02-05,1.249779609600001,1,0
2022-02-06,-4.3995399168,0,0
2022-02-07,1.0456375295999998,0,0
2022-02-08,-0.39815792640000014,0,0
2022-02-09,-0.004862054400000204,0,0
2022-02-10,2.1433836544,0,0
2022-02-11,3.4242685952000005,0,0
2022-02-12,-0.4613601279999995,0,0
2022-02-13,-1.5685149695999998,0,0
2022-02-14,3.4518689792,0,0
2022-02-15,2.1904573440000004,0,0
2022-02-16,1.8341881856000004,0,0
