,plotly/plotly.js,highcharts/highcharts,d3/d3
2016-07-19,17,0,0
2016-07-20,8,0,0
2016-07-21,21,5,0
2016-07-22,9,16,0
2016-07-23,0,0,1
2016-07-24,0,0,0
2016-07-25,10,14,0
2016-07-26,3,13,1
2016-07-27,2,6,0
2016-07-28,11,0,0
2016-07-29,10,0,3
2016-07-30,1,0,0
2016-07-31,0,0,0
2016-08-01,15,0,0
2016-08-02,15,8,0
2016-08-03,15,3,2
2016-08-04,41,7,0
2016-08-05,12,4,0
2016-08-06,0,3,0
2016-08-07,0,2,5
2016-08-08,7,5,0
2016-08-09,13,1,0
2016-08-10,14,0,0
2016-08-11,22,9,1
2016-08-12,15,6,0
2016-08-13,9,0,0
2016-08-14,0,0,0
2016-08-15,6,7,0
2016-08-16,1,5,3
2016-08-17,2,5,0
2016-08-18,7,9,0
2016-08-19,21,24,0
2016-08-20,0,2,0
2016-08-21,0,4,0
2016-08-22,16,15,0
2016-08-23,3,4,0
2016-08-24,2,5,0
2016-08-25,0,1,0
2016-08-26,0,0,0
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,1,8,0
2016-08-30,0,9,3
2016-08-31,0,12,0
2016-09-01,6,10,0
2016-09-02,4,8,0
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,0,9,0
2016-09-06,58,8,0
2016-09-07,25,8,0
2016-09-08,14,1,0
2016-09-09,13,4,0
2016-09-10,1,0,0
2016-09-11,0,5,1
2016-09-12,10,15,2
2016-09-13,0,8,0
2016-09-14,16,5,0
2016-09-15,10,11,0
2016-09-16,21,14,0
2016-09-17,0,4,0
2016-09-18,0,4,0
2016-09-19,0,27,6
2016-09-20,12,8,2
2016-09-21,17,25,0
2016-09-22,12,14,2
2016-09-23,19,23,0
2016-09-24,0,0,0
2016-09-25,0,0,0
2016-09-26,10,14,0
2016-09-27,3,31,0
2016-09-28,18,20,0
2016-09-29,24,20,0
2016-09-30,11,15,0
2016-10-01,0,6,0
2016-10-02,0,0,0
2016-10-03,20,19,0
2016-10-04,19,13,0
2016-10-05,14,19,0
2016-10-06,23,18,0
2016-10-07,2,13,1
2016-10-08,0,0,0
2016-10-09,0,0,0
2016-10-10,3,9,0
2016-10-11,26,2,2
2016-10-12,12,8,0
2016-10-13,18,10,0
2016-10-14,15,23,0
2016-10-15,1,0,0
2016-10-16,0,0,0
2016-10-17,19,5,0
2016-10-18,12,14,0
2016-10-19,11,22,1
2016-10-20,14,10,3
2016-10-21,4,17,0
2016-10-22,0,0,0
2016-10-23,0,0,0
2016-10-24,55,19,0
2016-10-25,37,25,0
2016-10-26,24,20,0
2016-10-27,20,16,3
2016-10-28,2,18,0
2016-10-29,5,0,0
2016-10-30,0,4,0
2016-10-31,0,11,0
2016-11-01,1,22,0
2016-11-02,7,4,1
2016-11-03,3,17,0
2016-11-04,9,16,2
2016-11-05,0,4,0
2016-11-06,0,1,0
2016-11-07,3,8,0
2016-11-08,12,5,0
2016-11-09,36,2,0
2016-11-10,14,7,0
2016-11-11,1,11,0
2016-11-12,0,0,0
2016-11-13,0,1,0
2016-11-14,10,5,0
2016-11-15,28,8,0
2016-11-16,7,16,0
2016-11-17,26,11,0
2016-11-18,3,21,0
2016-11-19,6,0,0
2016-11-20,0,0,0
2016-11-21,21,13,0
2016-11-22,9,1,1
2016-11-23,10,6,2
2016-11-24,8,3,0
2016-11-25,2,11,0
2016-11-26,5,0,0
2016-11-27,0,0,0
2016-11-28,8,12,0
2016-11-29,4,15,0
2016-11-30,6,13,0
2016-12-01,9,17,0
2016-12-02,0,16,0
2016-12-03,4,1,0
2016-12-04,3,1,0
2016-12-05,5,24,0
2016-12-06,13,18,0
2016-12-07,13,24,0
2016-12-08,4,3,0
2016-12-09,4,9,0
2016-12-10,0,0,0
2016-12-11,1,2,0
2016-12-12,3,13,0
2016-12-13,0,6,0
2016-12-14,22,8,0
2016-12-15,3,13,0
2016-12-16,2,19,0
2016-12-17,0,0,0
2016-12-18,0,0,0
2016-12-19,6,13,0
2016-12-20,0,11,0
2016-12-21,0,11,0
2016-12-22,5,8,0
2016-12-23,2,2,0
2016-12-24,3,0,0
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,0,2,0
2016-12-28,0,12,0
2016-12-29,0,5,0
2016-12-30,0,5,0
2016-12-31,0,0,0
2017-01-01,0,0,0
2017-01-02,1,1,0
2017-01-03,0,3,0
2017-01-04,15,10,0
2017-01-05,4,25,0
2017-01-06,2,10,2
2017-01-07,0,0,0
2017-01-08,0,0,0
2017-01-09,12,17,0
2017-01-10,7,11,0
2017-01-11,5,13,0
2017-01-12,2,12,0
2017-01-13,17,9,0
2017-01-14,3,0,0
2017-01-15,0,0,0
2017-01-16,7,9,0
2017-01-17,18,6,0
2017-01-18,18,4,2
2017-01-19,4,11,0
2017-01-20,0,11,4
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,0,7,2
2017-01-24,1,8,0
2017-01-25,4,19,0
2017-01-26,5,11,4
2017-01-27,1,16,0
2017-01-28,0,0,0
2017-01-29,0,0,2
2017-01-30,7,9,0
2017-01-31,15,7,0
2017-02-01,4,13,0
2017-02-02,11,16,0
2017-02-03,6,6,0
2017-02-04,0,0,0
2017-02-05,0,0,0
2017-02-06,11,14,0
2017-02-07,2,12,0
2017-02-08,11,6,0
2017-02-09,1,16,0
2017-02-10,8,6,0
2017-02-11,0,0,0
2017-02-12,0,0,0
2017-02-13,15,7,0
2017-02-14,4,12,0
2017-02-15,13,9,1
2017-02-16,2,4,0
2017-02-17,11,20,0
2017-02-18,0,0,3
2017-02-19,0,0,4
2017-02-20,2,10,0
2017-02-21,15,10,0
2017-02-22,12,2,0
2017-02-23,13,3,0
2017-02-24,24,22,0
2017-02-25,0,0,0
2017-02-26,0,0,0
2017-02-27,21,12,0
2017-02-28,5,8,2
2017-03-01,8,31,0
2017-03-02,6,27,2
2017-03-03,17,24,0
2017-03-04,3,0,0
2017-03-05,0,0,0
2017-03-06,15,7,0
2017-03-07,5,17,0
2017-03-08,4,16,0
