,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2019-05-25,0,13,0
2019-05-26,1,8,0
2019-05-27,0,1,0
2019-05-28,6,12,0
2019-05-29,8,0,0
2019-05-30,15,4,1
2019-05-31,11,1,0
2019-06-01,0,8,0
2019-06-02,0,8,0
2019-06-03,10,2,1
2019-06-04,10,4,0
2019-06-05,12,0,1
2019-06-06,13,1,0
2019-06-07,8,1,0
2019-06-08,0,2,0
2019-06-09,0,1,0
2019-06-10,20,4,0
2019-06-11,7,0,0
2019-06-12,24,0,0
2019-06-13,8,0,0
2019-06-14,4,0,1
2019-06-15,0,2,0
2019-06-16,2,3,0
2019-06-17,8,0,0
2019-06-18,12,1,2
2019-06-19,8,2,0
2019-06-20,8,6,0
2019-06-21,14,10,1
2019-06-22,1,3,0
2019-06-23,2,2,0
2019-06-24,8,5,0
2019-06-25,7,6,0
2019-06-26,15,7,1
2019-06-27,0,4,2
2019-06-28,7,0,0
2019-06-29,1,2,0
2019-06-30,0,1,0
2019-07-01,14,0,0
2019-07-02,7,5,0
2019-07-03,15,3,0
2019-07-04,12,2,0
2019-07-05,1,0,0
2019-07-06,1,5,0
2019-07-07,1,1,0
2019-07-08,1,2,0
2019-07-09,5,0,0
2019-07-10,3,2,0
2019-07-11,16,0,0
2019-07-12,5,0,0
2019-07-13,1,0,0
2019-07-14,0,0,4
2019-07-15,0,1,1
2019-07-16,2,6,0
2019-07-17,3,0,0
2019-07-18,6,0,0
2019-07-19,4,1,0
2019-07-20,4,0,0
2019-07-21,2,0,1
2019-07-22,20,0,0
2019-07-23,11,0,0
2019-07-24,3,2,0
2019-07-25,3,1,0
2019-07-26,6,0,3
2019-07-27,0,0,1
2019-07-28,0,0,0
2019-07-29,3,1,0
2019-07-30,10,1,0
2019-07-31,12,0,0
2019-08-01,7,0,0
2019-08-02,7,1,0
2019-08-03,0,0,0
2019-08-04,0,0,0
2019-08-05,11,0,0
2019-08-06,2,0,0
2019-08-07,19,0,0
2019-08-08,10,2,0
2019-08-09,4,6,0
2019-08-10,2,4,0
2019-08-11,1,1,1
2019-08-12,7,6,0
2019-08-13,20,1,0
2019-08-14,12,5,0
2019-08-15,7,0,0
2019-08-16,4,0,0
2019-08-17,2,1,0
2019-08-18,2,4,1
2019-08-19,11,0,0
2019-08-20,13,0,0
2019-08-21,6,2,0
2019-08-22,15,0,1
2019-08-23,9,2,1
2019-08-24,0,4,3
2019-08-25,0,0,0
2019-08-26,8,0,0
2019-08-27,25,0,0
2019-08-28,23,0,0
2019-08-29,4,0,0
2019-08-30,4,0,0
2019-08-31,0,0,0
2019-09-01,0,0,0
2019-09-02,2,0,0
2019-09-03,0,0,0
2019-09-04,4,3,0
2019-09-05,14,6,1
2019-09-06,22,2,0
2019-09-07,1,3,0
2019-09-08,0,2,0
2019-09-09,13,3,0
2019-09-10,24,5,0
2019-09-11,21,3,0
2019-09-12,18,0,0
2019-09-13,14,0,0
2019-09-14,0,2,0
2019-09-15,0,4,0
2019-09-16,3,1,0
2019-09-17,15,2,0
2019-09-18,21,0,0
2019-09-19,6,2,0
2019-09-20,5,0,0
2019-09-21,0,7,0
2019-09-22,0,5,0
2019-09-23,7,3,0
2019-09-24,5,1,0
2019-09-25,8,0,0
2019-09-26,5,4,0
2019-09-27,2,2,2
2019-09-28,1,1,0
2019-09-29,0,10,0
2019-09-30,7,0,0
2019-10-01,18,2,0
2019-10-02,22,7,0
2019-10-03,6,1,1
2019-10-04,2,1,2
2019-10-05,1,0,0
2019-10-06,1,11,1
2019-10-07,6,5,0
2019-10-08,10,0,0
2019-10-09,11,0,1
2019-10-10,13,0,0
2019-10-11,2,0,0
2019-10-12,0,0,0
2019-10-13,0,0,0
2019-10-14,3,2,0
2019-10-15,13,0,0
2019-10-16,32,1,0
2019-10-17,7,0,0
2019-10-18,2,3,0
2019-10-19,4,2,0
2019-10-20,11,0,0
2019-10-21,6,0,0
2019-10-22,4,0,0
2019-10-23,2,0,2
2019-10-24,4,0,0
2019-10-25,1,0,0
2019-10-26,0,6,0
2019-10-27,0,3,0
2019-10-28,0,0,0
2019-10-29,1,0,0
2019-10-30,11,0,0
2019-10-31,7,0,1
2019-11-01,1,0,0
2019-11-02,0,2,0
2019-11-03,1,0,0
2019-11-04,8,0,0
2019-11-05,8,0,0
2019-11-06,13,0,0
2019-11-07,17,0,0
2019-11-08,7,0,1
2019-11-09,0,3,0
2019-11-10,1,3,1
2019-11-11,12,0,0
2019-11-12,13,0,0
2019-11-13,25,0,0
2019-11-14,24,0,0
2019-11-15,3,0,0
2019-11-16,1,0,0
2019-11-17,10,4,0
2019-11-18,17,1,0
2019-11-19,11,1,0
2019-11-20,13,0,0
2019-11-21,4,0,0
2019-11-22,3,0,1
2019-11-23,0,1,0
2019-11-24,1,0,0
2019-11-25,3,0,0
2019-11-26,10,0,1
2019-11-27,17,1,1
2019-11-28,9,0,0
2019-11-29,2,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,12,0,0
2019-12-03,8,0,0
2019-12-04,6,2,0
2019-12-05,1,1,4
2019-12-06,3,0,0
2019-12-07,4,3,0
2019-12-08,1,6,0
2019-12-09,1,3,0
2019-12-10,3,0,2
2019-12-11,5,0,0
2019-12-12,6,1,3
2019-12-13,4,2,0
2019-12-14,0,0,0
2019-12-15,0,0,15
2019-12-16,5,0,0
2019-12-17,8,0,0
2019-12-18,4,0,0
2019-12-19,17,0,0
2019-12-20,7,3,1
2019-12-21,0,2,1
2019-12-22,1,2,0
2019-12-23,2,0,0
2019-12-24,0,1,0
2019-12-25,0,0,1
2019-12-26,1,0,1
2019-12-27,2,0,3
2019-12-28,0,0,0
2019-12-29,0,1,0
2019-12-30,7,4,2
2019-12-31,1,11,3
2020-01-01,0,3,4
2020-01-02,3,1,0
2020-01-03,2,2,0
2020-01-04,2,5,0
2020-01-05,0,4,0
2020-01-06,0,1,0
2020-01-07,10,5,4
2020-01-08,0,0,1
2020-01-09,14,0,1
2020-01-10,0,0,1
2020-01-11,0,2,0
2020-01-12,0,8,0
2020-01-13,3,1,0
2020-01-14,10,0,1
2020-01-15,9,2,0
2020-01-16,4,1,0
2020-01-17,20,0,0
2020-01-18,0,0,0
2020-01-19,1,7,2
2020-01-20,6,4,0
2020-01-21,4,4,0
2020-01-22,9,1,2
2020-01-23,1,0,0
2020-01-24,6,0,0
2020-01-25,0,2,0
2020-01-26,0,0,1
2020-01-27,0,0,0
2020-01-28,5,2,1
2020-01-29,12,2,2
2020-01-30,14,0,2
2020-01-31,7,0,0
2020-02-01,2,1,0
2020-02-02,1,2,0
2020-02-03,4,1,0
2020-02-04,5,2,0
2020-02-05,2,0,0
2020-02-06,7,2,0
2020-02-07,4,0,0
2020-02-08,0,0,0
2020-02-09,1,6,0
2020-02-10,5,0,0
2020-02-11,1,2,0
2020-02-12,4,0,0
2020-02-13,2,0,0
2020-02-14,0,0,1
2020-02-15,0,0,3
2020-02-16,9,7,0
2020-02-17,2,11,2
2020-02-18,6,0,0
2020-02-19,15,0,2
2020-02-20,21,1,0
2020-02-21,4,0,0
2020-02-22,1,0,2
2020-02-23,0,3,0
2020-02-24,0,0,1
2020-02-25,7,1,0
2020-02-26,7,0,0
2020-02-27,10,0,0
2020-02-28,5,0,0
2020-02-29,2,0,0
2020-03-01,5,1,0
2020-03-02,4,2,0
2020-03-03,6,0,0
2020-03-04,2,3,0
2020-03-05,0,2,0
2020-03-06,0,2,0
2020-03-07,6,3,2
2020-03-08,1,6,0
2020-03-09,5,1,0
2020-03-10,9,1,0
2020-03-11,6,0,0
2020-03-12,3,0,0
2020-03-13,5,0,0
2020-03-14,0,1,0
2020-03-15,2,4,0
2020-03-16,11,1,0
2020-03-17,17,0,2
2020-03-18,10,5,0
2020-03-19,6,1,0
2020-03-20,15,0,0
2020-03-21,5,2,0
2020-03-22,1,2,0
2020-03-23,10,1,0
2020-03-24,10,5,0
2020-03-25,9,4,0
2020-03-26,11,4,0
2020-03-27,3,0,0
2020-03-28,1,2,0
2020-03-29,1,1,0
2020-03-30,9,3,0
2020-03-31,34,0,1
2020-04-01,7,0,0
2020-04-02,9,1,0
2020-04-03,5,0,0
2020-04-04,3,2,0
2020-04-05,1,0,2
2020-04-06,15,2,0
2020-04-07,14,0,0
2020-04-08,13,1,2
2020-04-09,3,2,0
2020-04-10,5,4,0
2020-04-11,1,8,0
2020-04-12,0,4,0
2020-04-13,6,2,0
2020-04-14,14,0,0
2020-04-15,5,0,0
