,microsoft/vscode,atom/atom,adobe/brackets
2016-02-13,4,4,3
2016-02-14,7,1,2
2016-02-15,17,3,1
2016-02-16,34,25,0
2016-02-17,30,31,0
2016-02-18,50,28,0
2016-02-19,79,9,2
2016-02-20,6,0,0
2016-02-21,15,4,0
2016-02-22,54,14,2
2016-02-23,34,6,0
2016-02-24,41,3,4
2016-02-25,48,23,5
2016-02-26,23,13,1
2016-02-27,0,0,1
2016-02-28,7,16,0
2016-02-29,33,13,0
2016-03-01,50,79,0
2016-03-02,20,6,0
2016-03-03,56,8,0
2016-03-04,46,20,0
2016-03-05,4,3,0
2016-03-06,2,2,0
2016-03-07,37,12,0
2016-03-08,53,9,1
2016-03-09,30,7,0
2016-03-10,35,21,0
2016-03-11,68,11,0
2016-03-12,4,5,0
2016-03-13,12,5,0
2016-03-14,21,14,0
2016-03-15,64,14,1
2016-03-16,56,4,0
2016-03-17,45,15,0
2016-03-18,37,21,0
2016-03-19,3,4,0
2016-03-20,1,1,0
2016-03-21,3,8,0
2016-03-22,14,12,2
2016-03-23,25,14,0
2016-03-24,55,6,0
2016-03-25,7,27,0
2016-03-26,0,2,0
2016-03-27,5,0,0
2016-03-28,1,21,0
2016-03-29,29,11,2
2016-03-30,38,26,2
2016-03-31,61,18,7
2016-04-01,34,11,4
2016-04-02,1,9,5
2016-04-03,3,1,0
2016-04-04,35,5,1
2016-04-05,36,26,0
2016-04-06,30,13,0
2016-04-07,47,19,0
2016-04-08,42,13,1
2016-04-09,1,8,0
2016-04-10,1,3,0
2016-04-11,41,15,1
2016-04-12,20,9,0
2016-04-13,44,7,0
2016-04-14,36,15,0
2016-04-15,19,18,1
2016-04-16,7,5,0
2016-04-17,2,1,1
2016-04-18,45,13,0
2016-04-19,65,5,2
2016-04-20,45,13,1
2016-04-21,92,11,0
2016-04-22,36,10,1
2016-04-23,10,1,0
2016-04-24,26,4,0
2016-04-25,50,29,0
2016-04-26,10,39,0
2016-04-27,28,16,3
2016-04-28,29,19,2
2016-04-29,35,15,1
2016-04-30,17,4,2
2016-05-01,2,5,4
2016-05-02,51,9,5
2016-05-03,29,11,1
2016-05-04,63,14,3
2016-05-05,3,7,2
2016-05-06,49,5,0
2016-05-07,0,4,0
2016-05-08,1,0,0
2016-05-09,15,0,0
2016-05-10,45,4,1
2016-05-11,47,3,3
2016-05-12,40,4,2
2016-05-13,51,4,10
2016-05-14,6,1,0
2016-05-15,4,2,2
2016-05-16,26,12,2
2016-05-17,40,12,3
2016-05-18,58,7,4
2016-05-19,61,10,9
2016-05-20,60,4,4
2016-05-21,17,2,3
2016-05-22,17,1,1
2016-05-23,58,21,9
2016-05-24,19,19,2
2016-05-25,53,22,1
2016-05-26,50,13,2
2016-05-27,37,5,1
2016-05-28,2,0,1
2016-05-29,0,0,3
2016-05-30,40,6,0
2016-05-31,33,0,2
2016-06-01,57,6,5
2016-06-02,86,2,0
2016-06-03,54,6,0
2016-06-04,5,2,1
2016-06-05,4,1,0
2016-06-06,50,5,0
2016-06-07,51,3,0
2016-06-08,51,11,1
2016-06-09,52,6,0
2016-06-10,29,6,0
2016-06-11,15,4,0
2016-06-12,7,0,0
2016-06-13,43,9,0
2016-06-14,85,16,2
2016-06-15,77,10,1
2016-06-16,71,3,0
2016-06-17,43,5,0
2016-06-18,1,7,0
2016-06-19,9,1,0
2016-06-20,47,5,0
2016-06-21,47,3,0
2016-06-22,42,3,0
2016-06-23,57,2,0
2016-06-24,69,3,0
2016-06-25,14,14,0
2016-06-26,19,0,0
2016-06-27,63,1,0
2016-06-28,19,6,0
2016-06-29,57,7,0
2016-06-30,51,10,0
2016-07-01,24,0,0
2016-07-02,10,18,2
2016-07-03,1,1,0
2016-07-04,30,4,0
2016-07-05,42,2,0
2016-07-06,52,8,0
2016-07-07,62,1,0
2016-07-08,38,6,1
2016-07-09,1,4,1
2016-07-10,5,0,0
2016-07-11,35,10,0
2016-07-12,47,16,0
2016-07-13,50,11,0
2016-07-14,49,11,0
2016-07-15,37,3,0
2016-07-16,8,3,0
2016-07-17,0,1,0
2016-07-18,20,4,0
2016-07-19,23,7,0
2016-07-20,33,10,0
2016-07-21,35,20,0
2016-07-22,29,15,0
2016-07-23,0,0,9
2016-07-24,1,2,6
2016-07-25,49,24,0
2016-07-26,25,14,4
2016-07-27,29,33,2
2016-07-28,19,35,2
2016-07-29,3,34,2
2016-07-30,2,1,1
2016-07-31,0,1,2
2016-08-01,0,12,2
2016-08-02,20,41,0
2016-08-03,41,19,1
2016-08-04,34,15,1
2016-08-05,16,21,0
2016-08-06,2,10,0
2016-08-07,0,4,0
2016-08-08,44,33,2
2016-08-09,59,25,0
2016-08-10,12,15,3
2016-08-11,7,45,0
2016-08-12,53,43,1
2016-08-13,0,8,1
2016-08-14,2,1,4
2016-08-15,28,22,2
2016-08-16,48,23,5
2016-08-17,65,20,5
2016-08-18,56,8,4
2016-08-19,35,19,0
2016-08-20,9,1,8
2016-08-21,4,0,4
2016-08-22,49,1,4
2016-08-23,92,17,0
2016-08-24,51,0,37
2016-08-25,55,14,9
2016-08-26,64,14,6
2016-08-27,6,2,3
2016-08-28,11,6,1
2016-08-29,86,21,7
2016-08-30,16,21,1
2016-08-31,75,5,1
2016-09-01,47,9,3
2016-09-02,19,4,0
2016-09-03,12,0,0
2016-09-04,4,0,1
2016-09-05,57,0,4
2016-09-06,40,4,2
2016-09-07,60,25,2
2016-09-08,43,11,0
2016-09-09,36,15,1
2016-09-10,13,2,5
2016-09-11,18,4,0
2016-09-12,53,13,0
2016-09-13,43,5,0
2016-09-14,42,7,4
2016-09-15,54,13,1
2016-09-16,33,8,1
2016-09-17,3,3,1
2016-09-18,4,0,0
2016-09-19,35,3,0
2016-09-20,56,16,0
2016-09-21,71,17,0
2016-09-22,58,26,1
2016-09-23,74,1,0
2016-09-24,3,4,0
2016-09-25,5,0,0
2016-09-26,70,3,0
2016-09-27,41,2,1
2016-09-28,75,1,2
2016-09-29,48,37,2
2016-09-30,12,3,0
2016-10-01,3,2,0
2016-10-02,1,0,0
2016-10-03,28,2,2
2016-10-04,41,3,0
2016-10-05,38,3,1
2016-10-06,35,12,0
2016-10-07,41,35,0
2016-10-08,22,5,0
2016-10-09,3,0,2
2016-10-10,23,29,0
2016-10-11,18,14,0
2016-10-12,14,18,0
2016-10-13,44,0,0
2016-10-14,55,33,0
2016-10-15,1,8,0
2016-10-16,7,4,1
2016-10-17,54,18,0
2016-10-18,58,4,1
2016-10-19,50,5,0
2016-10-20,76,2,0
2016-10-21,150,5,0
2016-10-22,9,1,0
2016-10-23,17,0,0
2016-10-24,91,2,0
2016-10-25,51,7,1
2016-10-26,61,8,3
2016-10-27,36,10,2
2016-10-28,43,8,2
2016-10-29,6,10,0
2016-10-30,5,7,2
2016-10-31,46,9,0
2016-11-01,60,15,5
2016-11-02,38,6,0
2016-11-03,63,7,0
2016-11-04,52,6,0
2016-11-05,5,2,0
2016-11-06,2,3,0
2016-11-07,53,6,0
2016-11-08,50,1,0
2016-11-09,54,1,0
2016-11-10,58,6,1
2016-11-11,60,17,1
2016-11-12,2,2,0
2016-11-13,0,1,0
2016-11-14,39,4,0
2016-11-15,44,10,0
2016-11-16,38,15,0
2016-11-17,45,7,1
2016-11-18,46,5,0
2016-11-19,4,2,0
2016-11-20,1,3,0
2016-11-21,45,15,0
2016-11-22,51,1,1
2016-11-23,63,9,1
2016-11-24,37,9,0
2016-11-25,37,0,0
2016-11-26,3,0,0
2016-11-27,8,10,3
2016-11-28,35,17,0
2016-11-29,72,6,1
2016-11-30,62,24,0
2016-12-01,54,13,0
2016-12-02,73,6,0
2016-12-03,21,0,0
2016-12-04,11,2,0
2016-12-05,94,8,0
