,rust-lang/rust,golang/go,swiftlang/swift
2010-08-17,3.0,9,0.0
2010-08-18,22.1,5,0.0
2010-08-19,-3.2150000000000007,9,0.0
2010-08-20,18.206500000000002,3,0.0
2010-08-21,-7.5089875,1,0.0
2010-08-22,-3.860898249999998,2,0.0
2010-08-23,-2.3280583374999995,4,0.0
2010-08-24,11.34571234125,7,0.0
2010-08-25,10.829221103453124,21,0.0
2010-08-26,4.811356954692187,19,0.0
2010-08-27,7.130233743582813,10,0.0
2010-08-28,-4.356691195525,0,0.0
2010-08-29,-4.427675057887499,3,0.0
2010-08-30,-2.4217086257328115,7,0.0
2010-08-31,3.2836436412500003,9,0.0
2010-09-01,-1.8256550479531257,9,0.0
2010-09-02,-1.8981919502765632,13,0.0
2010-09-03,2.854400367087499,7,0.0
2010-09-04,-1.902459314762501,5,2.0
2010-09-05,-0.8465616855562501,1,-1.0
2010-09-06,-0.42487480219843743,1,-0.25
2010-09-07,3.72128276875,14,-0.125
2010-09-08,13.582778142421875,8,-0.078125
2010-09-09,-1.0969172329296883,17,-0.0546875
2010-09-10,-0.10241250823281156,19,-0.041015625
2010-09-11,-2.4366568670624993,7,-0.0322265625
2010-09-12,-0.3286521529312496,16,-0.02618408203125
2010-09-13,-0.1780771999999997,10,-0.021820068359375
2010-09-14,3.9305894675,10,0.0
2010-09-15,1.8053498266874994,6,0.0
2010-09-16,13.737181413084375,14,0.0
2010-09-17,-5.911512636804688,3,0.0
2010-09-18,-2.273777415728124,2,2.0
2010-09-19,-1.344239625948437,3,-1.0
2010-09-20,0.08728069698437502,16,-0.25
2010-09-21,11.007106051251561,5,-0.125
2010-09-22,3.753710107939062,17,-0.078125
2010-09-23,-0.15424031322656262,12,-0.0546875
2010-09-24,4.89747637881875,29,-0.041015625
2010-09-25,-4.025004861725,2,-0.0322265625
2010-09-26,-1.7792238624999992,0,-0.02618408203125
2010-09-27,1.8272603762500004,12,-0.021820068359375
2010-09-28,3.2302080982343746,10,0.0
2010-09-29,-1.5016476544203128,14,0.0
2010-09-30,3.44440931208125,16,0.0
2010-10-01,-0.34681986292500033,5,0.0
