,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,bitcoin/bitcoin
2019-06-19,0.0,1,12
2019-06-20,0.0,1,13
2019-06-21,0.0,0,9
2019-06-22,0.0,0,1
2019-06-23,0.0,4,2
2019-06-24,0.0,0,4
2019-06-25,0.0,0,8
2019-06-26,0.0,0,10
2019-06-27,0.0,0,4
2019-06-28,0.0,0,3
2019-06-29,0.0,0,8
2019-06-30,0.0,0,3
2019-07-01,0.0,0,5
2019-07-02,0.0,0,15
2019-07-03,0.0,1,15
2019-07-04,0.0,0,4
2019-07-05,0.0,4,7
2019-07-06,0.0,0,2
2019-07-07,0.0,1,4
2019-07-08,0.0,0,28
2019-07-09,0.0,0,19
2019-07-10,0.0,1,10
2019-07-11,0.0,0,4
2019-07-12,0.0,0,9
2019-07-13,0.0,0,0
2019-07-14,0.0,0,0
2019-07-15,0.0,3,5
2019-07-16,0.0,0,8
2019-07-17,0.0,0,8
2019-07-18,0.0,0,12
2019-07-19,2.0,0,11
2019-07-20,-0.3999999999999999,3,0
2019-07-21,-0.16000000000000014,0,1
2019-07-22,-0.09600000000000007,0,7
2019-07-23,-0.06720000000000002,0,8
2019-07-24,-0.05107200000000003,0,25
2019-07-25,0.9591424,0,7
2019-07-26,0.76614656,4,6
2019-07-27,-0.3087754239999999,0,18
2019-07-28,-0.15293870080000005,0,4
2019-07-29,-0.08160000000000005,0,15
2019-07-30,6.940864,0,16
2019-07-31,-1.4459647999999996,0,15
2019-08-01,-0.5973555200000005,0,12
2019-08-02,-0.3673144320000002,0,11
2019-08-03,-0.2620570624,0,1
2019-08-04,-0.19122135040000007,0,1
2019-08-05,0.8569983999999999,0,6
2019-08-06,-0.31848704000000005,0,8
2019-08-07,-0.18071398399999966,0,3
2019-08-08,-0.1352854527999998,1,2
2019-08-09,1.9664,2,8
2019-08-10,-0.4255359999999999,0,1
2019-08-11,-0.18042880000000017,0,6
2019-08-12,-0.11292672000000008,0,5
2019-08-13,-0.08158771199999997,0,6
2019-08-14,-0.06354135039999999,0,31
2019-08-15,3.9591424,0,20
2019-08-16,4.1661465600000005,0,23
2019-08-17,-1.3487754239999998,0,1
2019-08-18,1.3830612991999995,0,4
2019-08-19,0.2255999999999998,0,20
2019-08-20,-0.6301440000000003,0,8
2019-08-21,-0.38539520000000027,0,6
2019-08-22,-0.2850508800000002,0,7
2019-08-23,-0.22685644799999985,0,12
2019-08-24,-0.18820956159999958,0,11
2019-08-25,-0.11662899199999986,0,5
2019-08-26,-0.04570214399999989,0,9
2019-08-27,-0.03932641279999987,1,9
