,grafana/grafana,netdata/netdata,cacti/cacti
2013-09-17,10,0.0,0
2013-09-18,0,0.0,0
2013-09-19,9,0.0,0
2013-09-20,13,0.0,0
2013-09-21,0,0.0,1
2013-09-22,0,0.0,0
2013-09-23,4,0.0,0
2013-09-24,0,0.0,0
2013-09-25,3,0.0,0
2013-09-26,2,0.0,0
2013-09-27,1,0.0,0
2013-09-28,0,0.0,0
2013-09-29,1,0.0,0
2013-09-30,7,0.0,0
2013-10-01,3,0.0,0
2013-10-02,0,0.0,0
2013-10-03,0,0.0,0
2013-10-04,0,0.0,0
2013-10-05,1,0.0,0
2013-10-06,0,0.0,0
2013-10-07,1,0.0,0
2013-10-08,1,0.0,0
2013-10-09,5,0.0,0
2013-10-10,2,0.0,0
2013-10-11,4,0.0,0
2013-10-12,3,0.0,0
2013-10-13,0,2.0,0
2013-10-14,3,-0.20000000000000018,0
2013-10-15,6,-0.09000000000000007,0
2013-10-16,3,-0.057000000000000044,0
2013-10-17,8,-0.04132499999999985,0
2013-10-18,1,-0.032233499999999894,0
2013-10-19,0,-0.02632402499999992,0
2013-10-20,0,-0.022187392499999934,0
2013-10-21,3,-0.01913662603124995,0
2013-10-22,3,10.983202294928125,0
2013-10-23,4,-1.100000000000001,0
2013-10-24,3,-0.4950000000000004,0
2013-10-25,7,-0.3135000000000002,0
2013-10-26,0,-0.22728749999999917,0
2013-10-27,0,-0.17728424999999942,0
2013-10-28,3,-0.14478213749999957,0
2013-10-29,2,-0.12203065874999963,0
2013-10-30,9,-0.10525144317187474,0
2013-10-31,1,-0.09238737789531226,0
2013-11-01,8,0.0,0
2013-11-02,0,0.0,0
2013-11-03,0,0.0,0
2013-11-04,2,0.0,0
2013-11-05,3,0.0,0
2013-11-06,3,0.0,0
2013-11-07,4,0.0,0
2013-11-08,1,0.0,0
2013-11-09,0,0.0,0
2013-11-10,0,0.0,0
2013-11-11,0,0.0,0
2013-11-12,1,0.0,0
2013-11-13,1,0.0,0
2013-11-14,2,0.0,0
2013-11-15,7,0.0,0
2013-11-16,0,0.0,0
2013-11-17,0,0.0,0
2013-11-18,0,0.0,0
2013-11-19,4,0.0,0
2013-11-20,0,0.0,0
2013-11-21,0,0.0,0
2013-11-22,0,0.0,0
2013-11-23,1,0.0,0
2013-11-24,0,0.0,0
2013-11-25,1,0.0,0
2013-11-26,2,0.0,0
2013-11-27,0,0.0,0
2013-11-28,0,0.0,0
2013-11-29,2,0.0,0
2013-11-30,0,0.0,0
2013-12-01,0,0.0,0
2013-12-02,6,0.0,0
2013-12-03,12,0.0,0
2013-12-04,7,0.0,0
2013-12-05,2,0.0,0
2013-12-06,6,0.0,0
2013-12-07,2,0.0,0
2013-12-08,4,0.0,0
2013-12-09,5,0.0,0
2013-12-10,5,0.0,0
2013-12-11,4,0.0,0
2013-12-12,5,0.0,0
2013-12-13,4,0.0,0
2013-12-14,0,0.0,0
2013-12-15,3,0.0,0
2013-12-16,3,0.0,0
2013-12-17,4,0.0,0
2013-12-18,0,0.0,0
2013-12-19,2,0.0,0
2013-12-20,6,0.0,0
2013-12-21,1,0.0,0
2013-12-22,4,0.0,0
2013-12-23,7,0.0,0
2013-12-24,11,0.0,0
2013-12-25,4,0.0,0
2013-12-26,10,0.0,0
2013-12-27,7,0.0,0
2013-12-28,5,0.0,0
2013-12-29,12,0.0,0
2013-12-30,6,0.0,0
2013-12-31,2,0.0,0
2014-01-01,5,0.0,0
2014-01-02,2,0.0,0
2014-01-03,10,0.0,0
2014-01-04,2,0.0,0
2014-01-05,1,0.0,0
2014-01-06,7,0.0,0
2014-01-07,3,0.0,0
2014-01-08,2,0.0,0
2014-01-09,0,0.0,0
2014-01-10,1,0.0,0
2014-01-11,1,0.0,0
2014-01-12,5,0.0,0
2014-01-13,1,0.0,0
2014-01-14,3,0.0,0
2014-01-15,1,0.0,0
2014-01-16,0,0.0,0
2014-01-17,0,0.0,0
2014-01-18,0,0.0,0
2014-01-19,5,0.0,0
2014-01-20,16,0.0,0
2014-01-21,6,0.0,0
2014-01-22,4,0.0,0
2014-01-23,11,0.0,0
2014-01-24,6,0.0,0
2014-01-25,1,0.0,0
2014-01-26,0,0.0,0
2014-01-27,4,0.0,0
2014-01-28,1,0.0,0
2014-01-29,2,0.0,0
2014-01-30,0,0.0,0
2014-01-31,1,0.0,0
2014-02-01,16,0.0,0
2014-02-02,1,0.0,0
2014-02-03,0,0.0,0
2014-02-04,0,0.0,0
2014-02-05,18,0.0,0
2014-02-06,5,0.0,0
2014-02-07,7,0.0,0
2014-02-08,8,0.0,0
2014-02-09,7,0.0,0
2014-02-10,4,0.0,0
2014-02-11,6,0.0,0
2014-02-12,9,0.0,0
2014-02-13,6,0.0,0
2014-02-14,3,0.0,0
2014-02-15,7,0.0,0
2014-02-16,0,0.0,0
2014-02-17,1,0.0,0
2014-02-18,4,0.0,0
2014-02-19,3,0.0,0
2014-02-20,3,0.0,0
2014-02-21,5,0.0,0
2014-02-22,0,0.0,0
2014-02-23,2,0.0,0
2014-02-24,3,0.0,0
2014-02-25,5,0.0,0
2014-02-26,9,0.0,0
2014-02-27,5,0.0,0
2014-02-28,4,0.0,0
2014-03-01,2,0.0,0
2014-03-02,4,0.0,0
2014-03-03,2,0.0,0
2014-03-04,5,0.0,0
2014-03-05,5,0.0,0
2014-03-06,2,0.0,0
2014-03-07,6,0.0,0
2014-03-08,2,0.0,0
2014-03-09,2,0.0,0
2014-03-10,4,0.0,0
2014-03-11,3,0.0,0
2014-03-12,2,0.0,0
2014-03-13,0,0.0,0
2014-03-14,0,0.0,0
2014-03-15,0,0.0,0
2014-03-16,1,0.0,0
2014-03-17,3,0.0,0
2014-03-18,6,0.0,0
2014-03-19,5,0.0,0
2014-03-20,0,0.0,0
2014-03-21,0,0.0,0
2014-03-22,0,2.0,0
2014-03-23,6,10.8,0
2014-03-24,5,-0.19000000000000106,0
2014-03-25,0,9.347999999999999,0
2014-03-26,13,1.600174999999999,0
2014-03-27,6,3.9619790000000004,0
2014-03-28,3,1.8557292250000001,0
2014-03-29,2,10.999788720000002,0
2014-03-30,3,3.1450157027187498,7
2014-03-31,4,0.45807428050625054,0
2014-04-01,4,0.8380500590890629,0
2014-04-02,4,4.068026616057814,0
2014-04-03,4,2.848638516843751,0
2014-04-04,2,-0.06817211143593704,0
2014-04-05,8,0.23430788077343812,0
2014-04-06,6,5.383645179954688,0
2014-04-07,3,2.966127036990626,0
2014-04-08,3,-0.9327578437109374,0
2014-04-09,2,2.468169887646875,0
2014-04-10,5,0.32373218235000045,0
2014-04-11,3,0.48112627650781314,0
2014-04-12,0,8.571803505590625,0
2014-04-13,2,7.827335106948437,0
2014-04-14,2,0.48730373437031194,0
2014-04-15,2,-0.026431654778125147,0
2014-04-16,3,2.2713822386062508,0
2014-04-17,4,6.2140261022031265,0
2014-04-18,1,0.785807570626563,0
2014-04-19,0,-0.889664544301562,0
2014-04-20,2,-0.5882852109265618,0
2014-04-21,7,1.5529583550359387,0
2014-04-22,3,1.5005517173953131,0
2014-04-23,2,1.5259853056625003,0
2014-04-24,1,5.511916309667187,0
2014-04-25,3,1.0973128587828123,0
2014-04-26,0,5.321512906217188,0
2014-04-27,3,13.022319769928124,0
2014-04-28,3,2.0682800824999994,0
2014-04-29,0,3.5933264564687497,0
2014-04-30,7,-0.3723022986031248,0
2014-05-01,2,12.046203966396876,0
2014-05-02,0,13.028848449334376,0
2014-05-03,2,6.398360406253125,0
2014-05-04,0,4.6710863693343745,0
2014-05-05,1,0.8882364050656255,0
2014-05-06,4,0.38455706868437667,0
2014-05-07,0,3.774149416028127,0
2014-05-08,0,0.6416009355546892,0
2014-05-09,5,4.925544772010939,0
2014-05-10,0,6.633137618048439,0
2014-05-11,0,2.4082144835703128,0
2014-05-12,0,-0.25508172768281234,0
2014-05-13,2,1.160297138201563,0
2014-05-14,0,-0.7471261898890615,0
2014-05-15,3,-0.49588273764999885,0
2014-05-16,0,4.624881333789063,0
2014-05-17,0,-0.7730469531656246,0
2014-05-18,0,1.5582900831593753,0
2014-05-19,5,3.5146182064000002,0
2014-05-20,16,9.341336384340625,0
2014-05-21,0,0.6548807714328118,0
2014-05-22,3,3.112067232428125,0
2014-05-23,6,1.05464801875,0
2014-05-24,0,2.217742409921876,0
2014-05-25,4,0.1766777948203131,0
2014-05-26,1,-0.6020150360312493,0
2014-05-27,6,-0.4286239446343742,0
2014-05-28,0,-0.3268349827999991,0
2014-05-29,0,-0.2428367113906243,0
2014-05-30,5,3.8671388628656254,0
2014-05-31,7,0.5008248625749999,0
2014-06-01,1,6.66340365963125,0
2014-06-02,5,1.1062351293765618,0
2014-06-03,6,-0.6345488525359376,0
2014-06-04,1,-0.37462949999999995,0
2014-06-05,0,-0.2704022999999993,0
2014-06-06,14,0.7883209525000007,0
2014-06-07,7,-0.27373453581249957,0
2014-06-08,6,-0.19214362190937462,0
2014-06-09,2,-0.12606443614531226,0
2014-06-10,1,-0.09859109378281222,0
2014-06-11,4,-0.032914455071874904,0
2014-06-12,4,-0.01316201249999996,0
2014-06-13,2,-0.011093696249999967,0
2014-06-14,7,0.990431686984375,0
2014-06-15,0,2.8916011474640624,2
2014-06-16,3,-0.3450000000000003,0
2014-06-17,2,-0.16350000000000012,0
2014-06-18,1,-0.10616249999999999,0
2014-06-19,1,-0.07810424999999972,0
