,python/cpython,ruby/ruby,php/php-src
2020-02-05,17,3,7
2020-02-06,9,20,15
2020-02-07,17,10,17
2020-02-08,2,5,8
2020-02-09,1,23,1
2020-02-10,13,8,15
2020-02-11,7,13,17
2020-02-12,14,23,5
2020-02-13,8,21,11
2020-02-14,5,8,5
2020-02-15,0,11,1
2020-02-16,2,13,5
2020-02-17,8,9,42
2020-02-18,7,4,17
2020-02-19,3,9,4
2020-02-20,4,14,5
2020-02-21,9,14,13
2020-02-22,2,12,1
2020-02-23,3,6,8
2020-02-24,7,4,14
2020-02-25,4,11,14
2020-02-26,8,23,7
2020-02-27,3,7,18
2020-02-28,6,13,38
2020-02-29,9,13,0
2020-03-01,6,1,0
2020-03-02,14,23,19
2020-03-03,10,9,15
2020-03-04,9,19,8
2020-03-05,4,8,5
2020-03-06,14,10,17
2020-03-07,8,9,1
2020-03-08,8,6,0
2020-03-09,21,9,13
2020-03-10,9,16,7
2020-03-11,18,8,8
2020-03-12,9,8,18
2020-03-13,10,6,8
2020-03-14,11,3,0
2020-03-15,6,13,3
2020-03-16,8,7,20
2020-03-17,14,7,38
2020-03-18,11,1,20
2020-03-19,8,6,7
2020-03-20,8,0,20
2020-03-21,2,8,1
2020-03-22,4,15,0
2020-03-23,10,6,29
2020-03-24,11,13,4
2020-03-25,11,5,15
2020-03-26,10,19,11
2020-03-27,7,7,3
2020-03-28,2,16,0
2020-03-29,2,3,6
2020-03-30,8,15,27
2020-03-31,15,5,28
2020-04-01,11,11,17
2020-04-02,12,15,22
2020-04-03,8,11,19
2020-04-04,7,7,8
2020-04-05,2,11,3
2020-04-06,4,11,7
2020-04-07,11,8,16
2020-04-08,8,21,16
2020-04-09,3,9,23
2020-04-10,6,25,10
2020-04-11,5,9,6
2020-04-12,7,9,4
2020-04-13,11,9,3
2020-04-14,20,9,54
2020-04-15,15,12,20
2020-04-16,5,14,14
2020-04-17,15,12,7
2020-04-18,8,18,6
2020-04-19,6,6,4
2020-04-20,6,10,23
2020-04-21,5,18,11
2020-04-22,13,10,18
2020-04-23,15,11,14
2020-04-24,8,13,19
2020-04-25,6,7,2
2020-04-26,3,12,5
2020-04-27,15,4,30
2020-04-28,13,11,23
2020-04-29,28,11,23
2020-04-30,11,6,9
2020-05-01,22,24,9
2020-05-02,8,13,7
2020-05-03,6,15,1
2020-05-04,15,8,24
2020-05-05,21,8,7
2020-05-06,12,13,21
2020-05-07,10,54,25
2020-05-08,7,73,6
2020-05-09,2,13,2
2020-05-10,8,16,0
2020-05-11,7,16,26
2020-05-12,13,31,35
2020-05-13,14,15,26
2020-05-14,12,15,19
2020-05-15,18,8,19
2020-05-16,17,3,12
2020-05-17,11,9,10
2020-05-18,30,13,15
2020-05-19,17,4,15
2020-05-20,6,8,50
2020-05-21,11,8,2
2020-05-22,10,19,19
2020-05-23,6,22,0
2020-05-24,9,10,1
2020-05-25,15,11,13
2020-05-26,15,16,30
2020-05-27,17,15,20
2020-05-28,17,8,22
