,opencv/opencv,davisking/dlib,scikit-image/scikit-image
2010-06-11,13,3,0
2010-06-12,12,1,0
2010-06-13,3,9,0
2010-06-14,5,5,0
2010-06-15,1,0,0
2010-06-16,4,0,0
2010-06-17,3,0,0
2010-06-18,1,0,0
2010-06-19,5,0,0
2010-06-20,3,0,0
2010-06-21,1,1,0
2010-06-22,1,0,0
2010-06-23,5,0,0
2010-06-24,10,0,0
2010-06-25,2,0,1
2010-06-26,2,0,0
2010-06-27,0,4,0
2010-06-28,4,0,0
2010-06-29,7,0,0
2010-06-30,2,0,0
2010-07-01,2,2,0
2010-07-02,2,6,3
2010-07-03,2,0,5
2010-07-04,1,0,0
2010-07-05,2,2,0
2010-07-06,1,4,0
2010-07-07,4,14,0
2010-07-08,4,6,0
2010-07-09,7,0,0
2010-07-10,2,0,0
2010-07-11,1,0,0
2010-07-12,8,0,0
2010-07-13,7,0,0
2010-07-14,3,1,0
2010-07-15,6,0,0
2010-07-16,19,0,0
2010-07-17,6,9,0
2010-07-18,0,4,0
2010-07-19,6,0,0
2010-07-20,6,0,0
2010-07-21,4,0,0
2010-07-22,11,0,0
2010-07-23,8,6,0
2010-07-24,0,19,0
2010-07-25,0,5,0
2010-07-26,11,1,0
2010-07-27,17,0,0
2010-07-28,13,5,0
2010-07-29,13,2,0
2010-07-30,6,0,0
2010-07-31,4,0,0
2010-08-01,1,0,0
2010-08-02,8,0,0
2010-08-03,2,0,0
2010-08-04,1,0,0
2010-08-05,4,0,0
2010-08-06,4,0,0
2010-08-07,0,0,0
2010-08-08,0,0,0
2010-08-09,3,0,0
2010-08-10,5,0,0
2010-08-11,1,0,0
2010-08-12,8,0,0
2010-08-13,8,0,0
2010-08-14,1,5,0
2010-08-15,1,2,0
2010-08-16,10,0,0
2010-08-17,4,0,0
2010-08-18,10,0,0
2010-08-19,4,0,0
2010-08-20,2,0,0
2010-08-21,1,0,0
2010-08-22,0,0,0
2010-08-23,1,0,4
2010-08-24,5,0,0
2010-08-25,5,0,0
2010-08-26,2,1,0
2010-08-27,0,1,0
2010-08-28,0,1,0
2010-08-29,0,1,0
2010-08-30,7,0,0
2010-08-31,5,0,0
2010-09-01,0,0,0
2010-09-02,1,0,0
2010-09-03,1,0,0
2010-09-04,0,0,0
2010-09-05,0,0,0
2010-09-06,2,0,0
2010-09-07,1,0,0
2010-09-08,2,0,0
2010-09-09,1,0,0
2010-09-10,4,1,0
2010-09-11,0,8,0
2010-09-12,1,9,0
2010-09-13,2,6,0
2010-09-14,7,4,0
2010-09-15,6,2,0
2010-09-16,2,2,0
2010-09-17,6,0,0
2010-09-18,0,0,0
2010-09-19,2,1,0
2010-09-20,7,0,0
2010-09-21,5,0,0
2010-09-22,12,0,1
2010-09-23,5,0,0
2010-09-24,7,0,0
2010-09-25,2,5,0
2010-09-26,1,2,0
2010-09-27,6,0,0
2010-09-28,5,0,1
2010-09-29,1,0,0
2010-09-30,5,0,0
2010-10-01,4,0,0
2010-10-02,0,0,0
2010-10-03,1,0,0
2010-10-04,5,0,0
2010-10-05,0,0,0
2010-10-06,2,0,0
2010-10-07,0,0,0
2010-10-08,2,0,0
2010-10-09,3,0,0
2010-10-10,0,0,0
2010-10-11,5,0,0
2010-10-12,14,0,2
2010-10-13,9,0,0
2010-10-14,0,0,0
2010-10-15,1,0,0
2010-10-16,3,0,0
2010-10-17,1,0,0
2010-10-18,10,0,0
2010-10-19,8,0,0
2010-10-20,11,0,0
2010-10-21,18,0,0
2010-10-22,5,0,1
2010-10-23,5,0,0
2010-10-24,2,0,0
2010-10-25,10,0,0
2010-10-26,6,0,0
2010-10-27,2,0,0
2010-10-28,0,1,0
2010-10-29,6,0,0
2010-10-30,2,0,0
2010-10-31,2,7,0
2010-11-01,7,0,0
2010-11-02,3,0,0
2010-11-03,3,0,0
2010-11-04,3,3,0
2010-11-05,1,0,3
2010-11-06,5,1,5
2010-11-07,6,2,0
2010-11-08,4,0,0
2010-11-09,4,1,1
2010-11-10,9,9,0
2010-11-11,7,0,0
2010-11-12,10,11,1
2010-11-13,5,9,0
2010-11-14,2,0,0
2010-11-15,16,0,0
2010-11-16,9,0,0
2010-11-17,5,1,0
2010-11-18,5,5,0
2010-11-19,5,2,0
2010-11-20,11,1,0
2010-11-21,3,2,0
2010-11-22,15,0,0
2010-11-23,14,0,1
2010-11-24,22,0,1
2010-11-25,23,0,0
2010-11-26,17,4,0
2010-11-27,12,0,0
2010-11-28,9,3,2
2010-11-29,40,0,0
2010-11-30,18,0,0
2010-12-01,19,6,0
2010-12-02,12,8,17
2010-12-03,26,2,0
2010-12-04,66,9,0
2010-12-05,4,11,0
2010-12-06,11,0,0
2010-12-07,7,0,0
2010-12-08,7,0,0
2010-12-09,6,0,0
2010-12-10,7,0,2
2010-12-11,6,1,0
2010-12-12,2,2,0
2010-12-13,11,8,0
2010-12-14,6,5,0
2010-12-15,8,3,0
2010-12-16,2,0,0
2010-12-17,5,0,0
2010-12-18,0,1,0
2010-12-19,1,0,0
2010-12-20,8,0,0
2010-12-21,16,13,0
2010-12-22,7,18,0
2010-12-23,14,12,0
2010-12-24,5,3,0
2010-12-25,0,0,0
2010-12-26,1,13,0
2010-12-27,7,1,0
2010-12-28,6,4,0
2010-12-29,4,1,0
2010-12-30,1,6,0
2010-12-31,2,28,0
2011-01-01,0,3,0
2011-01-02,0,6,0
2011-01-03,1,4,0
2011-01-04,0,1,0
2011-01-05,2,0,0
2011-01-06,1,0,0
2011-01-07,1,0,3
2011-01-08,1,0,0
2011-01-09,0,0,0
2011-01-10,1,0,0
2011-01-11,5,0,0
2011-01-12,11,0,0
2011-01-13,10,6,0
2011-01-14,5,0,0
2011-01-15,0,0,0
2011-01-16,0,0,0
2011-01-17,11,0,0
2011-01-18,6,1,0
2011-01-19,11,0,0
2011-01-20,7,0,0
2011-01-21,14,0,0
2011-01-22,0,9,0
2011-01-23,0,0,0
2011-01-24,7,0,0
2011-01-25,10,0,0
2011-01-26,9,0,0
2011-01-27,9,0,0
2011-01-28,8,0,2
2011-01-29,0,0,0
2011-01-30,1,0,0
2011-01-31,18,0,0
2011-02-01,9,0,0
2011-02-02,9,0,0
2011-02-03,5,2,0
2011-02-04,7,3,0
2011-02-05,0,4,0
2011-02-06,0,5,0
2011-02-07,9,4,0
2011-02-08,1,4,0
2011-02-09,12,2,0
2011-02-10,4,1,0
2011-02-11,3,4,1
2011-02-12,0,0,0
2011-02-13,2,1,0
2011-02-14,9,4,0
2011-02-15,8,1,0
2011-02-16,6,0,0
2011-02-17,10,0,0
2011-02-18,12,0,0
2011-02-19,0,0,0
2011-02-20,1,0,0
2011-02-21,4,0,0
2011-02-22,5,1,0
2011-02-23,2,0,0
2011-02-24,2,0,0
2011-02-25,1,0,0
2011-02-26,1,0,0
2011-02-27,3,0,0
2011-02-28,5,0,0
2011-03-01,3,0,0
2011-03-02,2,2,0
2011-03-03,2,3,0
2011-03-04,0,0,0
2011-03-05,5,0,0
2011-03-06,1,0,0
2011-03-07,2,0,0
2011-03-08,1,0,1
2011-03-09,1,0,0
2011-03-10,1,1,0
2011-03-11,1,0,0
2011-03-12,0,0,0
2011-03-13,2,4,12
2011-03-14,3,0,7
2011-03-15,2,4,0
2011-03-16,2,2,0
2011-03-17,2,0,0
2011-03-18,0,5,0
2011-03-19,0,0,0
2011-03-20,0,4,0
2011-03-21,0,0,0
2011-03-22,3,3,0
2011-03-23,1,10,0
2011-03-24,2,13,0
2011-03-25,2,0,0
2011-03-26,0,0,1
2011-03-27,0,0,0
2011-03-28,5,0,0
2011-03-29,1,0,0
2011-03-30,3,0,1
2011-03-31,4,0,0
2011-04-01,5,0,1
2011-04-02,3,0,1
2011-04-03,2,0,0
2011-04-04,4,0,0
2011-04-05,1,0,4
2011-04-06,3,0,0
2011-04-07,3,2,3
2011-04-08,3,1,2
2011-04-09,0,1,0
2011-04-10,3,0,0
2011-04-11,2,0,3
2011-04-12,0,0,0
2011-04-13,1,0,0
2011-04-14,1,0,0
2011-04-15,6,0,0
2011-04-16,0,0,0
2011-04-17,3,1,1
2011-04-18,8,14,1
2011-04-19,5,0,4
2011-04-20,4,0,0
2011-04-21,8,0,0
2011-04-22,7,3,0
2011-04-23,4,2,0
2011-04-24,3,0,0
2011-04-25,9,0,0
2011-04-26,14,0,0
2011-04-27,5,0,0
2011-04-28,2,0,0
2011-04-29,14,9,0
2011-04-30,15,0,0
2011-05-01,3,2,0
2011-05-02,7,0,0
2011-05-03,8,1,0
2011-05-04,8,8,0
