,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2015-05-20,5,0,1
2015-05-21,10,0,9
2015-05-22,0,0,15
2015-05-23,8,0,5
2015-05-24,0,0,2
2015-05-25,0,0,7
2015-05-26,0,0,6
2015-05-27,0,0,10
2015-05-28,0,0,11
2015-05-29,0,0,5
2015-05-30,0,0,0
2015-05-31,1,0,0
2015-06-01,7,0,1
2015-06-02,1,0,13
2015-06-03,17,2,3
2015-06-04,12,0,21
2015-06-05,6,0,11
2015-06-06,8,0,1
2015-06-07,7,0,7
2015-06-08,12,0,3
2015-06-09,11,0,9
2015-06-10,14,0,0
2015-06-11,9,0,4
2015-06-12,13,0,0
2015-06-13,40,0,0
2015-06-14,5,0,0
2015-06-15,13,0,4
2015-06-16,1,0,7
2015-06-17,10,0,7
2015-06-18,16,0,10
2015-06-19,5,0,8
2015-06-20,1,0,0
2015-06-21,2,0,0
2015-06-22,0,0,0
2015-06-23,10,7,6
2015-06-24,6,2,4
2015-06-25,4,13,6
2015-06-26,11,0,4
2015-06-27,4,0,0
2015-06-28,3,0,0
2015-06-29,7,4,2
2015-06-30,12,6,2
2015-07-01,3,11,4
2015-07-02,8,0,9
2015-07-03,14,0,1
2015-07-04,7,0,1
2015-07-05,16,0,0
2015-07-06,11,4,6
2015-07-07,1,1,8
2015-07-08,1,5,5
2015-07-09,9,0,2
2015-07-10,4,2,3
2015-07-11,8,0,1
2015-07-12,0,0,0
2015-07-13,6,2,2
2015-07-14,7,4,14
2015-07-15,3,1,6
2015-07-16,3,1,4
2015-07-17,0,0,7
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,10,0,2
2015-07-21,3,0,1
2015-07-22,12,2,2
2015-07-23,1,1,4
2015-07-24,14,1,1
2015-07-25,1,0,0
2015-07-26,10,0,0
2015-07-27,5,1,4
2015-07-28,8,0,15
2015-07-29,9,0,12
2015-07-30,10,0,8
2015-07-31,6,0,9
2015-08-01,10,0,3
2015-08-02,2,0,0
2015-08-03,10,4,5
2015-08-04,10,2,1
2015-08-05,7,1,1
2015-08-06,16,3,6
2015-08-07,25,2,0
2015-08-08,5,0,0
2015-08-09,0,0,0
2015-08-10,9,0,1
2015-08-11,9,1,6
2015-08-12,0,0,0
2015-08-13,10,0,0
2015-08-14,7,0,0
2015-08-15,7,0,0
2015-08-16,2,0,0
2015-08-17,5,2,4
2015-08-18,2,0,1
2015-08-19,0,0,0
2015-08-20,14,1,0
2015-08-21,35,0,0
2015-08-22,2,0,4
2015-08-23,4,0,1
2015-08-24,11,1,1
2015-08-25,8,2,0
2015-08-26,0,2,1
2015-08-27,7,0,3
2015-08-28,15,0,6
2015-08-29,0,0,1
2015-08-30,0,0,3
2015-08-31,0,0,10
2015-09-01,0,3,3
2015-09-02,0,2,1
2015-09-03,0,2,2
2015-09-04,0,2,7
2015-09-05,0,0,1
2015-09-06,0,0,2
2015-09-07,0,0,2
2015-09-08,6,0,6
2015-09-09,5,0,6
2015-09-10,6,1,1
2015-09-11,11,1,1
2015-09-12,11,0,0
2015-09-13,4,0,1
2015-09-14,15,0,4
2015-09-15,5,0,21
2015-09-16,12,2,5
2015-09-17,3,0,16
2015-09-18,0,0,9
2015-09-19,3,0,4
2015-09-20,11,0,2
2015-09-21,6,0,8
2015-09-22,0,4,6
2015-09-23,4,4,0
2015-09-24,0,2,4
2015-09-25,4,0,0
2015-09-26,7,0,0
2015-09-27,14,0,5
2015-09-28,0,2,2
2015-09-29,0,2,3
2015-09-30,0,2,6
2015-10-01,7,2,7
2015-10-02,19,1,9
2015-10-03,8,0,3
2015-10-04,12,0,0
2015-10-05,11,6,15
2015-10-06,2,6,5
2015-10-07,4,0,22
2015-10-08,4,1,13
2015-10-09,4,1,6
2015-10-10,1,0,3
2015-10-11,3,0,4
2015-10-12,3,2,6
2015-10-13,0,4,16
2015-10-14,0,2,6
2015-10-15,1,2,7
2015-10-16,0,1,4
2015-10-17,0,0,0
2015-10-18,0,0,14
2015-10-19,1,1,4
2015-10-20,0,0,1
2015-10-21,8,2,1
2015-10-22,1,0,1
2015-10-23,3,2,1
2015-10-24,9,0,0
2015-10-25,1,0,0
2015-10-26,19,0,0
2015-10-27,0,1,0
2015-10-28,0,1,2
2015-10-29,12,4,1
2015-10-30,3,5,2
2015-10-31,0,0,0
2015-11-01,9,0,0
2015-11-02,7,0,7
2015-11-03,0,7,9
2015-11-04,4,0,5
2015-11-05,2,0,2
2015-11-06,0,1,2
2015-11-07,3,0,0
2015-11-08,0,0,0
2015-11-09,2,13,1
2015-11-10,10,6,0
2015-11-11,2,3,1
2015-11-12,0,4,1
2015-11-13,0,3,0
2015-11-14,0,0,2
2015-11-15,0,0,0
2015-11-16,0,0,1
2015-11-17,1,2,3
2015-11-18,1,0,24
2015-11-19,4,0,1
2015-11-20,2,2,0
2015-11-21,2,0,1
2015-11-22,0,0,0
2015-11-23,6,4,1
2015-11-24,0,0,4
2015-11-25,0,1,4
2015-11-26,0,3,0
2015-11-27,0,12,0
2015-11-28,4,0,3
2015-11-29,4,0,14
2015-11-30,13,2,1
2015-12-01,5,4,3
2015-12-02,5,2,0
