,netdata/netdata,cacti/cacti,grafana/grafana
2017-07-17,3,0,1
2017-07-18,5,0,4
2017-07-19,6,0,3
2017-07-20,6,5,2
2017-07-21,9,5,3
2017-07-22,5,8,0
2017-07-23,4,3,0
2017-07-24,16,10,13
2017-07-25,12,2,1
2017-07-26,1,4,1
2017-07-27,4,7,2
2017-07-28,8,0,1
2017-07-29,3,9,1
2017-07-30,6,4,0
2017-07-31,5,0,25
2017-08-01,7,0,16
2017-08-02,3,0,14
2017-08-03,0,0,9
2017-08-04,0,0,10
2017-08-05,0,10,1
2017-08-06,0,9,0
2017-08-07,9,1,26
2017-08-08,0,2,26
2017-08-09,5,3,17
2017-08-10,4,6,16
2017-08-11,5,6,6
2017-08-12,0,2,0
2017-08-13,1,5,0
2017-08-14,5,1,10
2017-08-15,3,6,15
2017-08-16,3,0,5
2017-08-17,3,2,9
2017-08-18,0,6,11
2017-08-19,4,15,3
2017-08-20,0,5,2
2017-08-21,6,1,10
2017-08-22,4,3,1
2017-08-23,1,0,7
2017-08-24,0,0,14
2017-08-25,5,0,4
2017-08-26,1,7,5
2017-08-27,5,6,0
2017-08-28,4,21,13
2017-08-29,2,4,8
2017-08-30,3,2,2
2017-08-31,3,0,5
2017-09-01,0,5,6
2017-09-02,7,4,1
2017-09-03,4,9,0
2017-09-04,6,6,14
2017-09-05,11,6,8
2017-09-06,6,3,4
2017-09-07,8,1,18
2017-09-08,0,3,10
2017-09-09,15,11,0
2017-09-10,10,5,0
2017-09-11,1,9,5
2017-09-12,0,2,18
2017-09-13,3,1,17
2017-09-14,2,0,27
2017-09-15,5,3,23
2017-09-16,5,5,0
2017-09-17,18,4,0
2017-09-18,1,10,40
2017-09-19,3,5,8
2017-09-20,1,0,4
2017-09-21,3,5,30
2017-09-22,1,1,16
2017-09-23,11,6,0
2017-09-24,2,0,9
2017-09-25,5,0,1
2017-09-26,13,0,7
2017-09-27,1,2,11
2017-09-28,0,0,15
2017-09-29,3,1,54
2017-09-30,6,3,0
2017-10-01,7,0,4
2017-10-02,3,1,20
2017-10-03,12,0,11
2017-10-04,5,0,14
2017-10-05,8,1,42
2017-10-06,4,0,6
2017-10-07,3,7,3
2017-10-08,6,0,2
2017-10-09,8,0,11
2017-10-10,3,1,17
2017-10-11,3,10,31
2017-10-12,4,5,41
2017-10-13,3,0,16
2017-10-14,13,2,3
2017-10-15,27,4,2
2017-10-16,3,5,18
2017-10-17,5,0,24
2017-10-18,4,3,18
2017-10-19,11,0,6
2017-10-20,72,0,7
2017-10-21,7,0,0
2017-10-22,4,2,14
2017-10-23,7,3,19
2017-10-24,7,0,32
2017-10-25,3,0,12
2017-10-26,20,0,22
2017-10-27,4,5,6
2017-10-28,8,2,5
2017-10-29,2,5,5
2017-10-30,2,0,8
2017-10-31,7,0,30
2017-11-01,2,0,21
2017-11-02,18,0,8
2017-11-03,19,0,8
2017-11-04,11,9,1
2017-11-05,16,4,0
