,angular/angular,jquery/jquery,facebook/react
2022-09-18,0.0,0,0
2022-09-19,16.0,2,2
2022-09-20,0.3999999999999986,0,0
2022-09-21,4.079999999999999,0,1
2022-09-22,-1.046000000000001,0,2
2022-09-23,6.387400000000001,0,5
2022-09-24,-1.1416929999999996,0,1
2022-09-25,-0.6611381999999991,0,0
2022-09-26,1.5160930850000007,0,0
2022-09-27,6.414272036750001,0,3
2022-09-28,0.8881960021437503,0,2
2022-09-29,15.27122664235,0,7
2022-09-30,2.9495248635703115,0,8
2022-10-01,-1.520849191109375,0,2
2022-10-02,-0.9202582427515623,0,0
2022-10-03,3.380345020000002,4,8
2022-10-04,11.11570297521875,0,21
2022-10-05,5.22286076131875,0,9
2022-10-06,24.32476220371719,0,4
2022-10-07,6.434990805428123,0,1
2022-10-08,-2.864140205653125,0,0
2022-10-09,-1.6236808126796871,0,0
2022-10-10,12.862638815000002,1,1
2022-10-11,14.7108078054375,1,4
2022-10-12,5.940549134918751,0,2
2022-10-13,2.348179350959375,0,7
2022-10-14,-2.0972800686578115,0,11
2022-10-15,-1.3724502960906224,0,4
2022-10-16,-0.8707039503593728,0,1
2022-10-17,10.372570790000003,1,12
2022-10-18,-1.6215910809687495,0,12
2022-10-19,14.059101414481251,0,6
2022-10-20,-1.0978637915015632,0,0
2022-10-21,1.874281262098438,0,7
2022-10-22,-0.9917785126796874,0,6
2022-10-23,-0.6182196374999985,0,8
2022-10-24,4.530055591250001,1,9
2022-10-25,5.1192141193281255,0,3
2022-10-26,5.8546949158546875,0,0
2022-10-27,0.6933955710156245,0,19
2022-10-28,3.041855310195313,0,2
2022-10-29,-0.9311625415828123,0,3
2022-10-30,-0.5693446201078116,0,1
2022-10-31,-0.40258280624999915,0,1
2022-11-01,4.678578669921876,0,5
2022-11-02,0.23214896047656286,0,2
2022-11-03,1.4827932511750004,0,5
2022-11-04,20.490196621217187,0,9
2022-11-05,-2.3768834571343764,0,0
2022-11-06,-1.1368416601437503,0,0
2022-11-07,4.2782481875,0,7
2022-11-08,4.965223506250002,0,6
2022-11-09,4.751288963671875,0,5
2022-11-10,-0.3626522306953124,0,7
2022-11-11,2.0951844001828133,0,4
2022-11-12,-0.9382910283999991,0,0
2022-11-13,-0.6263614657546862,0,2
2022-11-14,4.662696443750001,1,2
2022-11-15,0.2285199324218754,0,6
2022-11-16,2.447521419226563,0,6
