,elastic/elasticsearch,apache/solr,blevesearch/bleve
2018-05-17,24,6,6
2018-05-18,20,14,0
2018-05-19,3,0,0
2018-05-20,2,1,1
2018-05-21,12,10,3
2018-05-22,32,5,0
2018-05-23,28,8,0
2018-05-24,20,2,0
2018-05-25,17,12,2
2018-05-26,3,0,0
2018-05-27,1,1,0
2018-05-28,7,12,0
2018-05-29,17,6,0
2018-05-30,34,14,3
2018-05-31,24,4,0
2018-06-01,25,3,0
2018-06-02,5,3,0
2018-06-03,1,1,0
2018-06-04,38,7,0
2018-06-05,30,15,0
2018-06-06,28,10,0
2018-06-07,28,12,0
2018-06-08,17,11,0
2018-06-09,6,4,0
2018-06-10,2,1,0
2018-06-11,18,15,1
2018-06-12,30,6,0
2018-06-13,37,13,0
2018-06-14,22,9,0
2018-06-15,36,7,0
2018-06-16,2,0,0
2018-06-17,2,1,0
2018-06-18,18,7,0
2018-06-19,20,5,0
2018-06-20,21,5,0
2018-06-21,20,8,0
2018-06-22,19,3,0
2018-06-23,5,0,0
2018-06-24,3,0,0
2018-06-25,18,5,0
2018-06-26,16,6,2
2018-06-27,14,8,3
2018-06-28,27,6,0
2018-06-29,22,5,0
2018-06-30,1,2,0
2018-07-01,3,0,0
2018-07-02,10,2,0
2018-07-03,20,4,0
2018-07-04,11,8,0
2018-07-05,20,11,0
2018-07-06,18,2,0
2018-07-07,2,1,0
2018-07-08,3,1,0
2018-07-09,14,4,0
2018-07-10,16,6,0
2018-07-11,21,1,0
2018-07-12,23,5,2
2018-07-13,30,2,1
2018-07-14,3,6,0
2018-07-15,0,3,0
2018-07-16,28,10,4
2018-07-17,25,7,1
2018-07-18,23,10,1
2018-07-19,15,2,3
2018-07-20,30,7,0
2018-07-21,4,2,0
2018-07-22,2,2,0
2018-07-23,21,6,0
2018-07-24,23,8,0
2018-07-25,26,6,1
2018-07-26,24,2,1
2018-07-27,15,9,0
2018-07-28,5,0,1
2018-07-29,0,2,1
2018-07-30,19,6,3
2018-07-31,28,13,1
2018-08-01,24,14,0
2018-08-02,19,6,1
2018-08-03,29,7,0
2018-08-04,1,3,0
2018-08-05,1,3,0
2018-08-06,23,5,0
2018-08-07,24,7,0
2018-08-08,16,10,0
2018-08-09,19,5,2
2018-08-10,26,9,3
2018-08-11,1,6,2
2018-08-12,0,0,0
2018-08-13,18,7,5
2018-08-14,19,6,4
2018-08-15,24,8,5
2018-08-16,24,9,2
2018-08-17,24,7,0
2018-08-18,7,3,1
2018-08-19,0,1,3
2018-08-20,29,7,0
2018-08-21,30,0,0
2018-08-22,23,1,0
2018-08-23,22,5,3
2018-08-24,26,4,0
2018-08-25,3,0,0
2018-08-26,5,1,0
2018-08-27,23,8,2
2018-08-28,28,7,1
2018-08-29,25,6,1
2018-08-30,27,11,0
2018-08-31,36,3,0
2018-09-01,4,5,2
2018-09-02,6,0,0
2018-09-03,19,5,0
2018-09-04,20,9,0
2018-09-05,31,17,3
2018-09-06,23,14,6
2018-09-07,26,9,0
2018-09-08,7,2,0
2018-09-09,10,0,0
2018-09-10,20,11,3
2018-09-11,20,8,0
2018-09-12,28,4,2
2018-09-13,24,4,0
2018-09-14,31,2,0
2018-09-15,3,1,0
2018-09-16,4,2,0
2018-09-17,28,8,0
2018-09-18,33,1,0
2018-09-19,32,7,0
2018-09-20,32,7,0
2018-09-21,12,5,0
2018-09-22,8,2,0
2018-09-23,0,3,0
2018-09-24,24,4,0
2018-09-25,27,6,0
2018-09-26,26,2,0
2018-09-27,20,5,0
2018-09-28,30,2,0
2018-09-29,3,0,0
2018-09-30,5,0,0
2018-10-01,14,5,0
2018-10-02,33,3,0
2018-10-03,21,8,0
2018-10-04,22,10,0
2018-10-05,23,3,1
2018-10-06,6,1,0
2018-10-07,0,1,0
2018-10-08,7,4,0
2018-10-09,1,9,0
2018-10-10,4,8,0
2018-10-11,4,5,0
2018-10-12,6,1,0
2018-10-13,1,0,0
2018-10-14,4,2,0
2018-10-15,20,8,4
2018-10-16,32,10,1
2018-10-17,26,5,0
2018-10-18,22,7,1
2018-10-19,34,1,1
2018-10-20,16,1,0
2018-10-21,3,0,0
2018-10-22,19,6,0
2018-10-23,44,5,0
2018-10-24,37,11,1
2018-10-25,36,4,1
2018-10-26,38,7,0
2018-10-27,3,1,1
2018-10-28,3,5,0
2018-10-29,31,4,1
2018-10-30,35,2,0
2018-10-31,24,3,0
2018-11-01,27,1,0
2018-11-02,26,10,1
2018-11-03,2,2,0
2018-11-04,2,2,0
2018-11-05,21,3,1
2018-11-06,30,8,1
2018-11-07,26,16,0
2018-11-08,39,8,2
2018-11-09,17,9,1
2018-11-10,3,2,0
2018-11-11,1,1,0
2018-11-12,19,5,0
2018-11-13,29,4,0
2018-11-14,26,0,7
2018-11-15,24,2,0
2018-11-16,23,7,0
2018-11-17,3,2,0
2018-11-18,1,1,0
2018-11-19,23,6,2
2018-11-20,24,4,0
2018-11-21,39,6,0
2018-11-22,13,2,5
2018-11-23,15,1,0
2018-11-24,3,0,0
2018-11-25,1,1,0
2018-11-26,30,3,2
2018-11-27,41,7,1
2018-11-28,30,3,0
2018-11-29,38,1,0
2018-11-30,32,6,1
2018-12-01,5,12,0
2018-12-02,2,4,0
2018-12-03,22,8,2
2018-12-04,23,12,3
2018-12-05,38,1,8
2018-12-06,28,6,9
2018-12-07,38,7,0
2018-12-08,4,0,0
2018-12-09,7,3,2
2018-12-10,27,33,1
2018-12-11,38,30,5
2018-12-12,27,12,2
2018-12-13,29,9,2
2018-12-14,33,16,0
2018-12-15,3,2,0
2018-12-16,2,4,0
2018-12-17,29,3,3
2018-12-18,42,6,1
2018-12-19,52,0,0
2018-12-20,24,4,0
2018-12-21,17,2,0
2018-12-22,5,0,0
2018-12-23,9,0,0
2018-12-24,6,0,0
2018-12-25,0,0,0
2018-12-26,0,1,0
2018-12-27,8,1,0
2018-12-28,11,4,0
2018-12-29,0,0,0
2018-12-30,0,0,0
2018-12-31,7,2,0
2019-01-01,1,1,0
2019-01-02,23,8,0
2019-01-03,25,8,0
2019-01-04,19,3,5
2019-01-05,2,4,1
2019-01-06,1,2,0
2019-01-07,32,6,1
2019-01-08,21,7,2
2019-01-09,36,6,1
2019-01-10,30,3,0
2019-01-11,35,1,2
2019-01-12,3,1,0
2019-01-13,3,1,0
2019-01-14,22,2,1
2019-01-15,43,5,1
2019-01-16,23,3,4
2019-01-17,20,7,0
2019-01-18,29,7,0
2019-01-19,2,3,0
2019-01-20,3,7,0
2019-01-21,22,4,5
2019-01-22,30,5,2
2019-01-23,32,4,1
2019-01-24,46,6,0
2019-01-25,45,6,0
2019-01-26,6,3,0
2019-01-27,6,2,0
2019-01-28,25,6,0
2019-01-29,32,3,2
2019-01-30,46,8,4
2019-01-31,43,4,1
2019-02-01,56,6,13
2019-02-02,10,2,0
2019-02-03,8,1,0
2019-02-04,37,0,2
2019-02-05,50,1,2
2019-02-06,19,6,4
2019-02-07,0,3,0
2019-02-08,18,9,0
2019-02-09,8,1,0
2019-02-10,1,1,0
2019-02-11,32,2,2
2019-02-12,25,3,2
2019-02-13,15,3,1
2019-02-14,21,6,4
2019-02-15,38,3,0
2019-02-16,8,0,0
2019-02-17,1,1,0
2019-02-18,27,3,0
2019-02-19,35,4,1
2019-02-20,38,5,1
2019-02-21,20,4,0
2019-02-22,22,4,1
2019-02-23,2,1,0
2019-02-24,0,2,0
2019-02-25,24,7,1
2019-02-26,17,6,1
2019-02-27,31,4,1
2019-02-28,17,6,0
2019-03-01,17,4,0
2019-03-02,3,0,0
2019-03-03,1,0,1
2019-03-04,35,11,1
2019-03-05,26,7,0
2019-03-06,19,2,0
2019-03-07,20,8,1
2019-03-08,23,3,0
2019-03-09,3,2,0
2019-03-10,3,2,0
2019-03-11,18,5,0
2019-03-12,22,9,2
2019-03-13,17,1,2
2019-03-14,21,10,0
2019-03-15,27,9,1
2019-03-16,5,0,0
2019-03-17,5,0,0
2019-03-18,23,3,0
2019-03-19,23,7,2
2019-03-20,28,2,3
2019-03-21,28,2,0
2019-03-22,18,1,3
2019-03-23,10,0,0
2019-03-24,0,1,0
2019-03-25,9,5,3
2019-03-26,28,4,4
2019-03-27,38,8,6
2019-03-28,30,2,1
2019-03-29,24,0,1
2019-03-30,6,3,0
2019-03-31,1,2,0
2019-04-01,26,3,2
2019-04-02,22,5,4
2019-04-03,22,8,4
2019-04-04,27,4,1
2019-04-05,24,12,1
2019-04-06,3,1,0
2019-04-07,5,0,0
2019-04-08,32,3,4
2019-04-09,25,4,1
2019-04-10,25,8,0
2019-04-11,17,4,0
2019-04-12,16,9,0
2019-04-13,0,3,0
2019-04-14,2,1,0
2019-04-15,14,7,0
2019-04-16,21,2,0
2019-04-17,23,4,0
2019-04-18,23,6,0
2019-04-19,23,13,0
2019-04-20,3,4,0
2019-04-21,0,3,0
2019-04-22,12,5,0
2019-04-23,18,3,0
2019-04-24,16,3,1
2019-04-25,22,3,4
2019-04-26,19,1,0
2019-04-27,3,1,0
2019-04-28,1,4,0
2019-04-29,17,4,0
2019-04-30,20,7,0
2019-05-01,20,8,1
2019-05-02,21,6,0
2019-05-03,15,1,0
2019-05-04,5,1,0
2019-05-05,1,0,0
2019-05-06,22,4,1
2019-05-07,25,5,0
2019-05-08,27,8,3
2019-05-09,36,5,2
2019-05-10,25,5,4
2019-05-11,0,0,0
2019-05-12,2,1,0
2019-05-13,1,4,0
2019-05-14,9,6,0
2019-05-15,8,3,0
2019-05-16,7,6,0
2019-05-17,4,2,0
2019-05-18,2,0,0
2019-05-19,1,0,0
2019-05-20,19,6,0
2019-05-21,34,7,0
2019-05-22,44,3,0
2019-05-23,28,8,0
2019-05-24,34,1,0
2019-05-25,8,1,0
2019-05-26,2,1,0
2019-05-27,10,3,0
2019-05-28,32,7,1
2019-05-29,19,8,2
2019-05-30,27,6,3
2019-05-31,17,2,2
2019-06-01,1,1,0
2019-06-02,1,1,0
2019-06-03,21,3,2
2019-06-04,14,10,2
2019-06-05,28,10,0
2019-06-06,24,4,2
2019-06-07,17,7,1
2019-06-08,3,2,3
2019-06-09,3,2,0
2019-06-10,34,8,2
2019-06-11,30,14,2
2019-06-12,22,4,3
2019-06-13,27,12,1
2019-06-14,15,11,0
2019-06-15,0,2,0
2019-06-16,1,1,0
2019-06-17,14,6,0
2019-06-18,23,10,0
2019-06-19,24,11,1
2019-06-20,31,10,0
2019-06-21,20,5,0
2019-06-22,1,5,0
2019-06-23,2,0,0
2019-06-24,26,6,0
2019-06-25,37,8,1
2019-06-26,25,9,1
2019-06-27,25,9,0
2019-06-28,21,9,1
2019-06-29,5,3,0
2019-06-30,7,5,0
2019-07-01,27,9,1
2019-07-02,23,14,2
2019-07-03,27,10,1
2019-07-04,18,3,0
2019-07-05,20,4,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,16,2,0
2019-07-09,23,6,1
2019-07-10,33,3,0
2019-07-11,29,7,0
2019-07-12,38,2,0
2019-07-13,4,1,0
2019-07-14,3,1,0
2019-07-15,36,4,0
2019-07-16,34,2,0
2019-07-17,38,18,0
2019-07-18,32,5,0
2019-07-19,18,6,0
2019-07-20,4,5,0
2019-07-21,3,4,0
2019-07-22,26,4,0
2019-07-23,21,5,0
2019-07-24,26,1,0
2019-07-25,25,7,1
2019-07-26,17,11,0
2019-07-27,0,1,0
2019-07-28,2,2,0
2019-07-29,28,6,1
2019-07-30,22,8,0
2019-07-31,17,4,0
2019-08-01,25,2,0
2019-08-02,19,7,1
2019-08-03,3,4,0
2019-08-04,4,1,0
2019-08-05,14,7,1
2019-08-06,27,9,1
2019-08-07,21,3,0
2019-08-08,35,2,2
2019-08-09,19,3,1
2019-08-10,2,5,0
2019-08-11,4,4,0
2019-08-12,27,4,1
2019-08-13,33,2,0
2019-08-14,28,5,0
2019-08-15,19,1,0
2019-08-16,31,0,0
2019-08-17,2,0,0
2019-08-18,0,2,0
2019-08-19,10,11,0
2019-08-20,25,8,0
2019-08-21,32,2,0
2019-08-22,29,2,0
2019-08-23,26,7,0
2019-08-24,4,0,0
2019-08-25,2,2,0
2019-08-26,29,3,2
2019-08-27,12,8,0
2019-08-28,19,2,0
2019-08-29,36,7,0
2019-08-30,11,2,0
2019-08-31,3,2,0
2019-09-01,1,4,0
2019-09-02,11,1,0
2019-09-03,16,3,0
2019-09-04,35,4,0
2019-09-05,23,13,0
2019-09-06,19,4,0
2019-09-07,4,2,0
2019-09-08,0,1,0
2019-09-09,22,2,0
2019-09-10,27,5,0
2019-09-11,43,4,0
2019-09-12,15,3,0
2019-09-13,9,8,0
2019-09-14,0,2,0
2019-09-15,2,1,0
2019-09-16,18,3,1
2019-09-17,17,2,0
2019-09-18,25,4,0
2019-09-19,24,3,2
2019-09-20,21,2,2
2019-09-21,0,4,0
2019-09-22,1,0,0
2019-09-23,26,1,0
2019-09-24,27,0,0
2019-09-25,47,5,0
2019-09-26,14,3,0
2019-09-27,24,4,0
2019-09-28,4,3,0
2019-09-29,0,4,0
2019-09-30,35,9,0
2019-10-01,32,5,0
2019-10-02,24,7,0
2019-10-03,19,3,0
2019-10-04,33,5,0
2019-10-05,7,1,0
2019-10-06,0,3,0
2019-10-07,27,11,0
2019-10-08,18,4,0
2019-10-09,25,2,0
2019-10-10,23,6,2
2019-10-11,26,8,1
2019-10-12,5,4,0
2019-10-13,6,1,0
2019-10-14,31,11,0
2019-10-15,32,9,0
2019-10-16,15,11,1
2019-10-17,14,0,0
2019-10-18,19,5,0
2019-10-19,1,1,0
2019-10-20,0,1,0
2019-10-21,22,8,0
2019-10-22,16,6,0
2019-10-23,27,7,0
2019-10-24,22,3,0
2019-10-25,21,4,1
2019-10-26,1,1,0
2019-10-27,0,0,0
2019-10-28,21,5,3
2019-10-29,41,9,1
2019-10-30,26,0,2
2019-10-31,36,0,0
2019-11-01,23,7,0
2019-11-02,2,2,0
2019-11-03,0,0,0
2019-11-04,5,3,0
2019-11-05,6,4,0
2019-11-06,5,2,0
2019-11-07,8,0,0
2019-11-08,3,1,0
2019-11-09,2,0,0
2019-11-10,0,0,0
2019-11-11,20,3,0
2019-11-12,18,7,0
2019-11-13,20,10,0
2019-11-14,22,6,0
2019-11-15,25,4,0
2019-11-16,1,2,0
2019-11-17,2,2,0
2019-11-18,26,5,0
2019-11-19,28,5,0
2019-11-20,22,2,0
2019-11-21,26,6,0
2019-11-22,32,8,0
2019-11-23,1,4,0
2019-11-24,1,4,0
2019-11-25,16,3,0
2019-11-26,21,5,0
2019-11-27,19,11,0
