,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2020-10-25,3,0,7
2020-10-26,4,17,65
2020-10-27,2,31,86
2020-10-28,0,31,78
2020-10-29,2,50,91
2020-10-30,1,26,86
2020-10-31,2,6,21
2020-11-01,0,3,6
2020-11-02,1,24,48
2020-11-03,2,45,84
2020-11-04,5,37,66
2020-11-05,4,35,77
2020-11-06,3,30,84
2020-11-07,3,13,17
2020-11-08,2,5,9
2020-11-09,3,25,72
2020-11-10,6,43,89
2020-11-11,3,47,92
2020-11-12,3,46,83
2020-11-13,1,47,88
2020-11-14,4,26,20
2020-11-15,0,6,5
2020-11-16,0,23,75
2020-11-17,5,30,92
2020-11-18,5,40,73
2020-11-19,3,39,120
2020-11-20,1,27,87
2020-11-21,0,22,37
2020-11-22,0,3,7
2020-11-23,1,1,65
2020-11-24,2,1,94
2020-11-25,1,11,63
2020-11-26,1,8,47
2020-11-27,2,6,27
2020-11-28,0,1,4
2020-11-29,2,2,4
2020-11-30,2,26,60
2020-12-01,1,39,74
2020-12-02,2,62,93
2020-12-03,2,39,86
2020-12-04,4,35,88
2020-12-05,0,22,18
2020-12-06,0,10,14
2020-12-07,2,16,69
2020-12-08,4,38,89
2020-12-09,2,36,97
2020-12-10,2,59,95
2020-12-11,1,46,78
2020-12-12,1,16,22
2020-12-13,0,1,7
2020-12-14,2,25,50
2020-12-15,2,30,129
2020-12-16,2,44,78
2020-12-17,0,51,99
2020-12-18,1,35,47
2020-12-19,1,16,8
2020-12-20,1,3,6
2020-12-21,1,28,49
2020-12-22,0,31,56
2020-12-23,2,27,67
2020-12-24,1,4,21
2020-12-25,0,1,6
2020-12-26,0,0,2
2020-12-27,0,0,6
2020-12-28,0,7,48
2020-12-29,0,8,42
2020-12-30,1,13,54
2020-12-31,1,5,20
2021-01-01,1,1,5
2021-01-02,0,0,7
2021-01-03,0,1,7
2021-01-04,1,21,27
2021-01-05,2,40,86
2021-01-06,0,46,85
2021-01-07,0,28,79
2021-01-08,0,43,91
2021-01-09,0,8,15
2021-01-10,0,4,8
2021-01-11,0,28,82
2021-01-12,1,43,112
2021-01-13,0,33,107
2021-01-14,0,27,74
2021-01-15,2,23,73
2021-01-16,1,11,21
2021-01-17,0,1,8
2021-01-18,0,7,28
2021-01-19,0,30,62
2021-01-20,2,44,100
2021-01-21,0,28,95
2021-01-22,0,45,104
2021-01-23,0,13,24
2021-01-24,0,2,17
2021-01-25,0,20,98
2021-01-26,0,30,75
2021-01-27,0,35,109
2021-01-28,1,49,90
2021-01-29,1,37,73
2021-01-30,0,9,44
2021-01-31,1,3,4
2021-02-01,0,23,74
2021-02-02,1,61,100
2021-02-03,3,44,86
2021-02-04,0,68,95
2021-02-05,2,37,78
2021-02-06,0,13,27
2021-02-07,2,3,6
2021-02-08,1,25,72
2021-02-09,0,28,79
2021-02-10,0,37,93
2021-02-11,0,42,71
2021-02-12,0,17,82
2021-02-13,0,11,38
2021-02-14,0,12,4
2021-02-15,2,3,48
2021-02-16,3,10,54
2021-02-17,0,40,92
2021-02-18,2,47,68
2021-02-19,1,47,41
2021-02-20,0,12,38
2021-02-21,2,3,15
2021-02-22,1,29,91
2021-02-23,0,30,113
2021-02-24,2,26,99
2021-02-25,0,40,114
2021-02-26,1,33,115
2021-02-27,1,8,33
2021-02-28,0,6,11
2021-03-01,2,38,66
2021-03-02,0,74,77
2021-03-03,0,59,98
2021-03-04,0,31,98
2021-03-05,0,48,133
2021-03-06,1,7,23
2021-03-07,0,3,12
2021-03-08,0,28,60
2021-03-09,2,44,79
2021-03-10,1,48,116
2021-03-11,1,47,93
2021-03-12,4,73,105
2021-03-13,0,10,43
2021-03-14,1,7,22
2021-03-15,2,30,75
2021-03-16,2,27,135
2021-03-17,0,35,89
2021-03-18,1,41,107
2021-03-19,1,28,132
2021-03-20,0,7,41
2021-03-21,2,3,17
2021-03-22,1,28,71
2021-03-23,0,43,113
2021-03-24,3,31,89
2021-03-25,0,30,91
2021-03-26,3,33,33
2021-03-27,0,29,6
2021-03-28,0,6,8
2021-03-29,0,46,62
2021-03-30,1,42,80
2021-03-31,1,46,101
2021-04-01,0,64,75
2021-04-02,1,53,81
2021-04-03,2,10,15
2021-04-04,0,1,12
2021-04-05,1,33,61
2021-04-06,1,56,52
2021-04-07,2,51,89
2021-04-08,0,38,93
2021-04-09,0,38,72
2021-04-10,0,17,14
2021-04-11,1,7,5
2021-04-12,1,30,47
2021-04-13,0,72,74
2021-04-14,1,58,79
2021-04-15,2,88,77
2021-04-16,0,54,70
2021-04-17,0,12,18
2021-04-18,0,6,9
2021-04-19,1,33,94
2021-04-20,2,51,104
2021-04-21,0,73,96
2021-04-22,2,56,95
2021-04-23,0,44,87
2021-04-24,0,12,15
2021-04-25,0,12,7
2021-04-26,3,38,61
2021-04-27,1,87,65
2021-04-28,0,43,86
2021-04-29,1,60,52
2021-04-30,6,56,75
2021-05-01,1,25,12
