,cfengine/core,saltstack/salt,ansible/ansible
2020-03-05,1,0,4
2020-03-06,0,3,4
2020-03-07,0,0,0
2020-03-08,0,1,0
2020-03-09,1,10,0
2020-03-10,1,37,0
2020-03-11,0,63,0
2020-03-12,3,7,0
2020-03-13,3,21,0
2020-03-14,0,9,0
2020-03-15,0,4,0
2020-03-16,1,17,0
2020-03-17,1,53,0
2020-03-18,2,3,0
2020-03-19,7,12,0
2020-03-20,5,11,0
2020-03-21,0,0,0
2020-03-22,0,2,0
2020-03-23,0,11,152
2020-03-24,2,10,11
2020-03-25,1,1,20
2020-03-26,1,8,12
2020-03-27,0,10,4
2020-03-28,0,0,6
2020-03-29,0,5,3
2020-03-30,0,12,7
2020-03-31,1,14,5
2020-04-01,3,10,4
2020-04-02,2,13,1
2020-04-03,0,17,1
2020-04-04,0,8,0
2020-04-05,0,0,0
2020-04-06,3,16,8
2020-04-07,1,87,3
2020-04-08,3,15,9
2020-04-09,5,35,11
2020-04-10,1,29,5
2020-04-11,0,50,0
2020-04-12,0,35,0
2020-04-13,0,61,3
2020-04-14,3,60,7
2020-04-15,1,49,6
2020-04-16,2,32,8
2020-04-17,5,55,6
2020-04-18,0,60,1
2020-04-19,0,15,0
2020-04-20,10,66,1
2020-04-21,0,150,7
2020-04-22,2,154,3
2020-04-23,5,105,10
2020-04-24,3,41,3
2020-04-25,0,1,0
2020-04-26,0,28,0
2020-04-27,26,20,4
2020-04-28,7,11,8
2020-04-29,2,60,1
2020-04-30,0,5,8
2020-05-01,0,9,1
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,1,18,9
2020-05-05,3,9,12
2020-05-06,0,22,5
2020-05-07,0,119,5
2020-05-08,3,25,4
2020-05-09,0,10,0
2020-05-10,0,44,0
2020-05-11,1,8,5
2020-05-12,4,16,8
2020-05-13,0,4,7
2020-05-14,0,15,16
2020-05-15,1,15,10
2020-05-16,0,11,6
2020-05-17,0,7,0
2020-05-18,4,71,2
2020-05-19,8,42,5
2020-05-20,0,30,8
2020-05-21,0,31,6
2020-05-22,0,60,4
2020-05-23,1,9,0
2020-05-24,0,0,0
2020-05-25,0,4,0
2020-05-26,4,0,8
2020-05-27,0,1,8
2020-05-28,1,0,13
2020-05-29,0,0,22
2020-05-30,0,0,1
2020-05-31,0,0,1
2020-06-01,1,0,5
2020-06-02,1,0,5
2020-06-03,0,0,4
2020-06-04,1,17,10
2020-06-05,3,10,8
2020-06-06,0,0,3
2020-06-07,0,6,0
2020-06-08,8,0,7
2020-06-09,10,37,10
2020-06-10,33,0,15
2020-06-11,2,0,18
2020-06-12,1,0,5
2020-06-13,0,0,1
2020-06-14,0,0,0
2020-06-15,4,0,9
2020-06-16,0,0,15
2020-06-17,7,0,6
2020-06-18,8,0,8
2020-06-19,6,0,12
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,12,0,6
2020-06-23,5,0,13
2020-06-24,0,0,5
2020-06-25,2,0,8
2020-06-26,3,0,3
2020-06-27,0,1,1
2020-06-28,0,0,0
2020-06-29,2,0,12
2020-06-30,0,0,11
2020-07-01,0,0,11
2020-07-02,0,0,12
2020-07-03,0,0,5
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,3
2020-07-07,0,0,9
2020-07-08,0,0,4
2020-07-09,0,0,7
2020-07-10,0,0,11
2020-07-11,0,0,3
2020-07-12,0,0,0
2020-07-13,0,98,8
2020-07-14,0,32,12
2020-07-15,1,24,9
2020-07-16,0,0,4
2020-07-17,0,0,6
2020-07-18,0,0,0
2020-07-19,0,0,1
2020-07-20,1,0,15
2020-07-21,0,0,9
2020-07-22,5,14,9
2020-07-23,0,6,6
2020-07-24,4,6,5
2020-07-25,0,0,1
2020-07-26,0,0,0
2020-07-27,4,0,3
2020-07-28,7,25,10
2020-07-29,4,64,9
2020-07-30,1,30,15
2020-07-31,3,11,5
2020-08-01,0,0,1
2020-08-02,0,0,0
2020-08-03,10,2,15
2020-08-04,7,1,16
2020-08-05,5,0,4
2020-08-06,5,1,6
2020-08-07,10,3,10
2020-08-08,0,0,2
2020-08-09,0,0,0
2020-08-10,1,1,9
2020-08-11,0,2,2
2020-08-12,1,2,8
2020-08-13,0,27,3
2020-08-14,0,3,3
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,6,0,16
2020-08-18,12,5,16
2020-08-19,3,2,7
2020-08-20,2,3,5
2020-08-21,27,11,9
2020-08-22,0,0,1
2020-08-23,1,0,0
2020-08-24,1,118,4
2020-08-25,1,6,6
2020-08-26,3,23,6
2020-08-27,7,4,8
2020-08-28,3,2,1
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,0,6,7
2020-09-01,0,8,8
2020-09-02,4,14,10
2020-09-03,2,5,5
2020-09-04,0,29,2
2020-09-05,0,0,2
2020-09-06,0,0,0
2020-09-07,22,0,0
2020-09-08,17,28,1
2020-09-09,1,57,5
2020-09-10,2,8,4
2020-09-11,8,0,1
2020-09-12,0,0,1
2020-09-13,0,0,0
2020-09-14,2,35,3
2020-09-15,2,12,11
2020-09-16,1,3,2
2020-09-17,0,1,9
2020-09-18,0,1,0
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,1,2,4
2020-09-22,3,1,11
2020-09-23,14,13,2
2020-09-24,3,6,15
2020-09-25,0,42,12
2020-09-26,0,3,0
2020-09-27,0,3,0
2020-09-28,0,7,7
2020-09-29,0,47,6
2020-09-30,0,122,9
2020-10-01,0,50,7
2020-10-02,0,13,11
2020-10-03,0,2,0
2020-10-04,0,2,0
2020-10-05,1,78,3
2020-10-06,5,5,9
2020-10-07,8,65,4
2020-10-08,3,57,4
2020-10-09,5,2,4
2020-10-10,0,1,0
2020-10-11,0,0,1
2020-10-12,16,0,4
2020-10-13,10,12,3
2020-10-14,5,0,4
2020-10-15,1,0,3
2020-10-16,8,0,0
2020-10-17,0,3,0
2020-10-18,0,1,0
2020-10-19,2,9,5
2020-10-20,6,1,5
2020-10-21,6,0,0
2020-10-22,9,0,3
2020-10-23,20,0,5
2020-10-24,5,0,0
2020-10-25,0,0,0
2020-10-26,4,0,3
2020-10-27,1,0,7
2020-10-28,1,4,3
2020-10-29,0,3,1
2020-10-30,0,0,6
2020-10-31,0,0,1
2020-11-01,0,0,0
2020-11-02,2,0,6
2020-11-03,0,1,4
2020-11-04,2,4,10
2020-11-05,5,21,9
2020-11-06,1,3,3
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,20,11
2020-11-10,0,13,9
2020-11-11,5,7,3
2020-11-12,2,19,4
2020-11-13,4,2,2
2020-11-14,0,12,0
2020-11-15,0,0,0
2020-11-16,6,8,1
2020-11-17,1,0,6
2020-11-18,5,5,3
2020-11-19,8,0,5
2020-11-20,6,2,2
2020-11-21,0,0,0
