,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system,bitcoin/bitcoin
2019-06-19,1,0.0,12
2019-06-20,1,0.0,13
2019-06-21,0,0.0,9
2019-06-22,0,0.0,1
2019-06-23,4,0.0,2
2019-06-24,0,0.0,4
2019-06-25,0,0.0,8
2019-06-26,0,0.0,10
2019-06-27,0,0.0,4
2019-06-28,0,0.0,3
2019-06-29,0,0.0,8
2019-06-30,0,0.0,3
2019-07-01,0,0.0,5
2019-07-02,0,0.0,15
2019-07-03,1,0.0,15
2019-07-04,0,0.0,4
2019-07-05,4,0.0,7
2019-07-06,0,0.0,2
2019-07-07,1,0.0,4
2019-07-08,0,0.0,28
2019-07-09,0,0.0,19
2019-07-10,1,0.0,10
2019-07-11,0,0.0,4
2019-07-12,0,0.0,9
2019-07-13,0,0.0,0
2019-07-14,0,0.0,0
2019-07-15,3,0.0,5
2019-07-16,0,0.0,8
2019-07-17,0,0.0,8
2019-07-18,0,0.0,12
2019-07-19,0,2.0,11
2019-07-20,3,-0.3999999999999999,0
2019-07-21,0,-0.16000000000000014,1
2019-07-22,0,-0.09600000000000007,7
2019-07-23,0,-0.06720000000000002,8
2019-07-24,0,-0.05107200000000003,25
2019-07-25,0,0.9591424,7
2019-07-26,4,0.76614656,6
2019-07-27,0,-0.3087754239999999,18
2019-07-28,0,-0.15293870080000005,4
2019-07-29,0,-0.08160000000000005,15
2019-07-30,0,6.940864,16
2019-07-31,0,-1.4459647999999996,15
2019-08-01,0,-0.5973555200000005,12
2019-08-02,0,-0.3673144320000002,11
2019-08-03,0,-0.2620570624,1
2019-08-04,0,-0.19122135040000007,1
2019-08-05,0,0.8569983999999999,6
2019-08-06,0,-0.31848704000000005,8
2019-08-07,0,-0.18071398399999966,3
2019-08-08,1,-0.1352854527999998,2
2019-08-09,2,1.9664,8
2019-08-10,0,-0.4255359999999999,1
2019-08-11,0,-0.18042880000000017,6
2019-08-12,0,-0.11292672000000008,5
2019-08-13,0,-0.08158771199999997,6
2019-08-14,0,-0.06354135039999999,31
2019-08-15,0,3.9591424,20
2019-08-16,0,4.1661465600000005,23
2019-08-17,0,-1.3487754239999998,1
2019-08-18,0,1.3830612991999995,4
2019-08-19,0,0.2255999999999998,20
2019-08-20,0,-0.6301440000000003,8
2019-08-21,0,-0.38539520000000027,6
2019-08-22,0,-0.2850508800000002,7
2019-08-23,0,-0.22685644799999985,12
2019-08-24,0,-0.18820956159999958,11
2019-08-25,0,-0.11662899199999986,5
2019-08-26,0,-0.04570214399999989,9
2019-08-27,1,-0.03932641279999987,9
2019-08-28,0,-0.012469350399999964,11
2019-08-29,0,0.0,21
2019-08-30,0,6.0,9
2019-08-31,3,-1.1999999999999997,5
2019-09-01,0,-0.4800000000000004,1
2019-09-02,0,10.712,4
2019-09-03,0,-0.4015999999999993,13
2019-09-04,0,0.5667839999999993,11
2019-09-05,0,9.789427199999999,14
2019-09-06,0,-2.9271603199999996,8
2019-09-07,0,-1.4104222720000008,5
2019-09-08,0,-0.9458049024000003,10
2019-09-09,0,-0.6477235200000002,9
2019-09-10,0,-0.5138718719999995,10
2019-09-11,3,-0.4245085183999996,5
