,getgrav/grav,tryghost/ghost,WordPress/WordPress
2014-08-02,5,14,11
2014-08-03,0,36,5
2014-08-04,0,25,5
2014-08-05,0,42,5
2014-08-06,8,45,14
2014-08-07,15,24,23
2014-08-08,0,48,7
2014-08-09,0,3,7
2014-08-10,0,32,5
2014-08-11,5,26,5
2014-08-12,9,6,7
2014-08-13,6,14,9
2014-08-14,2,17,9
2014-08-15,7,19,16
2014-08-16,1,6,2
2014-08-17,10,21,9
2014-08-18,16,25,12
2014-08-19,5,22,12
2014-08-20,13,14,12
2014-08-21,7,14,10
2014-08-22,3,4,7
2014-08-23,4,10,1
2014-08-24,3,4,14
2014-08-25,9,3,18
2014-08-26,2,15,23
2014-08-27,2,1,14
2014-08-28,3,3,2
2014-08-29,9,3,2
2014-08-30,4,5,0
2014-08-31,2,8,0
2014-09-01,8,10,6
2014-09-02,16,27,20
2014-09-03,21,16,21
2014-09-04,14,6,8
2014-09-05,18,11,2
2014-09-06,19,3,0
2014-09-07,1,0,6
2014-09-08,7,3,0
2014-09-09,14,11,6
2014-09-10,9,19,5
2014-09-11,15,22,7
2014-09-12,1,5,5
2014-09-13,0,6,2
2014-09-14,4,7,0
2014-09-15,8,16,1
2014-09-16,5,14,0
2014-09-17,2,5,2
2014-09-18,10,13,1
2014-09-19,4,38,0
2014-09-20,2,7,1
2014-09-21,1,7,4
2014-09-22,5,19,0
2014-09-23,2,22,7
2014-09-24,6,75,2
2014-09-25,5,36,0
2014-09-26,11,5,5
2014-09-27,1,8,3
2014-09-28,0,5,2
2014-09-29,0,7,18
2014-09-30,5,18,1
2014-10-01,13,8,3
2014-10-02,0,3,20
2014-10-03,0,5,8
2014-10-04,1,3,1
2014-10-05,0,1,6
2014-10-06,14,4,5
2014-10-07,11,3,1
2014-10-08,15,2,9
2014-10-09,10,2,8
2014-10-10,25,4,1
2014-10-11,0,2,5
2014-10-12,1,8,7
2014-10-13,4,10,3
2014-10-14,15,7,7
2014-10-15,4,0,14
2014-10-16,5,6,19
2014-10-17,0,36,17
2014-10-18,3,4,9
2014-10-19,1,1,4
2014-10-20,4,14,10
2014-10-21,0,12,5
2014-10-22,0,4,5
2014-10-23,3,11,267
2014-10-24,0,1,17
2014-10-25,0,8,5
2014-10-26,0,5,12
2014-10-27,5,18,7
2014-10-28,6,8,40
2014-10-29,5,7,23
2014-10-30,5,14,15
2014-10-31,0,2,8
2014-11-01,4,3,47
2014-11-02,2,2,3
2014-11-03,1,5,45
2014-11-04,0,16,15
2014-11-05,3,9,10
2014-11-06,4,0,4
2014-11-07,1,2,9
2014-11-08,4,1,15
2014-11-09,8,2,1
2014-11-10,3,8,6
2014-11-11,0,6,11
2014-11-12,0,2,8
2014-11-13,3,12,22
2014-11-14,2,8,9
2014-11-15,0,9,3
2014-11-16,0,12,11
2014-11-17,9,22,9
2014-11-18,2,6,9
2014-11-19,2,10,13
2014-11-20,0,7,32
2014-11-21,1,5,18
2014-11-22,0,4,19
2014-11-23,1,4,6
2014-11-24,7,11,23
2014-11-25,0,4,17
2014-11-26,8,0,12
2014-11-27,0,5,7
2014-11-28,1,8,33
2014-11-29,0,11,2
2014-11-30,0,7,50
2014-12-01,11,22,17
2014-12-02,4,8,25
2014-12-03,0,19,16
2014-12-04,3,31,7
2014-12-05,9,8,5
2014-12-06,0,3,11
2014-12-07,0,2,26
2014-12-08,1,7,10
2014-12-09,0,7,4
2014-12-10,2,17,13
2014-12-11,0,13,7
2014-12-12,4,14,10
2014-12-13,0,2,4
2014-12-14,0,8,6
2014-12-15,0,23,18
2014-12-16,0,9,24
2014-12-17,2,10,8
2014-12-18,0,24,4
2014-12-19,0,10,0
2014-12-20,1,5,8
2014-12-21,1,5,0
2014-12-22,6,14,2
2014-12-23,0,12,2
2014-12-24,0,4,0
2014-12-25,0,4,0
2014-12-26,0,7,1
2014-12-27,0,2,0
2014-12-28,1,7,1
2014-12-29,1,10,5
2014-12-30,0,3,6
2014-12-31,3,4,10
2015-01-01,3,9,4
2015-01-02,0,9,4
2015-01-03,2,3,16
2015-01-04,2,6,8
2015-01-05,2,5,6
2015-01-06,5,7,8
2015-01-07,2,1,12
2015-01-08,12,8,27
2015-01-09,13,8,11
2015-01-10,9,2,20
2015-01-11,7,6,14
2015-01-12,0,9,17
2015-01-13,2,12,9
2015-01-14,0,6,4
2015-01-15,0,0,4
2015-01-16,8,5,36
2015-01-17,0,2,11
2015-01-18,2,3,7
2015-01-19,10,3,8
2015-01-20,9,3,7
2015-01-21,7,2,9
2015-01-22,5,2,5
2015-01-23,11,5,4
2015-01-24,7,4,2
2015-01-25,9,2,7
2015-01-26,12,3,3
2015-01-27,8,10,1
2015-01-28,7,4,1
2015-01-29,8,5,13
2015-01-30,1,6,8
2015-01-31,5,2,11
2015-02-01,1,7,2
2015-02-02,4,5,2
2015-02-03,6,5,7
2015-02-04,3,5,2
2015-02-05,2,3,12
2015-02-06,4,2,18
2015-02-07,4,1,4
2015-02-08,1,0,4
2015-02-09,1,3,18
2015-02-10,2,1,9
2015-02-11,1,0,20
2015-02-12,0,5,3
2015-02-13,2,10,18
2015-02-14,2,1,7
2015-02-15,13,2,2
2015-02-16,3,3,1
2015-02-17,5,9,3
2015-02-18,15,12,2
2015-02-19,6,0,3
2015-02-20,0,2,4
2015-02-21,3,2,0
2015-02-22,0,2,29
2015-02-23,1,2,12
2015-02-24,1,6,6
2015-02-25,0,6,14
2015-02-26,0,5,17
2015-02-27,4,3,22
2015-02-28,3,19,3
2015-03-01,5,0,7
2015-03-02,6,3,5
2015-03-03,0,6,6
2015-03-04,0,0,6
2015-03-05,0,0,21
2015-03-06,0,0,17
2015-03-07,0,6,21
2015-03-08,2,2,8
2015-03-09,1,25,13
2015-03-10,0,1,15
2015-03-11,0,23,32
2015-03-12,3,3,23
2015-03-13,0,4,11
2015-03-14,0,0,4
2015-03-15,0,0,8
2015-03-16,0,0,11
2015-03-17,2,15,6
2015-03-18,0,2,22
2015-03-19,0,3,9
2015-03-20,1,2,18
2015-03-21,0,1,0
2015-03-22,0,4,4
2015-03-23,0,2,7
2015-03-24,5,2,8
2015-03-25,0,1,18
2015-03-26,2,0,15
2015-03-27,0,4,7
2015-03-28,1,1,3
2015-03-29,0,2,3
2015-03-30,0,0,13
2015-03-31,5,6,12
2015-04-01,6,0,30
2015-04-02,0,6,14
2015-04-03,1,9,11
2015-04-04,3,1,22
2015-04-05,0,8,28
2015-04-06,3,5,9
2015-04-07,9,9,12
2015-04-08,11,3,22
2015-04-09,8,20,8
2015-04-10,7,5,4
2015-04-11,0,3,9
2015-04-12,1,1,1
2015-04-13,4,2,3
2015-04-14,1,1,11
2015-04-15,12,4,9
2015-04-16,5,5,1
2015-04-17,2,1,0
2015-04-18,0,0,3
2015-04-19,0,1,1
2015-04-20,6,0,23
2015-04-21,10,3,14
2015-04-22,3,15,10
2015-04-23,0,1,3
2015-04-24,8,3,3
2015-04-25,0,1,0
2015-04-26,8,1,3
2015-04-27,10,0,8
2015-04-28,15,2,0
2015-04-29,0,2,5
2015-04-30,1,8,3
2015-05-01,4,9,1
2015-05-02,2,4,1
2015-05-03,0,2,4
2015-05-04,14,3,7
2015-05-05,4,9,16
2015-05-06,1,6,13
2015-05-07,2,3,6
2015-05-08,0,1,10
2015-05-09,12,3,13
2015-05-10,0,4,5
2015-05-11,4,6,11
2015-05-12,0,11,4
2015-05-13,5,20,5
2015-05-14,7,7,2
2015-05-15,7,8,3
2015-05-16,0,1,0
