,ruby/ruby,nodejs/node,python/cpython
2017-02-16,6,18,5
2017-02-17,6,20,0
2017-02-18,6,8,3
2017-02-19,1,13,3
2017-02-20,13,8,7
2017-02-21,11,8,7
2017-02-22,10,19,6
2017-02-23,8,5,6
2017-02-24,12,40,7
2017-02-25,7,8,9
2017-02-26,3,3,10
2017-02-27,18,11,6
2017-02-28,7,3,6
2017-03-01,11,19,13
2017-03-02,6,15,14
2017-03-03,7,8,17
2017-03-04,10,6,8
2017-03-05,5,4,6
2017-03-06,8,21,10
2017-03-07,15,4,5
2017-03-08,7,6,13
2017-03-09,11,21,6
2017-03-10,5,8,5
2017-03-11,11,16,7
2017-03-12,6,1,19
2017-03-13,14,6,3
2017-03-14,12,10,7
2017-03-15,6,18,3
2017-03-16,12,9,1
2017-03-17,11,22,5
2017-03-18,9,0,1
2017-03-19,5,1,11
2017-03-20,5,13,4
2017-03-21,6,8,5
2017-03-22,8,28,2
2017-03-23,8,4,5
2017-03-24,7,18,7
2017-03-25,8,10,5
2017-03-26,4,13,2
2017-03-27,5,14,11
2017-03-28,8,7,6
2017-03-29,11,6,5
2017-03-30,6,4,18
2017-03-31,4,9,7
2017-04-01,9,2,5
2017-04-02,4,1,6
2017-04-03,5,12,3
2017-04-04,5,40,3
2017-04-05,7,8,6
2017-04-06,7,8,2
2017-04-07,12,8,3
2017-04-08,4,8,4
2017-04-09,13,6,5
2017-04-10,15,9,1
2017-04-11,13,11,4
2017-04-12,9,19,3
2017-04-13,12,12,11
2017-04-14,15,24,6
2017-04-15,9,7,4
2017-04-16,6,8,6
2017-04-17,12,16,1
2017-04-18,14,31,0
2017-04-19,7,17,10
2017-04-20,16,12,13
2017-04-21,16,14,10
2017-04-22,11,2,4
2017-04-23,11,1,1
2017-04-24,5,28,6
2017-04-25,18,12,5
2017-04-26,5,11,7
2017-04-27,4,15,5
2017-04-28,8,17,4
2017-04-29,4,12,2
2017-04-30,9,16,0
2017-05-01,11,12,3
2017-05-02,13,9,11
2017-05-03,6,16,7
2017-05-04,20,11,6
2017-05-05,0,13,8
2017-05-06,14,13,1
2017-05-07,17,14,1
2017-05-08,9,6,2
2017-05-09,14,19,7
2017-05-10,17,18,5
2017-05-11,8,12,3
2017-05-12,27,8,3
2017-05-13,12,4,5
2017-05-14,12,2,4
2017-05-15,16,11,10
2017-05-16,28,12,9
2017-05-17,12,6,7
2017-05-18,7,7,4
2017-05-19,25,12,3
2017-05-20,18,8,4
2017-05-21,14,5,2
2017-05-22,9,21,10
2017-05-23,13,23,14
2017-05-24,14,12,15
2017-05-25,17,19,5
2017-05-26,18,18,2
2017-05-27,22,9,9
2017-05-28,15,5,5
2017-05-29,15,14,5
2017-05-30,10,9,4
2017-05-31,5,9,2
2017-06-01,17,19,7
2017-06-02,7,30,5
2017-06-03,9,8,2
2017-06-04,2,2,5
2017-06-05,6,21,3
2017-06-06,10,12,10
2017-06-07,8,27,5
2017-06-08,11,11,9
2017-06-09,7,15,17
2017-06-10,2,14,13
2017-06-11,3,5,11
2017-06-12,10,8,7
2017-06-13,5,17,18
2017-06-14,8,11,10
2017-06-15,13,7,5
2017-06-16,8,16,12
2017-06-17,2,6,3
2017-06-18,6,8,1
2017-06-19,5,12,1
2017-06-20,7,10,8
2017-06-21,11,7,6
2017-06-22,11,8,4
2017-06-23,19,12,15
2017-06-24,3,6,6
2017-06-25,3,0,3
2017-06-26,9,6,8
2017-06-27,6,6,8
2017-06-28,15,13,14
2017-06-29,9,17,5
2017-06-30,3,12,10
2017-07-01,6,2,2
2017-07-02,1,23,2
2017-07-03,7,12,3
2017-07-04,7,8,6
2017-07-05,3,13,7
2017-07-06,5,8,4
2017-07-07,9,8,5
2017-07-08,3,3,3
2017-07-09,6,10,2
2017-07-10,4,4,6
2017-07-11,2,9,6
2017-07-12,7,15,4
2017-07-13,5,10,5
2017-07-14,13,11,4
2017-07-15,4,1,3
2017-07-16,7,11,2
2017-07-17,2,34,4
2017-07-18,12,7,5
2017-07-19,10,23,2
2017-07-20,8,8,5
2017-07-21,6,12,8
2017-07-22,7,4,3
2017-07-23,2,7,3
2017-07-24,2,13,9
2017-07-25,4,10,8
2017-07-26,8,14,8
2017-07-27,11,13,6
2017-07-28,5,2,8
2017-07-29,4,6,3
2017-07-30,6,7,6
2017-07-31,3,4,5
2017-08-01,5,26,8
2017-08-02,15,7,3
2017-08-03,13,5,5
2017-08-04,9,32,4
2017-08-05,2,4,1
2017-08-06,2,1,0
2017-08-07,4,12,3
2017-08-08,3,13,2
2017-08-09,3,2,8
2017-08-10,18,30,8
2017-08-11,4,10,1
2017-08-12,5,4,2
2017-08-13,6,16,0
2017-08-14,7,16,5
2017-08-15,12,2,6
2017-08-16,3,15,3
2017-08-17,8,21,6
2017-08-18,3,10,19
2017-08-19,6,0,0
2017-08-20,1,6,4
2017-08-21,4,9,9
2017-08-22,14,7,5
2017-08-23,5,28,1
2017-08-24,3,22,5
2017-08-25,7,10,5
2017-08-26,6,6,2
2017-08-27,5,6,2
2017-08-28,8,4,4
2017-08-29,10,14,5
2017-08-30,7,20,7
2017-08-31,12,2,0
2017-09-01,9,9,6
2017-09-02,8,0,0
2017-09-03,14,10,4
2017-09-04,5,3,28
2017-09-05,8,10,16
2017-09-06,13,1,17
2017-09-07,9,18,19
2017-09-08,10,11,17
2017-09-09,11,4,4
2017-09-10,10,1,5
2017-09-11,12,13,9
2017-09-12,17,12,7
2017-09-13,9,34,17
2017-09-14,25,19,20
2017-09-15,17,19,11
2017-09-16,5,1,3
2017-09-17,12,2,5
2017-09-18,8,7,7
2017-09-19,13,12,13
2017-09-20,13,19,6
2017-09-21,3,9,5
2017-09-22,4,9,6
2017-09-23,15,4,5
2017-09-24,10,14,10
2017-09-25,11,5,9
2017-09-26,12,8,3
2017-09-27,11,15,5
2017-09-28,8,17,3
2017-09-29,9,9,10
2017-09-30,15,0,7
2017-10-01,11,19,2
2017-10-02,10,33,7
2017-10-03,9,6,6
2017-10-04,6,5,8
2017-10-05,8,8,9
2017-10-06,6,2,8
2017-10-07,2,17,2
2017-10-08,8,38,4
2017-10-09,5,43,3
2017-10-10,7,11,4
2017-10-11,12,38,2
2017-10-12,5,27,6
2017-10-13,3,43,7
2017-10-14,6,25,3
2017-10-15,4,21,4
2017-10-16,7,16,5
2017-10-17,10,8,11
2017-10-18,8,24,3
2017-10-19,4,52,7
2017-10-20,7,7,2
2017-10-21,108,14,1
2017-10-22,39,15,6
2017-10-23,16,18,6
2017-10-24,23,11,11
2017-10-25,25,28,4
2017-10-26,27,20,10
2017-10-27,36,12,9
2017-10-28,37,17,4
2017-10-29,43,26,0
2017-10-30,8,17,2
2017-10-31,10,9,11
2017-11-01,12,5,7
2017-11-02,18,18,9
2017-11-03,6,20,7
2017-11-04,25,4,9
2017-11-05,12,3,3
2017-11-06,5,23,3
2017-11-07,40,31,20
2017-11-08,7,15,11
2017-11-09,12,8,5
2017-11-10,7,10,6
2017-11-11,3,53,8
2017-11-12,7,24,5
2017-11-13,8,18,5
2017-11-14,12,11,4
2017-11-15,10,10,12
2017-11-16,36,17,8
2017-11-17,13,19,2
2017-11-18,16,26,5
2017-11-19,11,7,3
2017-11-20,13,14,6
2017-11-21,8,29,7
2017-11-22,5,41,3
2017-11-23,6,14,15
2017-11-24,15,5,12
2017-11-25,5,4,10
2017-11-26,7,21,6
2017-11-27,8,7,10
2017-11-28,6,41,15
2017-11-29,15,9,10
2017-11-30,2,8,9
2017-12-01,28,24,10
2017-12-02,8,1,4
2017-12-03,18,5,5
2017-12-04,16,7,7
2017-12-05,19,12,14
2017-12-06,26,32,10
2017-12-07,11,17,4
