,apache/zookeeper,etcd-io/etcd,hashicorp/consul
2017-11-04,0,0.0,0
2017-11-05,0,2.0,1
2017-11-06,0,6.6,0
2017-11-07,0,3.4400000000000004,4
2017-11-08,0,8.344,16
2017-11-09,0,3.1967999999999996,13
2017-11-10,0,18.473728,14
2017-11-11,0,-0.5476096000000004,3
2017-11-12,0,2.391464959999998,0
2017-11-13,0,-0.31436646400000123,0
2017-11-14,0,3.4066097151999992,0
2017-11-15,4,15.1166799872,0
2017-11-16,0,-1.2900689919999992,1
2017-11-17,0,-0.4506408960000008,2
2017-11-18,0,-2.6463724544,0
2017-11-19,0,-1.6866576383999998,0
2017-11-20,0,3.9399260160000003,8
2017-11-21,3,5.2097980416,3
2017-11-22,2,0.6132615168000002,0
2017-11-23,0,2.137211801600001,0
2017-11-24,0,-1.8767793151999994,0
2017-11-25,0,-0.9199205376000003,0
2017-11-26,0,-0.6111040512000002,0
2017-11-27,1,13.5613568,0
2017-11-28,0,3.8461440000000007,0
2017-11-29,0,2.184443904,3
2017-11-30,0,5.569844531199999,16
2017-12-01,0,20.098641100800002,0
2017-12-02,0,-5.1225814016,0
2017-12-03,0,-3.0567552000000022,0
2017-12-04,0,6.039544319999999,0
2017-12-05,0,5.952852992,1
2017-12-06,2,5.4157231104,1
2017-12-07,0,-2.6940361728,1
2017-12-08,0,11.792008191999999,4
2017-12-09,0,0.733713100800002,0
2017-12-10,0,-2.1648371712000003,1
2017-12-11,0,0.13283368959999886,1
2017-12-12,2,0.3327626239999999,4
2017-12-13,1,0.4644825088000002,11
2017-12-14,0,3.6380765184000006,11
2017-12-15,0,10.1855340544,16
2017-12-16,1,-3.333231718399999,0
2017-12-17,0,-1.6225657856000004,0
2017-12-18,0,17.053482496,1
2017-12-19,1,5.753164185600001,3
2017-12-20,0,41.0638564352,8
2017-12-21,0,1.9525066752000004,8
2017-12-22,0,-2.5847979008000035,4
2017-12-23,0,-5.230647296000002,0
2017-12-24,0,-3.3087106048000012,0
2017-12-25,0,-0.3348889600000011,0
2017-12-26,0,-2.2475100159999997,0
2017-12-27,0,-0.6832822271999996,1
2017-12-28,0,-0.3903319039999973,0
2017-12-29,0,-1.1799946239999977,0
2017-12-30,0,0.5868878848000006,0
2017-12-31,0,5.615195648,2
2018-01-01,0,-0.3729894399999998,0
2018-01-02,0,12.197259776,0
2018-01-03,0,2.9361057792,4
2018-01-04,0,4.453549568,6
2018-01-05,0,-0.7381018624000006,11
2018-01-06,0,-0.8623048704000007,0
2018-01-07,0,-0.3659448320000005,0
2018-01-08,0,3.8542872576000002,2
2018-01-09,0,13.1942240256,3
2018-01-10,0,-3.976743526399999,9
2018-01-11,0,4.093091532799999,2
2018-01-12,0,6.656651673600001,4
2018-01-13,0,-3.0650963968,0
2018-01-14,0,2.450562867199999,0
2018-01-15,0,-0.8515226624000003,0
2018-01-16,0,1.6860752895999997,1
2018-01-17,0,12.497440768,0
2018-01-18,2,4.3051402240000005,2
2018-01-19,1,3.7615892479999995,10
2018-01-20,0,-0.12435671039999985,4
2018-01-21,0,-2.2913678336000007,0
2018-01-22,0,12.661932032,6
2018-01-23,0,15.2154635264,5
2018-01-24,0,28.3444110336,11
2018-01-25,0,30.414140620799998,4
2018-01-26,0,4.428153958399999,4
2018-01-27,0,-7.479152947200003,0
2018-01-28,0,-5.724035788800004,3
2018-01-29,0,5.149246668799998,1
2018-01-30,2,5.293745152,0
2018-01-31,0,-0.0619099135999992,0
2018-02-01,1,0.9664697344000013,1
2018-02-02,0,0.4895217664000029,1
2018-02-03,0,-2.7830425599999984,4
2018-02-04,0,-1.4079735808,0
2018-02-05,0,12.1307528192,9
2018-02-06,0,5.7370193920000006,11
2018-02-07,1,-1.3850228735999996,16
2018-02-08,0,7.8930191359999995,8
2018-02-09,0,2.769207808,11
2018-02-10,0,-1.8502656000000002,1
2018-02-11,0,-1.7724758016000008,5
2018-02-12,0,8.841021439999999,2
2018-02-13,0,3.1148016640000007,3
2018-02-14,1,3.2834515968000004,1
2018-02-15,0,-0.6183755776000002,3
