,home-assistant/core,node-red/node-red,ioBroker/ioBroker
2018-08-12,3,0,9
2018-08-13,18,5,2
2018-08-14,24,3,6
2018-08-15,9,7,1
2018-08-16,22,4,0
2018-08-17,11,1,0
2018-08-18,7,1,0
2018-08-19,12,1,5
2018-08-20,13,6,0
2018-08-21,16,3,0
2018-08-22,12,3,0
2018-08-23,6,2,0
2018-08-24,15,4,0
2018-08-25,17,0,0
2018-08-26,23,0,0
2018-08-27,23,1,0
2018-08-28,16,7,0
2018-08-29,35,5,0
2018-08-30,4,6,0
2018-08-31,15,8,0
2018-09-01,13,0,0
2018-09-02,16,0,0
2018-09-03,10,0,0
2018-09-04,12,11,0
2018-09-05,1,4,0
2018-09-06,6,5,0
2018-09-07,10,1,0
2018-09-08,5,1,0
2018-09-09,3,2,0
2018-09-10,14,2,1
2018-09-11,24,2,0
2018-09-12,21,0,1
2018-09-13,9,0,2
2018-09-14,10,4,1
2018-09-15,14,0,0
2018-09-16,3,2,0
2018-09-17,19,7,1
2018-09-18,11,1,0
2018-09-19,11,0,0
2018-09-20,29,0,0
2018-09-21,18,10,0
2018-09-22,7,0,0
2018-09-23,10,5,0
2018-09-24,17,3,0
2018-09-25,36,3,0
2018-09-26,35,4,0
2018-09-27,21,2,0
2018-09-28,7,7,0
2018-09-29,6,0,0
2018-09-30,16,2,0
2018-10-01,35,4,2
2018-10-02,24,11,0
2018-10-03,16,7,0
2018-10-04,19,0,0
2018-10-05,21,3,0
2018-10-06,7,1,0
2018-10-07,19,7,0
2018-10-08,36,1,0
2018-10-09,24,0,0
2018-10-10,25,0,0
2018-10-11,16,3,0
2018-10-12,25,1,0
2018-10-13,14,0,0
2018-10-14,16,0,0
2018-10-15,27,4,0
2018-10-16,14,5,0
2018-10-17,20,6,1
2018-10-18,19,1,0
2018-10-19,11,9,0
2018-10-20,6,0,0
2018-10-21,14,0,0
2018-10-22,9,12,0
2018-10-23,30,12,0
2018-10-24,19,5,0
2018-10-25,16,7,0
2018-10-26,28,8,0
2018-10-27,13,1,0
2018-10-28,13,0,0
2018-10-29,29,4,0
2018-10-30,17,3,0
2018-10-31,13,9,0
2018-11-01,32,4,0
2018-11-02,29,12,0
2018-11-03,20,2,0
2018-11-04,18,0,0
2018-11-05,28,1,0
2018-11-06,35,0,0
2018-11-07,26,0,0
2018-11-08,12,2,0
2018-11-09,11,1,0
2018-11-10,9,0,0
2018-11-11,15,0,0
2018-11-12,11,5,0
2018-11-13,10,10,0
2018-11-14,9,7,0
2018-11-15,18,3,0
2018-11-16,9,1,0
2018-11-17,4,0,0
2018-11-18,4,0,1
2018-11-19,19,0,1
2018-11-20,12,0,0
2018-11-21,15,0,0
2018-11-22,10,0,0
2018-11-23,11,0,0
2018-11-24,9,0,0
2018-11-25,12,0,0
2018-11-26,14,0,0
2018-11-27,29,0,1
2018-11-28,12,0,0
2018-11-29,39,1,4
2018-11-30,22,8,0
2018-12-01,24,1,0
2018-12-02,32,0,0
2018-12-03,30,0,0
2018-12-04,22,3,0
2018-12-05,23,6,2
2018-12-06,14,4,0
2018-12-07,21,14,0
2018-12-08,5,2,0
2018-12-09,14,2,0
2018-12-10,27,6,0
2018-12-11,11,4,0
2018-12-12,20,0,0
2018-12-13,14,9,0
2018-12-14,36,0,0
2018-12-15,5,0,2
2018-12-16,9,0,0
2018-12-17,35,2,0
2018-12-18,12,8,0
2018-12-19,25,3,0
2018-12-20,8,3,0
2018-12-21,7,3,2
2018-12-22,14,1,0
2018-12-23,9,0,0
2018-12-24,3,0,0
2018-12-25,9,0,0
2018-12-26,11,0,0
2018-12-27,11,0,0
2018-12-28,7,0,0
2018-12-29,7,0,0
2018-12-30,12,0,0
2018-12-31,2,0,1
2019-01-01,6,1,4
2019-01-02,4,1,1
2019-01-03,6,0,2
2019-01-04,12,0,0
2019-01-05,8,0,0
2019-01-06,9,0,0
2019-01-07,20,5,1
2019-01-08,18,3,0
2019-01-09,29,3,1
2019-01-10,12,4,0
2019-01-11,53,3,3
2019-01-12,18,0,0
2019-01-13,18,0,3
2019-01-14,16,0,0
2019-01-15,12,0,10
2019-01-16,24,5,13
2019-01-17,15,5,0
2019-01-18,5,2,0
2019-01-19,6,0,0
2019-01-20,9,2,26
2019-01-21,35,4,5
2019-01-22,17,3,9
2019-01-23,16,2,4
2019-01-24,21,0,3
2019-01-25,19,2,4
2019-01-26,28,3,0
2019-01-27,16,1,0
2019-01-28,8,5,0
2019-01-29,26,5,4
2019-01-30,15,5,4
2019-01-31,13,0,3
2019-02-01,24,3,0
2019-02-02,22,0,0
2019-02-03,20,0,3
2019-02-04,13,8,1
2019-02-05,20,7,0
2019-02-06,16,6,0
2019-02-07,18,14,0
2019-02-08,14,11,0
2019-02-09,9,4,0
2019-02-10,25,0,0
2019-02-11,15,2,0
2019-02-12,19,1,0
2019-02-13,15,2,0
2019-02-14,23,1,0
2019-02-15,28,4,4
2019-02-16,10,0,9
2019-02-17,28,1,0
2019-02-18,24,0,3
2019-02-19,23,2,0
2019-02-20,18,1,0
2019-02-21,16,1,4
2019-02-22,19,0,0
2019-02-23,23,0,3
2019-02-24,15,0,2
2019-02-25,10,3,2
2019-02-26,23,3,0
2019-02-27,23,2,3
2019-02-28,39,3,4
2019-03-01,22,1,5
2019-03-02,17,0,0
2019-03-03,12,4,8
2019-03-04,38,7,5
2019-03-05,21,18,1
2019-03-06,11,4,6
2019-03-07,27,10,0
2019-03-08,24,0,0
2019-03-09,17,0,0
2019-03-10,16,0,3
2019-03-11,21,0,0
2019-03-12,22,5,0
2019-03-13,32,4,0
2019-03-14,26,2,0
2019-03-15,33,6,2
2019-03-16,18,0,0
2019-03-17,14,0,0
2019-03-18,10,2,0
2019-03-19,30,0,0
2019-03-20,7,5,0
2019-03-21,33,0,0
2019-03-22,14,0,0
2019-03-23,8,0,0
2019-03-24,12,0,0
2019-03-25,27,0,0
2019-03-26,37,1,0
2019-03-27,14,4,0
2019-03-28,37,9,0
2019-03-29,35,1,0
2019-03-30,22,0,0
2019-03-31,11,0,0
2019-04-01,31,0,0
2019-04-02,29,5,0
2019-04-03,33,4,0
2019-04-04,22,2,1
2019-04-05,40,4,1
2019-04-06,6,0,0
2019-04-07,25,1,0
2019-04-08,30,0,0
2019-04-09,24,0,0
2019-04-10,32,0,2
2019-04-11,9,0,0
2019-04-12,13,0,0
2019-04-13,15,0,0
2019-04-14,10,0,0
2019-04-15,23,0,0
2019-04-16,18,2,0
2019-04-17,23,0,0
2019-04-18,32,0,1
2019-04-19,35,0,0
2019-04-20,25,0,0
2019-04-21,3,1,2
2019-04-22,9,0,0
2019-04-23,25,2,0
2019-04-24,29,1,0
2019-04-25,18,7,0
2019-04-26,28,5,0
2019-04-27,13,0,0
2019-04-28,11,0,0
2019-04-29,14,9,0
2019-04-30,17,6,0
2019-05-01,31,1,0
2019-05-02,39,5,2
2019-05-03,6,12,8
2019-05-04,7,3,0
2019-05-05,14,0,2
2019-05-06,13,0,0
2019-05-07,12,3,0
2019-05-08,15,5,0
2019-05-09,14,3,0
2019-05-10,19,0,4
2019-05-11,6,0,0
2019-05-12,2,0,0
2019-05-13,8,0,0
2019-05-14,25,0,8
2019-05-15,8,3,1
