,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2020-11-25,63,11,1
2020-11-26,47,8,1
2020-11-27,27,6,2
2020-11-28,4,1,0
2020-11-29,4,2,2
2020-11-30,60,26,2
2020-12-01,74,39,1
2020-12-02,93,62,2
2020-12-03,86,39,2
2020-12-04,88,35,4
2020-12-05,18,22,0
2020-12-06,14,10,0
2020-12-07,69,16,2
2020-12-08,89,38,4
2020-12-09,97,36,2
2020-12-10,95,59,2
2020-12-11,78,46,1
2020-12-12,22,16,1
2020-12-13,7,1,0
2020-12-14,50,25,2
2020-12-15,129,30,2
2020-12-16,78,44,2
2020-12-17,99,51,0
2020-12-18,47,35,1
2020-12-19,8,16,1
2020-12-20,6,3,1
2020-12-21,49,28,1
2020-12-22,56,31,0
2020-12-23,67,27,2
2020-12-24,21,4,1
2020-12-25,6,1,0
2020-12-26,2,0,0
2020-12-27,6,0,0
2020-12-28,48,7,0
2020-12-29,42,8,0
2020-12-30,54,13,1
2020-12-31,20,5,1
2021-01-01,5,1,1
2021-01-02,7,0,0
2021-01-03,7,1,0
2021-01-04,27,21,1
2021-01-05,86,40,2
2021-01-06,85,46,0
2021-01-07,79,28,0
2021-01-08,91,43,0
2021-01-09,15,8,0
2021-01-10,8,4,0
2021-01-11,82,28,0
2021-01-12,112,43,1
2021-01-13,107,33,0
2021-01-14,74,27,0
2021-01-15,73,23,2
2021-01-16,21,11,1
2021-01-17,8,1,0
2021-01-18,28,7,0
2021-01-19,62,30,0
2021-01-20,100,44,2
2021-01-21,95,28,0
2021-01-22,104,45,0
2021-01-23,24,13,0
2021-01-24,17,2,0
2021-01-25,98,20,0
2021-01-26,75,30,0
2021-01-27,109,35,0
2021-01-28,90,49,1
2021-01-29,73,37,1
2021-01-30,44,9,0
2021-01-31,4,3,1
2021-02-01,74,23,0
2021-02-02,100,61,1
2021-02-03,86,44,3
2021-02-04,95,68,0
2021-02-05,78,37,2
2021-02-06,27,13,0
2021-02-07,6,3,2
2021-02-08,72,25,1
2021-02-09,79,28,0
2021-02-10,93,37,0
2021-02-11,71,42,0
2021-02-12,82,17,0
2021-02-13,38,11,0
2021-02-14,4,12,0
2021-02-15,48,3,2
2021-02-16,54,10,3
2021-02-17,92,40,0
2021-02-18,68,47,2
2021-02-19,41,47,1
2021-02-20,38,12,0
2021-02-21,15,3,2
2021-02-22,91,29,1
2021-02-23,113,30,0
2021-02-24,99,26,2
2021-02-25,114,40,0
2021-02-26,115,33,1
2021-02-27,33,8,1
2021-02-28,11,6,0
2021-03-01,66,38,2
2021-03-02,77,74,0
2021-03-03,98,59,0
2021-03-04,98,31,0
2021-03-05,133,48,0
2021-03-06,23,7,1
2021-03-07,12,3,0
2021-03-08,60,28,0
2021-03-09,79,44,2
2021-03-10,116,48,1
2021-03-11,93,47,1
2021-03-12,105,73,4
2021-03-13,43,10,0
2021-03-14,22,7,1
2021-03-15,75,30,2
2021-03-16,135,27,2
2021-03-17,89,35,0
2021-03-18,107,41,1
2021-03-19,132,28,1
