,rust-lang/rust-analyzer,intellij-rust/intellij-rust,rust-lang/rls
2018-02-21,0.0,7,4
2018-02-22,0.0,3,8
2018-02-23,0.0,2,1
2018-02-24,0.0,1,2
2018-02-25,0.0,1,3
2018-02-26,0.0,6,2
2018-02-27,0.0,3,3
2018-02-28,0.0,0,3
2018-03-01,0.0,7,2
2018-03-02,0.0,0,4
2018-03-03,0.0,2,1
2018-03-04,0.0,1,2
2018-03-05,0.0,5,1
2018-03-06,0.0,11,0
2018-03-07,0.0,4,0
2018-03-08,0.0,5,0
2018-03-09,0.0,3,3
2018-03-10,0.0,1,3
2018-03-11,0.0,4,2
2018-03-12,0.0,0,1
2018-03-13,0.0,0,2
2018-03-14,0.0,3,2
2018-03-15,0.0,1,2
2018-03-16,0.0,1,13
2018-03-17,0.0,0,2
2018-03-18,0.0,0,0
2018-03-19,0.0,2,0
2018-03-20,0.0,1,3
2018-03-21,0.0,6,0
2018-03-22,0.0,0,6
2018-03-23,0.0,0,1
2018-03-24,0.0,0,0
2018-03-25,0.0,8,1
2018-03-26,0.0,4,6
2018-03-27,0.0,0,7
2018-03-28,0.0,5,6
2018-03-29,0.0,3,2
2018-03-30,0.0,5,2
2018-03-31,0.0,1,0
2018-04-01,0.0,4,0
2018-04-02,0.0,7,0
2018-04-03,0.0,2,1
2018-04-04,0.0,1,1
2018-04-05,0.0,3,3
2018-04-06,0.0,0,0
2018-04-07,0.0,3,1
2018-04-08,0.0,2,3
2018-04-09,0.0,5,1
2018-04-10,0.0,3,1
2018-04-11,0.0,0,0
2018-04-12,0.0,0,0
2018-04-13,0.0,2,3
2018-04-14,0.0,4,1
2018-04-15,0.0,0,2
2018-04-16,0.0,7,2
2018-04-17,0.0,0,0
2018-04-18,0.0,1,0
2018-04-19,0.0,6,8
2018-04-20,0.0,2,1
2018-04-21,0.0,1,0
2018-04-22,0.0,0,2
2018-04-23,0.0,3,0
2018-04-24,0.0,0,0
2018-04-25,0.0,0,0
2018-04-26,0.0,1,0
2018-04-27,0.0,0,0
2018-04-28,0.0,2,0
2018-04-29,0.0,0,0
2018-04-30,0.0,2,1
2018-05-01,0.0,3,4
2018-05-02,0.0,0,2
2018-05-03,0.0,0,3
2018-05-04,0.0,2,3
2018-05-05,0.0,4,1
2018-05-06,0.0,3,3
2018-05-07,0.0,7,6
2018-05-08,0.0,0,5
2018-05-09,0.0,0,7
2018-05-10,0.0,0,0
2018-05-11,0.0,0,3
2018-05-12,0.0,1,2
2018-05-13,0.0,2,3
2018-05-14,0.0,0,1
2018-05-15,0.0,0,5
2018-05-16,0.0,1,1
2018-05-17,0.0,0,4
2018-05-18,0.0,1,0
2018-05-19,0.0,2,1
2018-05-20,0.0,0,1
2018-05-21,0.0,1,0
2018-05-22,0.0,0,0
2018-05-23,0.0,0,3
2018-05-24,0.0,0,1
2018-05-25,0.0,1,2
2018-05-26,0.0,0,2
2018-05-27,0.0,0,2
2018-05-28,0.0,0,5
2018-05-29,0.0,0,2
2018-05-30,0.0,1,1
2018-05-31,0.0,1,0
2018-06-01,0.0,1,2
2018-06-02,0.0,0,1
2018-06-03,0.0,1,0
2018-06-04,0.0,2,4
2018-06-05,0.0,1,1
2018-06-06,0.0,1,2
2018-06-07,0.0,0,0
2018-06-08,0.0,0,2
2018-06-09,0.0,0,3
2018-06-10,0.0,0,1
2018-06-11,0.0,0,0
2018-06-12,0.0,0,3
2018-06-13,0.0,2,0
2018-06-14,0.0,1,1
