,python/cpython,JuliaLang/julia,rust-lang/rust
2018-08-16,3,11,116
2018-08-17,5,8,44
2018-08-18,1,7,40
2018-08-19,5,12,83
2018-08-20,2,6,72
2018-08-21,2,38,44
2018-08-22,5,9,118
2018-08-23,5,11,72
2018-08-24,10,3,87
2018-08-25,12,4,43
2018-08-26,2,4,57
2018-08-27,7,2,89
2018-08-28,6,3,61
2018-08-29,12,12,92
2018-08-30,2,3,98
2018-08-31,6,13,78
2018-09-01,3,5,64
2018-09-02,2,5,42
2018-09-03,6,3,74
2018-09-04,5,7,39
2018-09-05,1,4,64
2018-09-06,2,7,93
2018-09-07,15,4,74
2018-09-08,2,9,63
2018-09-09,0,4,47
2018-09-10,13,6,69
2018-09-11,31,6,85
2018-09-12,20,11,71
2018-09-13,16,7,76
2018-09-14,26,7,44
2018-09-15,3,1,69
2018-09-16,2,3,50
2018-09-17,17,13,51
2018-09-18,14,17,61
2018-09-19,9,5,45
2018-09-20,7,1,86
2018-09-21,9,5,50
2018-09-22,6,3,57
2018-09-23,6,1,43
2018-09-24,11,7,41
2018-09-25,16,8,51
2018-09-26,4,6,87
2018-09-27,6,2,35
2018-09-28,4,9,37
2018-09-29,5,6,66
2018-09-30,3,7,59
2018-10-01,4,7,51
2018-10-02,7,10,64
2018-10-03,3,12,42
2018-10-04,5,30,62
2018-10-05,10,14,82
2018-10-06,5,7,48
2018-10-07,1,2,30
2018-10-08,10,6,76
2018-10-09,7,5,76
2018-10-10,5,2,76
2018-10-11,4,5,58
2018-10-12,10,1,69
2018-10-13,7,3,76
2018-10-14,6,6,54
2018-10-15,6,6,123
2018-10-16,4,11,69
2018-10-17,4,8,63
2018-10-18,6,11,73
2018-10-19,21,15,67
2018-10-20,15,7,54
2018-10-21,8,3,36
2018-10-22,3,9,52
2018-10-23,11,5,57
2018-10-24,8,5,58
2018-10-25,11,13,122
2018-10-26,17,3,77
2018-10-27,5,4,49
2018-10-28,18,1,61
2018-10-29,13,6,61
2018-10-30,10,11,70
2018-10-31,8,8,62
2018-11-01,7,13,96
2018-11-02,4,12,62
2018-11-03,3,2,71
2018-11-04,11,3,37
2018-11-05,5,4,99
2018-11-06,9,8,53
2018-11-07,20,6,81
2018-11-08,3,4,56
2018-11-09,10,4,49
2018-11-10,4,5,85
2018-11-11,7,0,60
2018-11-12,9,1,38
2018-11-13,11,3,63
2018-11-14,7,6,36
2018-11-15,4,3,67
2018-11-16,7,7,123
2018-11-17,3,3,34
2018-11-18,2,8,47
2018-11-19,1,13,52
2018-11-20,9,6,72
2018-11-21,6,9,108
2018-11-22,11,5,61
2018-11-23,13,4,42
2018-11-24,1,2,61
2018-11-25,4,4,63
2018-11-26,18,8,56
2018-11-27,14,6,127
2018-11-28,7,14,47
2018-11-29,7,12,84
2018-11-30,11,21,103
2018-12-01,3,4,18
2018-12-02,1,4,57
2018-12-03,7,8,79
2018-12-04,8,7,82
2018-12-05,18,12,59
2018-12-06,10,9,74
2018-12-07,10,10,57
2018-12-08,2,3,57
2018-12-09,5,4,57
2018-12-10,10,6,73
2018-12-11,12,12,78
2018-12-12,5,13,86
2018-12-13,1,8,53
2018-12-14,10,5,80
2018-12-15,0,0,57
2018-12-16,3,2,40
2018-12-17,14,9,56
2018-12-18,10,8,50
2018-12-19,8,3,117
2018-12-20,11,8,86
2018-12-21,4,9,79
2018-12-22,4,4,75
2018-12-23,6,0,54
2018-12-24,8,1,38
2018-12-25,5,2,60
2018-12-26,7,3,52
2018-12-27,4,3,76
2018-12-28,7,0,61
2018-12-29,6,4,73
2018-12-30,5,3,72
2018-12-31,13,1,50
2019-01-01,0,0,60
2019-01-02,8,9,83
2019-01-03,3,7,89
2019-01-04,1,12,68
2019-01-05,1,3,70
2019-01-06,4,7,63
2019-01-07,3,9,82
2019-01-08,8,7,91
2019-01-09,6,9,51
2019-01-10,7,8,45
2019-01-11,6,7,44
2019-01-12,8,8,80
2019-01-13,3,3,107
2019-01-14,2,4,69
2019-01-15,9,2,67
2019-01-16,3,5,46
2019-01-17,6,2,45
2019-01-18,10,4,82
2019-01-19,0,3,99
2019-01-20,2,1,55
2019-01-21,5,5,72
2019-01-22,5,8,102
2019-01-23,6,9,61
2019-01-24,3,5,76
2019-01-25,5,8,92
2019-01-26,2,1,111
2019-01-27,2,0,82
2019-01-28,2,5,65
2019-01-29,2,9,59
2019-01-30,5,1,72
2019-01-31,6,11,66
2019-02-01,10,11,107
2019-02-02,9,8,37
2019-02-03,6,6,69
2019-02-04,5,3,47
2019-02-05,6,7,79
2019-02-06,1,5,66
2019-02-07,5,11,131
