,facebook/react,sveltejs/svelte,angular/angular
2017-01-16,1,0,0.0
2017-01-17,8,5,6.0
2017-01-18,1,6,9.0
2017-01-19,0,0,7.0
2017-01-20,3,0,2.0
2017-01-21,3,0,0.0
2017-01-22,0,0,0.0
2017-01-23,9,2,5.0
2017-01-24,7,6,11.0
2017-01-25,17,6,6.0
2017-01-26,6,0,8.0
2017-01-27,1,0,23.0
2017-01-28,2,0,7.0
2017-01-29,0,0,17.0
2017-01-30,5,0,3.0
2017-01-31,23,4,13.0
2017-02-01,2,8,25.0
2017-02-02,17,2,2.0
2017-02-03,2,2,15.0
2017-02-04,1,0,0.0
2017-02-05,0,0,0.0
2017-02-06,14,3,4.0
2017-02-07,7,0,11.0
2017-02-08,9,2,8.0
2017-02-09,10,0,21.0
2017-02-10,3,0,15.0
2017-02-11,1,0,7.0
2017-02-12,0,0,0.0
2017-02-13,17,0,3.0
2017-02-14,3,0,3.0
2017-02-15,0,4,11.0
2017-02-16,1,1,15.0
2017-02-17,1,0,1.0
2017-02-18,0,0,9.0
2017-02-19,4,0,0.0
2017-02-20,0,0,0.0
2017-02-21,5,0,21.0
2017-02-22,12,0,6.0
2017-02-23,25,0,19.0
2017-02-24,15,13,31.0
2017-02-25,2,2,9.0
2017-02-26,0,0,2.0
2017-02-27,1,20,5.0
2017-02-28,6,17,3.0
2017-03-01,24,28,16.0
2017-03-02,12,7,20.0
2017-03-03,7,2,0.0
2017-03-04,2,5,0.0
2017-03-05,0,0,11.0
2017-03-06,10,13,6.0
2017-03-07,4,33,27.0
2017-03-08,2,4,35.0
2017-03-09,2,3,10.0
2017-03-10,2,6,10.0
2017-03-11,1,0,1.0
2017-03-12,1,1,0.0
2017-03-13,8,0,28.0
2017-03-14,6,1,13.0
2017-03-15,2,7,39.0
2017-03-16,11,11,15.0
2017-03-17,2,21,27.0
2017-03-18,0,13,0.0
2017-03-19,2,18,6.0
2017-03-20,3,0,7.0
2017-03-21,2,0,40.0
2017-03-22,3,0,10.0
2017-03-23,4,4,18.0
2017-03-24,5,0,13.0
2017-03-25,1,0,14.0
2017-03-26,3,12,0.0
2017-03-27,6,5,10.0
2017-03-28,2,5,27.0
2017-03-29,4,9,11.0
2017-03-30,11,2,9.0
2017-03-31,8,1,16.0
2017-04-01,0,2,13.0
2017-04-02,0,18,7.0
2017-04-03,1,2,2.0
2017-04-04,3,22,5.0
2017-04-05,17,5,0.0
2017-04-06,2,4,0.0
2017-04-07,8,1,0.0
2017-04-08,1,22,0.0
2017-04-09,1,4,0.0
2017-04-10,2,22,8.0
2017-04-11,14,13,9.0
2017-04-12,1,10,26.0
2017-04-13,6,3,5.0
2017-04-14,4,4,16.0
2017-04-15,2,0,21.0
2017-04-16,0,4,8.0
2017-04-17,0,34,15.0
2017-04-18,14,15,18.0
2017-04-19,8,36,18.0
2017-04-20,24,7,24.0
2017-04-21,7,3,22.0
2017-04-22,2,0,0.0
2017-04-23,1,0,1.0
2017-04-24,1,0,13.0
2017-04-25,10,14,10.0
2017-04-26,11,6,10.0
2017-04-27,4,0,11.0
2017-04-28,2,1,22.0
2017-04-29,1,0,2.0
2017-04-30,0,12,5.0
2017-05-01,13,16,15.0
2017-05-02,4,2,8.0
2017-05-03,8,18,21.0
2017-05-04,1,23,20.0
2017-05-05,5,5,13.0
2017-05-06,1,20,4.0
2017-05-07,0,5,1.0
2017-05-08,0,0,9.0
2017-05-09,5,0,14.0
2017-05-10,2,1,14.0
2017-05-11,8,0,14.0
2017-05-12,2,0,10.0
2017-05-13,0,0,0.0
2017-05-14,0,0,3.0
2017-05-15,0,0,4.0
2017-05-16,1,0,9.0
2017-05-17,2,0,7.0
2017-05-18,4,0,20.0
2017-05-19,1,2,14.0
2017-05-20,2,0,1.0
2017-05-21,3,9,1.0
2017-05-22,3,4,8.0
2017-05-23,3,0,14.0
2017-05-24,3,0,4.0
2017-05-25,8,1,5.0
2017-05-26,9,1,20.0
2017-05-27,0,16,3.0
2017-05-28,0,13,0.0
2017-05-29,1,1,0.0
2017-05-30,7,0,9.0
2017-05-31,2,0,11.0
2017-06-01,4,17,9.0
2017-06-02,4,0,3.0
2017-06-03,0,15,2.0
2017-06-04,1,0,1.0
2017-06-05,9,0,5.0
2017-06-06,9,1,12.0
2017-06-07,3,0,11.0
2017-06-08,4,0,20.0
2017-06-09,13,3,24.0
2017-06-10,2,0,10.0
2017-06-11,1,13,2.0
2017-06-12,0,3,12.0
2017-06-13,5,6,20.0
2017-06-14,7,3,6.0
2017-06-15,2,6,9.0
2017-06-16,3,2,14.0
2017-06-17,0,10,0.0
2017-06-18,0,7,0.0
2017-06-19,7,0,8.0
2017-06-20,1,0,10.0
2017-06-21,3,0,11.0
2017-06-22,1,0,14.0
2017-06-23,2,17,45.0
2017-06-24,0,3,1.0
2017-06-25,1,27,0.0
2017-06-26,6,7,6.0
2017-06-27,6,2,5.0
2017-06-28,4,1,0.0
2017-06-29,2,0,10.0
2017-06-30,2,1,5.0
2017-07-01,8,9,4.0
2017-07-02,2,2,0.0
2017-07-03,0,6,4.0
2017-07-04,2,1,0.0
2017-07-05,1,3,9.0
2017-07-06,1,3,11.0
2017-07-07,1,6,29.0
2017-07-08,0,10,4.0
2017-07-09,2,0,0.0
2017-07-10,1,5,7.0
2017-07-11,4,8,40.0
2017-07-12,5,0,0.0
2017-07-13,9,0,21.0
2017-07-14,2,0,12.0
2017-07-15,0,0,3.0
2017-07-16,0,0,0.0
2017-07-17,1,0,11.0
2017-07-18,3,0,26.0
2017-07-19,7,0,6.0
2017-07-20,3,0,21.0
2017-07-21,5,0,8.0
2017-07-22,0,5,0.0
2017-07-23,0,0,0.0
2017-07-24,2,8,0.0
2017-07-25,2,9,8.0
2017-07-26,16,2,8.0
2017-07-27,12,3,4.0
2017-07-28,1,2,19.0
2017-07-29,0,14,0.0
2017-07-30,0,23,0.0
2017-07-31,4,0,8.0
2017-08-01,6,0,2.0
2017-08-02,16,0,18.0
2017-08-03,8,0,8.0
2017-08-04,7,16,8.0
2017-08-05,1,10,0.0
2017-08-06,0,8,0.0
2017-08-07,3,0,9.0
2017-08-08,5,0,3.0
2017-08-09,5,2,10.0
2017-08-10,3,0,2.0
2017-08-11,1,0,4.0
2017-08-12,3,0,0.0
2017-08-13,3,8,0.0
2017-08-14,2,20,1.0
2017-08-15,2,4,16.0
2017-08-16,4,8,17.0
2017-08-17,4,1,9.0
2017-08-18,1,0,11.0
2017-08-19,0,0,10.0
2017-08-20,0,2,0.0
2017-08-21,2,0,7.0
2017-08-22,2,0,12.0
2017-08-23,2,0,4.0
2017-08-24,2,2,2.0
2017-08-25,10,7,1.0
2017-08-26,4,5,0.0
2017-08-27,0,1,0.0
2017-08-28,8,6,15.0
2017-08-29,2,11,9.0
2017-08-30,4,15,8.0
2017-08-31,6,4,28.0
2017-09-01,6,5,12.0
2017-09-02,1,7,5.0
2017-09-03,0,33,0.0
2017-09-04,0,0,0.0
2017-09-05,3,3,16.0
2017-09-06,9,0,5.0
2017-09-07,4,4,7.0
2017-09-08,6,5,11.0
2017-09-09,1,4,0.0
2017-09-10,5,9,0.0
2017-09-11,6,1,0.0
2017-09-12,3,9,11.0
2017-09-13,3,3,4.0
2017-09-14,11,0,5.0
2017-09-15,0,0,1.0
2017-09-16,0,14,0.0
2017-09-17,0,14,0.0
2017-09-18,0,8,0.0
2017-09-19,1,18,9.0
2017-09-20,0,9,15.0
2017-09-21,0,1,19.0
2017-09-22,2,3,10.0
2017-09-23,0,4,0.0
2017-09-24,1,0,0.0
2017-09-25,4,0,17.0
2017-09-26,22,0,12.0
2017-09-27,14,3,6.0
2017-09-28,12,0,22.0
2017-09-29,7,0,2.0
2017-09-30,10,0,0.0
2017-10-01,4,0,0.0
2017-10-02,32,0,7.0
2017-10-03,11,0,6.0
2017-10-04,7,4,12.0
2017-10-05,4,1,2.0
2017-10-06,7,0,23.0
2017-10-07,2,0,6.0
2017-10-08,0,0,0.0
2017-10-09,2,0,14.0
2017-10-10,17,3,7.0
2017-10-11,7,1,12.0
2017-10-12,2,0,7.0
2017-10-13,2,0,13.0
2017-10-14,3,0,1.0
2017-10-15,0,2,0.0
2017-10-16,6,0,2.0
2017-10-17,10,4,10.0
2017-10-18,13,4,18.0
2017-10-19,7,0,3.0
2017-10-20,12,4,5.0
2017-10-21,2,0,0.0
2017-10-22,1,0,0.0
2017-10-23,5,0,7.0
2017-10-24,5,3,11.0
2017-10-25,10,5,4.0
2017-10-26,10,0,7.0
2017-10-27,1,0,2.0
2017-10-28,3,6,5.0
2017-10-29,0,0,0.0
2017-10-30,1,0,1.0
2017-10-31,9,0,12.0
2017-11-01,4,0,46.0
2017-11-02,15,0,25.0
2017-11-03,11,0,17.0
2017-11-04,7,0,0.0
2017-11-05,3,0,0.0
