,apache/tomcat,apache/struts,spring-projects/spring-framework
2020-10-10,3,0,1
2020-10-11,1,0,0
2020-10-12,4,0,28
2020-10-13,1,2,13
2020-10-14,1,4,4
2020-10-15,9,0,11
2020-10-16,12,0,11
2020-10-17,0,4,0
2020-10-18,3,0,0
2020-10-19,3,0,5
2020-10-20,1,0,3
2020-10-21,3,0,5
2020-10-22,1,0,8
2020-10-23,0,0,15
2020-10-24,0,0,5
2020-10-25,0,0,2
2020-10-26,4,0,35
2020-10-27,1,0,16
2020-10-28,1,0,0
2020-10-29,3,0,4
2020-10-30,6,0,3
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,4,0,5
2020-11-03,2,0,5
2020-11-04,0,0,15
2020-11-05,4,2,8
2020-11-06,10,0,1
2020-11-07,0,0,0
2020-11-08,0,1,3
2020-11-09,4,0,18
2020-11-10,4,0,5
2020-11-11,3,0,1
2020-11-12,1,0,13
2020-11-13,0,3,3
2020-11-14,0,1,0
2020-11-15,0,0,1
2020-11-16,0,0,9
2020-11-17,2,1,9
2020-11-18,6,1,5
2020-11-19,6,4,11
2020-11-20,1,3,4
2020-11-21,0,1,0
2020-11-22,0,1,0
2020-11-23,2,1,8
2020-11-24,0,0,4
2020-11-25,3,0,3
2020-11-26,3,0,4
2020-11-27,0,0,2
2020-11-28,0,3,0
2020-11-29,0,3,0
2020-11-30,2,0,3
2020-12-01,4,0,4
2020-12-02,12,2,4
2020-12-03,0,2,8
2020-12-04,13,1,4
2020-12-05,0,0,0
2020-12-06,1,1,0
2020-12-07,6,5,13
2020-12-08,17,0,9
2020-12-09,2,0,1
2020-12-10,3,1,2
2020-12-11,1,1,4
2020-12-12,1,1,1
2020-12-13,0,1,0
2020-12-14,3,0,1
2020-12-15,4,0,5
2020-12-16,0,0,3
2020-12-17,2,2,4
2020-12-18,1,0,1
2020-12-19,0,0,1
2020-12-20,0,0,1
2020-12-21,1,1,2
2020-12-22,1,1,0
2020-12-23,2,0,1
2020-12-24,0,2,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,3,0
2020-12-28,1,4,2
2020-12-29,2,0,0
2020-12-30,1,0,1
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,4,2
2021-01-03,0,5,1
2021-01-04,6,2,5
2021-01-05,5,0,4
2021-01-06,0,3,7
2021-01-07,2,0,3
2021-01-08,1,2,4
2021-01-09,0,0,0
2021-01-10,0,4,0
2021-01-11,0,5,14
2021-01-12,0,0,11
2021-01-13,0,0,1
2021-01-14,1,0,5
2021-01-15,7,0,0
2021-01-16,0,0,0
2021-01-17,1,0,0
2021-01-18,7,0,1
2021-01-19,1,0,4
2021-01-20,2,0,0
2021-01-21,2,0,4
2021-01-22,10,0,6
2021-01-23,0,5,0
2021-01-24,1,0,3
2021-01-25,0,0,3
2021-01-26,13,0,7
2021-01-27,7,0,5
2021-01-28,13,0,4
2021-01-29,1,1,3
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,11,0,1
2021-02-02,6,0,9
2021-02-03,0,0,7
2021-02-04,1,0,8
2021-02-05,8,0,8
2021-02-06,0,0,0
2021-02-07,0,1,0
2021-02-08,3,1,3
2021-02-09,1,0,3
2021-02-10,0,0,3
2021-02-11,1,0,8
2021-02-12,3,0,3
2021-02-13,0,0,1
2021-02-14,0,0,8
2021-02-15,0,0,26
2021-02-16,2,0,11
2021-02-17,3,0,6
2021-02-18,6,0,2
2021-02-19,5,0,2
2021-02-20,0,0,0
2021-02-21,0,0,2
2021-02-22,2,0,7
2021-02-23,2,1,5
2021-02-24,1,0,7
2021-02-25,8,0,11
2021-02-26,8,1,5
2021-02-27,0,0,0
2021-02-28,0,1,0
2021-03-01,2,0,3
2021-03-02,3,0,6
2021-03-03,5,0,3
2021-03-04,3,0,6
2021-03-05,3,0,1
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,0,0,8
2021-03-09,3,0,6
2021-03-10,3,0,5
2021-03-11,2,0,4
2021-03-12,3,0,7
2021-03-13,0,0,3
2021-03-14,0,0,0
2021-03-15,10,4,16
2021-03-16,6,0,10
2021-03-17,3,0,0
2021-03-18,2,0,1
2021-03-19,9,0,0
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,9,2,4
2021-03-23,9,1,1
2021-03-24,12,0,0
2021-03-25,4,0,0
2021-03-26,4,2,0
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,6,1,4
2021-03-30,2,0,3
2021-03-31,1,0,2
2021-04-01,1,0,3
2021-04-02,0,0,2
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,0
2021-04-06,0,2,1
2021-04-07,15,0,2
2021-04-08,11,0,5
2021-04-09,1,0,6
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,2,0,10
2021-04-13,12,0,9
2021-04-14,0,0,0
2021-04-15,1,0,6
2021-04-16,1,0,4
2021-04-17,0,0,0
2021-04-18,0,0,1
2021-04-19,3,0,0
2021-04-20,14,0,7
2021-04-21,1,0,8
2021-04-22,5,0,6
2021-04-23,0,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,3,0,3
2021-04-27,0,0,2
2021-04-28,3,0,7
2021-04-29,0,0,10
2021-04-30,2,0,6
2021-05-01,0,0,0
2021-05-02,0,2,0
2021-05-03,0,0,4
2021-05-04,1,2,12
2021-05-05,7,0,5
2021-05-06,0,0,1
2021-05-07,5,0,5
2021-05-08,6,0,3
2021-05-09,0,0,0
2021-05-10,1,0,7
2021-05-11,0,0,13
2021-05-12,1,0,6
2021-05-13,2,0,2
2021-05-14,3,0,2
2021-05-15,0,0,0
2021-05-16,1,0,5
2021-05-17,5,0,7
2021-05-18,2,0,4
2021-05-19,5,0,0
2021-05-20,5,0,2
2021-05-21,4,0,1
2021-05-22,2,0,0
2021-05-23,1,0,4
2021-05-24,14,0,1
2021-05-25,16,0,0
2021-05-26,15,0,8
2021-05-27,7,0,2
2021-05-28,0,0,2
2021-05-29,0,0,0
2021-05-30,0,0,2
2021-05-31,0,2,3
2021-06-01,8,0,2
2021-06-02,3,0,3
2021-06-03,5,1,0
2021-06-04,7,0,5
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,5,1,3
2021-06-08,12,0,18
2021-06-09,2,0,3
2021-06-10,1,0,0
2021-06-11,1,0,1
2021-06-12,0,0,0
2021-06-13,1,0,0
2021-06-14,0,1,1
2021-06-15,14,1,6
2021-06-16,6,0,0
2021-06-17,2,0,0
2021-06-18,3,1,0
2021-06-19,1,1,0
2021-06-20,0,1,0
2021-06-21,3,0,7
2021-06-22,10,0,5
2021-06-23,11,0,2
2021-06-24,4,0,4
2021-06-25,8,0,1
2021-06-26,0,0,0
2021-06-27,0,5,0
2021-06-28,2,0,1
2021-06-29,0,0,3
2021-06-30,4,0,7
2021-07-01,4,1,0
2021-07-02,2,0,6
2021-07-03,0,0,0
2021-07-04,0,2,0
2021-07-05,0,0,0
2021-07-06,2,0,2
2021-07-07,2,0,5
2021-07-08,4,0,1
2021-07-09,3,0,13
2021-07-10,0,0,0
2021-07-11,0,0,3
2021-07-12,0,0,12
2021-07-13,2,0,11
