,ruby/ruby,python/cpython,php/php-src
2016-03-05,3,1,0
2016-03-06,5,15,2
2016-03-07,14,8,5
2016-03-08,12,22,3
2016-03-09,20,4,21
2016-03-10,9,1,28
2016-03-11,7,10,18
2016-03-12,3,9,0
2016-03-13,5,8,8
2016-03-14,10,21,7
2016-03-15,16,15,20
2016-03-16,15,9,14
2016-03-17,30,13,62
2016-03-18,20,17,16
2016-03-19,12,13,0
2016-03-20,8,10,15
2016-03-21,15,10,28
2016-03-22,8,28,9
2016-03-23,8,36,7
2016-03-24,17,19,5
2016-03-25,8,26,13
2016-03-26,6,4,9
2016-03-27,7,14,5
2016-03-28,11,3,4
2016-03-29,13,11,40
2016-03-30,8,13,24
2016-03-31,17,11,13
2016-04-01,4,10,6
2016-04-02,5,4,0
2016-04-03,1,8,13
2016-04-04,10,1,24
2016-04-05,6,8,19
2016-04-06,9,9,31
2016-04-07,9,0,18
2016-04-08,5,10,26
2016-04-09,6,14,13
2016-04-10,8,12,6
2016-04-11,12,19,13
2016-04-12,5,12,22
2016-04-13,14,10,3
2016-04-14,16,12,16
2016-04-15,22,24,10
2016-04-16,6,21,23
2016-04-17,2,9,0
2016-04-18,13,12,23
2016-04-19,6,23,7
2016-04-20,6,8,19
2016-04-21,10,1,14
2016-04-22,17,2,1
2016-04-23,19,15,8
2016-04-24,15,24,7
2016-04-25,9,13,6
2016-04-26,13,13,7
2016-04-27,13,3,27
2016-04-28,7,6,27
2016-04-29,8,11,50
2016-04-30,40,2,7
2016-05-01,19,14,17
2016-05-02,13,8,17
2016-05-03,7,2,14
2016-05-04,11,12,15
2016-05-05,11,4,17
2016-05-06,10,4,21
2016-05-07,6,15,7
2016-05-08,15,15,6
2016-05-09,10,2,8
2016-05-10,4,6,16
2016-05-11,12,9,14
2016-05-12,10,6,24
2016-05-13,6,19,12
2016-05-14,5,3,14
2016-05-15,7,16,4
2016-05-16,9,38,22
2016-05-17,19,22,15
2016-05-18,27,16,6
2016-05-19,11,7,2
2016-05-20,14,18,0
2016-05-21,16,6,3
2016-05-22,13,12,0
2016-05-23,16,2,3
2016-05-24,16,6,11
2016-05-25,14,4,23
2016-05-26,11,11,3
2016-05-27,6,12,3
2016-05-28,13,20,9
2016-05-29,9,10,2
2016-05-30,18,8,18
2016-05-31,9,0,18
2016-06-01,19,12,15
2016-06-02,12,32,28
2016-06-03,5,36,7
2016-06-04,7,54,8
2016-06-05,13,21,12
2016-06-06,9,11,23
2016-06-07,19,10,30
2016-06-08,15,31,14
2016-06-09,12,15,19
2016-06-10,9,17,1
2016-06-11,10,34,3
2016-06-12,7,57,9
2016-06-13,7,21,18
2016-06-14,13,52,21
2016-06-15,6,15,21
2016-06-16,3,4,20
2016-06-17,4,8,17
2016-06-18,11,20,1
2016-06-19,12,4,25
2016-06-20,13,11,33
2016-06-21,10,2,58
2016-06-22,3,14,27
2016-06-23,3,4,14
2016-06-24,10,19,7
2016-06-25,3,17,7
2016-06-26,6,6,25
2016-06-27,6,20,22
2016-06-28,15,6,25
2016-06-29,8,1,9
2016-06-30,10,8,9
2016-07-01,11,7,6
2016-07-02,4,0,0
2016-07-03,2,8,17
2016-07-04,4,0,12
2016-07-05,8,2,57
2016-07-06,20,14,34
2016-07-07,8,9,9
2016-07-08,4,7,33
2016-07-09,6,1,3
2016-07-10,8,22,7
2016-07-11,8,11,43
2016-07-12,7,5,54
2016-07-13,23,0,30
2016-07-14,16,13,43
2016-07-15,11,15,4
2016-07-16,1,11,10
2016-07-17,4,12,36
2016-07-18,2,12,13
2016-07-19,2,9,68
2016-07-20,11,0,38
2016-07-21,5,0,26
2016-07-22,11,8,38
2016-07-23,4,12,44
2016-07-24,5,2,20
2016-07-25,3,15,38
2016-07-26,17,7,13
2016-07-27,1,4,45
2016-07-28,7,12,51
2016-07-29,3,10,23
2016-07-30,4,9,27
2016-07-31,3,8,5
2016-08-01,8,0,5
2016-08-02,7,4,36
2016-08-03,10,11,65
2016-08-04,2,12,24
2016-08-05,8,9,18
2016-08-06,3,9,15
2016-08-07,7,3,28
2016-08-08,6,12,15
2016-08-09,12,16,28
2016-08-10,7,17,15
2016-08-11,8,2,34
2016-08-12,8,13,15
2016-08-13,8,6,16
2016-08-14,5,18,24
2016-08-15,5,16,11
2016-08-16,9,33,47
2016-08-17,7,26,87
2016-08-18,4,6,46
2016-08-19,7,42,25
2016-08-20,6,18,15
2016-08-21,3,19,28
2016-08-22,7,22,7
2016-08-23,4,24,16
2016-08-24,11,24,4
2016-08-25,2,6,26
2016-08-26,10,8,12
2016-08-27,1,9,5
2016-08-28,2,0,12
2016-08-29,7,10,71
2016-08-30,12,16,39
2016-08-31,6,19,38
2016-09-01,8,7,27
2016-09-02,1,16,38
2016-09-03,4,13,19
2016-09-04,6,8,10
2016-09-05,4,52,63
2016-09-06,5,73,23
2016-09-07,19,82,3
2016-09-08,12,105,20
2016-09-09,11,112,33
2016-09-10,2,83,15
2016-09-11,7,72,31
2016-09-12,8,54,21
2016-09-13,13,48,79
2016-09-14,5,29,31
2016-09-15,3,44,16
2016-09-16,8,18,19
2016-09-17,4,32,5
2016-09-18,5,24,3
2016-09-19,4,28,19
2016-09-20,6,14,7
2016-09-21,6,23,14
2016-09-22,5,18,28
2016-09-23,16,19,45
2016-09-24,10,13,24
2016-09-25,7,6,12
2016-09-26,11,27,34
2016-09-27,15,21,7
2016-09-28,8,30,37
2016-09-29,10,16,15
2016-09-30,7,33,32
2016-10-01,11,13,10
2016-10-02,1,39,6
2016-10-03,10,10,10
2016-10-04,8,26,7
2016-10-05,9,20,27
2016-10-06,15,21,11
2016-10-07,3,18,17
2016-10-08,4,31,16
2016-10-09,5,29,4
2016-10-10,6,17,26
2016-10-11,10,15,26
2016-10-12,11,9,72
2016-10-13,6,14,70
2016-10-14,9,12,32
2016-10-15,7,11,17
2016-10-16,1,9,12
2016-10-17,3,9,58
2016-10-18,7,16,39
2016-10-19,5,26,11
2016-10-20,6,21,29
2016-10-21,9,38,9
2016-10-22,7,12,5
2016-10-23,3,19,9
2016-10-24,7,10,9
2016-10-25,4,47,16
2016-10-26,5,9,14
2016-10-27,8,21,20
2016-10-28,13,21,11
2016-10-29,5,23,23
2016-10-30,3,28,21
2016-10-31,7,18,12
2016-11-01,10,7,18
2016-11-02,2,14,4
2016-11-03,4,16,9
2016-11-04,8,10,18
2016-11-05,53,7,14
2016-11-06,29,20,14
2016-11-07,17,21,15
2016-11-08,14,27,12
2016-11-09,1,41,17
2016-11-10,15,12,16
2016-11-11,21,17,0
2016-11-12,30,12,35
2016-11-13,10,13,22
2016-11-14,11,18,4
2016-11-15,8,22,2
2016-11-16,10,27,58
2016-11-17,5,15,56
2016-11-18,10,5,35
2016-11-19,12,6,4
2016-11-20,8,52,50
2016-11-21,13,63,38
2016-11-22,10,30,40
2016-11-23,10,5,4
2016-11-24,6,11,33
2016-11-25,1,10,17
2016-11-26,5,6,20
2016-11-27,5,0,28
2016-11-28,8,10,10
2016-11-29,23,9,1
2016-11-30,12,1,12
2016-12-01,11,6,27
2016-12-02,4,10,26
2016-12-03,9,8,15
2016-12-04,9,9,17
2016-12-05,6,11,6
2016-12-06,17,25,41
2016-12-07,15,19,24
2016-12-08,8,30,14
2016-12-09,7,17,12
2016-12-10,12,21,4
2016-12-11,2,14,13
2016-12-12,15,7,27
2016-12-13,4,11,11
2016-12-14,9,12,13
2016-12-15,6,29,8
2016-12-16,9,34,24
2016-12-17,12,13,16
2016-12-18,3,11,19
2016-12-19,4,21,8
2016-12-20,14,7,18
2016-12-21,16,9,22
2016-12-22,11,12,19
2016-12-23,6,9,1
2016-12-24,9,16,0
2016-12-25,10,6,0
2016-12-26,14,2,11
2016-12-27,8,30,9
2016-12-28,2,20,10
2016-12-29,6,4,19
2016-12-30,1,15,16
2016-12-31,6,14,19
2017-01-01,6,3,40
2017-01-02,4,47,28
2017-01-03,9,21,52
2017-01-04,4,7,38
2017-01-05,4,4,33
2017-01-06,4,17,80
2017-01-07,8,5,52
2017-01-08,8,15,24
2017-01-09,3,25,54
2017-01-10,8,8,43
2017-01-11,9,16,10
2017-01-12,4,18,20
2017-01-13,8,20,28
2017-01-14,8,11,10
2017-01-15,5,2,7
2017-01-16,7,16,26
2017-01-17,3,25,20
2017-01-18,7,24,28
2017-01-19,10,8,9
2017-01-20,10,14,11
2017-01-21,3,6,15
2017-01-22,6,7,13
2017-01-23,16,27,11
2017-01-24,4,15,6
2017-01-25,7,7,10
2017-01-26,9,2,12
2017-01-27,12,5,6
2017-01-28,7,1,8
2017-01-29,6,17,5
2017-01-30,16,2,22
2017-01-31,15,6,16
2017-02-01,7,17,33
2017-02-02,14,20,20
2017-02-03,14,1,35
2017-02-04,13,35,1
2017-02-05,11,7,6
2017-02-06,5,14,4
2017-02-07,13,9,13
2017-02-08,5,6,7
2017-02-09,9,10,1
2017-02-10,11,21,8
2017-02-11,7,5,17
2017-02-12,9,7,21
2017-02-13,11,6,6
2017-02-14,5,8,2
2017-02-15,6,10,20
2017-02-16,6,5,13
2017-02-17,6,0,8
2017-02-18,6,3,3
2017-02-19,1,3,3
2017-02-20,13,7,0
2017-02-21,11,7,9
2017-02-22,10,6,9
2017-02-23,8,6,9
2017-02-24,12,7,15
2017-02-25,7,9,6
2017-02-26,3,10,3
2017-02-27,18,6,6
2017-02-28,7,6,7
2017-03-01,11,13,13
2017-03-02,6,14,26
2017-03-03,7,17,4
2017-03-04,10,8,1
