,dropwizard/dropwizard,spring-projects/spring-boot,apache/tomee
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,4,0
2020-11-24,0,0,0
2020-11-25,0,10,1
2020-11-26,4,3,2
2020-11-27,0,2,0
2020-11-28,0,0,1
2020-11-29,0,0,0
2020-11-30,0,8,0
2020-12-01,0,1,5
2020-12-02,0,4,5
2020-12-03,0,2,5
2020-12-04,0,8,0
2020-12-05,0,14,0
2020-12-06,0,0,0
2020-12-07,0,44,1
2020-12-08,1,36,7
2020-12-09,1,44,8
2020-12-10,1,60,5
2020-12-11,0,27,8
2020-12-12,1,0,0
2020-12-13,0,0,0
2020-12-14,0,15,1
2020-12-15,1,24,8
2020-12-16,0,26,3
2020-12-17,0,6,0
2020-12-18,0,20,3
2020-12-19,0,10,0
2020-12-20,4,0,0
2020-12-21,0,26,1
2020-12-22,0,19,0
2020-12-23,0,17,5
2020-12-24,0,2,0
2020-12-25,0,0,0
2020-12-26,3,0,0
2020-12-27,3,0,0
2020-12-28,1,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,1,0,0
2021-01-01,1,4,0
2021-01-02,2,0,0
2021-01-03,0,4,0
2021-01-04,1,7,1
2021-01-05,0,17,1
2021-01-06,1,23,0
2021-01-07,0,27,0
2021-01-08,0,13,1
2021-01-09,6,0,5
2021-01-10,0,1,0
2021-01-11,1,39,3
2021-01-12,1,64,2
2021-01-13,0,21,5
2021-01-14,0,37,3
2021-01-15,0,26,1
2021-01-16,0,0,1
2021-01-17,0,3,0
2021-01-18,2,20,3
2021-01-19,0,10,0
2021-01-20,0,54,1
2021-01-21,0,22,0
2021-01-22,0,13,4
2021-01-23,0,1,1
2021-01-24,2,0,1
2021-01-25,1,0,6
2021-01-26,1,13,0
2021-01-27,0,12,0
2021-01-28,1,19,2
2021-01-29,0,21,0
2021-01-30,0,4,0
2021-01-31,0,9,1
2021-02-01,4,6,3
2021-02-02,0,18,5
2021-02-03,0,2,0
2021-02-04,0,10,0
2021-02-05,0,3,1
2021-02-06,4,0,0
2021-02-07,1,0,0
2021-02-08,0,0,0
2021-02-09,0,28,0
2021-02-10,0,36,0
2021-02-11,0,13,0
2021-02-12,1,74,2
2021-02-13,0,0,0
2021-02-14,0,6,0
2021-02-15,0,31,0
2021-02-16,0,38,0
2021-02-17,0,54,0
2021-02-18,0,38,0
2021-02-19,0,8,0
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,0,13,0
2021-02-23,0,5,1
2021-02-24,1,9,0
2021-02-25,0,29,0
2021-02-26,0,13,0
2021-02-27,4,6,2
2021-02-28,2,0,0
2021-03-01,0,19,1
2021-03-02,0,0,1
2021-03-03,0,13,0
2021-03-04,0,12,5
2021-03-05,0,35,2
2021-03-06,0,7,0
2021-03-07,4,0,0
2021-03-08,0,6,8
2021-03-09,1,17,3
2021-03-10,0,23,0
2021-03-11,1,21,2
2021-03-12,0,4,6
2021-03-13,0,4,3
2021-03-14,1,3,2
2021-03-15,0,31,1
2021-03-16,0,70,2
2021-03-17,5,43,0
2021-03-18,1,16,1
2021-03-19,0,9,0
2021-03-20,1,0,1
2021-03-21,2,0,0
2021-03-22,0,8,1
2021-03-23,0,22,3
2021-03-24,0,23,1
2021-03-25,0,3,2
2021-03-26,0,8,2
2021-03-27,0,4,1
2021-03-28,0,0,3
2021-03-29,0,20,0
2021-03-30,0,20,0
2021-03-31,0,8,0
2021-04-01,0,20,0
2021-04-02,0,0,4
2021-04-03,1,0,13
2021-04-04,0,4,1
2021-04-05,1,4,3
2021-04-06,0,20,2
2021-04-07,0,25,8
2021-04-08,0,24,2
2021-04-09,0,78,0
2021-04-10,2,11,1
2021-04-11,0,1,0
2021-04-12,0,37,1
2021-04-13,0,65,2
2021-04-14,0,54,1
2021-04-15,0,33,0
2021-04-16,0,10,2
2021-04-17,0,0,2
2021-04-18,0,0,4
2021-04-19,0,17,1
2021-04-20,0,22,6
2021-04-21,0,8,7
2021-04-22,0,16,7
2021-04-23,0,1,0
2021-04-24,2,3,2
2021-04-25,4,1,3
2021-04-26,0,7,6
2021-04-27,0,23,3
2021-04-28,0,28,1
2021-04-29,0,23,2
2021-04-30,1,26,6
2021-05-01,0,3,2
2021-05-02,0,0,5
2021-05-03,0,2,14
2021-05-04,1,16,0
2021-05-05,1,3,0
2021-05-06,1,10,0
2021-05-07,0,13,0
2021-05-08,0,0,0
2021-05-09,0,0,0
2021-05-10,1,20,1
2021-05-11,0,30,1
2021-05-12,0,21,3
2021-05-13,0,8,0
2021-05-14,1,12,0
2021-05-15,0,8,0
2021-05-16,0,5,0
2021-05-17,0,130,0
2021-05-18,2,24,0
2021-05-19,2,44,4
2021-05-20,4,17,1
2021-05-21,1,1,1
2021-05-22,0,0,0
2021-05-23,1,2,0
2021-05-24,2,6,0
2021-05-25,0,11,0
2021-05-26,0,16,2
2021-05-27,0,10,0
2021-05-28,0,10,3
2021-05-29,1,0,0
2021-05-30,0,0,0
2021-05-31,0,4,0
2021-06-01,2,4,0
2021-06-02,0,11,0
2021-06-03,2,7,1
2021-06-04,1,14,0
2021-06-05,0,5,0
2021-06-06,3,11,0
2021-06-07,0,13,5
2021-06-08,0,24,3
2021-06-09,1,43,1
2021-06-10,1,23,5
2021-06-11,3,24,1
2021-06-12,1,15,0
2021-06-13,0,0,0
2021-06-14,0,38,0
2021-06-15,2,15,0
2021-06-16,5,21,4
2021-06-17,2,18,3
2021-06-18,0,9,0
2021-06-19,0,2,0
2021-06-20,6,0,0
2021-06-21,3,29,0
2021-06-22,2,41,0
2021-06-23,1,32,2
2021-06-24,0,78,2
2021-06-25,0,6,2
2021-06-26,0,0,5
2021-06-27,0,0,0
2021-06-28,0,3,0
2021-06-29,0,13,1
2021-06-30,0,0,2
2021-07-01,0,7,0
2021-07-02,0,3,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,0,0
2021-07-06,1,5,0
2021-07-07,0,2,8
2021-07-08,1,38,1
2021-07-09,0,32,0
2021-07-10,1,10,0
2021-07-11,3,11,0
2021-07-12,0,45,0
2021-07-13,0,41,0
2021-07-14,0,25,0
2021-07-15,0,40,1
2021-07-16,0,22,1
2021-07-17,0,0,0
2021-07-18,1,0,0
2021-07-19,0,53,0
2021-07-20,0,17,0
2021-07-21,0,13,0
2021-07-22,0,37,0
2021-07-23,1,18,0
2021-07-24,0,4,0
2021-07-25,0,0,0
2021-07-26,2,27,0
2021-07-27,0,10,0
2021-07-28,1,0,0
2021-07-29,2,19,0
2021-07-30,0,4,0
2021-07-31,1,0,0
2021-08-01,0,0,0
2021-08-02,0,4,0
2021-08-03,0,1,0
2021-08-04,0,8,2
2021-08-05,0,21,0
2021-08-06,0,4,0
2021-08-07,0,3,0
2021-08-08,0,0,0
2021-08-09,0,15,0
2021-08-10,1,23,0
2021-08-11,3,6,0
2021-08-12,0,32,0
2021-08-13,2,9,0
2021-08-14,0,0,0
2021-08-15,1,0,0
2021-08-16,1,34,0
2021-08-17,0,41,0
2021-08-18,0,35,0
2021-08-19,0,14,0
2021-08-20,1,11,0
2021-08-21,0,0,0
2021-08-22,1,0,0
2021-08-23,0,18,0
2021-08-24,0,2,0
2021-08-25,0,6,0
2021-08-26,0,0,1
2021-08-27,0,0,0
2021-08-28,4,5,0
2021-08-29,0,0,0
2021-08-30,0,0,0
2021-08-31,0,1,6
2021-09-01,5,0,0
2021-09-02,0,5,0
2021-09-03,0,0,0
2021-09-04,0,0,0
2021-09-05,0,18,0
2021-09-06,0,12,0
2021-09-07,0,6,1
2021-09-08,2,6,0
2021-09-09,0,29,0
2021-09-10,0,17,0
2021-09-11,0,2,0
2021-09-12,4,4,0
2021-09-13,12,28,0
2021-09-14,14,28,4
2021-09-15,2,34,5
2021-09-16,2,36,0
2021-09-17,0,13,0
2021-09-18,0,0,0
2021-09-19,2,0,0
2021-09-20,0,17,3
2021-09-21,0,45,2
2021-09-22,0,28,5
2021-09-23,4,22,0
2021-09-24,15,2,1
2021-09-25,1,0,0
2021-09-26,3,3,0
2021-09-27,0,0,3
2021-09-28,0,4,0
2021-09-29,0,0,0
2021-09-30,1,6,1
2021-10-01,0,21,1
2021-10-02,1,0,0
2021-10-03,0,3,1
2021-10-04,1,3,2
2021-10-05,1,24,2
2021-10-06,0,8,0
2021-10-07,0,20,2
2021-10-08,4,28,1
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,0,25,0
2021-10-12,2,14,0
2021-10-13,0,13,0
2021-10-14,0,60,1
2021-10-15,0,21,0
2021-10-16,0,0,0
2021-10-17,26,0,0
2021-10-18,5,28,0
2021-10-19,4,46,1
2021-10-20,0,19,1
2021-10-21,0,53,0
