,plotly/plotly.js,apache/echarts,highcharts/highcharts
2017-06-30,21,1.0,0
2017-07-01,0,0.0,0
2017-07-02,0,2.0,0
2017-07-03,2,0.0,1
2017-07-04,0,0.0,0
2017-07-05,5,1.0,0
2017-07-06,9,3.0,0
2017-07-07,11,0.0,0
2017-07-08,0,0.0,0
2017-07-09,0,0.0,0
2017-07-10,8,1.0,0
2017-07-11,7,1.0,0
2017-07-12,3,1.0,0
2017-07-13,17,0.0,9
2017-07-14,6,1.0,0
2017-07-15,0,1.0,0
2017-07-16,0,1.0,0
2017-07-17,8,0.0,13
2017-07-18,16,2.0,10
2017-07-19,15,0.0,2
2017-07-20,2,3.0,0
2017-07-21,5,0.0,0
2017-07-22,0,1.0,0
2017-07-23,0,1.0,0
2017-07-24,3,0.0,3
2017-07-25,13,3.0,6
2017-07-26,9,8.0,0
2017-07-27,6,0.0,10
2017-07-28,3,0.0,10
2017-07-29,0,0.0,0
2017-07-30,0,2.0,0
2017-07-31,0,0.0,6
2017-08-01,8,1.0,8
2017-08-02,8,1.0,12
2017-08-03,3,2.0,13
2017-08-04,10,0.0,11
2017-08-05,13,0.0,1
2017-08-06,0,0.0,0
2017-08-07,9,2.0,13
2017-08-08,8,4.0,13
2017-08-09,0,0.0,5
2017-08-10,5,4.0,9
2017-08-11,2,4.0,4
2017-08-12,0,4.0,0
2017-08-13,0,0.0,0
2017-08-14,16,4.0,9
2017-08-15,11,7.0,1
2017-08-16,3,2.0,13
2017-08-17,0,0.0,8
2017-08-18,0,2.0,9
2017-08-19,0,0.0,0
2017-08-20,0,4.0,0
2017-08-21,2,6.0,16
2017-08-22,1,7.0,7
2017-08-23,2,5.0,14
2017-08-24,2,6.0,7
2017-08-25,1,1.0,18
2017-08-26,0,0.0,0
2017-08-27,0,0.0,0
2017-08-28,2,0.0,15
2017-08-29,0,5.0,17
2017-08-30,2,2.0,25
2017-08-31,1,6.0,31
2017-09-01,3,2.0,16
2017-09-02,0,0.0,0
2017-09-03,0,0.0,0
2017-09-04,0,1.0,13
2017-09-05,7,0.0,15
2017-09-06,5,5.0,11
2017-09-07,1,0.0,2
2017-09-08,1,8.0,4
2017-09-09,0,0.0,0
2017-09-10,0,0.0,0
2017-09-11,1,2.0,11
2017-09-12,2,0.0,15
2017-09-13,25,2.0,21
2017-09-14,3,2.0,21
2017-09-15,6,6.0,14
2017-09-16,0,0.0,4
2017-09-17,0,0.0,0
2017-09-18,3,0.0,13
2017-09-19,15,0.0,9
2017-09-20,23,0.0,15
2017-09-21,4,0.0,4
2017-09-22,28,1.0,5
2017-09-23,0,0.0,0
2017-09-24,0,0.0,0
2017-09-25,9,5.0,9
2017-09-26,2,5.0,25
2017-09-27,10,4.0,14
2017-09-28,15,3.0,36
2017-09-29,3,0.0,41
2017-09-30,5,0.0,16
2017-10-01,0,0.0,3
2017-10-02,8,0.0,42
2017-10-03,20,0.0,19
2017-10-04,23,0.0,24
2017-10-05,27,0.0,13
2017-10-06,19,0.0,9
2017-10-07,0,0.0,11
2017-10-08,0,0.0,3
2017-10-09,12,2.0,0
2017-10-10,9,2.0,3
2017-10-11,0,5.0,1
2017-10-12,5,13.0,7
2017-10-13,1,3.0,11
2017-10-14,0,3.0,3
2017-10-15,1,0.0,13
2017-10-16,14,4.0,7
2017-10-17,9,2.0,10
2017-10-18,14,1.0,12
2017-10-19,14,0.0,13
2017-10-20,19,3.0,9
2017-10-21,0,0.0,1
2017-10-22,0,3.0,3
2017-10-23,23,2.0,6
2017-10-24,14,3.0,1
2017-10-25,7,0.0,0
2017-10-26,13,2.0,1
2017-10-27,8,1.0,0
2017-10-28,0,0.0,3
