,home-assistant/core,node-red/node-red,ioBroker/ioBroker
2018-11-12,11,5,0
2018-11-13,10,10,0
2018-11-14,9,7,0
2018-11-15,18,3,0
2018-11-16,9,1,0
2018-11-17,4,0,0
2018-11-18,4,0,1
2018-11-19,19,0,1
2018-11-20,12,0,0
2018-11-21,15,0,0
2018-11-22,10,0,0
2018-11-23,11,0,0
2018-11-24,9,0,0
2018-11-25,12,0,0
2018-11-26,14,0,0
2018-11-27,29,0,1
2018-11-28,12,0,0
2018-11-29,39,1,4
2018-11-30,22,8,0
2018-12-01,24,1,0
2018-12-02,32,0,0
2018-12-03,30,0,0
2018-12-04,22,3,0
2018-12-05,23,6,2
2018-12-06,14,4,0
2018-12-07,21,14,0
2018-12-08,5,2,0
2018-12-09,14,2,0
2018-12-10,27,6,0
2018-12-11,11,4,0
2018-12-12,20,0,0
2018-12-13,14,9,0
2018-12-14,36,0,0
2018-12-15,5,0,2
2018-12-16,9,0,0
2018-12-17,35,2,0
2018-12-18,12,8,0
2018-12-19,25,3,0
2018-12-20,8,3,0
2018-12-21,7,3,2
2018-12-22,14,1,0
2018-12-23,9,0,0
2018-12-24,3,0,0
2018-12-25,9,0,0
2018-12-26,11,0,0
2018-12-27,11,0,0
2018-12-28,7,0,0
2018-12-29,7,0,0
2018-12-30,12,0,0
2018-12-31,2,0,1
2019-01-01,6,1,4
2019-01-02,4,1,1
2019-01-03,6,0,2
2019-01-04,12,0,0
2019-01-05,8,0,0
2019-01-06,9,0,0
2019-01-07,20,5,1
2019-01-08,18,3,0
2019-01-09,29,3,1
2019-01-10,12,4,0
2019-01-11,53,3,3
2019-01-12,18,0,0
2019-01-13,18,0,3
2019-01-14,16,0,0
2019-01-15,12,0,10
2019-01-16,24,5,13
2019-01-17,15,5,0
2019-01-18,5,2,0
2019-01-19,6,0,0
2019-01-20,9,2,26
2019-01-21,35,4,5
2019-01-22,17,3,9
2019-01-23,16,2,4
2019-01-24,21,0,3
2019-01-25,19,2,4
2019-01-26,28,3,0
2019-01-27,16,1,0
2019-01-28,8,5,0
2019-01-29,26,5,4
2019-01-30,15,5,4
2019-01-31,13,0,3
2019-02-01,24,3,0
2019-02-02,22,0,0
2019-02-03,20,0,3
2019-02-04,13,8,1
2019-02-05,20,7,0
2019-02-06,16,6,0
2019-02-07,18,14,0
2019-02-08,14,11,0
2019-02-09,9,4,0
2019-02-10,25,0,0
2019-02-11,15,2,0
2019-02-12,19,1,0
2019-02-13,15,2,0
2019-02-14,23,1,0
2019-02-15,28,4,4
2019-02-16,10,0,9
2019-02-17,28,1,0
2019-02-18,24,0,3
2019-02-19,23,2,0
2019-02-20,18,1,0
2019-02-21,16,1,4
2019-02-22,19,0,0
2019-02-23,23,0,3
2019-02-24,15,0,2
2019-02-25,10,3,2
2019-02-26,23,3,0
2019-02-27,23,2,3
2019-02-28,39,3,4
2019-03-01,22,1,5
2019-03-02,17,0,0
2019-03-03,12,4,8
2019-03-04,38,7,5
2019-03-05,21,18,1
2019-03-06,11,4,6
2019-03-07,27,10,0
2019-03-08,24,0,0
2019-03-09,17,0,0
