,pytorch/pytorch,tensorflow/tensorflow,apache/mxnet
2016-09-25,7,5,0
2016-09-26,8,49,2
2016-09-27,16,68,1
2016-09-28,5,47,1
2016-09-29,13,69,4
2016-09-30,18,55,1
2016-10-01,5,10,2
2016-10-02,5,5,1
2016-10-03,11,30,2
2016-10-04,3,44,2
2016-10-05,9,34,2
2016-10-06,2,57,2
2016-10-07,34,48,2
2016-10-08,2,17,1
2016-10-09,2,7,0
2016-10-10,3,42,2
2016-10-11,5,69,1
2016-10-12,3,73,4
2016-10-13,10,62,0
2016-10-14,16,71,1
2016-10-15,2,22,5
2016-10-16,4,27,2
2016-10-17,17,44,6
2016-10-18,5,70,3
2016-10-19,9,103,3
2016-10-20,0,58,1
2016-10-21,0,63,1
2016-10-22,3,38,0
2016-10-23,1,26,1
2016-10-24,24,64,6
2016-10-25,7,69,1
2016-10-26,10,62,4
2016-10-27,8,67,1
2016-10-28,4,61,1
2016-10-29,5,16,1
2016-10-30,1,6,3
2016-10-31,6,70,4
2016-11-01,13,58,1
2016-11-02,12,58,0
2016-11-03,10,70,2
2016-11-04,0,67,2
2016-11-05,4,5,2
2016-11-06,1,5,2
2016-11-07,13,18,3
2016-11-08,79,9,4
2016-11-09,5,107,6
2016-11-10,9,42,4
2016-11-11,29,47,4
2016-11-12,0,31,3
2016-11-13,4,3,1
2016-11-14,3,46,3
2016-11-15,25,64,6
2016-11-16,13,151,7
2016-11-17,6,68,7
2016-11-18,8,54,11
2016-11-19,4,22,5
2016-11-20,0,17,3
2016-11-21,10,44,7
2016-11-22,9,70,6
2016-11-23,7,69,8
2016-11-24,9,30,8
2016-11-25,1,13,4
2016-11-26,9,8,0
2016-11-27,0,4,2
2016-11-28,8,47,2
2016-11-29,39,59,7
2016-11-30,3,57,3
2016-12-01,26,73,1
2016-12-02,5,70,4
2016-12-03,1,26,7
2016-12-04,0,3,2
2016-12-05,20,56,1
2016-12-06,8,44,4
2016-12-07,2,110,10
2016-12-08,3,84,3
2016-12-09,4,59,4
2016-12-10,0,31,3
2016-12-11,4,7,2
2016-12-12,5,36,0
2016-12-13,17,50,1
2016-12-14,24,46,0
2016-12-15,39,59,5
2016-12-16,17,69,3
2016-12-17,7,28,3
2016-12-18,2,5,4
2016-12-19,17,35,3
2016-12-20,30,37,4
2016-12-21,19,64,3
2016-12-22,26,57,3
2016-12-23,7,17,4
2016-12-24,4,6,1
2016-12-25,4,4,0
2016-12-26,4,3,2
2016-12-27,24,26,2
2016-12-28,17,25,2
2016-12-29,36,28,110
2016-12-30,23,14,14
2016-12-31,34,5,6
2017-01-01,10,5,8
2017-01-02,8,0,1
2017-01-03,27,28,6
2017-01-04,72,52,8
2017-01-05,35,33,2
2017-01-06,6,49,6
2017-01-07,1,12,8
2017-01-08,0,10,5
2017-01-09,9,27,6
2017-01-10,9,53,6
2017-01-11,8,47,7
2017-01-12,8,51,4
2017-01-13,22,57,3
2017-01-14,4,10,2
2017-01-15,2,9,4
2017-01-16,16,9,4
2017-01-17,22,51,1
2017-01-18,29,43,3
2017-01-19,16,68,8
2017-01-20,17,63,6
2017-01-21,4,10,8
2017-01-22,9,7,7
2017-01-23,11,20,2
2017-01-24,25,54,4
2017-01-25,20,50,8
2017-01-26,13,37,8
2017-01-27,20,51,12
2017-01-28,17,15,6
2017-01-29,11,8,5
2017-01-30,8,32,3
2017-01-31,54,46,2
2017-02-01,23,71,2
2017-02-02,16,54,4
2017-02-03,7,71,1
2017-02-04,4,19,6
2017-02-05,0,7,2
2017-02-06,9,66,5
2017-02-07,19,133,8
2017-02-08,12,71,3
2017-02-09,20,55,1
2017-02-10,15,75,3
2017-02-11,5,40,0
2017-02-12,2,9,2
2017-02-13,9,27,2
2017-02-14,32,94,2
2017-02-15,14,61,4
2017-02-16,35,50,3
2017-02-17,25,38,0
2017-02-18,5,11,5
2017-02-19,0,9,7
2017-02-20,9,9,0
2017-02-21,26,29,5
2017-02-22,18,69,7
2017-02-23,63,43,3
2017-02-24,8,38,7
2017-02-25,8,16,3
2017-02-26,14,1,0
2017-02-27,15,46,2
2017-02-28,34,38,11
2017-03-01,19,63,4
2017-03-02,27,48,4
2017-03-03,25,52,7
2017-03-04,9,20,1
2017-03-05,10,18,6
2017-03-06,14,22,4
2017-03-07,21,48,1
2017-03-08,16,46,1
2017-03-09,16,39,5
2017-03-10,16,43,8
2017-03-11,7,18,6
2017-03-12,5,5,4
2017-03-13,21,40,7
2017-03-14,18,56,5
2017-03-15,25,56,10
2017-03-16,15,61,7
2017-03-17,17,44,5
2017-03-18,1,13,6
2017-03-19,3,2,3
2017-03-20,8,47,5
2017-03-21,7,34,7
2017-03-22,28,62,8
2017-03-23,26,52,8
2017-03-24,34,39,7
2017-03-25,4,11,2
2017-03-26,4,5,2
2017-03-27,19,43,4
2017-03-28,19,62,6
2017-03-29,27,55,11
2017-03-30,12,55,5
2017-03-31,20,78,7
2017-04-01,4,18,3
2017-04-02,3,2,4
2017-04-03,18,34,10
2017-04-04,15,31,4
2017-04-05,17,30,8
2017-04-06,31,36,4
2017-04-07,20,42,2
2017-04-08,12,16,6
2017-04-09,5,3,3
2017-04-10,6,44,10
2017-04-11,33,49,5
2017-04-12,32,35,12
2017-04-13,12,35,12
2017-04-14,13,39,12
2017-04-15,3,8,6
2017-04-16,3,10,2
2017-04-17,21,39,7
2017-04-18,44,45,5
2017-04-19,32,42,8
2017-04-20,26,55,7
2017-04-21,7,26,6
