,AvaloniaUI/Avalonia,electron/electron,nwjs/nw.js
2017-12-05,5,43,0
2017-12-06,6,17,0
2017-12-07,6,9,2
2017-12-08,8,10,0
2017-12-09,4,0,0
2017-12-10,7,7,0
2017-12-11,2,16,3
2017-12-12,8,20,0
2017-12-13,4,16,0
2017-12-14,0,3,2
2017-12-15,9,1,4
2017-12-16,4,2,0
2017-12-17,0,0,0
2017-12-18,0,6,0
2017-12-19,0,26,0
2017-12-20,9,23,1
2017-12-21,9,7,0
2017-12-22,1,6,2
2017-12-23,4,0,0
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,0,3,0
2017-12-28,0,3,0
2017-12-29,0,0,0
2017-12-30,0,0,0
2017-12-31,1,2,0
2018-01-01,2,11,0
2018-01-02,0,37,1
2018-01-03,0,9,1
2018-01-04,0,5,5
2018-01-05,0,3,0
2018-01-06,1,1,0
2018-01-07,1,1,1
2018-01-08,3,5,1
2018-01-09,0,1,4
2018-01-10,0,23,1
2018-01-11,1,1,1
2018-01-12,0,1,2
2018-01-13,0,0,0
2018-01-14,4,1,1
2018-01-15,2,0,2
2018-01-16,1,0,4
2018-01-17,1,10,4
2018-01-18,2,6,0
2018-01-19,3,4,1
2018-01-20,4,0,6
2018-01-21,14,0,0
2018-01-22,8,3,0
2018-01-23,2,5,0
2018-01-24,4,2,1
2018-01-25,2,7,1
2018-01-26,2,5,0
2018-01-27,7,9,0
2018-01-28,11,2,2
2018-01-29,2,19,3
2018-01-30,0,5,2
2018-01-31,6,2,0
2018-02-01,2,19,0
2018-02-02,2,4,0
2018-02-03,0,2,0
2018-02-04,1,0,1
2018-02-05,0,25,6
2018-02-06,0,14,1
2018-02-07,3,2,0
2018-02-08,0,7,3
2018-02-09,0,5,0
2018-02-10,1,22,1
2018-02-11,0,3,0
2018-02-12,10,19,0
2018-02-13,12,6,1
2018-02-14,4,7,0
2018-02-15,1,9,1
2018-02-16,1,9,2
2018-02-17,4,0,0
2018-02-18,9,4,2
2018-02-19,4,24,0
2018-02-20,1,36,0
2018-02-21,0,24,0
2018-02-22,0,20,0
2018-02-23,4,63,1
2018-02-24,10,0,8
2018-02-25,8,2,0
2018-02-26,5,7,1
2018-02-27,1,7,0
2018-02-28,2,3,1
2018-03-01,5,1,0
2018-03-02,4,3,0
2018-03-03,8,0,0
2018-03-04,7,1,0
2018-03-05,17,7,1
2018-03-06,2,39,0
2018-03-07,9,13,2
2018-03-08,6,6,0
2018-03-09,3,27,0
2018-03-10,5,1,0
2018-03-11,4,0,0
2018-03-12,1,3,0
2018-03-13,4,13,0
2018-03-14,3,13,2
2018-03-15,0,8,0
2018-03-16,2,6,0
2018-03-17,6,1,0
2018-03-18,5,0,0
2018-03-19,11,8,2
