,seleniumhq/selenium,puppeteer/puppeteer,gocolly/colly
2017-09-28,6,1,1
2017-09-29,5,6,14
2017-09-30,0,2,1
2017-10-01,0,1,0
2017-10-02,6,5,0
2017-10-03,10,1,0
2017-10-04,15,1,2
2017-10-05,3,1,14
2017-10-06,23,3,6
2017-10-07,0,5,2
2017-10-08,0,0,7
2017-10-09,9,3,9
2017-10-10,0,13,3
2017-10-11,18,5,2
2017-10-12,2,5,11
2017-10-13,2,5,7
2017-10-14,3,2,2
2017-10-15,0,1,3
2017-10-16,0,3,5
2017-10-17,0,6,5
2017-10-18,2,9,10
2017-10-19,3,0,0
2017-10-20,6,5,0
2017-10-21,1,2,2
2017-10-22,4,1,4
2017-10-23,6,1,0
2017-10-24,13,7,4
2017-10-25,23,1,4
2017-10-26,6,2,1
2017-10-27,8,6,2
2017-10-28,7,0,1
2017-10-29,8,0,2
2017-10-30,1,1,6
2017-10-31,9,5,3
2017-11-01,1,5,2
2017-11-02,27,2,6
2017-11-03,16,4,2
2017-11-04,0,3,1
2017-11-05,0,0,0
2017-11-06,8,1,0
2017-11-07,3,10,3
2017-11-08,3,3,2
2017-11-09,3,1,0
2017-11-10,6,5,3
2017-11-11,2,2,3
2017-11-12,3,0,2
2017-11-13,4,0,2
2017-11-14,1,1,6
2017-11-15,4,1,5
2017-11-16,8,1,1
2017-11-17,22,3,1
2017-11-18,6,0,7
2017-11-19,1,1,0
2017-11-20,2,2,0
2017-11-21,3,2,0
2017-11-22,9,0,4
2017-11-23,6,2,1
2017-11-24,1,0,3
2017-11-25,5,0,0
2017-11-26,0,0,0
2017-11-27,10,0,0
2017-11-28,17,0,0
2017-11-29,2,0,2
2017-11-30,10,0,0
2017-12-01,9,0,0
2017-12-02,4,0,4
2017-12-03,4,0,1
2017-12-04,0,8,0
2017-12-05,0,0,0
2017-12-06,10,1,0
2017-12-07,8,1,0
2017-12-08,6,4,0
2017-12-09,0,4,0
2017-12-10,3,0,2
2017-12-11,1,1,3
2017-12-12,1,1,0
2017-12-13,5,0,0
2017-12-14,1,0,2
2017-12-15,3,5,0
2017-12-16,5,1,0
2017-12-17,4,0,2
2017-12-18,2,1,4
2017-12-19,0,1,3
2017-12-20,0,7,2
2017-12-21,5,0,4
2017-12-22,4,1,0
2017-12-23,0,0,2
2017-12-24,0,0,0
2017-12-25,1,0,1
2017-12-26,0,0,0
2017-12-27,1,0,0
2017-12-28,4,12,1
2017-12-29,4,1,2
2017-12-30,5,0,3
2017-12-31,0,0,0
2018-01-01,0,0,2
2018-01-02,0,0,0
2018-01-03,0,2,0
2018-01-04,2,8,1
2018-01-05,0,1,8
2018-01-06,0,0,9
2018-01-07,0,0,0
2018-01-08,13,2,0
2018-01-09,1,3,0
2018-01-10,1,7,0
2018-01-11,9,5,0
2018-01-12,2,3,0
2018-01-13,4,0,0
2018-01-14,0,0,0
2018-01-15,3,0,0
2018-01-16,0,1,0
2018-01-17,16,2,0
2018-01-18,25,1,0
2018-01-19,20,5,1
2018-01-20,4,0,4
2018-01-21,0,0,1
2018-01-22,3,1,1
2018-01-23,0,3,3
2018-01-24,2,0,0
2018-01-25,6,4,0
2018-01-26,8,0,4
2018-01-27,0,1,0
2018-01-28,5,0,2
2018-01-29,0,0,2
2018-01-30,9,1,0
2018-01-31,2,1,0
2018-02-01,1,1,0
2018-02-02,10,0,0
2018-02-03,0,0,0
2018-02-04,0,0,0
2018-02-05,10,7,0
2018-02-06,1,2,0
2018-02-07,7,3,11
2018-02-08,3,2,0
2018-02-09,21,1,2
2018-02-10,2,0,0
2018-02-11,4,0,1
2018-02-12,3,0,0
2018-02-13,15,7,0
2018-02-14,15,1,0
2018-02-15,3,4,1
2018-02-16,5,2,0
2018-02-17,0,0,0
2018-02-18,1,0,0
2018-02-19,4,0,0
2018-02-20,10,0,0
2018-02-21,15,0,0
2018-02-22,6,3,1
2018-02-23,0,7,0
2018-02-24,0,3,0
2018-02-25,0,0,0
2018-02-26,0,2,1
2018-02-27,7,0,0
2018-02-28,2,0,0
2018-03-01,11,1,0
2018-03-02,19,0,0
2018-03-03,7,0,7
2018-03-04,4,0,2
2018-03-05,1,0,0
2018-03-06,32,0,0
2018-03-07,9,4,0
2018-03-08,1,0,0
2018-03-09,7,0,0
2018-03-10,8,0,0
2018-03-11,3,0,4
2018-03-12,11,2,8
2018-03-13,7,4,3
2018-03-14,3,1,0
2018-03-15,2,8,0
2018-03-16,0,5,4
2018-03-17,0,0,0
2018-03-18,0,0,2
2018-03-19,10,0,0
2018-03-20,3,1,0
2018-03-21,4,0,2
2018-03-22,4,0,0
2018-03-23,8,0,0
2018-03-24,1,0,0
2018-03-25,1,0,0
2018-03-26,0,0,0
2018-03-27,11,0,0
2018-03-28,5,4,0
2018-03-29,7,5,0
2018-03-30,1,3,0
2018-03-31,8,0,0
2018-04-01,0,0,0
2018-04-02,4,0,1
2018-04-03,15,3,1
2018-04-04,3,3,0
2018-04-05,4,1,2
2018-04-06,0,4,0
2018-04-07,0,2,0
2018-04-08,2,3,0
2018-04-09,5,4,1
2018-04-10,7,6,3
2018-04-11,0,4,0
2018-04-12,5,1,0
2018-04-13,6,3,3
2018-04-14,0,0,0
2018-04-15,0,0,0
2018-04-16,2,2,1
2018-04-17,3,5,2
2018-04-18,0,1,0
2018-04-19,0,2,0
2018-04-20,4,0,0
2018-04-21,1,0,0
2018-04-22,0,0,0
2018-04-23,7,1,0
2018-04-24,1,0,0
2018-04-25,9,2,0
2018-04-26,6,9,1
2018-04-27,0,1,2
2018-04-28,1,3,0
2018-04-29,0,0,0
2018-04-30,9,1,0
2018-05-01,20,1,0
2018-05-02,0,1,0
2018-05-03,0,1,0
2018-05-04,0,1,0
2018-05-05,0,0,2
2018-05-06,1,0,0
2018-05-07,7,0,0
2018-05-08,16,0,6
2018-05-09,13,4,2
2018-05-10,8,1,0
2018-05-11,8,0,0
2018-05-12,1,0,3
2018-05-13,0,0,1
2018-05-14,2,0,1
2018-05-15,1,0,2
2018-05-16,0,4,0
2018-05-17,1,2,0
2018-05-18,16,0,0
2018-05-19,1,0,0
2018-05-20,3,0,0
2018-05-21,8,3,0
2018-05-22,0,0,2
2018-05-23,9,0,0
2018-05-24,5,0,0
2018-05-25,2,5,0
2018-05-26,18,3,0
2018-05-27,1,0,0
2018-05-28,0,0,0
2018-05-29,2,5,0
2018-05-30,3,2,0
2018-05-31,2,8,0
2018-06-01,5,9,0
2018-06-02,0,2,0
2018-06-03,0,0,0
2018-06-04,6,0,0
2018-06-05,7,0,2
2018-06-06,0,1,0
2018-06-07,0,7,0
2018-06-08,0,0,0
2018-06-09,0,0,0
2018-06-10,1,0,0
2018-06-11,2,0,0
2018-06-12,9,0,0
2018-06-13,11,1,1
2018-06-14,0,13,3
2018-06-15,5,0,0
2018-06-16,0,0,0
2018-06-17,0,0,0
2018-06-18,2,1,0
2018-06-19,0,5,0
2018-06-20,1,2,0
2018-06-21,0,2,2
2018-06-22,0,0,1
2018-06-23,6,0,0
2018-06-24,2,0,0
2018-06-25,13,1,1
2018-06-26,2,1,1
2018-06-27,3,2,2
