,ruby/ruby,python/cpython,php/php-src
2000-04-05,0,12,22
2000-04-06,0,25,10
2000-04-07,0,14,19
2000-04-08,0,3,3
2000-04-09,0,17,3
2000-04-10,3,50,11
2000-04-11,0,19,10
2000-04-12,1,5,8
2000-04-13,0,13,9
2000-04-14,1,8,7
2000-04-15,0,2,22
2000-04-16,0,0,9
2000-04-17,1,2,10
2000-04-18,2,1,9
2000-04-19,0,12,23
2000-04-20,0,0,33
2000-04-21,1,23,15
2000-04-22,1,14,5
2000-04-23,0,5,8
2000-04-24,0,16,15
2000-04-25,1,12,5
2000-04-26,0,13,3
2000-04-27,0,12,12
2000-04-28,0,14,13
2000-04-29,0,0,14
2000-04-30,0,0,20
2000-05-01,1,12,35
2000-05-02,0,19,46
2000-05-03,0,14,12
2000-05-04,0,7,24
2000-05-05,1,10,11
2000-05-06,0,6,18
2000-05-07,0,10,8
2000-05-08,0,13,14
2000-05-09,2,29,2
2000-05-10,1,8,9
2000-05-11,0,9,12
2000-05-12,1,19,14
2000-05-13,2,20,4
2000-05-14,1,1,7
2000-05-15,2,2,13
2000-05-16,2,1,10
2000-05-17,3,1,32
2000-05-18,3,2,21
2000-05-19,1,1,9
2000-05-20,0,7,3
2000-05-21,2,1,11
2000-05-22,4,1,17
2000-05-23,1,15,58
2000-05-24,4,2,20
2000-05-25,1,17,21
2000-05-26,0,16,11
2000-05-27,0,8,9
2000-05-28,0,6,16
2000-05-29,1,0,19
2000-05-30,2,9,8
2000-05-31,2,9,14
2000-06-01,1,14,14
2000-06-02,0,18,10
2000-06-03,2,7,14
2000-06-04,2,13,17
2000-06-05,1,1,21
2000-06-06,1,6,29
2000-06-07,1,19,13
2000-06-08,0,14,15
2000-06-09,2,5,43
2000-06-10,0,10,29
2000-06-11,0,1,19
2000-06-12,5,0,34
2000-06-13,6,6,25
2000-06-14,5,3,21
2000-06-15,0,4,24
2000-06-16,3,4,29
2000-06-17,2,10,23
2000-06-18,0,15,21
2000-06-19,3,3,12
2000-06-20,1,13,5
2000-06-21,0,14,7
2000-06-22,3,0,11
2000-06-23,1,7,21
2000-06-24,3,12,19
2000-06-25,0,12,26
2000-06-26,2,6,30
2000-06-27,2,16,17
2000-06-28,3,68,11
2000-06-29,1,57,15
2000-06-30,0,91,18
2000-07-01,4,49,9
2000-07-02,1,8,18
2000-07-03,9,20,15
2000-07-04,4,11,7
2000-07-05,2,19,17
2000-07-06,3,28,20
2000-07-07,1,26,7
2000-07-08,0,26,8
2000-07-09,0,43,17
2000-07-10,3,39,17
2000-07-11,1,29,20
2000-07-12,6,26,8
2000-07-13,0,13,10
2000-07-14,3,16,11
2000-07-15,2,9,13
2000-07-16,0,11,7
2000-07-17,1,6,12
2000-07-18,3,5,13
2000-07-19,2,9,5
2000-07-20,0,0,6
2000-07-21,1,4,12
2000-07-22,0,15,13
2000-07-23,0,11,11
2000-07-24,2,27,19
2000-07-25,4,8,20
2000-07-26,2,7,25
2000-07-27,1,13,12
2000-07-28,0,5,11
2000-07-29,1,5,13
2000-07-30,0,15,8
2000-07-31,4,19,4
2000-08-01,2,19,10
2000-08-02,3,18,7
2000-08-03,2,27,6
2000-08-04,0,25,18
2000-08-05,2,7,9
2000-08-06,0,4,20
2000-08-07,2,11,17
2000-08-08,1,8,14
2000-08-09,6,13,15
2000-08-10,1,4,17
2000-08-11,0,18,11
2000-08-12,0,14,4
2000-08-13,0,12,8
2000-08-14,0,14,15
2000-08-15,4,31,14
2000-08-16,1,15,6
2000-08-17,1,23,13
2000-08-18,1,28,11
2000-08-19,0,8,18
2000-08-20,0,17,31
2000-08-21,0,18,21
2000-08-22,0,14,29
2000-08-23,0,20,18
2000-08-24,2,26,25
2000-08-25,1,43,17
2000-08-26,0,9,13
2000-08-27,0,11,29
2000-08-28,2,1,8
2000-08-29,2,14,12
2000-08-30,4,19,14
2000-08-31,5,48,18
2000-09-01,4,58,11
2000-09-02,0,7,16
2000-09-03,0,9,29
2000-09-04,3,13,20
2000-09-05,0,28,25
2000-09-06,0,9,20
2000-09-07,1,19,12
2000-09-08,0,20,18
2000-09-09,0,16,19
2000-09-10,0,9,17
