,python/cpython,JuliaLang/julia,rust-lang/rust
2014-09-16,7,18,22
2014-09-17,14,15,61
2014-09-18,12,26,30
2014-09-19,6,14,21
2014-09-20,20,23,18
2014-09-21,14,10,12
2014-09-22,10,10,43
2014-09-23,18,12,19
2014-09-24,14,24,34
2014-09-25,13,22,31
2014-09-26,10,31,21
2014-09-27,17,5,16
2014-09-28,7,20,9
2014-09-29,15,20,47
2014-09-30,45,29,37
2014-10-01,24,12,40
2014-10-02,23,11,67
2014-10-03,14,30,43
2014-10-04,29,7,22
2014-10-05,13,17,27
2014-10-06,24,11,25
2014-10-07,4,19,29
2014-10-08,10,26,23
2014-10-09,18,17,48
2014-10-10,36,11,12
2014-10-11,18,24,25
2014-10-12,45,6,23
2014-10-13,24,8,41
2014-10-14,10,21,22
2014-10-15,24,19,28
2014-10-16,4,10,27
2014-10-17,21,18,21
2014-10-18,9,10,17
2014-10-19,7,11,16
2014-10-20,7,23,15
2014-10-21,2,21,23
2014-10-22,3,12,20
2014-10-23,7,32,21
2014-10-24,0,17,19
2014-10-25,6,11,26
2014-10-26,3,9,21
2014-10-27,0,9,53
2014-10-28,30,14,41
2014-10-29,34,13,24
2014-10-30,33,26,45
2014-10-31,22,9,37
2014-11-01,12,3,18
2014-11-02,22,8,30
2014-11-03,7,10,76
2014-11-04,6,14,24
2014-11-05,20,14,34
2014-11-06,9,20,69
2014-11-07,13,12,40
2014-11-08,2,13,18
2014-11-09,2,8,31
2014-11-10,19,55,18
2014-11-11,6,38,18
2014-11-12,4,15,32
2014-11-13,0,2,20
2014-11-14,3,19,20
2014-11-15,7,14,14
2014-11-16,0,17,42
2014-11-17,2,9,62
2014-11-18,8,28,42
2014-11-19,4,26,73
2014-11-20,8,29,38
2014-11-21,6,22,55
2014-11-22,7,12,18
2014-11-23,10,15,46
2014-11-24,10,13,25
2014-11-25,6,40,36
2014-11-26,9,9,33
2014-11-27,20,13,45
2014-11-28,17,15,11
2014-11-29,2,9,7
2014-11-30,7,20,16
2014-12-01,23,7,12
2014-12-02,10,20,18
2014-12-03,4,12,33
2014-12-04,8,15,41
2014-12-05,20,15,60
2014-12-06,12,6,17
2014-12-07,7,13,51
2014-12-08,12,22,27
2014-12-09,2,29,42
2014-12-10,15,32,20
2014-12-11,10,12,17
2014-12-12,20,23,24
2014-12-13,12,26,122
2014-12-14,2,23,79
2014-12-15,17,22,47
2014-12-16,10,11,37
2014-12-17,8,15,63
2014-12-18,6,6,41
2014-12-19,7,11,103
2014-12-20,6,11,45
2014-12-21,2,15,57
2014-12-22,6,7,62
2014-12-23,3,5,26
2014-12-24,6,9,22
2014-12-25,4,13,35
2014-12-26,6,8,30
2014-12-27,3,6,27
2014-12-28,2,30,35
2014-12-29,3,5,63
2014-12-30,10,18,126
2014-12-31,0,16,42
2015-01-01,7,21,49
2015-01-02,0,51,70
2015-01-03,7,30,61
2015-01-04,9,37,60
2015-01-05,6,26,127
2015-01-06,21,24,136
2015-01-07,13,14,78
2015-01-08,12,28,109
2015-01-09,20,15,43
2015-01-10,1,13,33
2015-01-11,10,23,48
2015-01-12,1,23,86
2015-01-13,12,29,32
2015-01-14,12,23,34
2015-01-15,38,20,91
2015-01-16,0,28,50
2015-01-17,7,6,44
2015-01-18,17,36,46
2015-01-19,3,28,43
2015-01-20,6,14,72
2015-01-21,9,10,96
2015-01-22,11,23,51
2015-01-23,15,8,28
2015-01-24,2,13,43
2015-01-25,8,38,22
2015-01-26,43,12,31
2015-01-27,11,18,66
2015-01-28,13,12,44
2015-01-29,27,8,40
2015-01-30,10,15,65
2015-01-31,13,28,28
2015-02-01,17,17,36
2015-02-02,31,36,51
2015-02-03,15,44,43
2015-02-04,10,24,21
