,mastodon/mastodon,friendica/friendica,diaspora/diaspora
2020-05-20,0,5,0
2020-05-21,0,6,0
2020-05-22,0,9,0
2020-05-23,3,0,0
2020-05-24,1,4,0
2020-05-25,1,0,0
2020-05-26,0,6,0
2020-05-27,0,18,0
2020-05-28,1,5,0
2020-05-29,2,8,0
2020-05-30,0,4,0
2020-05-31,3,3,0
2020-06-01,1,3,0
2020-06-02,3,3,0
2020-06-03,6,12,0
2020-06-04,1,7,0
2020-06-05,3,8,0
2020-06-06,2,13,0
2020-06-07,0,14,0
2020-06-08,4,10,0
2020-06-09,8,13,0
2020-06-10,3,17,0
2020-06-11,0,2,1
2020-06-12,0,5,0
2020-06-13,0,3,6
2020-06-14,2,10,8
2020-06-15,1,9,0
2020-06-16,0,7,0
2020-06-17,2,7,0
2020-06-18,0,9,0
2020-06-19,1,4,0
2020-06-20,3,3,0
2020-06-21,2,3,0
2020-06-22,1,1,0
2020-06-23,4,9,0
2020-06-24,4,5,2
2020-06-25,11,10,0
2020-06-26,2,5,0
2020-06-27,1,11,0
2020-06-28,1,14,0
2020-06-29,6,2,0
2020-06-30,2,9,0
2020-07-01,7,4,0
2020-07-02,1,2,0
2020-07-03,5,0,0
2020-07-04,0,3,0
2020-07-05,1,1,0
2020-07-06,5,5,0
2020-07-07,9,3,0
2020-07-08,6,7,2
2020-07-09,4,11,0
2020-07-10,7,7,0
2020-07-11,1,14,0
2020-07-12,3,13,0
2020-07-13,1,10,0
2020-07-14,4,9,0
2020-07-15,8,6,0
2020-07-16,1,15,0
2020-07-17,3,11,0
2020-07-18,4,4,0
2020-07-19,4,18,0
2020-07-20,3,7,0
2020-07-21,0,29,0
2020-07-22,5,8,0
2020-07-23,2,6,0
2020-07-24,4,0,0
2020-07-25,0,5,0
2020-07-26,2,4,0
2020-07-27,0,19,0
2020-07-28,0,11,0
2020-07-29,0,7,0
2020-07-30,0,7,0
2020-07-31,0,15,0
2020-08-01,1,7,0
2020-08-02,9,8,0
2020-08-03,0,18,0
2020-08-04,0,12,0
2020-08-05,1,23,0
2020-08-06,0,9,0
2020-08-07,1,12,0
2020-08-08,1,11,0
2020-08-09,3,6,0
2020-08-10,0,7,0
2020-08-11,2,6,0
2020-08-12,3,10,0
2020-08-13,1,7,0
2020-08-14,1,4,0
2020-08-15,0,15,0
2020-08-16,0,13,0
2020-08-17,0,14,0
2020-08-18,0,21,0
2020-08-19,2,20,0
2020-08-20,0,17,0
2020-08-21,1,11,0
2020-08-22,2,19,0
2020-08-23,0,21,0
2020-08-24,9,6,0
2020-08-25,1,0,0
2020-08-26,0,15,0
2020-08-27,0,7,0
2020-08-28,4,2,0
2020-08-29,2,6,0
2020-08-30,3,13,0
2020-08-31,5,11,0
2020-09-01,4,17,0
2020-09-02,3,13,2
2020-09-03,0,17,0
2020-09-04,3,7,7
2020-09-05,0,5,0
2020-09-06,0,15,0
2020-09-07,3,26,0
2020-09-08,1,18,0
2020-09-09,1,19,0
2020-09-10,1,1,0
2020-09-11,2,14,0
2020-09-12,1,20,0
2020-09-13,1,9,0
2020-09-14,2,25,0
2020-09-15,2,9,0
2020-09-16,4,12,0
2020-09-17,0,27,2
2020-09-18,1,14,0
2020-09-19,0,20,0
2020-09-20,0,21,0
2020-09-21,2,7,0
2020-09-22,1,11,0
2020-09-23,1,12,0
2020-09-24,1,10,0
2020-09-25,0,9,0
2020-09-26,2,30,0
2020-09-27,1,27,0
2020-09-28,3,12,0
2020-09-29,1,12,0
2020-09-30,3,13,0
2020-10-01,1,5,0
2020-10-02,0,9,0
2020-10-03,0,16,0
2020-10-04,1,12,0
2020-10-05,2,15,0
2020-10-06,2,18,0
2020-10-07,2,14,0
2020-10-08,0,8,0
2020-10-09,1,1,0
2020-10-10,0,22,0
2020-10-11,0,29,0
2020-10-12,5,6,0
2020-10-13,1,8,0
2020-10-14,0,2,0
2020-10-15,2,7,0
2020-10-16,1,4,0
2020-10-17,0,10,0
2020-10-18,0,13,0
2020-10-19,1,3,0
2020-10-20,1,9,3
2020-10-21,2,4,0
2020-10-22,0,0,0
2020-10-23,2,7,1
2020-10-24,0,12,4
2020-10-25,0,12,1
2020-10-26,1,3,0
2020-10-27,5,1,0
2020-10-28,0,0,0
2020-10-29,0,8,0
2020-10-30,2,6,5
2020-10-31,0,9,0
2020-11-01,3,3,2
2020-11-02,2,2,12
2020-11-03,1,5,0
2020-11-04,4,7,7
2020-11-05,0,2,0
2020-11-06,2,1,1
2020-11-07,3,15,0
2020-11-08,2,22,0
2020-11-09,3,14,0
2020-11-10,2,5,0
2020-11-11,3,13,0
2020-11-12,5,5,0
2020-11-13,1,0,0
2020-11-14,1,20,1
2020-11-15,1,5,0
2020-11-16,1,6,0
2020-11-17,0,15,0
2020-11-18,2,14,0
2020-11-19,7,17,0
2020-11-20,0,13,0
2020-11-21,4,12,0
2020-11-22,0,9,0
2020-11-23,2,5,0
2020-11-24,1,5,0
2020-11-25,0,6,0
2020-11-26,1,6,0
2020-11-27,5,2,0
2020-11-28,2,13,0
2020-11-29,1,15,0
2020-11-30,2,22,3
2020-12-01,3,5,0
2020-12-02,3,11,0
2020-12-03,0,5,0
2020-12-04,2,9,0
2020-12-05,0,3,0
2020-12-06,1,8,0
2020-12-07,6,3,0
2020-12-08,2,5,0
2020-12-09,3,5,0
2020-12-10,1,6,0
2020-12-11,0,5,0
2020-12-12,0,4,0
2020-12-13,0,8,0
2020-12-14,5,4,0
2020-12-15,9,9,0
2020-12-16,1,2,0
2020-12-17,1,9,0
2020-12-18,11,10,0
2020-12-19,3,7,0
2020-12-20,3,14,0
2020-12-21,1,7,0
2020-12-22,6,14,0
2020-12-23,7,10,0
2020-12-24,2,2,0
2020-12-25,0,0,0
2020-12-26,3,4,0
2020-12-27,2,4,0
2020-12-28,0,6,0
2020-12-29,0,6,0
2020-12-30,4,5,4
2020-12-31,0,19,0
2021-01-01,0,3,0
2021-01-02,0,8,0
2021-01-03,0,6,0
2021-01-04,0,5,0
2021-01-05,4,8,0
2021-01-06,1,6,0
2021-01-07,3,17,0
2021-01-08,3,0,0
2021-01-09,3,4,0
2021-01-10,1,3,0
2021-01-11,0,12,0
2021-01-12,2,6,0
2021-01-13,0,1,0
2021-01-14,0,5,0
2021-01-15,0,9,0
2021-01-16,0,29,0
2021-01-17,0,22,0
2021-01-18,0,6,0
2021-01-19,1,9,0
2021-01-20,0,7,0
2021-01-21,2,9,0
2021-01-22,4,15,0
2021-01-23,0,14,0
2021-01-24,1,14,0
2021-01-25,1,18,0
2021-01-26,0,0,0
2021-01-27,0,3,0
2021-01-28,2,3,0
2021-01-29,1,8,0
2021-01-30,0,19,0
2021-01-31,4,23,0
2021-02-01,0,13,0
2021-02-02,2,6,0
2021-02-03,0,0,0
2021-02-04,0,10,0
2021-02-05,0,11,0
2021-02-06,0,1,0
2021-02-07,0,0,0
2021-02-08,0,5,4
2021-02-09,2,6,0
2021-02-10,1,9,0
2021-02-11,10,0,0
2021-02-12,2,0,0
2021-02-13,1,1,5
2021-02-14,1,8,2
2021-02-15,1,21,0
2021-02-16,2,8,0
2021-02-17,0,2,0
2021-02-18,0,6,0
2021-02-19,6,6,0
2021-02-20,0,3,0
2021-02-21,1,17,2
2021-02-22,2,3,0
2021-02-23,0,9,0
2021-02-24,3,2,0
2021-02-25,0,3,0
2021-02-26,1,2,0
2021-02-27,0,6,0
2021-02-28,1,6,0
2021-03-01,3,7,0
2021-03-02,1,5,0
2021-03-03,1,3,0
2021-03-04,0,4,0
2021-03-05,0,0,0
2021-03-06,0,11,0
2021-03-07,1,14,0
2021-03-08,0,11,0
2021-03-09,0,9,0
2021-03-10,0,15,0
2021-03-11,0,9,0
2021-03-12,5,7,0
2021-03-13,0,9,0
2021-03-14,0,9,0
2021-03-15,2,2,0
2021-03-16,0,5,0
2021-03-17,2,4,0
2021-03-18,0,7,0
2021-03-19,15,2,0
2021-03-20,1,2,0
2021-03-21,0,5,0
2021-03-22,0,3,0
2021-03-23,0,2,0
2021-03-24,8,11,0
2021-03-25,1,5,0
2021-03-26,2,8,0
2021-03-27,0,10,0
2021-03-28,0,15,0
2021-03-29,0,6,0
2021-03-30,1,0,0
2021-03-31,2,0,0
2021-04-01,0,7,0
2021-04-02,0,10,0
2021-04-03,2,0,0
2021-04-04,0,7,0
2021-04-05,2,13,0
2021-04-06,1,0,0
2021-04-07,0,11,0
2021-04-08,0,8,0
2021-04-09,3,0,0
2021-04-10,2,13,12
2021-04-11,1,2,40
2021-04-12,3,2,0
2021-04-13,3,2,1
2021-04-14,1,2,1
2021-04-15,4,1,0
2021-04-16,4,3,0
2021-04-17,4,5,2
2021-04-18,0,8,10
2021-04-19,2,4,0
2021-04-20,4,6,0
2021-04-21,5,2,0
2021-04-22,6,0,0
2021-04-23,1,1,0
2021-04-24,3,1,0
2021-04-25,2,1,0
2021-04-26,2,14,0
2021-04-27,2,4,0
2021-04-28,0,11,0
2021-04-29,1,14,0
2021-04-30,0,5,0
2021-05-01,2,15,0
2021-05-02,1,10,0
2021-05-03,2,14,0
2021-05-04,5,16,0
2021-05-05,10,4,0
2021-05-06,2,0,0
2021-05-07,8,8,0
2021-05-08,3,23,0
2021-05-09,3,18,0
2021-05-10,4,12,0
2021-05-11,9,30,0
2021-05-12,2,20,1
2021-05-13,0,23,0
2021-05-14,0,13,0
2021-05-15,0,12,0
2021-05-16,9,28,0
2021-05-17,2,12,0
2021-05-18,1,11,0
2021-05-19,4,25,0
