,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2016-02-13,4,4,5
2016-02-14,7,1,9
2016-02-15,17,3,27
2016-02-16,34,25,11
2016-02-17,30,31,14
2016-02-18,50,28,2
2016-02-19,79,9,8
2016-02-20,6,0,6
2016-02-21,15,4,18
2016-02-22,54,14,21
2016-02-23,34,6,18
2016-02-24,41,3,5
2016-02-25,48,23,9
2016-02-26,23,13,2
2016-02-27,0,0,8
2016-02-28,7,16,13
2016-02-29,33,13,10
2016-03-01,50,79,6
2016-03-02,20,6,20
2016-03-03,56,8,2
2016-03-04,46,20,7
2016-03-05,4,3,15
2016-03-06,2,2,0
2016-03-07,37,12,7
2016-03-08,53,9,3
2016-03-09,30,7,7
2016-03-10,35,21,3
2016-03-11,68,11,7
2016-03-12,4,5,0
2016-03-13,12,5,1
2016-03-14,21,14,0
2016-03-15,64,14,3
2016-03-16,56,4,1
2016-03-17,45,15,5
2016-03-18,37,21,4
2016-03-19,3,4,0
2016-03-20,1,1,0
2016-03-21,3,8,2
2016-03-22,14,12,0
2016-03-23,25,14,0
2016-03-24,55,6,1
2016-03-25,7,27,0
2016-03-26,0,2,0
2016-03-27,5,0,0
2016-03-28,1,21,1
2016-03-29,29,11,4
2016-03-30,38,26,5
2016-03-31,61,18,3
2016-04-01,34,11,5
2016-04-02,1,9,2
2016-04-03,3,1,1
2016-04-04,35,5,2
2016-04-05,36,26,0
2016-04-06,30,13,2
2016-04-07,47,19,1
2016-04-08,42,13,6
2016-04-09,1,8,2
2016-04-10,1,3,4
2016-04-11,41,15,6
2016-04-12,20,9,7
2016-04-13,44,7,5
2016-04-14,36,15,1
2016-04-15,19,18,14
2016-04-16,7,5,2
2016-04-17,2,1,100
2016-04-18,45,13,20
2016-04-19,65,5,13
2016-04-20,45,13,12
2016-04-21,92,11,5
2016-04-22,36,10,5
2016-04-23,10,1,3
2016-04-24,26,4,5
2016-04-25,50,29,21
2016-04-26,10,39,2
2016-04-27,28,16,11
2016-04-28,29,19,14
2016-04-29,35,15,12
2016-04-30,17,4,4
2016-05-01,2,5,6
2016-05-02,51,9,3
2016-05-03,29,11,9
2016-05-04,63,14,2
2016-05-05,3,7,4
2016-05-06,49,5,18
2016-05-07,0,4,7
2016-05-08,1,0,5
2016-05-09,15,0,1
2016-05-10,45,4,20
2016-05-11,47,3,2
2016-05-12,40,4,5
2016-05-13,51,4,0
2016-05-14,6,1,13
2016-05-15,4,2,16
2016-05-16,26,12,5
2016-05-17,40,12,27
2016-05-18,58,7,2
2016-05-19,61,10,12
2016-05-20,60,4,20
2016-05-21,17,2,8
2016-05-22,17,1,9
2016-05-23,58,21,11
2016-05-24,19,19,2
2016-05-25,53,22,13
2016-05-26,50,13,3
2016-05-27,37,5,6
2016-05-28,2,0,15
2016-05-29,0,0,5
2016-05-30,40,6,14
2016-05-31,33,0,6
2016-06-01,57,6,11
2016-06-02,86,2,6
2016-06-03,54,6,4
2016-06-04,5,2,5
2016-06-05,4,1,9
2016-06-06,50,5,7
2016-06-07,51,3,17
2016-06-08,51,11,3
2016-06-09,52,6,11
2016-06-10,29,6,15
2016-06-11,15,4,4
2016-06-12,7,0,1
2016-06-13,43,9,3
2016-06-14,85,16,1
2016-06-15,77,10,12
2016-06-16,71,3,6
2016-06-17,43,5,3
2016-06-18,1,7,7
2016-06-19,9,1,0
2016-06-20,47,5,5
2016-06-21,47,3,1
2016-06-22,42,3,0
2016-06-23,57,2,18
2016-06-24,69,3,15
2016-06-25,14,14,6
2016-06-26,19,0,4
2016-06-27,63,1,1
2016-06-28,19,6,3
2016-06-29,57,7,2
2016-06-30,51,10,1
2016-07-01,24,0,6
2016-07-02,10,18,1
2016-07-03,1,1,12
2016-07-04,30,4,0
2016-07-05,42,2,1
2016-07-06,52,8,3
2016-07-07,62,1,0
2016-07-08,38,6,38
2016-07-09,1,4,11
2016-07-10,5,0,4
2016-07-11,35,10,0
2016-07-12,47,16,5
2016-07-13,50,11,9
2016-07-14,49,11,0
2016-07-15,37,3,2
2016-07-16,8,3,2
2016-07-17,0,1,3
2016-07-18,20,4,4
2016-07-19,23,7,2
2016-07-20,33,10,3
