,balderdashy/sails,expressjs/express,hapijs/hapi
2016-03-17,0,0,0
2016-03-18,0,0,0
2016-03-19,0,0,0
2016-03-20,0,0,0
2016-03-21,0,0,0
2016-03-22,0,0,0
2016-03-23,1,0,0
2016-03-24,0,0,0
2016-03-25,0,0,3
2016-03-26,0,0,0
2016-03-27,0,0,0
2016-03-28,1,0,0
2016-03-29,0,0,0
2016-03-30,10,0,0
2016-03-31,13,0,2
2016-04-01,9,0,0
2016-04-02,5,0,3
2016-04-03,0,0,1
2016-04-04,14,0,0
2016-04-05,0,0,0
2016-04-06,0,0,1
2016-04-07,0,0,0
2016-04-08,0,0,1
2016-04-09,0,0,2
2016-04-10,0,0,1
2016-04-11,0,0,0
2016-04-12,0,0,0
2016-04-13,0,0,2
2016-04-14,0,0,0
2016-04-15,0,0,0
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,0,0,0
2016-04-19,0,0,0
2016-04-20,1,0,2
2016-04-21,0,0,0
2016-04-22,0,0,0
2016-04-23,2,0,0
2016-04-24,0,0,0
2016-04-25,0,0,0
2016-04-26,0,0,0
2016-04-27,0,0,0
2016-04-28,0,0,0
2016-04-29,0,0,2
2016-04-30,0,0,0
2016-05-01,0,0,0
2016-05-02,7,0,0
2016-05-03,0,0,0
2016-05-04,1,0,0
2016-05-05,3,0,0
2016-05-06,0,0,0
2016-05-07,0,0,2
2016-05-08,0,0,0
2016-05-09,0,0,0
2016-05-10,2,2,1
2016-05-11,0,1,0
2016-05-12,0,0,0
2016-05-13,0,1,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,0,0
2016-05-17,1,0,2
2016-05-18,0,0,0
2016-05-19,0,0,0
2016-05-20,0,0,0
2016-05-21,0,0,7
2016-05-22,0,0,0
2016-05-23,0,0,0
2016-05-24,1,9,2
2016-05-25,0,0,0
2016-05-26,0,0,0
2016-05-27,0,0,0
2016-05-28,0,0,0
2016-05-29,0,1,0
2016-05-30,0,0,0
2016-05-31,0,6,0
2016-06-01,0,8,0
2016-06-02,7,0,0
2016-06-03,0,1,0
2016-06-04,0,0,1
2016-06-05,0,0,3
2016-06-06,0,0,0
2016-06-07,0,0,0
2016-06-08,2,0,0
2016-06-09,0,0,0
2016-06-10,0,0,1
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,0,2,0
2016-06-14,3,3,0
2016-06-15,0,3,0
2016-06-16,0,1,1
2016-06-17,5,0,0
2016-06-18,2,0,0
2016-06-19,0,0,0
2016-06-20,13,1,2
2016-06-21,4,0,0
2016-06-22,2,0,4
2016-06-23,1,0,0
2016-06-24,0,0,0
2016-06-25,0,0,0
2016-06-26,0,0,0
2016-06-27,0,0,0
2016-06-28,0,0,0
2016-06-29,0,0,0
2016-06-30,0,0,2
2016-07-01,0,0,0
2016-07-02,0,0,0
2016-07-03,0,0,0
2016-07-04,0,0,2
2016-07-05,5,0,7
2016-07-06,1,0,0
2016-07-07,7,0,0
2016-07-08,5,0,0
2016-07-09,0,0,0
2016-07-10,0,0,0
2016-07-11,0,0,0
2016-07-12,0,0,0
2016-07-13,0,0,0
2016-07-14,0,0,0
2016-07-15,2,0,0
2016-07-16,0,0,0
2016-07-17,0,0,0
2016-07-18,0,0,0
2016-07-19,0,0,0
2016-07-20,0,0,0
2016-07-21,0,0,0
2016-07-22,0,0,0
2016-07-23,0,0,0
2016-07-24,0,0,0
2016-07-25,0,0,2
2016-07-26,1,0,0
2016-07-27,1,0,0
2016-07-28,0,0,2
2016-07-29,5,0,1
2016-07-30,0,0,0
2016-07-31,0,1,0
2016-08-01,2,0,1
2016-08-02,0,0,0
2016-08-03,0,0,0
2016-08-04,3,0,0
2016-08-05,0,0,0
2016-08-06,0,0,0
2016-08-07,0,0,0
2016-08-08,1,0,0
2016-08-09,1,0,0
2016-08-10,4,0,0
2016-08-11,0,0,0
2016-08-12,0,0,0
2016-08-13,0,0,1
2016-08-14,0,0,0
2016-08-15,0,0,2
2016-08-16,8,0,0
2016-08-17,0,0,2
2016-08-18,1,0,0
2016-08-19,0,0,0
2016-08-20,0,0,0
2016-08-21,0,0,9
2016-08-22,0,0,23
2016-08-23,0,0,12
2016-08-24,0,0,0
2016-08-25,4,0,0
2016-08-26,1,0,15
2016-08-27,0,0,0
2016-08-28,0,0,3
2016-08-29,0,0,2
2016-08-30,0,0,0
2016-08-31,0,0,2
2016-09-01,3,0,2
2016-09-02,1,0,0
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,0,0,0
2016-09-06,1,0,0
2016-09-07,0,0,3
2016-09-08,0,0,0
2016-09-09,0,0,0
2016-09-10,0,0,4
2016-09-11,0,0,0
2016-09-12,0,0,0
2016-09-13,0,0,0
2016-09-14,0,0,0
2016-09-15,1,0,0
2016-09-16,0,0,0
2016-09-17,3,0,0
2016-09-18,6,0,0
2016-09-19,10,0,0
2016-09-20,0,0,0
2016-09-21,2,0,0
2016-09-22,23,0,0
2016-09-23,17,0,0
2016-09-24,2,0,0
2016-09-25,0,0,0
2016-09-26,6,0,0
2016-09-27,6,0,5
2016-09-28,10,0,0
2016-09-29,0,0,0
2016-09-30,1,0,0
2016-10-01,0,0,0
2016-10-02,0,0,0
2016-10-03,2,0,2
2016-10-04,7,0,0
2016-10-05,3,0,0
2016-10-06,0,0,1
2016-10-07,3,0,0
2016-10-08,2,0,0
2016-10-09,1,0,0
2016-10-10,1,0,1
2016-10-11,0,0,0
2016-10-12,0,0,0
2016-10-13,2,0,0
2016-10-14,0,0,0
2016-10-15,1,0,0
2016-10-16,0,0,0
2016-10-17,22,0,1
2016-10-18,3,0,0
2016-10-19,2,0,0
2016-10-20,20,0,2
2016-10-21,7,0,0
2016-10-22,0,0,0
2016-10-23,1,0,0
2016-10-24,13,0,0
2016-10-25,3,0,0
2016-10-26,6,0,3
2016-10-27,16,0,0
2016-10-28,4,0,0
2016-10-29,1,0,0
2016-10-30,0,0,0
2016-10-31,1,0,0
2016-11-01,15,0,0
2016-11-02,20,0,0
2016-11-03,7,0,0
2016-11-04,18,0,0
2016-11-05,5,0,0
2016-11-06,4,0,0
2016-11-07,2,0,0
2016-11-08,2,0,2
2016-11-09,1,0,0
2016-11-10,5,0,0
2016-11-11,5,0,0
2016-11-12,2,0,0
2016-11-13,0,0,0
2016-11-14,3,0,0
2016-11-15,7,0,1
2016-11-16,16,0,3
2016-11-17,8,0,0
2016-11-18,2,1,0
2016-11-19,2,0,0
2016-11-20,0,0,0
2016-11-21,12,0,0
2016-11-22,15,0,0
2016-11-23,0,0,0
2016-11-24,1,0,0
2016-11-25,0,0,0
2016-11-26,0,0,0
2016-11-27,0,0,0
2016-11-28,2,0,0
2016-11-29,7,0,12
2016-11-30,12,0,7
2016-12-01,1,0,11
2016-12-02,3,0,0
2016-12-03,0,5,0
2016-12-04,0,0,0
2016-12-05,11,0,0
2016-12-06,8,0,0
2016-12-07,9,0,0
2016-12-08,31,0,0
2016-12-09,22,0,0
2016-12-10,5,0,0
2016-12-11,4,0,0
2016-12-12,5,0,0
2016-12-13,0,0,2
2016-12-14,3,0,0
2016-12-15,5,0,0
2016-12-16,1,0,0
2016-12-17,0,0,2
2016-12-18,0,0,1
2016-12-19,1,0,1
2016-12-20,5,0,0
2016-12-21,7,0,0
2016-12-22,1,0,0
2016-12-23,0,0,0
2016-12-24,0,0,0
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,1,0,0
2016-12-28,0,0,0
2016-12-29,0,0,2
2016-12-30,12,0,0
2016-12-31,1,0,0
2017-01-01,1,0,0
2017-01-02,5,0,0
2017-01-03,5,0,0
2017-01-04,1,0,0
2017-01-05,2,0,0
