,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2015-05-16,0,11,0
2015-05-17,0,4,0
2015-05-18,3,1,11
2015-05-19,9,2,13
2015-05-20,1,3,6
2015-05-21,5,5,8
2015-05-22,0,2,6
2015-05-23,1,0,0
2015-05-24,0,0,0
2015-05-25,0,0,14
2015-05-26,5,5,5
2015-05-27,9,2,11
2015-05-28,12,11,4
2015-05-29,2,14,9
2015-05-30,0,11,0
2015-05-31,0,8,1
2015-06-01,3,10,7
2015-06-02,10,14,11
2015-06-03,10,11,9
2015-06-04,16,24,3
2015-06-05,4,10,2
2015-06-06,0,1,0
2015-06-07,0,1,0
2015-06-08,9,13,4
2015-06-09,10,9,3
2015-06-10,12,26,3
2015-06-11,13,8,11
2015-06-12,5,3,4
2015-06-13,3,0,0
2015-06-14,0,1,0
2015-06-15,5,7,10
2015-06-16,10,6,3
2015-06-17,10,7,19
2015-06-18,12,21,33
2015-06-19,4,19,1
2015-06-20,0,3,0
2015-06-21,0,2,0
2015-06-22,10,8,0
2015-06-23,11,13,2
2015-06-24,10,9,2
2015-06-25,13,24,9
2015-06-26,11,10,14
2015-06-27,0,8,0
2015-06-28,0,0,0
2015-06-29,1,10,9
2015-06-30,2,11,5
2015-07-01,2,7,9
2015-07-02,1,7,4
2015-07-03,0,12,4
2015-07-04,0,2,0
2015-07-05,0,2,0
2015-07-06,8,5,22
2015-07-07,1,7,18
2015-07-08,4,2,6
2015-07-09,2,3,10
2015-07-10,2,0,9
2015-07-11,0,0,0
2015-07-12,0,0,0
2015-07-13,0,5,6
2015-07-14,1,4,11
2015-07-15,0,1,23
2015-07-16,8,9,17
2015-07-17,18,24,4
2015-07-18,8,5,0
2015-07-19,0,7,0
2015-07-20,10,30,12
2015-07-21,34,23,6
2015-07-22,29,14,10
2015-07-23,31,13,6
2015-07-24,22,7,14
2015-07-25,6,0,0
2015-07-26,0,1,0
2015-07-27,19,12,11
2015-07-28,15,11,12
2015-07-29,17,3,8
2015-07-30,31,7,10
2015-07-31,13,3,11
2015-08-01,4,2,0
2015-08-02,2,3,0
2015-08-03,17,2,25
2015-08-04,18,0,12
2015-08-05,13,0,1
2015-08-06,17,9,6
2015-08-07,39,14,13
2015-08-08,7,0,0
2015-08-09,0,0,0
2015-08-10,27,6,5
2015-08-11,50,3,8
2015-08-12,11,19,7
2015-08-13,30,9,11
2015-08-14,17,1,4
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,26,0,0
2015-08-18,20,10,6
2015-08-19,29,7,2
2015-08-20,26,6,1
2015-08-21,17,8,1
2015-08-22,9,3,0
2015-08-23,0,1,1
2015-08-24,21,8,4
2015-08-25,49,3,7
2015-08-26,43,6,3
2015-08-27,24,2,6
2015-08-28,25,24,18
2015-08-29,11,4,0
2015-08-30,6,0,0
2015-08-31,24,23,5
2015-09-01,15,20,12
2015-09-02,21,8,8
2015-09-03,29,19,12
2015-09-04,24,27,26
2015-09-05,4,3,3
2015-09-06,1,4,0
2015-09-07,1,3,7
2015-09-08,9,17,0
2015-09-09,12,18,8
2015-09-10,12,6,11
2015-09-11,21,14,6
2015-09-12,1,3,1
2015-09-13,0,3,1
2015-09-14,11,16,7
2015-09-15,4,26,6
2015-09-16,29,4,7
2015-09-17,24,6,7
2015-09-18,24,17,21
2015-09-19,10,6,1
2015-09-20,1,0,0
2015-09-21,14,6,6
2015-09-22,28,29,0
2015-09-23,32,12,5
2015-09-24,26,14,5
2015-09-25,39,10,10
2015-09-26,11,0,0
2015-09-27,3,3,0
2015-09-28,5,27,5
2015-09-29,24,20,11
2015-09-30,35,16,17
2015-10-01,42,15,22
2015-10-02,17,26,5
2015-10-03,15,6,0
2015-10-04,1,10,0
2015-10-05,26,31,11
2015-10-06,36,48,6
2015-10-07,13,35,7
2015-10-08,24,27,6
2015-10-09,23,40,18
2015-10-10,12,7,1
2015-10-11,4,3,0
2015-10-12,25,10,10
2015-10-13,26,9,12
2015-10-14,19,3,17
2015-10-15,20,6,20
2015-10-16,17,23,12
2015-10-17,4,0,0
2015-10-18,4,19,0
2015-10-19,27,9,10
2015-10-20,18,14,10
2015-10-21,20,7,17
2015-10-22,16,3,13
2015-10-23,27,3,6
2015-10-24,5,0,0
2015-10-25,0,0,0
2015-10-26,38,9,4
2015-10-27,22,18,2
2015-10-28,23,11,10
2015-10-29,31,23,20
2015-10-30,13,38,20
2015-10-31,4,10,0
2015-11-01,1,0,0
2015-11-02,19,33,29
2015-11-03,39,24,14
2015-11-04,32,10,6
2015-11-05,21,20,8
2015-11-06,20,13,30
2015-11-07,14,2,0
2015-11-08,4,2,0
2015-11-09,15,8,18
2015-11-10,30,5,27
2015-11-11,24,7,9
2015-11-12,27,23,12
2015-11-13,27,13,5
2015-11-14,4,7,0
2015-11-15,0,0,0
2015-11-16,19,22,9
2015-11-17,31,32,10
2015-11-18,24,14,10
2015-11-19,24,12,2
2015-11-20,33,18,2
2015-11-21,9,2,0
2015-11-22,10,6,0
2015-11-23,15,15,20
2015-11-24,21,21,7
2015-11-25,20,25,15
2015-11-26,19,1,6
2015-11-27,2,0,11
2015-11-28,2,4,0
2015-11-29,4,5,0
2015-11-30,15,13,7
2015-12-01,16,21,10
2015-12-02,20,18,10
2015-12-03,23,28,5
2015-12-04,39,38,10
2015-12-05,27,13,0
