,grafana/grafana,netdata/netdata,cacti/cacti
2021-08-17,20,2,0
2021-08-18,23,4,1
2021-08-19,20,3,0
2021-08-20,11,1,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,21,1,0
2021-08-24,19,4,0
2021-08-25,15,4,0
2021-08-26,15,5,0
2021-08-27,23,3,2
2021-08-28,1,1,6
2021-08-29,2,0,2
2021-08-30,9,1,0
2021-08-31,16,2,3
2021-09-01,25,1,1
2021-09-02,17,0,0
2021-09-03,5,1,0
2021-09-04,0,2,0
2021-09-05,0,1,4
2021-09-06,12,1,1
2021-09-07,20,2,2
2021-09-08,19,5,3
2021-09-09,23,3,0
2021-09-10,21,1,1
2021-09-11,0,0,0
2021-09-12,1,0,0
2021-09-13,26,0,0
2021-09-14,18,3,0
2021-09-15,25,9,4
2021-09-16,17,4,0
2021-09-17,22,4,0
2021-09-18,0,0,0
2021-09-19,1,2,2
2021-09-20,23,11,0
2021-09-21,15,10,0
2021-09-22,14,4,0
2021-09-23,24,8,0
2021-09-24,2,5,0
2021-09-25,2,2,8
2021-09-26,0,1,0
2021-09-27,17,5,0
2021-09-28,18,10,0
2021-09-29,26,5,0
2021-09-30,21,4,3
2021-10-01,21,4,0
2021-10-02,0,1,3
2021-10-03,0,0,1
2021-10-04,14,4,0
2021-10-05,12,7,0
2021-10-06,22,6,2
2021-10-07,19,6,0
2021-10-08,15,5,1
2021-10-09,0,1,0
2021-10-10,0,0,26
2021-10-11,18,3,5
2021-10-12,27,8,0
2021-10-13,15,3,0
2021-10-14,23,2,0
2021-10-15,15,5,2
2021-10-16,1,2,11
2021-10-17,0,1,0
2021-10-18,21,4,0
2021-10-19,22,7,51
2021-10-20,27,5,2
2021-10-21,22,8,6
2021-10-22,18,10,4
2021-10-23,0,1,2
2021-10-24,0,1,1
2021-10-25,15,3,4
2021-10-26,26,7,5
2021-10-27,24,8,3
2021-10-28,18,2,0
2021-10-29,21,3,0
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,16,6,2
2021-11-02,36,3,0
2021-11-03,21,7,0
2021-11-04,17,5,0
2021-11-05,20,3,0
2021-11-06,2,2,0
2021-11-07,1,0,3
2021-11-08,16,5,0
2021-11-09,28,6,0
2021-11-10,25,2,0
2021-11-11,27,8,0
2021-11-12,20,2,0
2021-11-13,1,0,0
2021-11-14,2,0,4
2021-11-15,26,7,1
2021-11-16,23,5,0
2021-11-17,36,7,1
2021-11-18,31,4,2
2021-11-19,36,3,0
2021-11-20,2,0,1
2021-11-21,0,0,0
2021-11-22,17,5,1
2021-11-23,25,0,0
2021-11-24,36,2,0
2021-11-25,16,3,1
2021-11-26,20,3,0
2021-11-27,0,0,6
2021-11-28,0,0,7
2021-11-29,31,4,3
2021-11-30,16,5,2
2021-12-01,25,5,0
2021-12-02,21,2,0
2021-12-03,14,0,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,14,3,1
2021-12-07,10,5,0
2021-12-08,10,2,0
2021-12-09,10,4,27
2021-12-10,4,3,26
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,18,5,0
2021-12-14,27,4,3
2021-12-15,20,3,1
2021-12-16,18,0,1
2021-12-17,17,3,0
2021-12-18,2,0,0
2021-12-19,1,0,23
2021-12-20,23,6,0
2021-12-21,20,4,6
2021-12-22,11,7,0
2021-12-23,9,6,1
2021-12-24,2,0,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,4,0,0
2021-12-28,6,0,0
2021-12-29,1,0,3
2021-12-30,4,0,1
2021-12-31,0,2,1
2022-01-01,0,0,0
2022-01-02,0,0,3
2022-01-03,8,0,3
2022-01-04,24,4,1
2022-01-05,19,1,0
2022-01-06,14,0,0
2022-01-07,26,0,0
2022-01-08,0,0,2
2022-01-09,0,0,0
2022-01-10,21,12,0
2022-01-11,18,8,0
2022-01-12,15,5,0
2022-01-13,19,8,0
2022-01-14,14,5,0
2022-01-15,0,1,0
2022-01-16,0,0,0
2022-01-17,19,3,1
2022-01-18,15,13,0
2022-01-19,19,15,0
2022-01-20,19,6,0
2022-01-21,22,5,0
2022-01-22,1,1,0
2022-01-23,1,0,0
2022-01-24,17,2,2
2022-01-25,17,2,45
2022-01-26,15,4,0
2022-01-27,21,4,0
2022-01-28,17,4,0
2022-01-29,1,1,27
2022-01-30,0,0,69
