,golang/go,rust-lang/rust,swiftlang/swift
2018-09-17,12,51,34
2018-09-18,12,61,56
2018-09-19,9,45,71
2018-09-20,8,86,77
2018-09-21,0,50,80
2018-09-22,0,57,68
2018-09-23,2,43,10
2018-09-24,17,41,85
2018-09-25,13,51,75
2018-09-26,11,87,95
2018-09-27,14,35,76
2018-09-28,10,37,68
2018-09-29,4,66,20
2018-09-30,1,59,8
2018-10-01,6,51,60
2018-10-02,27,64,40
2018-10-03,29,42,72
2018-10-04,19,62,67
2018-10-05,15,82,93
2018-10-06,11,48,18
2018-10-07,1,30,13
2018-10-08,5,76,54
2018-10-09,16,76,68
2018-10-10,16,76,56
2018-10-11,17,58,65
2018-10-12,17,69,73
2018-10-13,4,76,30
2018-10-14,3,54,13
2018-10-15,20,123,55
2018-10-16,11,69,62
2018-10-17,18,63,31
2018-10-18,11,73,16
2018-10-19,13,67,40
2018-10-20,2,54,25
2018-10-21,1,36,15
2018-10-22,14,52,16
2018-10-23,24,57,42
2018-10-24,19,58,49
2018-10-25,15,122,47
2018-10-26,11,77,79
2018-10-27,7,49,45
2018-10-28,9,61,9
2018-10-29,12,61,57
2018-10-30,23,70,68
2018-10-31,15,62,67
2018-11-01,10,96,54
2018-11-02,41,62,56
2018-11-03,6,71,20
2018-11-04,2,37,62
2018-11-05,21,99,45
2018-11-06,15,53,105
2018-11-07,6,81,89
2018-11-08,17,56,71
2018-11-09,16,49,101
2018-11-10,7,85,58
2018-11-11,4,60,5
2018-11-12,32,38,44
2018-11-13,19,63,73
2018-11-14,23,36,101
2018-11-15,9,67,83
2018-11-16,20,123,115
2018-11-17,3,34,45
2018-11-18,2,47,16
2018-11-19,8,52,9
2018-11-20,12,72,14
2018-11-21,8,108,10
2018-11-22,2,61,22
2018-11-23,4,42,8
2018-11-24,1,61,3
2018-11-25,0,63,1
2018-11-26,13,56,82
2018-11-27,13,127,75
2018-11-28,16,47,88
2018-11-29,26,84,74
2018-11-30,10,103,98
2018-12-01,6,18,25
2018-12-02,2,57,13
2018-12-03,10,79,49
2018-12-04,14,82,86
2018-12-05,20,59,60
2018-12-06,10,74,66
2018-12-07,10,57,79
2018-12-08,1,57,41
2018-12-09,1,57,14
2018-12-10,10,73,62
2018-12-11,15,78,49
2018-12-12,21,86,78
2018-12-13,25,53,84
2018-12-14,16,80,38
2018-12-15,5,57,55
2018-12-16,1,40,25
2018-12-17,19,56,48
2018-12-18,18,50,65
2018-12-19,8,117,47
2018-12-20,13,86,52
2018-12-21,4,79,77
2018-12-22,5,75,5
2018-12-23,0,54,8
2018-12-24,3,38,3
2018-12-25,1,60,6
2018-12-26,1,52,5
2018-12-27,3,76,0
2018-12-28,3,61,2
2018-12-29,4,73,0
2018-12-30,3,72,5
2018-12-31,1,50,1
2019-01-01,2,60,2
2019-01-02,13,83,71
2019-01-03,9,89,44
2019-01-04,10,68,81
2019-01-05,2,70,25
2019-01-06,1,63,10
2019-01-07,10,82,31
2019-01-08,8,91,88
2019-01-09,10,51,60
2019-01-10,5,45,66
2019-01-11,2,44,58
2019-01-12,1,80,24
2019-01-13,0,107,7
2019-01-14,5,69,53
2019-01-15,5,67,74
2019-01-16,2,46,65
2019-01-17,6,45,64
2019-01-18,8,82,80
2019-01-19,0,99,27
2019-01-20,2,55,25
2019-01-21,3,72,36
2019-01-22,3,102,82
2019-01-23,6,61,42
2019-01-24,1,76,46
2019-01-25,2,92,50
2019-01-26,0,111,60
2019-01-27,4,82,20
2019-01-28,2,65,46
2019-01-29,4,59,76
2019-01-30,7,72,59
