,iterate-ch/cyberduck,aws/aws-cli,rclone/rclone
2021-02-18,9,3,1
2021-02-19,1,5,1
2021-02-20,0,1,0
2021-02-21,0,0,1
2021-02-22,0,4,0
2021-02-23,1,4,12
2021-02-24,2,3,11
2021-02-25,0,3,0
2021-02-26,1,3,0
2021-02-27,0,0,0
2021-02-28,0,0,1
2021-03-01,4,3,1
2021-03-02,5,4,0
2021-03-03,6,3,0
2021-03-04,2,4,1
2021-03-05,6,5,4
2021-03-06,0,0,0
2021-03-07,0,0,1
2021-03-08,8,4,1
2021-03-09,6,7,0
2021-03-10,7,9,1
2021-03-11,2,5,9
2021-03-12,5,5,2
2021-03-13,1,1,7
2021-03-14,3,0,3
2021-03-15,5,10,31
2021-03-16,18,4,11
2021-03-17,9,3,2
2021-03-18,6,6,4
2021-03-19,5,3,0
2021-03-20,0,0,0
2021-03-21,0,0,2
2021-03-22,8,6,8
2021-03-23,0,3,5
2021-03-24,4,3,6
2021-03-25,3,3,1
2021-03-26,9,7,2
2021-03-27,3,0,1
2021-03-28,8,0,0
2021-03-29,7,4,4
2021-03-30,17,3,4
2021-03-31,4,9,5
2021-04-01,2,6,0
2021-04-02,0,4,0
2021-04-03,0,0,3
2021-04-04,0,0,3
2021-04-05,0,4,3
2021-04-06,10,6,5
2021-04-07,4,7,5
2021-04-08,3,6,9
2021-04-09,21,3,0
2021-04-10,1,0,2
2021-04-11,0,0,0
2021-04-12,13,4,11
2021-04-13,7,4,8
2021-04-14,20,3,0
2021-04-15,7,4,0
2021-04-16,18,0,4
2021-04-17,0,0,3
2021-04-18,1,0,1
2021-04-19,29,3,3
2021-04-20,15,1,5
2021-04-21,14,4,2
2021-04-22,27,3,2
2021-04-23,4,5,0
2021-04-24,0,0,2
2021-04-25,3,0,2
2021-04-26,11,3,16
2021-04-27,30,3,3
2021-04-28,32,6,21
2021-04-29,28,5,0
2021-04-30,11,8,6
2021-05-01,3,0,1
2021-05-02,1,0,2
2021-05-03,10,6,2
2021-05-04,8,3,1
2021-05-05,16,6,0
2021-05-06,6,3,0
2021-05-07,3,3,1
2021-05-08,0,0,0
2021-05-09,3,0,0
2021-05-10,17,3,0
2021-05-11,3,3,1
2021-05-12,6,3,1
2021-05-13,0,0,2
2021-05-14,1,4,19
2021-05-15,0,0,0
2021-05-16,4,0,0
2021-05-17,3,3,8
2021-05-18,9,3,4
2021-05-19,3,3,2
2021-05-20,6,3,0
2021-05-21,3,4,2
2021-05-22,0,0,1
2021-05-23,0,0,0
2021-05-24,5,3,0
2021-05-25,4,3,0
2021-05-26,7,4,0
2021-05-27,21,8,0
2021-05-28,0,8,8
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,6,0,1
2021-06-01,9,3,0
2021-06-02,6,3,0
2021-06-03,8,3,0
2021-06-04,3,3,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,1,3,0
2021-06-08,15,3,3
2021-06-09,11,3,1
2021-06-10,3,3,4
