,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2019-06-16,4,0,0
2019-06-17,5,2,0
2019-06-18,16,2,0
2019-06-19,23,0,1
2019-06-20,19,1,1
2019-06-21,11,5,4
2019-06-22,7,0,0
2019-06-23,4,0,1
2019-06-24,9,3,1
2019-06-25,13,8,3
2019-06-26,14,8,5
2019-06-27,17,6,5
2019-06-28,26,9,5
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,8,1,6
2019-07-02,5,0,5
2019-07-03,13,5,3
2019-07-04,2,2,0
2019-07-05,1,0,3
2019-07-06,0,0,1
2019-07-07,0,0,0
2019-07-08,17,2,2
2019-07-09,16,5,7
2019-07-10,13,11,8
2019-07-11,15,1,1
2019-07-12,16,0,3
2019-07-13,5,0,0
2019-07-14,0,0,0
2019-07-15,7,1,1
2019-07-16,13,13,0
2019-07-17,27,11,3
2019-07-18,14,4,3
2019-07-19,23,5,1
2019-07-20,3,1,0
2019-07-21,6,0,0
2019-07-22,19,4,5
2019-07-23,16,0,6
2019-07-24,17,1,10
2019-07-25,11,4,6
2019-07-26,15,4,4
2019-07-27,9,0,0
2019-07-28,2,2,0
2019-07-29,11,1,1
2019-07-30,16,2,4
2019-07-31,15,3,1
2019-08-01,19,4,0
2019-08-02,19,9,1
2019-08-03,5,0,0
2019-08-04,3,0,0
2019-08-05,8,2,1
2019-08-06,25,0,9
2019-08-07,19,6,13
2019-08-08,18,2,9
2019-08-09,22,0,0
2019-08-10,5,0,0
2019-08-11,0,0,0
2019-08-12,13,2,2
2019-08-13,6,2,4
2019-08-14,23,5,0
2019-08-15,30,5,1
2019-08-16,28,1,2
2019-08-17,5,0,0
2019-08-18,3,2,0
2019-08-19,14,5,1
2019-08-20,32,4,4
2019-08-21,20,2,6
2019-08-22,19,4,3
2019-08-23,16,3,6
2019-08-24,3,0,0
2019-08-25,2,0,0
2019-08-26,14,1,4
2019-08-27,17,0,11
2019-08-28,31,4,3
2019-08-29,15,3,2
2019-08-30,15,2,3
2019-08-31,10,0,0
2019-09-01,0,0,0
2019-09-02,13,0,0
2019-09-03,25,0,2
2019-09-04,5,1,5
2019-09-05,21,0,4
2019-09-06,17,0,0
2019-09-07,5,0,0
2019-09-08,0,0,0
2019-09-09,2,0,1
2019-09-10,21,5,4
2019-09-11,21,1,2
2019-09-12,19,3,3
2019-09-13,16,3,0
2019-09-14,10,0,0
2019-09-15,0,0,0
2019-09-16,27,0,4
2019-09-17,12,2,0
2019-09-18,20,1,0
2019-09-19,20,3,0
2019-09-20,13,0,7
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,4,0,0
2019-09-24,25,1,4
2019-09-25,21,1,4
2019-09-26,27,0,3
2019-09-27,23,1,10
2019-09-28,7,1,0
2019-09-29,4,0,0
2019-09-30,18,1,1
2019-10-01,14,2,0
2019-10-02,23,6,7
2019-10-03,9,1,0
2019-10-04,28,3,2
2019-10-05,5,0,0
2019-10-06,2,0,0
2019-10-07,13,2,6
2019-10-08,14,5,8
2019-10-09,23,3,7
2019-10-10,35,6,21
2019-10-11,19,0,4
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,16,2,10
2019-10-15,26,6,8
2019-10-16,11,6,1
2019-10-17,15,2,3
2019-10-18,24,0,3
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,13,2,6
2019-10-22,11,4,1
2019-10-23,12,3,0
2019-10-24,28,2,0
2019-10-25,12,1,0
2019-10-26,9,0,0
2019-10-27,0,0,0
2019-10-28,29,2,0
2019-10-29,24,4,5
2019-10-30,20,0,15
2019-10-31,19,1,2
2019-11-01,19,1,2
2019-11-02,2,0,0
2019-11-03,0,0,0
2019-11-04,5,0,0
2019-11-05,30,0,0
2019-11-06,23,4,1
2019-11-07,19,5,17
2019-11-08,18,1,5
2019-11-09,12,0,0
2019-11-10,2,0,0
2019-11-11,10,1,2
2019-11-12,9,2,1
2019-11-13,12,0,1
2019-11-14,20,4,6
2019-11-15,17,0,0
2019-11-16,7,0,0
2019-11-17,3,0,0
2019-11-18,13,1,3
2019-11-19,24,2,2
2019-11-20,21,4,4
2019-11-21,22,7,1
2019-11-22,23,1,1
2019-11-23,9,0,0
2019-11-24,1,0,0
2019-11-25,13,0,0
2019-11-26,20,4,0
2019-11-27,21,1,0
2019-11-28,7,1,0
2019-11-29,1,2,0
2019-11-30,1,0,0
2019-12-01,0,0,0
2019-12-02,8,1,1
2019-12-03,23,5,0
2019-12-04,27,3,1
2019-12-05,19,3,2
2019-12-06,15,2,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,13,2,0
2019-12-10,20,1,2
2019-12-11,6,0,12
2019-12-12,12,1,4
2019-12-13,16,5,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,12,2,4
2019-12-17,16,2,0
2019-12-18,21,0,3
2019-12-19,19,0,0
2019-12-20,7,2,0
2019-12-21,7,0,0
2019-12-22,0,0,0
2019-12-23,5,0,0
2019-12-24,2,0,0
2019-12-25,0,0,0
2019-12-26,8,0,0
2019-12-27,5,0,0
2019-12-28,3,0,0
2019-12-29,1,0,0
2019-12-30,3,0,0
2019-12-31,1,0,0
2020-01-01,0,0,0
2020-01-02,6,0,1
2020-01-03,14,1,10
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,14,1,5
2020-01-07,13,0,0
2020-01-08,28,2,1
2020-01-09,11,1,4
2020-01-10,18,2,0
2020-01-11,6,0,0
2020-01-12,0,0,0
2020-01-13,11,0,11
2020-01-14,18,2,5
2020-01-15,12,1,1
2020-01-16,26,3,1
2020-01-17,22,0,4
2020-01-18,2,0,1
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,9,1,3
2020-01-22,26,1,1
2020-01-23,5,1,17
2020-01-24,18,0,4
2020-01-25,15,0,0
2020-01-26,3,0,0
2020-01-27,12,2,15
2020-01-28,28,1,2
2020-01-29,24,0,8
2020-01-30,19,3,3
2020-01-31,23,3,2
2020-02-01,5,0,0
2020-02-02,0,0,0
2020-02-03,8,1,0
2020-02-04,21,0,2
2020-02-05,17,7,4
2020-02-06,27,2,2
2020-02-07,24,0,5
2020-02-08,5,0,0
2020-02-09,0,0,0
2020-02-10,18,1,3
2020-02-11,14,0,7
2020-02-12,22,0,4
2020-02-13,27,2,2
2020-02-14,13,0,7
2020-02-15,4,0,0
2020-02-16,0,0,0
2020-02-17,1,3,0
2020-02-18,13,0,7
2020-02-19,10,0,6
2020-02-20,18,0,2
2020-02-21,10,6,1
2020-02-22,0,0,0
2020-02-23,5,1,0
2020-02-24,11,1,7
2020-02-25,15,4,1
2020-02-26,21,2,8
2020-02-27,22,7,7
2020-02-28,27,0,0
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,7,0,2
2020-03-03,15,0,0
2020-03-04,17,0,0
2020-03-05,22,1,2
2020-03-06,25,4,4
2020-03-07,3,2,0
2020-03-08,6,0,0
2020-03-09,10,6,0
2020-03-10,23,7,1
2020-03-11,15,1,9
2020-03-12,16,0,3
2020-03-13,23,2,1
