,JetBrains/kotlin,rust-lang/rust,apple/swift
2018-08-17,46,44,93
2018-08-18,1,40,53
2018-08-19,2,83,7
2018-08-20,174,72,70
2018-08-21,58,44,65
2018-08-22,12,118,62
2018-08-23,69,72,50
2018-08-24,51,87,95
2018-08-25,7,43,52
2018-08-26,0,57,18
2018-08-27,29,89,37
2018-08-28,15,61,80
2018-08-29,18,92,88
2018-08-30,231,98,56
2018-08-31,68,78,89
2018-09-01,0,64,26
2018-09-02,0,42,5
2018-09-03,2,74,5
2018-09-04,35,39,55
2018-09-05,38,64,82
2018-09-06,96,93,73
2018-09-07,91,74,38
2018-09-08,45,63,15
2018-09-09,5,47,1
2018-09-10,60,69,44
2018-09-11,81,85,61
2018-09-12,54,71,52
2018-09-13,68,76,52
2018-09-14,51,44,92
2018-09-15,2,69,29
2018-09-16,12,50,49
2018-09-17,43,51,34
2018-09-18,67,61,56
2018-09-19,32,45,71
2018-09-20,42,86,77
2018-09-21,43,50,80
2018-09-22,3,57,68
2018-09-23,1,43,10
2018-09-24,18,41,85
2018-09-25,40,51,75
2018-09-26,65,87,95
2018-09-27,35,35,76
2018-09-28,24,37,68
2018-09-29,4,66,20
2018-09-30,2,59,8
2018-10-01,39,51,60
2018-10-02,18,64,40
2018-10-03,25,42,72
2018-10-04,7,62,67
2018-10-05,4,82,93
2018-10-06,0,48,18
2018-10-07,0,30,13
2018-10-08,14,76,54
2018-10-09,30,76,68
2018-10-10,26,76,56
2018-10-11,32,58,65
2018-10-12,33,69,73
2018-10-13,0,76,30
2018-10-14,6,54,13
2018-10-15,34,123,55
2018-10-16,43,69,62
2018-10-17,51,63,31
2018-10-18,26,73,16
2018-10-19,35,67,40
2018-10-20,0,54,25
2018-10-21,2,36,15
2018-10-22,34,52,16
2018-10-23,24,57,42
2018-10-24,38,58,49
2018-10-25,50,122,47
2018-10-26,27,77,79
2018-10-27,10,49,45
2018-10-28,0,61,9
2018-10-29,13,61,57
2018-10-30,10,70,68
2018-10-31,46,62,67
2018-11-01,30,96,54
2018-11-02,57,62,56
2018-11-03,0,71,20
2018-11-04,2,37,62
2018-11-05,0,99,45
2018-11-06,30,53,105
2018-11-07,35,81,89
2018-11-08,50,56,71
2018-11-09,16,49,101
2018-11-10,0,85,58
2018-11-11,0,60,5
2018-11-12,22,38,44
2018-11-13,40,63,73
2018-11-14,21,36,101
2018-11-15,14,67,83
2018-11-16,25,123,115
2018-11-17,5,34,45
2018-11-18,1,47,16
2018-11-19,14,52,9
2018-11-20,16,72,14
2018-11-21,91,108,10
2018-11-22,47,61,22
2018-11-23,47,42,8
2018-11-24,2,61,3
2018-11-25,0,63,1
2018-11-26,44,56,82
2018-11-27,52,127,75
2018-11-28,44,47,88
2018-11-29,43,84,74
2018-11-30,29,103,98
2018-12-01,1,18,25
2018-12-02,0,57,13
2018-12-03,7,79,49
2018-12-04,20,82,86
2018-12-05,33,59,60
2018-12-06,36,74,66
2018-12-07,29,57,79
2018-12-08,0,57,41
2018-12-09,1,57,14
2018-12-10,29,73,62
2018-12-11,63,78,49
2018-12-12,57,86,78
2018-12-13,37,53,84
2018-12-14,17,80,38
2018-12-15,3,57,55
2018-12-16,2,40,25
2018-12-17,13,56,48
2018-12-18,45,50,65
2018-12-19,12,117,47
2018-12-20,35,86,52
2018-12-21,34,79,77
2018-12-22,0,75,5
2018-12-23,0,54,8
2018-12-24,21,38,3
2018-12-25,26,60,6
2018-12-26,49,52,5
2018-12-27,13,76,0
2018-12-28,17,61,2
2018-12-29,6,73,0
2018-12-30,0,72,5
2018-12-31,0,50,1
2019-01-01,1,60,2
2019-01-02,6,83,71
2019-01-03,3,89,44
2019-01-04,0,68,81
2019-01-05,5,70,25
2019-01-06,0,63,10
2019-01-07,2,82,31
2019-01-08,5,91,88
2019-01-09,19,51,60
2019-01-10,41,45,66
2019-01-11,49,44,58
2019-01-12,0,80,24
2019-01-13,0,107,7
2019-01-14,35,69,53
2019-01-15,29,67,74
2019-01-16,29,46,65
2019-01-17,41,45,64
2019-01-18,31,82,80
2019-01-19,2,99,27
2019-01-20,1,55,25
2019-01-21,20,72,36
2019-01-22,10,102,82
2019-01-23,12,61,42
2019-01-24,34,76,46
2019-01-25,31,92,50
2019-01-26,3,111,60
2019-01-27,1,82,20
2019-01-28,48,65,46
2019-01-29,20,59,76
2019-01-30,25,72,59
2019-01-31,42,66,41
2019-02-01,19,107,62
2019-02-02,0,37,19
2019-02-03,5,69,25
2019-02-04,13,47,70
2019-02-05,26,79,76
2019-02-06,24,66,67
2019-02-07,30,131,62
2019-02-08,1,93,76
2019-02-09,0,68,9
2019-02-10,17,75,10
2019-02-11,6,83,66
2019-02-12,31,78,79
2019-02-13,25,106,55
2019-02-14,107,72,77
2019-02-15,35,41,48
2019-02-16,1,53,31
2019-02-17,22,60,24
2019-02-18,49,112,57
2019-02-19,81,42,98
2019-02-20,20,87,83
2019-02-21,26,70,67
2019-02-22,39,54,82
2019-02-23,1,83,38
2019-02-24,1,90,22
2019-02-25,116,58,87
2019-02-26,26,48,57
2019-02-27,22,81,48
2019-02-28,29,37,57
2019-03-01,33,50,69
2019-03-02,7,56,42
2019-03-03,2,59,18
2019-03-04,80,57,47
2019-03-05,52,71,77
2019-03-06,41,45,76
2019-03-07,33,56,61
2019-03-08,25,56,37
2019-03-09,2,39,11
2019-03-10,0,44,12
2019-03-11,16,50,42
2019-03-12,17,68,60
2019-03-13,30,56,62
2019-03-14,50,49,56
2019-03-15,56,109,64
2019-03-16,3,93,9
2019-03-17,0,51,19
2019-03-18,31,80,78
2019-03-19,49,64,47
2019-03-20,83,66,37
2019-03-21,58,58,54
2019-03-22,69,46,64
2019-03-23,10,60,26
2019-03-24,2,46,10
2019-03-25,45,72,52
2019-03-26,25,78,69
2019-03-27,41,60,101
2019-03-28,35,87,61
2019-03-29,34,91,79
2019-03-30,3,74,12
2019-03-31,3,49,26
2019-04-01,11,46,60
2019-04-02,29,87,80
2019-04-03,531,68,88
2019-04-04,68,67,44
2019-04-05,34,50,44
2019-04-06,6,36,44
2019-04-07,0,52,22
2019-04-08,29,47,41
2019-04-09,31,59,73
2019-04-10,67,51,48
2019-04-11,39,63,67
2019-04-12,30,74,53
2019-04-13,8,60,22
2019-04-14,0,92,28
2019-04-15,21,45,31
2019-04-16,30,64,56
2019-04-17,54,109,102
2019-04-18,28,73,44
2019-04-19,35,87,51
2019-04-20,0,51,36
2019-04-21,1,67,11
2019-04-22,62,75,35
2019-04-23,52,75,79
2019-04-24,31,74,85
2019-04-25,51,84,51
2019-04-26,37,51,55
2019-04-27,0,30,18
2019-04-28,1,43,5
2019-04-29,45,46,27
2019-04-30,154,74,26
2019-05-01,8,102,46
2019-05-02,4,98,62
2019-05-03,7,44,59
2019-05-04,1,104,37
2019-05-05,1,33,13
2019-05-06,62,41,58
2019-05-07,22,40,70
2019-05-08,21,39,59
2019-05-09,17,73,58
2019-05-10,7,57,64
2019-05-11,1,53,22
2019-05-12,0,44,13
2019-05-13,43,61,55
2019-05-14,34,62,86
2019-05-15,27,55,55
2019-05-16,15,57,51
2019-05-17,18,61,36
2019-05-18,70,45,29
2019-05-19,1,54,19
2019-05-20,28,100,57
2019-05-21,30,93,60
2019-05-22,30,75,44
2019-05-23,73,105,75
2019-05-24,43,59,36
2019-05-25,20,88,16
2019-05-26,7,51,15
2019-05-27,19,99,10
2019-05-28,124,115,36
2019-05-29,51,69,84
2019-05-30,85,63,56
2019-05-31,38,55,65
2019-06-01,0,64,36
2019-06-02,3,54,39
2019-06-03,38,84,41
2019-06-04,41,96,40
2019-06-05,47,64,61
2019-06-06,21,68,41
2019-06-07,37,44,17
2019-06-08,8,84,19
2019-06-09,1,71,12
2019-06-10,36,61,56
2019-06-11,27,93,65
2019-06-12,4,100,112
2019-06-13,49,44,66
2019-06-14,29,61,100
2019-06-15,5,85,22
2019-06-16,3,70,3
2019-06-17,26,30,48
2019-06-18,66,54,71
2019-06-19,36,65,49
2019-06-20,28,64,61
2019-06-21,19,75,37
2019-06-22,0,72,25
2019-06-23,0,44,15
2019-06-24,27,64,71
2019-06-25,49,52,50
2019-06-26,52,85,91
2019-06-27,70,29,69
2019-06-28,13,22,76
2019-06-29,7,52,30
2019-06-30,0,61,20
2019-07-01,28,43,64
2019-07-02,47,110,48
2019-07-03,14,91,41
2019-07-04,23,70,24
2019-07-05,15,61,19
2019-07-06,1,111,21
2019-07-07,0,86,13
2019-07-08,58,47,38
2019-07-09,26,77,70
2019-07-10,92,97,45
2019-07-11,36,56,41
2019-07-12,35,50,59
2019-07-13,2,49,53
2019-07-14,0,45,7
2019-07-15,13,81,17
2019-07-16,22,44,98
2019-07-17,66,48,54
2019-07-18,15,60,47
2019-07-19,25,57,53
2019-07-20,0,61,10
2019-07-21,1,38,4
2019-07-22,17,69,36
2019-07-23,16,62,53
2019-07-24,19,75,47
2019-07-25,59,64,60
2019-07-26,43,81,36
2019-07-27,3,69,15
2019-07-28,0,129,7
2019-07-29,10,71,27
2019-07-30,107,82,42
2019-07-31,21,61,46
2019-08-01,91,82,31
2019-08-02,20,103,59
2019-08-03,7,60,10
2019-08-04,2,69,2
2019-08-05,31,95,35
2019-08-06,57,88,58
2019-08-07,19,42,70
2019-08-08,6,84,42
2019-08-09,13,93,59
2019-08-10,0,91,29
2019-08-11,1,74,11
2019-08-12,22,101,66
2019-08-13,22,67,90
2019-08-14,18,81,48
2019-08-15,18,91,56
2019-08-16,13,70,39
