,JetBrains/kotlin,rust-lang/rust,apple/swift
2014-08-17,0,24,0
2014-08-18,5,30,22
2014-08-19,12,34,28
2014-08-20,27,22,29
2014-08-21,13,36,61
2014-08-22,18,18,33
2014-08-23,2,25,5
2014-08-24,0,23,0
2014-08-25,13,16,15
2014-08-26,7,15,19
2014-08-27,43,23,29
2014-08-28,4,21,51
2014-08-29,19,30,46
2014-08-30,0,23,15
2014-08-31,0,35,6
2014-09-01,29,11,14
2014-09-02,11,21,20
2014-09-03,11,18,27
2014-09-04,0,24,38
2014-09-05,7,31,17
2014-09-06,7,19,10
2014-09-07,0,25,1
2014-09-08,6,24,23
2014-09-09,36,45,24
2014-09-10,18,25,39
2014-09-11,25,19,37
2014-09-12,9,26,32
2014-09-13,0,15,5
2014-09-14,0,35,0
2014-09-15,31,36,21
2014-09-16,18,22,37
2014-09-17,10,61,47
2014-09-18,19,30,52
2014-09-19,9,21,36
2014-09-20,0,18,4
2014-09-21,0,12,9
2014-09-22,3,43,27
2014-09-23,26,19,50
2014-09-24,23,34,26
2014-09-25,38,31,20
2014-09-26,41,21,15
2014-09-27,1,16,12
2014-09-28,24,9,29
2014-09-29,14,47,26
2014-09-30,22,37,37
2014-10-01,24,40,32
2014-10-02,11,67,32
2014-10-03,90,43,25
2014-10-04,0,22,12
2014-10-05,0,27,7
2014-10-06,45,25,26
2014-10-07,38,29,25
2014-10-08,29,23,25
2014-10-09,24,48,38
2014-10-10,23,12,34
2014-10-11,3,25,11
2014-10-12,0,23,3
2014-10-13,122,41,16
2014-10-14,32,22,23
2014-10-15,29,28,44
2014-10-16,33,27,17
2014-10-17,14,21,14
2014-10-18,11,17,7
2014-10-19,0,16,3
2014-10-20,23,15,24
2014-10-21,21,23,15
2014-10-22,75,20,8
2014-10-23,1,21,22
2014-10-24,11,19,29
2014-10-25,0,26,8
2014-10-26,0,21,12
2014-10-27,10,53,20
2014-10-28,8,41,20
2014-10-29,6,24,17
2014-10-30,44,45,9
2014-10-31,36,37,19
2014-11-01,2,18,14
2014-11-02,1,30,14
2014-11-03,0,76,18
2014-11-04,0,24,14
2014-11-05,33,34,15
2014-11-06,15,69,20
2014-11-07,64,40,25
2014-11-08,8,18,16
2014-11-09,0,31,15
2014-11-10,20,18,13
2014-11-11,32,18,40
2014-11-12,65,32,35
2014-11-13,38,20,18
2014-11-14,29,20,29
2014-11-15,0,14,16
2014-11-16,0,42,6
2014-11-17,46,62,29
2014-11-18,14,42,27
2014-11-19,13,73,33
2014-11-20,24,38,38
2014-11-21,48,55,47
2014-11-22,0,18,17
2014-11-23,0,46,4
2014-11-24,61,25,11
2014-11-25,40,36,2
2014-11-26,19,33,2
2014-11-27,27,45,0
2014-11-28,43,11,4
2014-11-29,0,7,0
2014-11-30,0,16,1
2014-12-01,68,12,12
2014-12-02,13,18,22
2014-12-03,69,33,39
2014-12-04,1,41,28
2014-12-05,11,60,46
2014-12-06,0,17,15
2014-12-07,0,51,2
2014-12-08,41,27,19
2014-12-09,3,42,18
2014-12-10,26,20,15
2014-12-11,25,17,20
2014-12-12,74,24,28
2014-12-13,0,122,16
2014-12-14,1,79,11
2014-12-15,55,47,19
2014-12-16,52,37,15
2014-12-17,3,63,31
2014-12-18,54,41,24
2014-12-19,12,103,26
2014-12-20,4,45,17
2014-12-21,36,57,3
2014-12-22,4,62,19
2014-12-23,50,26,42
2014-12-24,38,22,15
2014-12-25,11,35,0
2014-12-26,29,30,3
2014-12-27,1,27,3
2014-12-28,0,35,2
2014-12-29,48,63,0
2014-12-30,2,126,0
2014-12-31,19,42,0
2015-01-01,0,49,4
2015-01-02,15,70,1
2015-01-03,16,61,0
2015-01-04,0,60,2
2015-01-05,11,127,15
2015-01-06,5,136,25
2015-01-07,1,78,12
2015-01-08,7,109,35
2015-01-09,4,43,43
2015-01-10,13,33,18
2015-01-11,12,48,10
2015-01-12,35,86,10
2015-01-13,16,32,27
2015-01-14,28,34,22
2015-01-15,9,91,28
2015-01-16,4,50,28
2015-01-17,0,44,7
2015-01-18,0,46,2
2015-01-19,17,43,34
2015-01-20,17,72,35
2015-01-21,36,96,34
2015-01-22,26,51,40
2015-01-23,0,28,33
2015-01-24,0,43,16
2015-01-25,0,22,9
2015-01-26,4,31,12
2015-01-27,4,66,24
2015-01-28,16,44,41
2015-01-29,38,40,27
2015-01-30,23,65,27
2015-01-31,0,28,18
2015-02-01,0,36,7
2015-02-02,13,51,17
2015-02-03,8,43,18
2015-02-04,13,21,51
2015-02-05,13,49,37
2015-02-06,34,71,33
2015-02-07,0,35,16
2015-02-08,0,18,0
2015-02-09,37,21,15
2015-02-10,28,66,42
2015-02-11,40,75,58
2015-02-12,28,39,48
2015-02-13,22,46,31
2015-02-14,0,25,11
2015-02-15,0,71,7
2015-02-16,69,71,21
2015-02-17,5,86,23
2015-02-18,35,123,25
2015-02-19,32,36,18
2015-02-20,36,17,32
2015-02-21,1,53,30
2015-02-22,1,72,4
2015-02-23,0,64,10
2015-02-24,8,105,27
2015-02-25,10,32,16
2015-02-26,181,31,30
2015-02-27,10,34,57
2015-02-28,0,41,14
2015-03-01,0,43,17
2015-03-02,8,32,31
2015-03-03,29,76,31
2015-03-04,34,31,44
2015-03-05,34,55,20
2015-03-06,92,59,27
2015-03-07,0,15,19
2015-03-08,0,38,20
2015-03-09,0,35,33
2015-03-10,25,33,56
2015-03-11,97,24,36
2015-03-12,50,33,70
2015-03-13,34,29,39
2015-03-14,1,18,27
2015-03-15,1,42,30
2015-03-16,48,30,23
2015-03-17,38,53,39
2015-03-18,80,37,38
2015-03-19,8,57,49
2015-03-20,28,41,35
2015-03-21,10,10,15
2015-03-22,0,23,19
2015-03-23,29,96,36
2015-03-24,30,65,44
2015-03-25,24,24,49
2015-03-26,15,44,46
2015-03-27,19,79,39
2015-03-28,0,26,29
2015-03-29,0,34,19
2015-03-30,34,37,24
2015-03-31,41,75,35
2015-04-01,45,95,49
2015-04-02,30,34,61
2015-04-03,44,37,35
2015-04-04,7,42,30
2015-04-05,1,18,31
2015-04-06,21,21,19
2015-04-07,88,43,51
2015-04-08,18,68,36
2015-04-09,41,38,41
2015-04-10,16,57,28
2015-04-11,0,45,11
2015-04-12,0,21,6
2015-04-13,30,36,17
2015-04-14,15,86,25
2015-04-15,24,49,36
2015-04-16,89,31,42
2015-04-17,18,75,51
2015-04-18,4,35,10
2015-04-19,0,22,12
2015-04-20,12,35,38
2015-04-21,26,99,24
2015-04-22,47,30,74
2015-04-23,46,45,44
2015-04-24,29,63,37
2015-04-25,0,50,9
2015-04-26,0,25,53
2015-04-27,42,51,63
2015-04-28,21,31,44
2015-04-29,43,97,53
2015-04-30,7,70,50
2015-05-01,6,44,41
2015-05-02,32,36,31
2015-05-03,0,23,10
2015-05-04,0,43,34
2015-05-05,4,52,47
2015-05-06,7,58,40
2015-05-07,28,56,69
2015-05-08,51,43,41
2015-05-09,1,37,36
2015-05-10,0,54,15
2015-05-11,4,54,39
2015-05-12,15,63,45
2015-05-13,132,66,41
2015-05-14,50,52,45
2015-05-15,23,53,57
2015-05-16,25,39,14
2015-05-17,8,40,20
2015-05-18,32,33,43
2015-05-19,24,84,58
2015-05-20,47,36,52
2015-05-21,52,35,31
2015-05-22,16,21,33
2015-05-23,0,34,37
2015-05-24,7,26,22
2015-05-25,24,34,9
2015-05-26,97,35,29
2015-05-27,121,30,40
2015-05-28,27,41,32
2015-05-29,20,41,30
2015-05-30,4,20,13
2015-05-31,1,22,18
2015-06-01,38,28,15
2015-06-02,48,34,37
2015-06-03,40,26,25
2015-06-04,43,30,21
2015-06-05,19,25,11
2015-06-06,1,30,10
2015-06-07,0,20,4
2015-06-08,34,44,12
2015-06-09,14,58,5
2015-06-10,29,40,6
2015-06-11,58,36,0
2015-06-12,19,35,6
2015-06-13,4,25,2
2015-06-14,0,18,3
2015-06-15,54,35,19
2015-06-16,18,19,16
2015-06-17,48,52,57
2015-06-18,29,51,26
2015-06-19,22,36,25
2015-06-20,0,37,10
2015-06-21,0,28,2
2015-06-22,8,28,19
2015-06-23,57,44,23
2015-06-24,23,40,63
2015-06-25,46,36,64
2015-06-26,7,25,33
2015-06-27,13,21,19
2015-06-28,0,9,8
2015-06-29,54,32,19
2015-06-30,19,57,25
2015-07-01,16,37,41
2015-07-02,10,28,35
2015-07-03,30,26,7
2015-07-04,6,28,3
2015-07-05,0,35,0
2015-07-06,29,35,12
2015-07-07,33,29,21
2015-07-08,17,46,49
2015-07-09,66,32,40
2015-07-10,60,27,48
2015-07-11,1,27,25
2015-07-12,0,32,8
2015-07-13,7,38,44
2015-07-14,12,39,22
2015-07-15,24,11,36
2015-07-16,94,47,48
2015-07-17,42,37,51
2015-07-18,0,33,28
2015-07-19,5,24,13
2015-07-20,9,52,27
2015-07-21,88,46,50
2015-07-22,28,63,41
2015-07-23,30,45,38
2015-07-24,43,60,40
2015-07-25,0,34,36
2015-07-26,0,35,30
2015-07-27,13,32,31
2015-07-28,47,52,31
2015-07-29,45,53,28
2015-07-30,30,32,39
2015-07-31,28,31,60
