,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-02-12,5,19,0
2014-02-13,1,19,0
2014-02-14,2,20,0
2014-02-15,1,13,0
2014-02-16,0,6,0
2014-02-17,4,12,0
2014-02-18,2,40,2
2014-02-19,4,15,1
2014-02-20,5,16,0
2014-02-21,0,18,4
2014-02-22,0,3,1
2014-02-23,0,4,5
2014-02-24,0,23,3
2014-02-25,6,27,0
2014-02-26,0,24,9
2014-02-27,0,20,1
2014-02-28,0,19,8
2014-03-01,0,3,15
2014-03-02,8,3,8
2014-03-03,9,20,4
2014-03-04,1,8,14
2014-03-05,0,11,9
2014-03-06,12,17,14
2014-03-07,5,4,2
2014-03-08,0,5,11
2014-03-09,1,3,2
2014-03-10,5,21,3
2014-03-11,18,17,3
2014-03-12,4,16,5
2014-03-13,27,23,6
2014-03-14,17,33,7
2014-03-15,36,5,8
2014-03-16,31,3,0
2014-03-17,37,33,0
2014-03-18,10,8,4
2014-03-19,43,24,1
2014-03-20,44,24,2
2014-03-21,24,17,0
2014-03-22,18,7,0
2014-03-23,49,4,0
2014-03-24,32,38,5
2014-03-25,52,44,0
2014-03-26,35,30,0
2014-03-27,20,24,1
2014-03-28,14,11,1
2014-03-29,19,2,2
2014-03-30,22,1,2
2014-03-31,10,21,3
2014-04-01,8,28,1
2014-04-02,12,38,5
2014-04-03,4,23,0
2014-04-04,11,18,1
2014-04-05,8,5,0
2014-04-06,16,14,0
2014-04-07,9,42,3
2014-04-08,5,32,4
2014-04-09,8,27,3
2014-04-10,21,15,5
2014-04-11,22,18,4
2014-04-12,25,3,0
2014-04-13,12,12,0
2014-04-14,16,28,0
2014-04-15,16,17,1
2014-04-16,11,7,0
2014-04-17,2,11,6
2014-04-18,6,10,3
2014-04-19,4,1,0
2014-04-20,4,1,0
2014-04-21,8,4,2
2014-04-22,14,18,1
2014-04-23,26,26,2
2014-04-24,4,17,2
2014-04-25,3,11,2
2014-04-26,9,2,4
2014-04-27,11,4,5
2014-04-28,0,13,8
2014-04-29,3,12,13
2014-04-30,6,9,4
2014-05-01,23,8,1
2014-05-02,9,16,2
2014-05-03,4,4,1
2014-05-04,0,0,2
2014-05-05,13,20,7
2014-05-06,6,16,2
2014-05-07,11,15,5
2014-05-08,8,38,0
2014-05-09,9,4,0
2014-05-10,1,1,15
2014-05-11,21,3,2
2014-05-12,11,13,2
2014-05-13,8,28,1
2014-05-14,10,20,0
2014-05-15,8,15,0
2014-05-16,9,10,2
2014-05-17,0,1,0
2014-05-18,3,4,11
2014-05-19,5,18,0
2014-05-20,0,14,1
2014-05-21,2,4,0
2014-05-22,1,29,0
2014-05-23,0,30,0
2014-05-24,6,10,0
2014-05-25,0,0,1
2014-05-26,9,34,0
2014-05-27,0,26,0
2014-05-28,4,29,1
2014-05-29,1,38,0
2014-05-30,5,14,1
2014-05-31,1,6,5
2014-06-01,5,1,5
2014-06-02,1,18,6
2014-06-03,4,52,0
2014-06-04,1,29,1
2014-06-05,1,26,4
2014-06-06,3,21,3
2014-06-07,1,10,3
2014-06-08,4,3,0
2014-06-09,0,4,4
2014-06-10,1,41,2
2014-06-11,2,27,0
2014-06-12,6,17,0
2014-06-13,1,24,0
2014-06-14,0,29,5
2014-06-15,0,4,6
2014-06-16,0,11,2
2014-06-17,1,16,0
2014-06-18,0,18,0
2014-06-19,1,12,2
2014-06-20,2,13,2
2014-06-21,3,3,0
2014-06-22,5,4,2
2014-06-23,6,26,1
2014-06-24,6,45,1
2014-06-25,10,25,1
2014-06-26,1,35,1
2014-06-27,3,5,0
2014-06-28,12,0,3
2014-06-29,4,0,6
2014-06-30,2,22,5
2014-07-01,0,16,0
2014-07-02,1,22,0
2014-07-03,0,21,0
2014-07-04,9,21,0
2014-07-05,5,5,4
2014-07-06,3,0,9
2014-07-07,2,9,0
2014-07-08,0,9,2
2014-07-09,0,17,0
2014-07-10,0,20,0
2014-07-11,0,17,0
2014-07-12,4,0,2
2014-07-13,0,3,10
2014-07-14,0,10,1
2014-07-15,1,16,0
2014-07-16,1,18,2
2014-07-17,0,17,0
2014-07-18,2,4,0
2014-07-19,0,2,0
2014-07-20,1,2,1
2014-07-21,1,12,0
2014-07-22,18,9,2
2014-07-23,4,21,3
2014-07-24,26,8,0
2014-07-25,24,12,2
2014-07-26,15,4,3
2014-07-27,3,6,4
2014-07-28,4,15,6
2014-07-29,0,22,6
2014-07-30,1,21,1
2014-07-31,1,26,2
2014-08-01,5,9,1
2014-08-02,1,2,1
2014-08-03,0,7,7
2014-08-04,4,12,4
2014-08-05,1,2,2
2014-08-06,2,14,0
2014-08-07,7,7,1
2014-08-08,2,0,0
2014-08-09,3,6,2
2014-08-10,3,3,1
2014-08-11,1,28,4
2014-08-12,0,7,2
2014-08-13,1,32,7
2014-08-14,10,5,5
2014-08-15,2,19,1
2014-08-16,2,3,1
2014-08-17,0,5,2
2014-08-18,0,14,0
2014-08-19,0,12,0
2014-08-20,1,19,1
2014-08-21,0,22,1
2014-08-22,0,17,2
2014-08-23,5,22,1
2014-08-24,3,5,4
2014-08-25,7,15,1
2014-08-26,4,24,0
2014-08-27,2,26,0
2014-08-28,2,22,0
2014-08-29,8,30,0
2014-08-30,10,6,0
2014-08-31,29,5,4
2014-09-01,4,35,1
2014-09-02,16,25,2
2014-09-03,9,17,0
2014-09-04,5,21,2
2014-09-05,8,15,0
2014-09-06,0,8,0
2014-09-07,5,3,0
2014-09-08,5,48,0
2014-09-09,7,26,1
2014-09-10,3,22,1
2014-09-11,0,24,0
2014-09-12,4,29,1
2014-09-13,4,2,1
2014-09-14,3,11,3
2014-09-15,3,14,4
2014-09-16,12,8,0
2014-09-17,10,12,0
2014-09-18,3,14,0
2014-09-19,1,25,4
2014-09-20,3,8,2
2014-09-21,5,8,0
2014-09-22,9,36,9
2014-09-23,15,24,8
2014-09-24,3,27,4
2014-09-25,6,35,3
2014-09-26,9,26,0
2014-09-27,4,6,3
2014-09-28,18,6,4
2014-09-29,10,38,6
2014-09-30,3,46,2
2014-10-01,5,32,0
2014-10-02,0,42,0
2014-10-03,3,33,2
2014-10-04,9,5,2
2014-10-05,6,9,15
2014-10-06,4,31,4
2014-10-07,1,30,1
2014-10-08,5,24,0
2014-10-09,4,13,1
2014-10-10,6,20,0
2014-10-11,7,1,2
2014-10-12,5,11,3
2014-10-13,10,26,0
2014-10-14,6,29,0
2014-10-15,4,30,0
2014-10-16,0,13,2
2014-10-17,0,15,0
2014-10-18,2,17,4
2014-10-19,6,5,2
2014-10-20,2,27,0
2014-10-21,1,54,0
2014-10-22,2,20,0
2014-10-23,0,22,0
2014-10-24,3,19,0
2014-10-25,1,3,0
2014-10-26,0,1,0
2014-10-27,1,25,0
2014-10-28,2,25,0
2014-10-29,0,24,1
2014-10-30,1,36,0
2014-10-31,1,12,5
2014-11-01,2,4,0
2014-11-02,5,4,7
2014-11-03,0,9,1
2014-11-04,10,10,1
2014-11-05,0,30,0
2014-11-06,1,10,1
2014-11-07,6,5,1
2014-11-08,0,2,3
2014-11-09,0,3,0
2014-11-10,2,9,1
2014-11-11,2,17,3
2014-11-12,1,17,0
2014-11-13,3,8,0
2014-11-14,3,14,0
2014-11-15,0,2,1
2014-11-16,2,2,2
2014-11-17,10,6,1
2014-11-18,2,17,1
2014-11-19,6,7,0
2014-11-20,2,12,0
2014-11-21,4,4,0
2014-11-22,1,0,10
2014-11-23,1,7,4
2014-11-24,7,14,1
2014-11-25,0,3,0
2014-11-26,2,7,1
2014-11-27,2,7,3
2014-11-28,6,5,0
2014-11-29,3,7,0
2014-11-30,7,10,0
2014-12-01,2,17,0
2014-12-02,6,27,0
2014-12-03,1,22,0
2014-12-04,2,31,1
2014-12-05,11,22,0
2014-12-06,0,1,0
2014-12-07,5,7,0
2014-12-08,1,19,0
2014-12-09,1,4,0
2014-12-10,7,4,0
2014-12-11,4,10,0
2014-12-12,1,10,1
2014-12-13,2,2,0
2014-12-14,3,7,0
2014-12-15,2,24,0
2014-12-16,1,9,0
2014-12-17,6,14,0
2014-12-18,8,6,0
2014-12-19,6,2,1
2014-12-20,1,17,0
2014-12-21,7,2,2
2014-12-22,9,16,2
2014-12-23,0,25,0
2014-12-24,2,18,0
2014-12-25,0,17,0
2014-12-26,0,22,1
2014-12-27,6,9,2
2014-12-28,3,13,4
2014-12-29,6,45,3
2014-12-30,0,25,5
2014-12-31,7,2,1
2015-01-01,0,6,3
2015-01-02,11,1,3
2015-01-03,2,4,1
2015-01-04,0,1,4
2015-01-05,3,8,1
2015-01-06,1,21,2
2015-01-07,0,15,6
2015-01-08,1,11,1
2015-01-09,2,2,3
2015-01-10,0,8,2
2015-01-11,0,20,0
2015-01-12,0,12,1
2015-01-13,0,30,0
2015-01-14,0,8,1
2015-01-15,1,49,0
2015-01-16,0,12,0
2015-01-17,5,17,7
2015-01-18,5,22,2
2015-01-19,0,25,0
2015-01-20,3,14,4
2015-01-21,0,21,1
2015-01-22,8,31,1
2015-01-23,1,24,0
2015-01-24,0,19,2
2015-01-25,0,14,2
2015-01-26,1,21,0
2015-01-27,1,36,2
2015-01-28,0,26,0
2015-01-29,0,26,6
2015-01-30,2,25,2
2015-01-31,8,1,2
2015-02-01,12,1,3
2015-02-02,3,12,0
2015-02-03,11,56,0
2015-02-04,6,29,1
2015-02-05,17,25,0
2015-02-06,2,23,2
2015-02-07,13,17,5
2015-02-08,5,12,4
2015-02-09,13,18,1
2015-02-10,0,6,0
2015-02-11,8,17,1
2015-02-12,10,34,0
2015-02-13,13,36,0
2015-02-14,4,6,4
2015-02-15,0,10,1
2015-02-16,7,20,1
2015-02-17,2,24,0
2015-02-18,9,36,0
2015-02-19,4,24,0
2015-02-20,3,55,4
