,seleniumhq/selenium,gocolly/colly,puppeteer/puppeteer
2021-09-28,38,0,1.0
2021-09-29,17,0,4.8
2021-09-30,11,1,-0.07999999999999985
2021-10-01,3,0,-0.6480000000000004
2021-10-02,0,0,0.6463999999999998
2021-10-03,0,0,-0.44153600000000004
2021-10-04,2,0,2.7382912
2021-10-05,1,0,0.20739328
2021-10-06,0,0,0.40694988799999976
2021-10-07,8,0,4.4491293696000005
2021-10-08,14,0,2.6740367360000006
2021-10-09,4,0,-1.3876040704000001
2021-10-10,1,0,-0.6948101120000005
2021-10-11,9,0,-0.4692143104000003
2021-10-12,12,0,0.657401344
2021-10-13,16,0,-0.4730104831999999
2021-10-14,5,0,-0.27320586240000005
2021-10-15,3,0,-0.20011479039999974
2021-10-16,0,0,-0.1534975999999996
2021-10-17,1,0,-0.07541340159999987
2021-10-18,7,0,-0.02042880000000001
2021-10-19,8,0,1.98307328
2021-10-20,14,0,-0.41438771199999985
2021-10-21,5,0,-0.1724693504000001
2021-10-22,7,0,-0.09600000000000007
2021-10-23,0,0,-0.06720000000000002
2021-10-24,0,0,-0.05107200000000003
2021-10-25,12,0,0.9591424
2021-10-26,1,0,-0.23385343999999997
2021-10-27,3,0,2.891224576
2021-10-28,1,0,0.32706129920000016
2021-10-29,3,0,0.5263999999999998
2021-10-30,0,0,-0.44953600000000016
2021-10-31,1,0,-0.24922880000000014
2021-11-01,0,0,-0.1751347200000001
2021-11-02,2,0,0.865189888
2021-11-03,8,0,0.6907856896
2021-11-04,4,0,-0.3605186559999999
2021-11-05,8,0,-0.19672248319999994
2021-11-06,0,0,-0.10845706239999994
2021-11-07,0,0,-0.07160535039999999
2021-11-08,2,0,-0.04596480000000003
2021-11-09,6,0,0.96264448
2021-11-10,0,0,0.7686855680000001
2021-11-11,0,0,1.6931429376
2021-11-12,0,0,-0.5404693504
2021-11-13,0,0,-0.2416000000000002
2021-11-14,0,0,-0.1551360000000001
2021-11-15,3,0,1.8868352
2021-11-16,10,0,0.5115724800000001
2021-11-17,17,0,-0.4321720320000001
2021-11-18,12,0,-0.23671050240000008
2021-11-19,5,0,0.8435552256000001
2021-11-20,0,0,-0.3096107007999999
2021-11-21,0,0,-0.14639360000000012
2021-11-22,9,0,-0.10228224000000007
2021-11-23,6,0,0.9206978560000001
2021-11-24,3,0,-0.26486241279999984
2021-11-25,0,0,-0.11289815040000005
2021-11-26,7,0,1.93507328
2021-11-27,4,0,-0.44798771199999987
2021-11-28,1,0,-0.1980053504000001
2021-11-29,6,0,3.8835712
2021-11-30,7,0,-0.8841267199999998
2021-12-01,21,0,-0.38545971200000023
2021-12-02,3,0,-0.24532695040000013
2021-12-03,3,0,0.8317465599999999
2021-12-04,0,0,-0.33091942399999985
2021-12-05,0,0,-0.18665390080000005
2021-12-06,0,0,-0.11570688000000007
2021-12-07,0,0,1.9088491520000002
2021-12-08,2,0,-0.4754134015999998
2021-12-09,2,0,3.8195712
2021-12-10,3,0,2.0870732800000003
2021-12-11,0,0,-1.001587712
2021-12-12,4,0,-0.49554135040000036
2021-12-13,6,0,0.6807423999999999
2021-12-14,3,0,-0.4367974400000001
2021-12-15,1,0,1.732901376
2021-12-16,3,0,-0.6019319807999999
2021-12-17,4,2,-0.30193100799999995
2021-12-18,0,1,-0.21457653759999976
2021-12-19,0,0,-0.1250368511999999
2021-12-20,4,0,-0.06799872000000004
2021-12-21,0,0,0.9447546880000001
2021-12-22,0,0,1.7536772096000002
2021-12-23,1,0,-0.5087754239999999
2021-12-24,14,0,-0.23293870080000012
2021-12-25,1,1,-0.12960000000000008
2021-12-26,9,0,-0.09273600000000004
2021-12-27,4,0,-0.07150080000000003
2021-12-28,0,0,-0.05778432000000003
2021-12-29,3,2,-0.04824115199999996
