,python/cpython,ruby/ruby,php/php-src
2016-03-05,1,3,0
2016-03-06,15,5,2
2016-03-07,8,14,5
2016-03-08,22,12,3
2016-03-09,4,20,21
2016-03-10,1,9,28
2016-03-11,10,7,18
2016-03-12,9,3,0
2016-03-13,8,5,8
2016-03-14,21,10,7
2016-03-15,15,16,20
2016-03-16,9,15,14
2016-03-17,13,30,62
2016-03-18,17,20,16
2016-03-19,13,12,0
2016-03-20,10,8,15
2016-03-21,10,15,28
2016-03-22,28,8,9
2016-03-23,36,8,7
2016-03-24,19,17,5
2016-03-25,26,8,13
2016-03-26,4,6,9
2016-03-27,14,7,5
2016-03-28,3,11,4
2016-03-29,11,13,40
2016-03-30,13,8,24
2016-03-31,11,17,13
2016-04-01,10,4,6
2016-04-02,4,5,0
2016-04-03,8,1,13
2016-04-04,1,10,24
2016-04-05,8,6,19
2016-04-06,9,9,31
2016-04-07,0,9,18
2016-04-08,10,5,26
2016-04-09,14,6,13
2016-04-10,12,8,6
2016-04-11,19,12,13
2016-04-12,12,5,22
2016-04-13,10,14,3
2016-04-14,12,16,16
2016-04-15,24,22,10
2016-04-16,21,6,23
2016-04-17,9,2,0
2016-04-18,12,13,23
2016-04-19,23,6,7
2016-04-20,8,6,19
2016-04-21,1,10,14
2016-04-22,2,17,1
2016-04-23,15,19,8
2016-04-24,24,15,7
2016-04-25,13,9,6
2016-04-26,13,13,7
2016-04-27,3,13,27
2016-04-28,6,7,27
2016-04-29,11,8,50
2016-04-30,2,40,7
2016-05-01,14,19,17
2016-05-02,8,13,17
2016-05-03,2,7,14
2016-05-04,12,11,15
2016-05-05,4,11,17
2016-05-06,4,10,21
2016-05-07,15,6,7
2016-05-08,15,15,6
2016-05-09,2,10,8
2016-05-10,6,4,16
2016-05-11,9,12,14
2016-05-12,6,10,24
2016-05-13,19,6,12
2016-05-14,3,5,14
2016-05-15,16,7,4
2016-05-16,38,9,22
2016-05-17,22,19,15
2016-05-18,16,27,6
2016-05-19,7,11,2
2016-05-20,18,14,0
2016-05-21,6,16,3
2016-05-22,12,13,0
2016-05-23,2,16,3
2016-05-24,6,16,11
2016-05-25,4,14,23
2016-05-26,11,11,3
2016-05-27,12,6,3
2016-05-28,20,13,9
2016-05-29,10,9,2
2016-05-30,8,18,18
2016-05-31,0,9,18
2016-06-01,12,19,15
2016-06-02,32,12,28
2016-06-03,36,5,7
2016-06-04,54,7,8
2016-06-05,21,13,12
2016-06-06,11,9,23
2016-06-07,10,19,30
2016-06-08,31,15,14
2016-06-09,15,12,19
2016-06-10,17,9,1
2016-06-11,34,10,3
2016-06-12,57,7,9
2016-06-13,21,7,18
2016-06-14,52,13,21
2016-06-15,15,6,21
2016-06-16,4,3,20
2016-06-17,8,4,17
2016-06-18,20,11,1
2016-06-19,4,12,25
2016-06-20,11,13,33
2016-06-21,2,10,58
2016-06-22,14,3,27
2016-06-23,4,3,14
2016-06-24,19,10,7
2016-06-25,17,3,7
2016-06-26,6,6,25
2016-06-27,20,6,22
2016-06-28,6,15,25
2016-06-29,1,8,9
2016-06-30,8,10,9
2016-07-01,7,11,6
2016-07-02,0,4,0
2016-07-03,8,2,17
2016-07-04,0,4,12
2016-07-05,2,8,57
2016-07-06,14,20,34
2016-07-07,9,8,9
2016-07-08,7,4,33
2016-07-09,1,6,3
2016-07-10,22,8,7
2016-07-11,11,8,43
2016-07-12,5,7,54
2016-07-13,0,23,30
2016-07-14,13,16,43
2016-07-15,15,11,4
2016-07-16,11,1,10
2016-07-17,12,4,36
2016-07-18,12,2,13
2016-07-19,9,2,68
2016-07-20,0,11,38
2016-07-21,0,5,26
2016-07-22,8,11,38
2016-07-23,12,4,44
2016-07-24,2,5,20
2016-07-25,15,3,38
2016-07-26,7,17,13
2016-07-27,4,1,45
2016-07-28,12,7,51
2016-07-29,10,3,23
2016-07-30,9,4,27
2016-07-31,8,3,5
2016-08-01,0,8,5
2016-08-02,4,7,36
2016-08-03,11,10,65
2016-08-04,12,2,24
2016-08-05,9,8,18
2016-08-06,9,3,15
2016-08-07,3,7,28
2016-08-08,12,6,15
2016-08-09,16,12,28
2016-08-10,17,7,15
2016-08-11,2,8,34
2016-08-12,13,8,15
2016-08-13,6,8,16
2016-08-14,18,5,24
2016-08-15,16,5,11
2016-08-16,33,9,47
