,highcharts/highcharts,plotly/plotly.js,d3/d3
2012-06-19,4,3.0,4
2012-06-20,1,-0.19999999999999973,1
2012-06-21,2,-0.7599999999999999,0
2012-06-22,3,-0.312,2
2012-06-23,0,-0.18880000000000013,0
2012-06-24,0,-0.1314560000000001,7
2012-06-25,2,-0.09884160000000004,1
2012-06-26,3,-0.07807487999999999,0
2012-06-27,1,-0.06383769599999997,0
2012-06-28,2,-0.053550182399999986,3
2012-06-29,2,-0.012798156799999997,2
2012-06-30,0,0.0,1
2012-07-01,0,0.0,0
2012-07-02,3,2.0,5
2012-07-03,1,0.20000000000000018,5
2012-07-04,3,-0.6399999999999999,2
2012-07-05,3,0.752,1
2012-07-06,0,-0.5472,0
2012-07-07,0,-0.2215040000000001,0
2012-07-08,0,3.8601216,0
2012-07-09,1,-0.7013043199999998,0
2012-07-10,0,0.041366016000000116,1
2012-07-11,0,-0.8397152255999999,0
2012-07-12,0,-0.38156871680000015,0
2012-07-13,1,-0.24056371200000012,1
2012-07-14,0,-0.1762029568000001,0
2012-07-15,0,0.87360256,0
2012-07-16,1,-0.5019566079999999,0
2012-07-17,3,1.7952811008,3
2012-07-18,0,1.1080461312,0
2012-07-19,0,0.9056018432000001,2
2012-07-20,0,-1.197952,0
2012-07-21,0,0.5258367999999999,1
2012-07-22,0,-0.6894745600000001,0
2012-07-23,0,-0.32418611200000014,2
2012-07-24,0,-0.21936967680000002,4
2012-07-25,0,-0.15457894400000005,11
2012-07-26,0,-0.12260085759999999,2
2012-07-27,0,-0.07887093759999998,0
2012-07-28,0,-0.043966873599999984,0
2012-07-29,0,-0.015155711999999993,0
2012-07-30,5,0.9872018432,0
2012-07-31,6,-0.3999999999999999,30
2012-08-01,1,0.88,5
2012-08-02,3,-0.4639999999999999,0
2012-08-03,2,-0.16160000000000005,2
2012-08-04,0,-0.09395200000000002,2
2012-08-05,0,-0.06456320000000006,10
2012-08-06,2,0.95167744,0
2012-08-07,1,-0.4381189119999999,2
2012-08-08,3,-0.1511687168,0
2012-08-09,12,0.9208442880000001,12
2012-08-10,6,-0.45439815679999995,2
2012-08-11,0,-0.149952,0
2012-08-12,0,-0.0869632,7
2012-08-13,3,-0.05997056000000004,5
2012-08-14,0,-0.04510771200000001,0
2012-08-15,3,-0.035761356800000005,5
2012-08-16,1,2.98162944,3
2012-08-17,2,3.7848442880000004,0
2012-08-18,0,-2.3727981567999996,0
2012-08-19,0,0.20799999999999996,0
2012-08-20,4,1.1552,2
2012-08-21,2,0.782144,1
2012-08-22,1,-0.32264959999999987,0
2012-08-23,4,-0.97952768,0
2012-08-24,6,-0.49847193600000006,0
2012-08-25,0,2.6557597696,0
2012-08-26,0,-1.4297917439999999,0
2012-08-27,8,-0.487775232,0
2012-08-28,6,1.7051860992,0
2012-08-29,6,3.0009217024000003,0
2012-08-30,11,0.029391974400000187,0
2012-08-31,4,-1.4896877567999998,1
2012-09-01,0,2.36568832,0
2012-09-02,0,0.400228864,0
2012-09-03,2,-0.4473288704,0
2012-09-04,5,0.97950208,8
2012-09-05,1,-0.3225200639999999,3
2012-09-06,5,-1.0000162816,1
2012-09-07,2,-0.49989765120000007,0
2012-09-08,0,-0.3037863936000001,0
2012-09-09,0,3.793324544,0
2012-09-10,0,0.23704514560000045,0
2012-09-11,3,-0.38045634559999986,0
2012-09-12,0,4.0425198592000005,0
2012-09-13,1,0.5448479744000001,0
2012-09-14,0,-2.0798061568,2
2012-09-15,1,-0.8733568000000002,0
2012-09-16,0,0.4506393599999998,0
2012-09-17,11,-0.794887168,1
2012-09-18,3,1.5754533888,4
2012-09-19,1,-1.0654944255999999,13
2012-09-20,2,0.5747116032,3
2012-09-21,2,-0.6674099199999999,0
2012-09-22,0,-0.2645576704000001,2
2012-09-23,2,-0.14227456000000002,1
2012-09-24,1,-0.10268211200000005,10
2012-09-25,6,-0.0794912768,15
2012-09-26,2,1.946725376,24
2012-09-27,1,5.1560331264000006,10
2012-09-28,0,-1.6551557119999996,8
2012-09-29,0,-1.2607981568,12
2012-09-30,0,0.41279999999999983,0
2012-10-01,4,0.2264959999999998,1
2012-10-02,2,0.21276159999999988,21
2012-10-03,1,2.21152768,3
2012-10-04,8,-1.5890979839999997,3
2012-10-05,5,-0.6304531456,16
2012-10-06,0,0.6215401472,11
2012-10-07,0,0.3911160831999999,0
2012-10-08,13,0.33365452800000006,1
2012-10-09,2,0.30078597120000006,0
2012-10-10,4,-0.7086655488,0
2012-10-11,7,0.6861827072,4
2012-10-12,3,2.4030903296,1
2012-10-13,1,4.56711424,0
2012-10-14,0,-2.9104414719999996,0
2012-10-15,9,-1.0228876288,1
2012-10-16,6,0.4149235711999999,4
2012-10-17,6,1.2096269311999999,2
2012-10-18,0,-1.1997703168,0
2012-10-19,0,0.487953408,1
2012-10-20,0,1.2619113472,0
2012-10-21,0,-0.16248074239999988,0
2012-10-22,0,1.1363438592000001,0
2012-10-23,0,-1.15389696,0
2012-10-24,3,-0.4690488320000001,0
2012-10-25,3,0.7044232192,2
2012-10-26,1,1.3969547264,0
2012-10-27,0,0.9452359680000002,1
2012-10-28,0,-0.21140654079999988,0
2012-10-29,5,6.1129068544,6
