,nodejs/node,denoland/deno,oven-sh/bun
2021-05-17,14,12,1
2021-05-18,2,6,5
2021-05-19,8,21,3
2021-05-20,6,5,3
2021-05-21,9,5,0
2021-05-22,0,1,1
2021-05-23,3,3,4
2021-05-24,5,2,4
2021-05-25,9,5,2
2021-05-26,6,3,10
2021-05-27,3,5,17
2021-05-28,4,2,9
2021-05-29,1,4,11
2021-05-30,1,0,7
2021-05-31,3,59,2
2021-06-01,12,6,1
2021-06-02,7,3,3
2021-06-03,10,8,2
2021-06-04,5,2,5
2021-06-05,1,13,4
2021-06-06,2,8,2
2021-06-07,4,8,8
2021-06-08,8,5,1
2021-06-09,3,5,2
2021-06-10,28,5,5
2021-06-11,11,4,1
2021-06-12,1,0,2
2021-06-13,4,0,1
2021-06-14,8,8,1
2021-06-15,5,11,1
2021-06-16,10,6,1
2021-06-17,4,2,1
2021-06-18,1,3,1
2021-06-19,0,5,1
2021-06-20,0,1,4
2021-06-21,10,12,3
2021-06-22,5,13,0
2021-06-23,3,9,0
2021-06-24,2,7,0
2021-06-25,1,8,1
2021-06-26,10,5,0
2021-06-27,1,4,1
2021-06-28,7,2,1
2021-06-29,4,5,2
2021-06-30,11,2,3
2021-07-01,6,5,1
2021-07-02,6,13,0
2021-07-03,10,11,0
2021-07-04,4,5,0
2021-07-05,19,15,0
2021-07-06,3,12,0
2021-07-07,6,12,0
2021-07-08,13,10,0
2021-07-09,4,6,0
2021-07-10,4,3,0
2021-07-11,16,0,1
2021-07-12,15,11,0
2021-07-13,6,5,1
2021-07-14,14,4,2
2021-07-15,6,2,0
2021-07-16,9,2,0
2021-07-17,2,2,2
2021-07-18,7,4,1
2021-07-19,15,8,0
2021-07-20,31,6,2
2021-07-21,8,3,1
2021-07-22,6,5,1
2021-07-23,9,2,0
2021-07-24,6,1,1
2021-07-25,8,1,0
2021-07-26,9,10,1
2021-07-27,2,5,3
2021-07-28,11,3,2
2021-07-29,10,6,2
2021-07-30,9,2,1
2021-07-31,4,0,0
2021-08-01,6,2,0
2021-08-02,10,4,2
