,canonical/lxd,moby/moby,containerd/containerd
2019-12-05,35,5.0,1
2019-12-06,32,2.0,5
2019-12-07,4,0.0,0
2019-12-08,0,1.0,0
2019-12-09,24,1.0,2
2019-12-10,8,6.0,5
2019-12-11,19,0.0,5
2019-12-12,40,6.0,10
2019-12-13,41,3.0,7
2019-12-14,1,0.0,2
2019-12-15,8,0.0,0
2019-12-16,26,2.0,5
2019-12-17,24,0.0,8
2019-12-18,23,4.0,1
2019-12-19,10,15.0,7
2019-12-20,36,0.0,8
2019-12-21,1,0.0,0
2019-12-22,3,0.0,0
2019-12-23,0,3.0,4
2019-12-24,0,0.0,1
2019-12-25,2,0.0,1
2019-12-26,0,0.0,1
2019-12-27,0,1.0,1
2019-12-28,0,0.0,1
2019-12-29,0,0.0,0
2019-12-30,0,1.0,2
2019-12-31,1,7.0,2
2020-01-01,8,1.0,0
2020-01-02,1,3.0,2
2020-01-03,2,3.0,2
2020-01-04,1,0.0,0
2020-01-05,0,0.0,1
2020-01-06,6,8.0,3
2020-01-07,10,1.0,12
2020-01-08,21,0.0,11
2020-01-09,16,13.0,7
2020-01-10,23,6.0,4
2020-01-11,27,1.0,1
2020-01-12,1,0.0,0
2020-01-13,57,9.0,14
2020-01-14,49,3.0,3
2020-01-15,54,0.0,7
2020-01-16,15,10.0,0
2020-01-17,28,7.0,6
2020-01-18,14,1.0,1
2020-01-19,6,0.0,0
2020-01-20,25,4.0,1
2020-01-21,18,2.0,2
2020-01-22,17,1.0,3
2020-01-23,8,1.0,2
2020-01-24,3,4.0,4
2020-01-25,3,1.0,5
2020-01-26,6,0.0,0
2020-01-27,33,1.0,0
2020-01-28,25,1.0,7
2020-01-29,38,3.0,4
2020-01-30,35,2.0,6
2020-01-31,31,0.0,1
2020-02-01,4,1.0,0
2020-02-02,2,0.0,0
2020-02-03,7,1.0,0
2020-02-04,16,1.0,3
2020-02-05,18,0.0,1
2020-02-06,24,7.0,3
2020-02-07,13,4.0,0
2020-02-08,0,2.0,0
2020-02-09,1,0.0,0
2020-02-10,43,12.0,0
2020-02-11,12,14.0,2
2020-02-12,8,7.0,3
2020-02-13,10,5.0,5
2020-02-14,0,9.0,2
2020-02-15,0,1.0,0
2020-02-16,10,1.0,0
2020-02-17,7,2.0,4
2020-02-18,25,0.0,6
2020-02-19,17,5.0,5
2020-02-20,51,6.0,4
2020-02-21,0,8.0,4
2020-02-22,12,0.0,0
2020-02-23,3,0.0,0
2020-02-24,19,2.0,11
2020-02-25,27,10.0,0
2020-02-26,34,12.0,3
2020-02-27,60,8.0,8
2020-02-28,4,7.0,8
2020-02-29,2,1.0,2
2020-03-01,0,0.0,1
2020-03-02,84,4.0,3
2020-03-03,23,12.0,1
2020-03-04,14,5.0,0
2020-03-05,11,3.0,13
2020-03-06,6,7.0,14
2020-03-07,4,2.0,8
2020-03-08,2,0.0,2
2020-03-09,7,17.0,11
2020-03-10,6,6.0,6
2020-03-11,72,13.0,0
2020-03-12,20,11.0,6
2020-03-13,78,4.0,3
2020-03-14,1,0.0,2
2020-03-15,0,1.0,0
2020-03-16,35,1.0,2
2020-03-17,53,2.0,5
2020-03-18,22,4.0,3
2020-03-19,32,2.0,0
2020-03-20,11,5.0,0
2020-03-21,0,0.0,0
2020-03-22,4,0.0,0
2020-03-23,17,0.0,2
2020-03-24,5,0.0,3
2020-03-25,8,1.0,10
2020-03-26,48,2.0,2
2020-03-27,41,1.0,4
2020-03-28,4,0.0,1
2020-03-29,3,0.0,1
2020-03-30,18,3.0,6
2020-03-31,19,4.0,3
2020-04-01,13,0.0,5
2020-04-02,26,9.0,4
2020-04-03,17,16.0,9
2020-04-04,1,2.0,2
2020-04-05,1,0.0,6
2020-04-06,24,5.0,5
2020-04-07,16,5.0,5
2020-04-08,16,3.0,5
2020-04-09,13,10.0,4
2020-04-10,6,1.0,5
2020-04-11,5,0.0,0
2020-04-12,0,1.0,0
2020-04-13,2,2.0,5
2020-04-14,11,20.0,3
2020-04-15,30,6.0,17
2020-04-16,10,15.0,9
2020-04-17,13,1.0,9
2020-04-18,2,0.0,1
2020-04-19,0,1.0,3
2020-04-20,25,2.0,4
2020-04-21,8,8.0,5
2020-04-22,14,1.0,3
2020-04-23,24,0.0,11
2020-04-24,29,4.0,0
2020-04-25,3,0.0,0
2020-04-26,0,0.0,4
2020-04-27,5,2.0,4
2020-04-28,6,5.0,2
