,mrdoob/three.js,BabylonJS/Babylon.js,playcanvas/engine
2013-07-27,1,0.0,0
2013-07-28,0,0.0,0
2013-07-29,0,1.0,1
2013-07-30,11,-0.19999999999999996,0
2013-07-31,8,-0.08000000000000007,0
2013-08-01,0,-0.048000000000000036,0
2013-08-02,7,-0.03360000000000001,0
2013-08-03,0,-0.025536000000000014,4
2013-08-04,1,-0.02042880000000001,0
2013-08-05,1,0.9830732799999999,0
2013-08-06,2,-0.2143877119999999,0
2013-08-07,1,-0.09246935040000004,2
2013-08-08,0,3.952,3
2013-08-09,2,-0.8335999999999998,3
2013-08-10,3,-0.3455360000000003,0
2013-08-11,7,-0.21242880000000014,0
2013-08-12,1,-0.15132672000000005,0
2013-08-13,11,0.883468288,4
2013-08-14,10,1.7058154496,2
2013-08-15,4,-0.54770688,7
2013-08-16,6,-0.26555084799999995,1
2013-08-17,9,1.8205225984000002,0
2013-08-18,2,-0.49273599999999995,0
2013-08-19,6,-0.23150080000000017,0
2013-08-20,14,-0.15378432000000009,0
2013-08-21,6,0.884558848,0
2013-08-22,2,-0.2923167743999998,0
2013-08-23,9,-0.14579630080000003,0
2013-08-24,3,-0.08185344000000006,3
2013-08-25,0,-0.06237542399999989,1
2013-08-26,0,-0.05047470079999994,9
2013-08-27,0,1.9795712,0
2013-08-28,0,1.58307328,2
2013-08-29,0,0.42561228799999995,6
2013-08-30,1,0.5315306495999998,6
2013-08-31,0,-0.44320000000000015,4
2013-09-01,0,-0.24627200000000016,0
2013-09-02,0,-0.17352960000000012,8
2013-09-03,0,-0.13384704000000006,3
2013-09-04,3,2.891406336,0
2013-09-05,9,-0.6910696447999997,0
2013-09-06,5,-0.2962531328000001,3
2013-09-07,0,-0.1708570624,0
2013-09-08,0,-0.1132693504,0
2013-09-09,1,-0.07660800000000004,3
2013-09-10,4,-0.06128640000000003,0
2013-09-11,6,-0.05078016000000003,0
2013-09-12,4,-0.04316313599999982,1
2013-09-13,1,1.9625919488,0
2013-09-14,0,11.6,0
2013-09-15,1,-2.5599999999999996,0
2013-09-16,11,0.9439999999999991,0
2013-09-17,0,0.9567999999999997,1
2013-09-18,2,-0.014272000000000062,5
2013-09-19,5,-0.8032896000000004,3
2013-09-20,8,-0.5221990400000003,6
2013-09-21,2,-0.3981680640000001,0
2013-09-22,0,-0.32312084479999925,0
2013-09-23,8,-0.2498792447999996,0
2013-09-24,0,0.9169423360000001,0
2013-09-25,13,-0.2706408447999998,0
2013-09-26,5,-0.11932641279999995,0
2013-09-27,0,-0.060469350399999997,0
2013-09-28,0,-0.03360000000000001,0
2013-09-29,1,-0.025536000000000014,0
2013-09-30,3,-0.02042880000000001,0
2013-10-01,5,-0.01692672000000001,2
2013-10-02,8,-0.01438771199999994,4
2013-10-03,2,-0.012469350399999964,5
2013-10-04,3,0.0,8
2013-10-05,3,0.0,6
2013-10-06,0,4.0,0
2013-10-07,0,-0.7999999999999998,0
2013-10-08,1,9.68,2
2013-10-09,0,-1.1919999999999997,4
2013-10-10,0,-0.13440000000000074,19
2013-10-11,3,1.1378559999999995,3
2013-10-12,8,-0.9457152000000002,0
2013-10-13,0,-0.5646668800000003,0
2013-10-14,10,-0.41697484799999995,3
2013-10-15,0,-0.3323094016,5
2013-10-16,6,-0.23230463999999942,7
2013-10-17,13,-0.19686553599999962,5
2013-10-18,11,4.9392894976,26
2013-10-19,3,-1.0412447743999995,0
2013-10-20,5,-0.4249387008000003,0
2013-10-21,15,-0.24000000000000019,10
2013-10-22,8,-0.16800000000000007,11
2013-10-23,6,-0.12768000000000007,0
2013-10-24,7,-0.10214400000000005,2
2013-10-25,5,-0.08463360000000004,10
2013-10-26,3,-0.0719385599999997,4
2013-10-27,3,-0.062346751999999825,0
2013-10-28,7,5.0,2
2013-10-29,4,-0.9999999999999998,6
2013-10-30,9,-0.40000000000000036,1
2013-10-31,4,2.76,18
2013-11-01,15,0.2320000000000001,5
2013-11-02,3,-0.5676800000000002,0
2013-11-03,4,2.673856,0
2013-11-04,5,1.1665664,1
2013-11-05,15,2.1778534400000003,2
2013-11-06,12,-0.05316915199999994,0
2013-11-07,2,-0.7080089600000004,4
2013-11-08,7,0.5721021439999999,3
2013-11-09,6,-0.5129541631999999,0
2013-11-10,9,-0.29431511040000014,0
2013-11-11,2,-0.2118389759999999,3
2013-11-12,5,-0.17099243519999985,0
2013-11-13,2,-0.11056455679999977,4
2013-11-14,4,-0.07222456319999984,6
2013-11-15,6,-0.029396070399999974,10
2013-11-16,4,-0.01438771199999994,0
2013-11-17,1,-0.012469350399999964,4
2013-11-18,16,0.0,11
2013-11-19,3,0.0,8
2013-11-20,7,0.0,8
2013-11-21,4,0.0,12
2013-11-22,4,0.0,4
2013-11-23,2,0.0,3
2013-11-24,3,0.0,1
2013-11-25,14,1.0,27
2013-11-26,2,0.8,6
2013-11-27,0,-0.28,5
2013-11-28,0,-0.1280000000000001,2
2013-11-29,0,1.9183999999999999,0
2013-11-30,0,-0.45913599999999993,0
2013-12-01,2,-0.20596480000000017,0
2013-12-02,5,-0.1333555200000001,0
2013-12-03,6,0.901485568,0
2013-12-04,14,-0.27792906239999987,0
2013-12-05,3,0.8666730495999999,2
2013-12-06,6,4.71814656,0
2013-12-07,1,-1.1423754239999997,1
2013-12-08,6,-0.49847470080000034,1
2013-12-09,1,-0.2940288000000002,1
2013-12-10,5,0.7895372799999999,4
2013-12-11,11,2.637503488,4
2013-12-12,3,-0.8115400704,0
2013-12-13,1,0.6129786879999998,4
2013-12-14,2,-0.4620079103999997,0
2013-12-15,3,-0.2686827519999999,0
2013-12-16,5,-0.14503680000000008,1
2013-12-17,0,-0.11181312000000004,2
2013-12-18,5,1.909296128,3
2013-12-19,7,-0.4760612863999997,3
2013-12-20,3,-0.21433477120000005,1
2013-12-21,0,0.889612288,2
2013-12-22,1,-0.27966935039999996,3
2013-12-23,0,-0.1310720000000001,1
2013-12-24,11,-0.08885760000000006,0
2013-12-25,6,-0.06745344000000003,0
2013-12-26,1,-0.05431142399999989,0
2013-12-27,1,-0.04536750079999994,0
2013-12-28,2,-0.01692672000000001,0
2013-12-29,4,-0.01438771199999994,2
2013-12-30,1,-0.012469350399999964,3
2013-12-31,6,1.0,1
2014-01-01,1,0.8,0
2014-01-02,0,1.72,17
2014-01-03,4,1.472,25
2014-01-04,6,0.35839999999999983,7
2014-01-05,0,6.484864,2
2014-01-06,3,1.3108352,9
2014-01-07,6,1.6363724799999995,17
2014-01-08,4,-1.3328440320000003,16
2014-01-09,10,0.25369589759999966,10
2014-01-10,12,0.2809209855999999,6
2014-01-11,1,-0.6710504448,0
2014-01-12,0,-0.4237078528000001,1
2014-01-13,12,4.6931501056,12
2014-01-14,17,1.7596352512000006,9
