,minio/minio,ceph/ceph,seaweedfs/seaweedfs
2018-11-30,4,47.0,0
2018-12-01,1,9.0,0
2018-12-02,0,13.0,1
2018-12-03,2,20.0,8
2018-12-04,2,30.0,10
2018-12-05,6,38.0,5
2018-12-06,3,73.0,4
2018-12-07,1,36.0,5
2018-12-08,0,8.0,2
2018-12-09,0,4.0,6
2018-12-10,1,35.0,0
2018-12-11,1,114.0,4
2018-12-12,6,33.0,0
2018-12-13,2,46.0,0
2018-12-14,6,20.0,1
2018-12-15,2,1.0,2
2018-12-16,0,3.0,2
2018-12-17,0,33.0,9
2018-12-18,7,63.0,3
2018-12-19,8,27.0,2
2018-12-20,2,38.0,0
2018-12-21,0,75.0,3
2018-12-22,1,13.0,8
2018-12-23,2,7.0,1
2018-12-24,0,7.0,1
2018-12-25,0,2.0,2
2018-12-26,1,4.0,2
2018-12-27,3,1.0,13
2018-12-28,2,1.0,7
2018-12-29,2,2.0,8
2018-12-30,0,3.0,3
2018-12-31,1,8.0,5
2019-01-01,0,17.0,3
2019-01-02,1,36.0,8
2019-01-03,0,109.0,0
2019-01-04,1,105.0,2
2019-01-05,1,5.0,3
2019-01-06,0,5.0,5
2019-01-07,1,18.0,2
2019-01-08,2,38.0,1
2019-01-09,4,38.0,3
2019-01-10,3,33.0,7
2019-01-11,1,54.0,1
2019-01-12,0,15.0,1
2019-01-13,0,3.0,2
2019-01-14,2,44.0,0
2019-01-15,3,49.0,2
2019-01-16,8,52.0,3
2019-01-17,3,31.0,3
2019-01-18,2,57.0,7
2019-01-19,0,8.0,0
2019-01-20,5,17.0,0
2019-01-21,1,13.0,0
2019-01-22,5,13.0,3
2019-01-23,6,68.0,2
2019-01-24,3,31.0,0
2019-01-25,2,54.0,2
2019-01-26,0,27.0,4
2019-01-27,0,23.0,0
2019-01-28,1,35.0,5
2019-01-29,6,42.0,0
2019-01-30,5,39.0,0
2019-01-31,3,85.0,0
2019-02-01,4,33.0,0
2019-02-02,1,18.0,0
2019-02-03,0,17.0,0
2019-02-04,1,19.0,0
2019-02-05,4,29.0,0
2019-02-06,7,24.0,2
2019-02-07,2,123.0,0
2019-02-08,1,31.0,0
2019-02-09,4,5.0,3
2019-02-10,2,1.0,2
2019-02-11,3,31.0,0
2019-02-12,7,61.0,0
2019-02-13,5,82.0,0
2019-02-14,3,57.0,2
2019-02-15,2,40.0,5
2019-02-16,1,23.0,4
2019-02-17,0,8.0,0
2019-02-18,0,28.0,3
2019-02-19,1,68.0,7
2019-02-20,5,63.0,4
2019-02-21,4,119.0,0
2019-02-22,0,39.0,0
2019-02-23,2,8.0,0
2019-02-24,2,3.0,0
2019-02-25,2,55.0,6
2019-02-26,3,25.0,2
2019-02-27,4,49.0,2
2019-02-28,3,54.0,2
2019-03-01,1,59.0,0
2019-03-02,0,11.0,1
2019-03-03,1,8.0,1
2019-03-04,1,40.0,5
2019-03-05,4,27.0,0
2019-03-06,4,28.0,3
2019-03-07,2,41.0,0
2019-03-08,2,46.0,0
2019-03-09,1,14.0,1
2019-03-10,0,27.0,0
