,minio/minio,seaweedfs/seaweedfs,ceph/ceph
2018-11-30,4,0,47.0
2018-12-01,1,0,9.0
2018-12-02,0,1,13.0
2018-12-03,2,8,20.0
2018-12-04,2,10,30.0
2018-12-05,6,5,38.0
2018-12-06,3,4,73.0
2018-12-07,1,5,36.0
2018-12-08,0,2,8.0
2018-12-09,0,6,4.0
2018-12-10,1,0,35.0
2018-12-11,1,4,114.0
2018-12-12,6,0,33.0
2018-12-13,2,0,46.0
2018-12-14,6,1,20.0
2018-12-15,2,2,1.0
2018-12-16,0,2,3.0
2018-12-17,0,9,33.0
2018-12-18,7,3,63.0
2018-12-19,8,2,27.0
2018-12-20,2,0,38.0
2018-12-21,0,3,75.0
2018-12-22,1,8,13.0
2018-12-23,2,1,7.0
2018-12-24,0,1,7.0
2018-12-25,0,2,2.0
2018-12-26,1,2,4.0
2018-12-27,3,13,1.0
2018-12-28,2,7,1.0
2018-12-29,2,8,2.0
2018-12-30,0,3,3.0
2018-12-31,1,5,8.0
2019-01-01,0,3,17.0
2019-01-02,1,8,36.0
2019-01-03,0,0,109.0
2019-01-04,1,2,105.0
2019-01-05,1,3,5.0
2019-01-06,0,5,5.0
2019-01-07,1,2,18.0
2019-01-08,2,1,38.0
2019-01-09,4,3,38.0
2019-01-10,3,7,33.0
2019-01-11,1,1,54.0
2019-01-12,0,1,15.0
2019-01-13,0,2,3.0
2019-01-14,2,0,44.0
2019-01-15,3,2,49.0
2019-01-16,8,3,52.0
2019-01-17,3,3,31.0
2019-01-18,2,7,57.0
2019-01-19,0,0,8.0
2019-01-20,5,0,17.0
2019-01-21,1,0,13.0
2019-01-22,5,3,13.0
2019-01-23,6,2,68.0
2019-01-24,3,0,31.0
2019-01-25,2,2,54.0
2019-01-26,0,4,27.0
2019-01-27,0,0,23.0
2019-01-28,1,5,35.0
2019-01-29,6,0,42.0
2019-01-30,5,0,39.0
2019-01-31,3,0,85.0
2019-02-01,4,0,33.0
2019-02-02,1,0,18.0
2019-02-03,0,0,17.0
2019-02-04,1,0,19.0
2019-02-05,4,0,29.0
2019-02-06,7,2,24.0
2019-02-07,2,0,123.0
2019-02-08,1,0,31.0
2019-02-09,4,3,5.0
2019-02-10,2,2,1.0
2019-02-11,3,0,31.0
2019-02-12,7,0,61.0
2019-02-13,5,0,82.0
2019-02-14,3,2,57.0
2019-02-15,2,5,40.0
2019-02-16,1,4,23.0
2019-02-17,0,0,8.0
2019-02-18,0,3,28.0
2019-02-19,1,7,68.0
2019-02-20,5,4,63.0
2019-02-21,4,0,119.0
2019-02-22,0,0,39.0
2019-02-23,2,0,8.0
2019-02-24,2,0,3.0
2019-02-25,2,6,55.0
2019-02-26,3,2,25.0
2019-02-27,4,2,49.0
2019-02-28,3,2,54.0
2019-03-01,1,0,59.0
2019-03-02,0,1,11.0
2019-03-03,1,1,8.0
2019-03-04,1,5,40.0
2019-03-05,4,0,27.0
2019-03-06,4,3,28.0
2019-03-07,2,0,41.0
2019-03-08,2,0,46.0
2019-03-09,1,1,14.0
2019-03-10,0,0,27.0
2019-03-11,0,5,42.0
2019-03-12,1,0,52.0
2019-03-13,2,0,34.0
2019-03-14,6,2,29.0
2019-03-15,0,7,81.0
2019-03-16,0,5,29.0
2019-03-17,2,0,10.0
2019-03-18,3,8,21.0
2019-03-19,3,3,31.0
2019-03-20,4,10,94.0
2019-03-21,3,2,109.0
2019-03-22,0,0,88.0
2019-03-23,1,5,9.0
2019-03-24,0,0,6.0
2019-03-25,7,3,45.0
2019-03-26,2,6,51.0
2019-03-27,4,2,36.0
2019-03-28,1,3,29.0
2019-03-29,0,0,162.0
2019-03-30,0,2,6.0
2019-03-31,1,5,4.0
2019-04-01,1,3,27.0
2019-04-02,5,2,49.0
2019-04-03,2,1,49.0
2019-04-04,5,1,36.0
2019-04-05,2,11,63.0
2019-04-06,0,17,4.0
2019-04-07,0,3,7.0
2019-04-08,2,1,62.0
2019-04-09,4,12,40.0
2019-04-10,3,2,17.0
2019-04-11,0,10,37.0
2019-04-12,4,3,54.0
2019-04-13,1,0,21.0
2019-04-14,0,0,8.0
2019-04-15,0,3,23.0
2019-04-16,0,14,55.0
2019-04-17,2,2,46.0
2019-04-18,7,4,27.0
2019-04-19,1,9,13.0
2019-04-20,0,4,13.0
2019-04-21,0,12,2.0
2019-04-22,2,1,34.0
2019-04-23,3,0,33.0
2019-04-24,2,9,58.0
2019-04-25,1,4,48.0
2019-04-26,2,2,23.0
2019-04-27,1,0,7.0
2019-04-28,0,0,35.0
2019-04-29,4,3,45.0
2019-04-30,1,4,28.0
2019-05-01,2,0,95.0
2019-05-02,5,1,28.0
2019-05-03,2,7,13.0
2019-05-04,0,8,6.0
2019-05-05,0,1,4.0
2019-05-06,1,13,47.0
2019-05-07,4,1,40.0
2019-05-08,0,0,39.0
2019-05-09,1,0,54.0
2019-05-10,1,1,45.0
2019-05-11,1,2,3.0
2019-05-12,1,1,4.0
2019-05-13,2,0,32.0
2019-05-14,4,0,18.0
2019-05-15,1,4,13.0
2019-05-16,3,1,8.0
2019-05-17,2,3,11.0
2019-05-18,0,5,0.0
2019-05-19,0,3,2.0
2019-05-20,1,6,6.0
2019-05-21,0,0,19.0
2019-05-22,7,1,3.0
2019-05-23,1,3,13.0
2019-05-24,1,5,8.0
2019-05-25,0,2,1.0
2019-05-26,0,6,1.0
2019-05-27,0,2,16.0
2019-05-28,2,8,37.0
2019-05-29,6,3,58.0
2019-05-30,3,6,43.0
2019-05-31,3,4,35.0
2019-06-01,1,5,2.0
2019-06-02,0,0,1.0
2019-06-03,4,4,43.0
2019-06-04,4,5,48.0
2019-06-05,1,10,43.0
2019-06-06,1,5,39.0
2019-06-07,2,1,19.0
2019-06-08,1,0,19.0
2019-06-09,2,0,5.0
2019-06-10,1,0,13.0
2019-06-11,5,5,44.0
2019-06-12,4,0,43.0
2019-06-13,2,1,22.0
2019-06-14,0,3,40.0
2019-06-15,5,1,6.0
2019-06-16,0,3,2.0
2019-06-17,1,3,18.0
2019-06-18,3,1,26.0
2019-06-19,3,0,34.0
2019-06-20,3,5,46.0
2019-06-21,4,10,31.0
