,raywenderlich/swift-style-guide,vsouza/awesome-ios,matteocrippa/awesome-swift
2014-09-10,0,0.0,0
2014-09-11,0,0.0,0
2014-09-12,0,10.0,0
2014-09-13,0,-1.0000000000000009,0
2014-09-14,0,-0.45000000000000034,0
2014-09-15,0,-0.2850000000000002,0
2014-09-16,0,-0.20662499999999923,0
2014-09-17,0,1.8388325000000005,0
2014-09-18,0,-0.3316201249999998,0
2014-09-19,0,-0.20093696249999973,0
2014-09-20,0,-0.1526831301562498,0
2014-09-21,0,-0.12531352535937462,0
2014-09-22,0,-0.032233499999999894,0
2014-09-23,0,-0.02632402499999992,0
2014-09-24,0,-0.022187392499999934,0
2014-09-25,0,-0.01913662603124995,2
2014-09-26,0,-0.016797705071874957,0
2014-09-27,0,0.0,0
2014-09-28,0,0.0,0
2014-09-29,0,0.0,0
2014-09-30,0,0.0,0
2014-10-01,0,0.0,0
2014-10-02,0,0.0,0
2014-10-03,0,0.0,0
2014-10-04,0,0.0,1
2014-10-05,0,0.0,0
2014-10-06,0,0.0,2
2014-10-07,0,0.0,3
2014-10-08,0,0.0,0
2014-10-09,0,0.0,2
2014-10-10,0,0.0,0
2014-10-11,0,0.0,0
2014-10-12,0,0.0,1
2014-10-13,0,0.0,3
2014-10-14,0,0.0,0
2014-10-15,0,4.0,0
2014-10-16,0,1.5999999999999996,0
2014-10-17,0,-0.38000000000000034,1
2014-10-18,0,-0.20400000000000015,0
2014-10-19,0,0.8603500000000003,0
2014-10-20,0,0.7942080000000002,1
2014-10-21,0,3.77011845,2
2014-10-22,0,2.45580119,2
2014-10-23,0,-0.5896231445625002,0
2014-10-24,0,3.6614887138250003,3
2014-10-25,0,0.38577353242812507,0
2014-10-26,0,0.5692897912500003,0
2014-10-27,0,2.619339690734375,6
2014-10-28,0,-0.5579779880515623,0
2014-10-29,0,-0.32858269334843715,0
2014-10-30,0,-0.2372276491906246,0
2014-10-31,0,-0.16083760510781198,1
2014-11-01,0,-0.11087921081249967,0
2014-11-02,0,-0.09374345690937474,0
2014-11-03,0,-0.05124825430156236,0
2014-11-04,0,-0.037103791582812407,0
2014-11-05,0,-0.025196557607812434,0
2014-11-06,0,0.0,0
2014-11-07,0,0.0,0
2014-11-08,0,0.0,0
2014-11-09,0,0.0,0
2014-11-10,0,0.0,0
2014-11-11,0,0.0,0
2014-11-12,0,0.0,0
2014-11-13,0,0.0,0
2014-11-14,0,0.0,0
2014-11-15,0,0.0,0
2014-11-16,0,0.0,2
2014-11-17,0,0.0,0
2014-11-18,0,0.0,0
2014-11-19,0,0.0,0
2014-11-20,0,0.0,2
2014-11-21,0,0.0,1
2014-11-22,0,0.0,0
2014-11-23,0,0.0,0
2014-11-24,0,0.0,0
2014-11-25,0,0.0,0
2014-11-26,0,0.0,1
2014-11-27,0,0.0,0
2014-11-28,0,0.0,2
2014-11-29,0,0.0,0
2014-11-30,0,0.0,0
2014-12-01,0,0.0,0
2014-12-02,0,0.0,4
2014-12-03,4,0.0,1
2014-12-04,0,0.0,0
2014-12-05,0,0.0,0
2014-12-06,0,0.0,0
2014-12-07,0,0.0,0
2014-12-08,0,0.0,0
2014-12-09,4,6.0,2
2014-12-10,1,2.3999999999999995,0
2014-12-11,5,3.4299999999999997,0
2014-12-12,0,4.294,0
2014-12-13,0,1.1105249999999998,0
2014-12-14,0,-0.6976879999999999,0
2014-12-15,0,-0.4424723249999995,2
2014-12-16,0,-0.3308277149999992,0
2014-12-17,0,-0.2652477668437492,0
2014-12-18,0,1.7784835982375007,1
2014-12-19,0,2.654737684079688,0
2014-12-20,0,-0.49362436772187507,0
2014-12-21,0,2.7468691112890626,0
