,apache/avro,protocolbuffers/protobuf,apache/thrift
2017-06-09,0,0,0
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,0,3,0
2017-06-13,0,0,0
2017-06-14,2,4,0
2017-06-15,0,2,0
2017-06-16,2,7,0
2017-06-17,0,1,1
2017-06-18,0,0,0
2017-06-19,0,6,0
2017-06-20,0,5,0
2017-06-21,0,5,0
2017-06-22,1,4,0
2017-06-23,1,6,0
2017-06-24,0,2,0
2017-06-25,0,0,0
2017-06-26,0,1,2
2017-06-27,0,2,0
2017-06-28,1,15,0
2017-06-29,1,5,0
2017-06-30,0,1,0
2017-07-01,0,5,5
2017-07-02,0,1,0
2017-07-03,0,1,0
2017-07-04,0,1,0
2017-07-05,0,11,1
2017-07-06,0,1,1
2017-07-07,0,1,1
2017-07-08,0,1,1
2017-07-09,0,1,0
2017-07-10,0,5,0
2017-07-11,0,16,1
2017-07-12,0,2,0
2017-07-13,0,5,0
2017-07-14,0,1,0
2017-07-15,0,1,0
2017-07-16,0,0,0
2017-07-17,0,10,0
2017-07-18,0,14,0
2017-07-19,0,14,0
2017-07-20,1,2,0
2017-07-21,2,2,0
2017-07-22,0,0,1
2017-07-23,0,2,0
2017-07-24,0,15,1
2017-07-25,0,17,0
2017-07-26,0,7,1
2017-07-27,5,0,1
2017-07-28,0,0,0
2017-07-29,0,0,0
2017-07-30,0,0,1
2017-07-31,0,3,1
2017-08-01,0,7,0
2017-08-02,0,5,1
2017-08-03,0,7,0
2017-08-04,0,7,0
2017-08-05,0,1,1
2017-08-06,0,0,1
2017-08-07,1,8,0
2017-08-08,0,3,0
2017-08-09,0,1,1
2017-08-10,0,5,2
2017-08-11,0,12,2
2017-08-12,0,0,3
2017-08-13,0,0,2
2017-08-14,1,2,0
2017-08-15,0,11,0
2017-08-16,0,7,0
2017-08-17,0,11,0
2017-08-18,2,9,0
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,0,10,0
2017-08-22,0,9,0
2017-08-23,0,8,0
2017-08-24,0,4,0
2017-08-25,0,1,0
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,0,0,0
2017-08-29,0,0,0
2017-08-30,0,3,0
2017-08-31,0,5,0
2017-09-01,1,0,2
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,0,1,0
2017-09-05,0,4,6
2017-09-06,0,1,2
2017-09-07,1,1,7
2017-09-08,0,3,2
2017-09-09,0,0,3
2017-09-10,0,1,0
2017-09-11,1,4,0
2017-09-12,3,8,0
2017-09-13,0,8,1
2017-09-14,0,6,2
2017-09-15,0,3,0
2017-09-16,0,0,0
2017-09-17,0,0,0
2017-09-18,0,1,0
2017-09-19,0,5,1
2017-09-20,0,7,0
2017-09-21,0,6,12
2017-09-22,0,3,5
2017-09-23,0,0,1
2017-09-24,0,0,3
2017-09-25,0,6,2
2017-09-26,0,2,4
2017-09-27,0,3,1
2017-09-28,0,0,0
2017-09-29,0,2,0
2017-09-30,0,0,0
2017-10-01,0,0,0
2017-10-02,0,4,0
2017-10-03,0,6,0
2017-10-04,0,1,0
2017-10-05,0,0,0
2017-10-06,0,2,1
2017-10-07,0,0,0
2017-10-08,0,0,0
2017-10-09,0,2,0
2017-10-10,0,2,2
2017-10-11,0,3,0
2017-10-12,0,4,0
2017-10-13,0,2,0
2017-10-14,0,1,0
2017-10-15,0,0,0
2017-10-16,0,4,0
2017-10-17,0,0,0
2017-10-18,0,16,0
2017-10-19,0,3,2
2017-10-20,0,2,1
2017-10-21,0,1,0
2017-10-22,0,0,0
2017-10-23,0,0,3
2017-10-24,0,3,0
2017-10-25,0,1,4
2017-10-26,0,4,3
2017-10-27,0,1,0
2017-10-28,0,2,3
2017-10-29,0,0,3
2017-10-30,0,3,1
2017-10-31,0,0,0
2017-11-01,0,1,0
2017-11-02,0,3,1
2017-11-03,0,3,0
2017-11-04,0,1,1
2017-11-05,0,0,0
2017-11-06,0,1,0
2017-11-07,0,0,0
2017-11-08,0,5,0
2017-11-09,0,4,0
2017-11-10,0,10,0
2017-11-11,0,0,4
2017-11-12,0,4,0
2017-11-13,0,10,0
2017-11-14,0,4,0
2017-11-15,0,17,0
2017-11-16,0,4,0
2017-11-17,1,4,0
2017-11-18,0,1,0
2017-11-19,0,0,2
2017-11-20,0,0,3
2017-11-21,1,2,1
2017-11-22,0,3,0
2017-11-23,0,1,0
2017-11-24,0,0,0
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,0,2,0
2017-11-28,0,3,0
2017-11-29,0,4,0
2017-11-30,1,6,10
2017-12-01,0,5,4
2017-12-02,0,1,1
2017-12-03,0,0,2
2017-12-04,0,6,1
2017-12-05,1,3,0
2017-12-06,0,8,0
2017-12-07,0,13,0
2017-12-08,0,6,0
2017-12-09,0,3,3
2017-12-10,0,0,0
2017-12-11,1,3,0
2017-12-12,0,7,1
2017-12-13,4,19,1
2017-12-14,2,12,1
2017-12-15,2,6,0
2017-12-16,0,0,0
2017-12-17,0,0,0
2017-12-18,1,1,0
2017-12-19,1,13,0
2017-12-20,0,11,0
2017-12-21,1,4,0
2017-12-22,4,3,0
2017-12-23,0,0,0
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,0,0,0
2017-12-28,1,0,1
2017-12-29,8,1,0
2017-12-30,0,0,0
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,1,3,0
2018-01-03,0,9,0
2018-01-04,1,1,5
2018-01-05,0,7,0
2018-01-06,0,2,0
2018-01-07,0,0,0
2018-01-08,0,2,0
2018-01-09,0,1,0
2018-01-10,0,1,0
2018-01-11,0,1,8
2018-01-12,0,2,2
2018-01-13,0,0,1
2018-01-14,0,0,6
2018-01-15,0,2,0
2018-01-16,0,0,1
2018-01-17,0,2,0
2018-01-18,1,3,0
2018-01-19,0,1,2
2018-01-20,0,0,0
2018-01-21,0,1,0
2018-01-22,0,1,0
2018-01-23,1,0,0
2018-01-24,0,3,8
2018-01-25,0,10,1
2018-01-26,1,4,0
2018-01-27,0,2,0
2018-01-28,0,0,0
2018-01-29,0,1,1
2018-01-30,3,8,2
2018-01-31,0,8,0
2018-02-01,0,9,0
2018-02-02,0,1,2
2018-02-03,0,0,0
2018-02-04,0,0,0
2018-02-05,0,0,0
2018-02-06,0,3,0
2018-02-07,0,2,0
2018-02-08,43,2,1
2018-02-09,1,3,0
2018-02-10,0,0,1
