,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2015-03-30,14,28,0.0
2015-03-31,10,50,0.0
2015-04-01,4,51,1.0
2015-04-02,3,30,-0.19999999999999996
2015-04-03,11,33,-0.08000000000000007
2015-04-04,0,12,-0.048000000000000036
2015-04-05,0,2,-0.03360000000000001
2015-04-06,6,9,0.974464
2015-04-07,2,19,1.7795712
2015-04-08,12,35,-0.49692672
2015-04-09,7,19,1.7776122879999998
2015-04-10,0,20,0.4579306496000001
2015-04-11,1,11,-0.45273600000000014
2015-04-12,0,3,-0.2475008000000002
2015-04-13,1,7,-0.17298432000000008
2015-04-14,6,11,2.867086848
2015-04-15,2,12,0.29236162560000023
2015-04-16,7,12,-0.5192209408000001
2015-04-17,5,16,-0.26970214400000003
2015-04-18,0,8,-0.18812641279999995
2015-04-19,0,6,-0.12267735040000002
2015-04-20,36,14,0.9131775999999999
2015-04-21,2,30,2.72879104
2015-04-22,18,24,-0.7400898559999998
2015-04-23,5,23,-0.33979576320000004
2015-04-24,17,17,-0.19006935040000006
2015-04-25,0,5,-0.12633600000000003
2015-04-26,0,5,-0.09703680000000005
2015-04-27,3,9,1.92178688
2015-04-28,7,17,3.534832128
2015-04-29,7,12,-1.0156324863999997
2015-04-30,3,18,-0.4534080512000003
2015-05-01,0,5,-0.25920000000000015
2015-05-02,0,12,-0.18547200000000008
2015-05-03,0,5,-0.14300160000000006
2015-05-04,5,8,0.88443136
2015-05-05,7,19,-0.29648230399999986
2015-05-06,0,15,-0.16248954879999977
2015-05-07,2,25,-0.09787740159999989
2015-05-08,6,13,-0.03360000000000001
2015-05-09,0,0,-0.025536000000000014
2015-05-10,0,3,-0.02042880000000001
2015-05-11,11,4,-0.01692672000000001
2015-05-12,4,0,0.9856122880000001
2015-05-13,8,50,2.7875306496
2015-05-14,8,36,3.3200000000000003
2015-05-15,11,21,-0.08800000000000008
2015-05-16,0,5,-0.6976000000000003
2015-05-17,0,2,-0.39833600000000025
2015-05-18,11,13,2.7205632
2015-05-19,13,2,8.18604288
2015-05-20,6,9,-1.2124190719999999
2015-05-21,8,6,3.7922318336
2015-05-22,6,13,-1.7246856191999997
2015-05-23,0,7,0.10872688639999972
2015-05-24,0,1,-0.7771797504000003
2015-05-25,14,4,-0.5081753600000003
2015-05-26,5,14,4.608387584
2015-05-27,11,9,7.680431820800001
2015-05-28,4,25,9.5632185344
2015-05-29,9,20,-1.4648367104000002
2015-05-30,0,8,-2.039273472000001
2015-05-31,1,10,-1.1804677120000007
2015-06-01,7,13,2.1563626495999997
2015-06-02,11,18,8.7578752
2015-06-03,9,24,7.2395033600000005
2015-06-04,3,7,12.6201856
2015-06-05,2,9,-0.8995301375999993
2015-06-06,0,5,-3.151015628800001
2015-06-07,0,5,-1.765585100800001
2015-06-08,4,9,7.7599718399999995
2015-06-09,3,17,7.240305664
2015-06-10,3,10,8.5004428288
2015-06-11,11,20,8.746886656000001
2015-06-12,4,42,0.23499622400000053
2015-06-13,0,3,-0.4388844544000001
2015-06-14,0,0,-2.5162966016000006
2015-06-15,10,17,3.4201395199999993
2015-06-16,3,9,7.812129792
2015-06-17,19,11,6.6467236864000006
2015-06-18,33,11,8.263854592000001
2015-06-19,1,14,-0.33059246079999927
2015-06-20,0,7,-2.9885002752000007
2015-06-21,0,1,-1.6950138880000005
2015-06-22,0,19,8.8231103488
2015-06-23,2,13,8.11367424
2015-06-24,2,17,6.277219328000001
2015-06-25,9,22,9.086593536
2015-06-26,14,6,6.370947072
2015-06-27,0,4,-4.5521430528
2015-06-28,0,1,-2.3750614016000013
2015-06-29,9,4,-0.6141440000000009
2015-06-30,5,13,0.5640729600000001
2015-07-01,9,11,0.5213040640000006
2015-07-02,4,7,-0.33380413439999934
2015-07-03,4,9,-0.9875276799999991
2015-07-04,0,0,-0.5891023871999991
2015-07-05,0,1,-0.3238636543999997
2015-07-06,22,10,7.85754368
2015-07-07,18,15,-0.7146347519999996
2015-07-08,6,16,3.0644729855999997
2015-07-09,10,15,0.6653591552
2015-07-10,9,17,0.9238735871999997
2015-07-11,0,0,-1.0023573504000003
2015-07-12,0,0,-0.5793664000000004
2015-07-13,6,12,-0.42118656000000027
2015-07-14,11,19,0.6679843840000004
2015-07-15,23,17,-0.4737789951999997
2015-07-16,17,10,7.7752687616000005
2015-07-17,4,14,16.2394937344
2015-07-18,0,1,3.672685875200001
2015-07-19,0,0,-3.474474700800001
2015-07-20,12,8,8.206771199999999
2015-07-21,6,17,30.78998528
2015-07-22,10,9,20.493733888
2015-07-23,6,12,21.2801104896
2015-07-24,14,15,10.928786943999999
2015-07-25,0,4,-4.163907379200001
2015-07-26,0,0,-6.834462003200002
2015-07-27,11,22,14.718254796799997
2015-07-28,12,11,8.0693632
2015-07-29,8,11,9.978564608000001
2015-07-30,10,13,23.5194205184
2015-07-31,11,6,2.779009126400002
2015-08-01,0,6,-3.6898238464000004
2015-08-02,0,4,-3.0310391808000015
2015-08-03,25,7,13.477432217599999
2015-08-04,12,9,12.145027072000001
2015-08-05,1,4,6.103851622400001
2015-08-06,6,8,10.752721919999999
2015-08-07,13,16,32.1139674112
