,netdata/netdata,cacti/cacti,grafana/grafana
2013-06-17,11.0,0,3
2013-06-18,3.6999999999999993,0,0
2013-06-19,1.7450000000000006,0,2
2013-06-20,2.110500000000001,0,0
2013-06-21,-0.8832874999999998,0,3
2013-06-22,-2.0305602499999997,0,0
2013-06-23,-1.1724437374999996,0,0
2013-06-24,-0.8399097987499999,0,0
2013-06-25,-0.6526753631718756,0,0
2013-06-26,-0.5311857441703131,0,0
2013-06-27,-0.3158155702078129,0,0
2013-06-28,-0.18521519749218784,0,0
2013-06-29,-0.09967049969531272,0,0
2013-06-30,-0.027166826465625047,0,0
2013-07-01,0.0,0,0
2013-07-02,0.0,0,0
2013-07-03,0.0,0,0
2013-07-04,0.0,0,0
2013-07-05,0.0,0,0
2013-07-06,2.0,0,0
2013-07-07,-0.6000000000000001,0,0
2013-07-08,-0.20999999999999985,0,0
2013-07-09,-0.11899999999999994,0,0
2013-07-10,-0.080325,0,3
2013-07-11,-0.05944049999999999,0,0
2013-07-12,-0.04656172499999999,0,1
2013-07-13,-0.037914547500000007,0,0
2013-07-14,-0.03175343353125009,0,7
2013-07-15,-0.027166826465625047,0,6
2013-07-16,0.0,0,2
2013-07-17,0.0,0,6
2013-07-18,0.0,0,8
2013-07-19,0.0,0,0
2013-07-20,0.0,0,4
2013-07-21,0.0,6,0
2013-07-22,0.0,4,10
2013-07-23,0.0,0,15
2013-07-24,0.0,0,7
2013-07-25,0.0,0,3
2013-07-26,0.0,0,7
2013-07-27,0.0,0,6
2013-07-28,0.0,0,0
2013-07-29,0.0,0,18
2013-07-30,0.0,0,7
2013-07-31,0.0,0,4
2013-08-01,0.0,0,2
2013-08-02,0.0,0,2
2013-08-03,0.0,0,0
2013-08-04,0.0,1,0
2013-08-05,0.0,0,0
2013-08-06,0.0,0,0
2013-08-07,0.0,1,4
2013-08-08,0.0,2,0
2013-08-09,0.0,0,2
2013-08-10,0.0,0,0
2013-08-11,0.0,0,0
2013-08-12,0.0,0,0
2013-08-13,0.0,2,2
2013-08-14,0.0,0,8
2013-08-15,0.0,0,0
2013-08-16,0.0,0,6
2013-08-17,0.0,0,0
2013-08-18,0.0,1,0
2013-08-19,0.0,0,0
2013-08-20,0.0,0,5
2013-08-21,0.0,0,4
2013-08-22,0.0,0,8
2013-08-23,0.0,0,9
2013-08-24,0.0,2,1
2013-08-25,0.0,1,0
2013-08-26,0.0,0,30
2013-08-27,0.0,0,16
2013-08-28,0.0,0,5
2013-08-29,0.0,0,4
2013-08-30,0.0,0,19
2013-08-31,0.0,0,0
2013-09-01,0.0,0,0
2013-09-02,0.0,0,1
2013-09-03,0.0,0,3
2013-09-04,0.0,0,4
2013-09-05,0.0,0,0
2013-09-06,0.0,0,5
2013-09-07,0.0,1,1
2013-09-08,0.0,0,0
2013-09-09,0.0,0,1
2013-09-10,0.0,0,1
2013-09-11,0.0,0,12
2013-09-12,0.0,0,1
2013-09-13,0.0,0,9
2013-09-14,0.0,0,1
2013-09-15,0.0,0,8
2013-09-16,0.0,0,17
2013-09-17,0.0,0,10
2013-09-18,0.0,0,0
2013-09-19,0.0,0,9
2013-09-20,0.0,0,13
2013-09-21,0.0,1,0
2013-09-22,0.0,0,0
2013-09-23,0.0,0,4
2013-09-24,0.0,0,0
2013-09-25,0.0,0,3
2013-09-26,0.0,0,2
2013-09-27,0.0,0,1
2013-09-28,0.0,0,0
2013-09-29,0.0,0,1
2013-09-30,0.0,0,7
2013-10-01,0.0,0,3
2013-10-02,0.0,0,0
2013-10-03,0.0,0,0
2013-10-04,0.0,0,0
2013-10-05,0.0,0,1
2013-10-06,0.0,0,0
2013-10-07,0.0,0,1
2013-10-08,0.0,0,1
2013-10-09,0.0,0,5
2013-10-10,0.0,0,2
2013-10-11,0.0,0,4
2013-10-12,0.0,0,3
2013-10-13,2.0,0,0
2013-10-14,-0.6000000000000001,0,3
2013-10-15,-0.20999999999999985,0,6
2013-10-16,-0.11899999999999994,0,3
2013-10-17,-0.080325,0,8
2013-10-18,-0.05944049999999999,0,1
2013-10-19,-0.04656172499999999,0,0
2013-10-20,-0.037914547500000007,0,0
2013-10-21,-0.03175343353125009,0,3
